pincode,areaName,districtId,statusId
383002,ZAHIRABAD B.O,190,1
383422,KUKDI B.O,190,1
382430,Kathwada GIDC S.O,163,1
384330,Anand Bhankhri B.O,182,1
384440,Rangpurda B.O,182,1
384330,Himmatpura B.O,182,1
385320,Sanesada B.O,167,1
383030,ADAPUR B.O,190,1
385505,CHODUNGARI B.O,167,1
385535,DHUNSOL BO,167,1
382315,Antoli B.O,175,1
382122,Dantali B.O,175,1
382315,Suja na Muvada B.O,175,1
385421,Navi Sendhani B.O,167,1
383001,Jambudi BO,190,1
383001,Nava BO,190,1
383001,Khed BO,190,1
383001,Sahebapura BO,190,1
384241,Jesda BO,187,1
384241,Kunvar BO,187,1
384241,Sipur BO,187,1
384241,Tuvad BO,187,1
385340,D RS BO,187,1
385340,Gochnath BO,187,1
385340,Javantri BO,187,1
385340,Masali BO,187,1
385340,Nani Pipli BO,187,1
385340,Subapura BO,187,1
384275,Matpur BO,187,1
384275,Ruvavi BO,187,1
384245,Dudkha BO,187,1
384245,Gajdinpura BO,187,1
384245,Kanij BO,187,1
384245,Varana BO,187,1
384246,Dantisana BO,187,1
384246,Padla BO,187,1
385350,Madhutra BO,187,1
385350,Piprana BO,187,1
384272,Bepadar BO,187,1
384272,Sampra BO,187,1
384151,Bilia BO,187,1
384151,Meloj BO,187,1
384151,Tavadia BO,187,1
385360,Agichana BO,187,1
385360,Gotarka BO,187,1
385360,Jakhel BO,187,1
385360,Korda BO,187,1
385360,Zandala BO,187,1
384285,Endla BO,187,1
384285,Khareda BO,187,1
384285,Vadu BO,187,1
384285,Vayad BO,187,1
393140,Navapura BO,184,1
393140,Taropa BO,184,1
393140,Timbi BO,184,1
393145,Boridra BO,184,1
384241,Khijdiyari BO,187,1
384241,Kunvarad BO,187,1
385340,Allahabad BO,187,1
385340,Dharvadi BO,187,1
385340,Ganjisar BO,187,1
385340,Kamalpur D BO,187,1
385340,Memdavad BO,187,1
385340,Santhli BO,187,1
385340,Sinad BO,187,1
384275,Norta BO,187,1
384275,Samoda BO,187,1
384245,Adgam BO,187,1
384245,Anvarpura BO,187,1
384245,Chandur Nani BO,187,1
384245,Daudpur BO,187,1
384245,Gujarwada BO,187,1
384245,Samsherpura BO,187,1
384246,Dhanora BO,187,1
384246,Panchasar BO,187,1
385350,Charanka BO,187,1
383001,Pural BO,190,1
383001,Savgadh BO,190,1
383001,Gadhoda BO,190,1
383001,Hapa BO,190,1
383001,Kankrol BO,190,1
383001,Katwad BO,190,1
383001,Agiol BO,190,1
385350,Dhokavada BO,187,1
385350,Jakhotra BO,187,1
384151,Chandravati BO,187,1
384151,Kholvada BO,187,1
384151,Sedrana BO,187,1
384151,Umru BO,187,1
384221,Chhamichha BO,187,1
385360,Abiyana BO,187,1
385360,Babra BO,187,1
385360,Gokhantar BO,187,1
385360,Sidhada BO,187,1
385360,Zazam BO,187,1
384285,Dharusan BO,187,1
384285,Jangral BO,187,1
384285,Raviyana BO,187,1
384285,Vahana BO,187,1
384260,Kanthravi BO,182,1
392165,Narnavi BO,168,1
392220,Haldarva BO,168,1
392220,Kisnad BO,168,1
394115,Ravidra BO,168,1
393115,Goratia BO,168,1
393115,Sarsa BO,168,1
392220,Simalia BO,168,1
393115,Vadkhunta BO,168,1
393115,Vanakpore BO,168,1
393115,Vankol BO,168,1
384241,Chandur Moti BO,187,1
385340,Bhilot BO,187,1
385340,Chalvada BO,187,1
385340,Kamalpur S BO,187,1
385340,Koliwada BO,187,1
385340,Nanpura BO,187,1
385340,Radhanpur Rly Colony BO,187,1
385340,Satun BO,187,1
384275,Borsan BO,187,1
384275,Ganget BO,187,1
384275,Islampura BO,187,1
384245,Amrapuara BO,187,1
384245,Baspa BO,187,1
384245,Bhadrada BO,187,1
384245,Dadar BO,187,1
385350,Detrana BO,187,1
385350,Garambadi BO,187,1
384151,Samoda BO,187,1
384151,Vadhana BO,187,1
384151,Vanasan BO,187,1
384151,Varsila BO,187,1
384221,Maniyari BO,187,1
384221,Mithi Gariyal BO,187,1
384221,Takodi BO,187,1
385360,Bamroli BO,187,1
385360,Dholakda BO,187,1
393030,Sayan BO,168,1
393030,Shera BO,168,1
393030,Vaghvan BO,168,1
393030,Valner BO,168,1
394810,Asarma BO,168,1
392150,Bojadra BO,168,1
392150,Dabha BO,168,1
392150,Dolia BO,168,1
392150,Kalak BO,168,1
392150,Khanpurdeh BO,168,1
392150,Vavli BO,168,1
385360,Gadha BO,187,1
385360,Gadsai BO,187,1
385360,Zekhada BO,187,1
384285,Abluva BO,187,1
384285,Bhatsan BO,187,1
384285,Bhilvan BO,187,1
384285,Charup BO,187,1
384241,Lolada BO,187,1
384241,Loteshwar BO,187,1
384241,Memna BO,187,1
384241,Ranod BO,187,1
384241,Taranagar BO,187,1
393110,Anadhara BO,168,1
393110,Dadheda BO,168,1
393110,Dharoli BO,168,1
393110,Gundecha BO,168,1
393110,Padal BO,168,1
393110,Padvania BO,168,1
393110,Ranipura BO,168,1
392160,Vansi BO,168,1
392170,Kangam BO,168,1
392170,Kimoj BO,168,1
392170,Nahar BO,168,1
392155,Vadadla BO,168,1
392012,Amleshwar BO,168,1
392012,Bhersam BO,168,1
393150,Jior BO,184,1
393150,Mangrol BO,184,1
393150,Sehrav BO,184,1
393150,Tankari BO,184,1
393130,Khardipada BO,184,1
392220,Matroj BO,194,1
392220,Mesrad BO,194,1
392220,Pachhiapura BO,194,1
392220,Saring BO,194,1
393140,Navra BO,184,1
393140,Amletha BO,184,1
393140,Dholar BO,184,1
393140,Kandroj BO,184,1
393140,Vaghodia BO,184,1
392012,Dashan BO,168,1
392012,Dehgam BO,168,1
392210,Haldar BO,168,1
392210,Segva BO,168,1
392210,Shahpura BO,168,1
392210,Sindhot BO,168,1
392210,Sitpon BO,168,1
392015,Kantharia BO,168,1
393130,Chasvad BO,168,1
393130,Kavachia BO,168,1
393130,Kelvikuva BO,168,1
393130,Kharetha BO,168,1
392165,Goladra BO,168,1
392165,Janiadra BO,168,1
392220,Kamboli BO,168,1
392220,Kothi Vantarsa BO,168,1
394115,Alunj BO,168,1
394115,Bhadi BO,168,1
394115,Godadra BO,168,1
394115,Kharod BO,168,1
393140,Tavdi BO,168,1
393115,Jespore BO,168,1
393115,Kadvali BO,168,1
393115,Mota Sorva BO,168,1
393115,Pipadhra BO,168,1
393115,Razalwada BO,168,1
392165,Paniadra BO,168,1
392165,Pipalia BO,168,1
392220,Simartha BO,168,1
394115,Pardi Idris BO,168,1
394115,Sanjali BO,168,1
393115,Jarsad BO,168,1
385340,Arjansar BO,187,1
385340,Bandhvad BO,187,1
385340,Lodra BO,187,1
385340,Lotia BO,187,1
385340,Moti Pipli BO,187,1
384275,Sander BO,187,1
384275,Sankhari BO,187,1
384275,Vasai BO,187,1
387710,Demol BO,165,1
388430,Vadadla BO,165,1
388625,Dugari BO,165,1
388625,Galiana BO,165,1
388150,Manaj BO,165,1
388150,Manpura BO,165,1
388150,Runaj BO,165,1
388150,Sundra BO,165,1
388450,Rangaipura BO,165,1
388460,Isnav BO,165,1
388570,Amiyad BO,165,1
388170,Kalitalavadi BO,165,1
388170,Kanisa BO,165,1
387240,Virol BO,165,1
387550,Dhathal BO,179,1
387550,Kaloli BO,179,1
387365,Antroli BO,179,1
387380,Maliataj BO,179,1
387115,Chalali BO,179,1
387115,Kanjoda BO,179,1
387330,Chunel BO,179,1
387330,Heranj BO,179,1
387650,Abvel BO,179,1
387650,Betawada BO,179,1
387650,Bhoja Na Muvada BO,179,1
387650,Telnar BO,179,1
383001,Viravada BO,190,1
383001,Vishwamangalam BO,190,1
383001,Parabada BO,190,1
383001,Bavsar BO,190,1
383001,Berna BO,190,1
383001,Chandarni BO,190,1
383001,Hadiol BO,190,1
383001,Navalpur BO,190,1
383001,Tajpuri BO,190,1
387350,Bamroli BO,179,1
387350,Davda BO,179,1
387560,Chandana BO,179,1
387560,Shetra BO,179,1
387710,Karoli BO,179,1
387210,Manghrol BO,165,1
388430,Khanpur BO,165,1
388610,Dhuvaran BO,165,1
388625,Golana BO,165,1
388625,Khaksar BO,165,1
388625,Vainaj BO,165,1
388625,Rohini BO,165,1
388590,Kasari BO,165,1
388590,Vadeli BO,165,1
388550,Dahevan BO,165,1
388550,Dali BO,165,1
388550,Kalu BO,165,1
388550,Kanbha BO,165,1
388620,Daheda BO,165,1
388620,Jinaj BO,165,1
388620,Laxmipura BO,165,1
388620,Rangpur BO,165,1
388620,Shakarpur BO,165,1
388440,Ghunteli BO,165,1
388450,Ardi BO,165,1
388450,Bhavanipura BO,165,1
388450,Davalpura BO,165,1
388460,Kasor BO,165,1
387240,Bhalada BO,165,1
387240,Gada BO,165,1
388480,Simarda BO,165,1
388180,Indranaj BO,165,1
388180,Isarvada BO,165,1
388180,Jichka BO,165,1
388180,Kanavada BO,165,1
388180,Khanpur BO,165,1
388180,Mitli BO,165,1
384245,Mandvi BO,187,1
384245,Mota Joravarpura BO,187,1
384245,Nayka BO,187,1
384245,Rafu BO,187,1
384245,Ranavada BO,187,1
384245,Ved BO,187,1
384245,Zilvana BO,187,1
384246,Bolera BO,187,1
384260,Pali BO,182,1
393115,Simadhra BO,168,1
393115,Umadhara BO,168,1
393030,Malanpur BO,168,1
393030,Raima BO,168,1
392230,Dora BO,168,1
392230,Karena BO,168,1
392230,Mangrol BO,168,1
392230,Ochhan BO,168,1
394810,Sisodra BO,168,1
394810,Sunevkalla BO,168,1
392150,Magnad BO,168,1
392150,Nobar BO,168,1
392150,Nodhna BO,168,1
392150,Vehelam BO,168,1
392160,Kurla BO,168,1
392170,Runad BO,168,1
392155,Bhadkodra BO,168,1
392155,Chhidra BO,168,1
