SchoolName,Pincode,District
SUNRISE ACADEMY,783392,Barpeta
B.K.T ADARSHA JATIYA VIDALAYA,781314,Barpeta
BHATKUCHI ANCHALIK JATIYA VIDYALAYA,781314,Barpeta
KAPOHA ADARSHA JATIYA BIDYALAYA,781314,Barpeta
JNANDEEP JATIYA VIDYALAYA,781314,Barpeta
DAPON JATIYA VIDYALAYA,781314,Barpeta
PARIJAT JATIO BIDHYALAYA,781308,Barpeta
SITOLI ANCHALIK JATIYA VIDYALAYA,781308,Barpeta
CHASRA ANCHALIK JATIYA VIDYALAYA,781308,Barpeta
JOYNAL ABEDIN JATIYA VIDYALAYA,781314,Barpeta
"AMARDEEP ACADEMY, JANIA",781314,Barpeta
LITTLELAND ENGLISH MEDIUM SCHOOL,781314,Barpeta
SUNFLOWER ACADEMY,781314,Barpeta
RAHAMAT ALI ANCHALIK JATIYA BIDYALAY,781308,Barpeta
NABA JYOTI JATIYA VIDYALAYA,781314,Barpeta
NABA JAGRAN JATIA BIDHALAYA,781308,Barpeta
ABUL KASHEM AHMED JATIYA BIDYALAYA,781308,Barpeta
MET ACADEMY,781314,Barpeta
JANATA JATIYA VIDHALAYA,781319,Barpeta
"PUBLIC ACADEMY, JANATA",781319,Barpeta
AL-AMIN JATIYA BIDHYALAYA,781308,Barpeta
MILIZULI ANCHALIK JATIYA VIDYALAYA,781308,Barpeta
"LIFE SHINE ENGLISH ACADEMY,MILIZULI",781308,Barpeta
ANCHALIK JATIYA BIDHALAYA,781314,Barpeta
GYANDEEP JATIYA VIDYALAYA,781314,Barpeta
GALAXY ACADEMY,781319,Barpeta
"NABA JAGARAN ACADEMY, TAPAJULI PATHER",781319,Barpeta
GYANDEEP ACADEMY,781127,Barpeta
AGMANDIA ANCHALIK JATIYA BIDHYALAY,781308,Barpeta
RAMAPARA NAVANUR JATIYA VIDYALAYA,781308,Barpeta
UZIRAR CHAR NUR ADARSHA JATIYA VIDYALAY,783101,Barpeta
UZIRAR CHAR ANCHALIK JATIYA VIDYALAY,783101,Barpeta
A.K. MEMORIAL ACADEMY,783101,Barpeta
DR. ABDUL KADIR JATIYA BIDYALAYA,781308,Barpeta
BRAHMAPUTRA VALLEY JUNIOR COLLEGE,781308,Barpeta
ALOPATI KHATIAMARI ADARSHA JATIYA BIDYALAYA,781127,Barpeta
"DR. A.P.J. ABDUL KALAM ACADEMY, ALOPATI",781127,Barpeta
IQRA NATIONAL ACADEMY,781127,Barpeta
TARAKANDI ANCHOLIC JATIYA VIDYALAYA,781321,Barpeta
CHAR JYOTI SHISU NIKETAN,781127,Barpeta
"JSMI ACADEMY, NICHANAR CHAR",781127,Barpeta
DIGHIRPAM ANCHALIK ADARSHA JATIYA VIDYALAYA,781308,Barpeta
NABAJYOTI JATIYA VIDHYALAYA,781308,Barpeta
MANDIA JATIYA BIDYALAYA,781308,Barpeta
ORIENTAL JATIYA VIDYALAYA,781308,Barpeta
