SchoolName,Pincode,District
DR. APJ ABDUL KALAM MEMORIAL ACADEMY,781318,Baksa
DHUMARPATHAR NOVODAYA J.BIDYALAYA,781318,Baksa
KANTIRAM PANDIT ACADEMY,781329,Baksa
JATIYA VIDYALAYA REHABARI,781329,Baksa
"SANKARDEV SHISHU NIKETAN , BAGHMARA",781328,Baksa
GOBARDHANA KHARIJA BIJNI COLLEGE,781315,Baksa
MODERN ACADEMY,781315,Baksa
LOWER ASSAM PUBLIC SCHOOL,781315,Baksa
ROYAL NATIONAL PUBLIC SCHOOL,781315,Baksa
RUPJYOTI ACADEMY,781317,Baksa
RAJIB GANDHI MEMORIAL ACADEMY,781317,Baksa
NAYAN JYOTI JATIYA VIDYALAYA,781317,Baksa
NETAJEE JATIYA BIDYALAYA,781317,Baksa
NAVAMILAN JATIYA VIDYALAYA,781315,Baksa
MAHARSHI VIDYAPEETH,781313,Baksa
ASSAM VALLEY ACADEMY,781315,Baksa
SANKARDEV SISHU BIDYA NIKETAN,781369,Baksa
BATHOW ASHRAM,781372,Baksa
RUPKOWNAR JATIYA VIDALAYA,781372,Baksa
U.N ACADEMI,781372,Baksa
SANKARDEV SISU NIKETAN,781372,Baksa
AKASH JATIYA VIDYALAYA,781372,Baksa
SUNRISE ENGLISH MEDIUM HIGH SCHOOL,781372,Baksa
"SANKARDEV SHISHU NIKETAN, ANGARDHOWA",781372,Baksa
DARWIN ENGLISH MEDIUM SCHOOL,781377,Baksa
GYAN BIKASH JATIYA VIDYALAYA,781377,Baksa
BATHOU ASHROM ATHIABARI,781377,Baksa
SAMANWAYA JATIYA VIDYALAYA,781343,Baksa
SANKARDEV SHISHU NIKETAN,781344,Baksa
BATHOU ASHRAM HIGH SCHOOL,781344,Baksa
"SUNRISE ENGLISH HIGH SCHOOL, BAGANPARA",781344,Baksa
MODERN ENGLISH SCHOOL,781372,Baksa
BRIGHTSTAR ENGLISH BOARDING SCHOOL,781372,Baksa
SHANKARDEV SHISHU NIKETAN,781372,Baksa
NIKASHI MODEL ACADEMY,781372,Baksa
ST. XAVIERS SCHOOL,781372,Baksa
RAMCHARAN KALITA JATIYA VIDYALAYA,781372,Baksa
"SONGRAJA BATHOU ASHRAM, BARIMUKH",781372,Baksa
BATHOU ASHRAM HIGH SCHOOL,781343,Baksa
THOMNA SANKARDEV SISHU NIKETON,781377,Baksa
PARAG JYOTI JATIYA VIDYALAYA,781377,Baksa
"U.N.ACADEMY, JOPADONG",781343,Baksa
SANKARDEV SISHU NIKETON,781373,Baksa
ST. MARK ENGLISH MEDIUM SCHOOL,781372,Baksa
"U.N.ACADEMY, SUBANKHATA",781372,Baksa
"SANKARDEV SHISHU NIKETAN, SUBANKHATA",781372,Baksa
SANKARDEV SISHU NIKETAN,781344,Baksa
VIDYAJYOTI JATIYA VIDYALAYA,781372,Baksa
"BATHOU ASHRAM, NABASTI",781344,Baksa
VIKASH JATIYA VIDYALAYA,781344,Baksa
"U.N.ACADEMY, NABASTI",781344,Baksa
"SANKARDEV SHISHU NIKETAN, NABASTI",781344,Baksa
DON BOSCO SCHOOL,781373,Baksa
ANANDARAM BARUAH JATIYA BIDYALAYA,781346,Baksa
"BATHOU ASHRAM HIGH SCHOOL,MEDAGHAT",781355,Baksa
S.T JOHN'S H.S SCHOOL,781346,Baksa
B.L PUBLIC SCHOOL,781346,Baksa
"U.N.ACADEMY,BARAMA",781346,Baksa
SANKARDEV SISHU NIKETAN,781333,Baksa
"BIKASH JATIYA BIDYALAYA, DEBACHARA",781333,Baksa
SANKARDEV SISHU NIKETAN,781346,Baksa
SRIMANTA SANKARDEV VIDYALAYA,781346,Baksa
BATHOU ASHRAM HS,781346,Baksa
"VIVEKANANDA VIDYA NIKETAN, BARAMA",781346,Baksa
DR.S.B.SUNRISE ACADEMY,781346,Baksa
"DR ANANTA ACADEMY,JALAH",781327,Baksa
"LITTLE FLOWER SCHOOL,JALAH",781327,Baksa
"JATIA VIDYALAYA, JALAH",781327,Baksa
U. N. ACADEMY JALAGAON,781373,Baksa
ANCHALI JATIYA BIDYALAYA,781327,Baksa
SUNRISE ENGLISH MEDIUM SCHOOL,781330,Baksa
SHANKARDEV SHISHU V NIKETAN,781327,Baksa
SANSWRANG ACADEMY,781327,Baksa
NABAJYOTI ANCHALIK JATIYA VIDYALAYA,781327,Baksa
SEWA ASHRAMNATIONALACADEMY,781315,Baksa
BAPUJI JATIYA VIDHALAYA,781315,Baksa
BBKK JATIYA VIDYALAYA,781318,Baksa
"JATIYA VIDYALAYA, SIMLA",781330,Baksa
JALAGAON GIRL'S HIGH SCHOOL,781373,Baksa
DINANATH ME SCHOOL,781318,Baksa
"SI-BWRAI BORO FORAISALI,NIMUA",781315,Baksa
"SANKAR DEV SISHU NIKETAN, GATI",781327,Baksa
MANIKPUR JATIYA VIDYALAYA,781329,Baksa
PRAGATI JATIYA VIDYALAYA,781327,Baksa
HAZRAT FATEMA (R) MODEL ACADEMY,781327,Baksa
G.S.B. BORO HS .,781315,Baksa
"U N ACADEMY, RUPAHI",781318,Baksa
BODOSA ACADEMY,781327,Baksa
SI BWRAI BATHOU ASHRAM FORAISALI,781327,Baksa
RAJPUT ACADEMY,781327,Baksa
D.A.V. VIDYAPITH,781327,Baksa
"SHANKARDEV SHISHU NIKETAN, SAUDARVITHA",781327,Baksa
HATHORKHI FORAISALI,781318,Baksa
GREENLAND ENGLISH HIGH SCHOOL,781318,Baksa
ST. XAVIER'S ENGLISH SCHOOL,781327,Baksa
MANAS VALLEY ACADEMY,781327,Baksa
NARANARAYAN ACADEMY,781327,Baksa
DRONACHARYA ACADEMY,781327,Baksa
"SHANKARDEV SHISU NIKETAN, ANANDA BAZAR",781327,Baksa
HAZRAT ALI MODEL ACADEMY,781327,Baksa
SEUJ JATIYA VIDYALAYA,781315,Baksa
IRVIN ADVENTISH ENGLISH SCHOOL,781315,Baksa
"ST. XAVIER'S SCHOOL, MANASH BASBARI",781315,Baksa
ABABEEL ACADEMY,781327,Baksa
ATM JATIYA BIDYALAYA,781327,Baksa
SWAMI VIVEKANANDA KENDRA ACADEMY,781327,Baksa
