SchoolName,Pincode,District
GYANJYOTI JATIYA BIDYALAY,784101,Biswanath
EUREKA ENGLISH SCHOOL,784185,Biswanath
BALIJURI MODEL ENGLISH SCHOOL,784185,Biswanath
GYAN MALINI ENGLISH SCHOOL,784182,Biswanath
HIGH LAND SCHOOL,784189,Biswanath
AMRITPOM PUBLIC SCHOOL,784180,Biswanath
MOUNT SINAI ENGLISH HS,784182,Biswanath
UDAYAN SIKHALAYA,784182,Biswanath
SRIJANI JATIYA BIDYALAY,784182,Biswanath
SAPTARSHI VIDYALAYA,784180,Biswanath
SANKARDEV SISHU NIKETAN,784180,Biswanath
HOLY CHILD ENGLISH SCHOOL,784180,Biswanath
Mount Sinai English HS,784185,Biswanath
GYAN BHARATI ENGLISH SCHOOL,784180,Biswanath
JAMUGURI SENIOR SECONDARY SCHOOL,784180,Biswanath
NADUAR JATIYA VIDYALAY,784180,Biswanath
"SANKARDEV SISHU BIDYA NIKETAN, DHANSIRIGHAT",784114,Biswanath
GREEN BUD HIGH SCHOOL,784176,Biswanath
D.N. FIVE STAR SCHOOL,784174,Biswanath
Gyanam Academy Senior Secondary School,784176,Biswanath
JANE BOSCO HIGH SCHOOL,784176,Biswanath
SANKARDEV SISHU BIDYA NIKETAN,784176,Biswanath
SANKARDEV SISHU NIKETAN,784176,Biswanath
BISWANATH ABYASAN VIDYAPITH,784176,Biswanath
LITTLE STAR SCHOOL,784176,Biswanath
BISWANATH GYAN BHARATI,784176,Biswanath
HAPPY CHILD ENGLISH SCHOOL,784176,Biswanath
SREEMANTA SANKAR GURU JATIYA VIDYALAYA,784176,Biswanath
ST. XAVIER'S SCHOOL,784176,Biswanath
MODEL ENGLISH SCHOOL,784176,Biswanath
Pearl Academy,784176,Biswanath
T C B M Senior Secondary School,784176,Biswanath
LITTLE ANGEL LP SCHOOL (P),784174,Biswanath
UPENDRA NATIONAL ACADEMY,784182,Biswanath
SIJOU BATHOU ASHRAM SCHOOL,784182,Biswanath
BLUE PINE ENGLISH SCHOOL,784182,Biswanath
GYAN BHARATI PUBLIC SCHOOL,784176,Biswanath
MARI GOLD HS,784175,Biswanath
ROYAL PUBLIC SCHOOL,784175,Biswanath
SURJYODAI ADARSHA VIDYALAYA,784175,Biswanath
BHASKAR JYOTI ADARSHA BIDYAPIT,784175,Biswanath
PARIJAT SISHU BIDYAPITH,784175,Biswanath
"SANKARDEV SISHU NIKETAN, BORGANG",784167,Biswanath
MOUNT CARMEL RESI. ENGLISH SCH.,784167,Biswanath
LUITPARIYA JATIYA BIDYALAY,784169,Biswanath
SANKARDEV SISSU NIKATON,784178,Biswanath
MAHENDRA KANDALI JATIYA VIDLAYAL,784168,Biswanath
ROYAL ACADEMY,784168,Biswanath
ROYAL VALLEY SCHOOL,784168,Biswanath
KALYANEE ENGLISH SCHOOL,784168,Biswanath
KAWRIPATHER JATIYA VIDYALAY,784168,Biswanath
BRAHMAPUTRA VALLEY ENGLISH SCHOOL,784168,Biswanath
SCHOLAR'S ACADEMY,784168,Biswanath
CARMEL RESIDENTIAL SCHOOL,784168,Biswanath
G. K. ENGLISH SCHOOL,784178,Biswanath
IMANUAL ENGLISH SCHOOL,784178,Biswanath
"MT CARMEL ENGLISH SCHOOL, PURUPBARI",784168,Biswanath
P.P.ROYAL GLOBAL ENGLISH SCHOOL,784168,Biswanath
TRIMURTY JATIYA VIDYALAYA,784168,Biswanath
MORNING STAR HS,784172,Biswanath
JOGANATH SUWARANI SANKARDEV SN,784172,Biswanath
JADAV GOSWAMI JATIYA BIDYALAY,784172,Biswanath
BIRSHA MUNDA MEMORIAL HS,784171,Biswanath
GREEN MEADOW RESIDENTIAL SCHOOL,784168,Biswanath
CHARAIBARI JATIYA BIDYALAY,784168,Biswanath
DEV ADARSHA SISHU NIKETAN,784172,Biswanath
"SANKARDEV SISHU NIKETAN, GAMERI",784168,Biswanath
STELA MARIS SCHOOL,784170,Biswanath
SANKARDEV SISU NIKETON,784170,Biswanath
"MOUNT CARMEL PRIMARY SCHOOL, CHANDAMARI",784168,Biswanath
CALVARY ENGLISH HS,784179,Biswanath
DIAMOND ENGLISH SCHOOL,784168,Biswanath
SANKARDEV SISHU NIKETAN KAKILA,784168,Biswanath
SANKARDEV SISHU NIKETAN,784169,Biswanath
IDEAL ACADEMY,784168,Biswanath
Ambikagiri Ray Choudhury Jatiya Vidyalaya,784169,Biswanath
SANKARDEV BIDYALAYA,784172,Biswanath
ABHIYATRI MEDHABI BIDYAPITH,784172,Biswanath
Sankardev Shishu Niketan,784169,Biswanath
GOHPUR JATIYA BIDYALAY,784168,Biswanath
ST. JOHN BOSCO HS,784168,Biswanath
GOHPUR TOWN SCHOOL,784168,Biswanath
SANKARDEV SISHU NIKETAN,784168,Biswanath
ST. JOSEPHS' SCHOOL,784168,Biswanath
GYAN BHARATI PUBLIC SCHOOL,784168,Biswanath
GOLDSTEIN ENGLISH SCHOOL(P),784168,Biswanath
"U.N. ACADEMY, BORPUKHURI",784168,Biswanath
UPENDRA NATIONAL ACADEMY,784168,Biswanath
UTTAR GOHPUR JATIYA BIDYALAY,784168,Biswanath
MONTESSORI ENGLISH SCHOOL,784168,Biswanath
School Name,Pincode,District
