SchoolName,Pincode,District
ST.FRANCIS DE SALES H.S. SCHOOL,783371,Bongaigaon
SANTOSHPUR GYANPITH JATIYA VIDYALAYA,783348,Bongaigaon
"JATIYA VIDYALAYA, KABAITARY",783382,Bongaigaon
KOREYA BIDYAJYOTI JATIYA VIDYALAYA,783388,Bongaigaon
JNANPITH JATIYA VIDYALAYA,783382,Bongaigaon
MARRY'S PUBLIC SCHOOL,783388,Bongaigaon
HILL VIEW ENGLISH SCHOOL,783383,Bongaigaon
MILON JYOTI JATIYA VIDYALAYA (,783372,Bongaigaon
LITTLE BRIGHT ACADEMY,783372,Bongaigaon
DR. APJ ABDUL KALAM JATIYA VIDYALAYA,783382,Bongaigaon
MARKAZ JATIYA VIDYALAYA,783388,Bongaigaon
PALLIRTAL JATIYA BIDYALOY,783388,Bongaigaon
"GOBINDA MEMORIAL HS SCHOOL, JOGIGHOPA",783382,Bongaigaon
ST. XABIER'S PUBLIC SCHOOL,783388,Bongaigaon
MARKAZ ACADEMY,783388,Bongaigaon
CHANAKYA PUBLIC SCHOOL,783383,Bongaigaon
BALAPARA JATIYA VIDYALAYA,783388,Bongaigaon
"MODERN ENGLISH SCHOOL,BALAPARA",783388,Bongaigaon
SANKARDEV SHISU NIKETAN,783389,Bongaigaon
TRINITY ENGLISH SCHOOL,783380,Bongaigaon
JNANJYOTI ADARSHA JATIYA VIDYALAYA,783380,Bongaigaon
ST. FRANCIS D'ASSISI SCHOOL,783380,Bongaigaon
PRANAV BIDYAPITH,783380,Bongaigaon
NORTH BOITAMARI JATIYA VIDYALAY,783380,Bongaigaon
SANKARDEV ACADEMY,783380,Bongaigaon
WISDOM ACADEMY,783380,Bongaigaon
GYANJYOTI JUNIOR COLLEGE,783380,Bongaigaon
HOLY CHILD HIGH SCHOOL (ENGLISH MEDIUM),783380,Bongaigaon
SANKARDEV SISHU VIDYA NIKETAN,783380,Bongaigaon
ORION ACADEMY,783380,Bongaigaon
MULAGAON KANYA UCHCHA MADHYAMIK VIDYALAYA,783380,Bongaigaon
ADARSHA JATIYA VIDYALAYA,783380,Bongaigaon
"CHILARAI JATIYA BIDYALAYA, MULAGAON",783380,Bongaigaon
BRAINTREE INTERNATIONAL SCHOOL,783380,Bongaigaon
SANKARDEV SISHU NIKETAN,783372,Bongaigaon
BIDYAPUR HIGHER SECONDARY SCHOOL,783372,Bongaigaon
PRETTIFY KNOWLEDGE MODEL ENG. MED. SCHOOL,783380,Bongaigaon
ST. ALBERT'S SCHOOL,783381,Bongaigaon
JEEVAN JYOTI JATIYA VIDYALAYA,783381,Bongaigaon
SANKAR MADHAB ACADEMY(JR. COLLEGE),783380,Bongaigaon
BIRJHORA JATIYA VIDYALAYA,783380,Bongaigaon
RATNAPITH JATIYA VIDYALAYA,783380,Bongaigaon
CHIPONSILA JATIYA VIDYALAYA,783380,Bongaigaon
NANKARGAON HIGHER SECONDARY SCHOOL,783372,Bongaigaon
NANKARGAON BAPUJI LP SCHOOL,783372,Bongaigaon
BONGAIGAON JUNIOR COLLEGE,783380,Bongaigaon
SUNFLOWER SCHOOL,783380,Bongaigaon
JNANODAY JATIYA VIDYALAYA,783380,Bongaigaon
JNANDEEP JATIYA VIDYALAYA,783383,Bongaigaon
MANAH JATIYA VIDYALAY,783384,Bongaigaon
GYANJYOTI JATIYA VIYALAYA,783385,Bongaigaon
ALPHONSA SCHOOL,783383,Bongaigaon
MOON BEAM ENGLISH SCHOOL,783383,Bongaigaon
CHILARAY JATIYA VIDYALAYA,783383,Bongaigaon
"SRI SRI GNAN MANDIR, RAJGHAT MVS",783384,Bongaigaon
SRI SRI RAVI SHANKAR VIDYA MANDIR,783384,Bongaigaon
"ABDUL KARIM ACADEMY, AMBARI",783384,Bongaigaon
MOIN UDDIN AHMED MEMORIAL MODEL ACADEMY,783384,Bongaigaon
SRIJANI JATIYA VIDYALAYA,783386,Bongaigaon
SRIJANI SANSKRIT CHATUSPATI,783384,Bongaigaon
"SANKARDEV SISHU NIKETAN, ABHAYAPURI",783384,Bongaigaon
LITTLE FLOWER ENGLISH HIGH SCHOOL,783384,Bongaigaon
SRIMANTA SANKARDEV ACADEMY,783384,Bongaigaon
"THE RAJBARI SCHOOL, ABHAYAPURI",783384,Bongaigaon
"SANKARDEV SHISHU NIKETAN, KERKHABARI",783384,Bongaigaon
MONFORT SCHOOL BONGAIGAON,783384,Bongaigaon
RADICAL ACADEMY,783384,Bongaigaon
LOWER ASSAM PUBLIC SCHOOL,783384,Bongaigaon
BIR SWAHID MEMORIAL ACADEMY,783384,Bongaigaon
FACULTY M.P. HIGH SCHOOL,783384,Bongaigaon
"LAKSHMINATH BEZBARUAH ACADEMY JR. COLLEGE, ABHAYAPURI",783384,Bongaigaon
BRAHMAPUTRA VALLEY JATIYA VIDYALAYA,783384,Bongaigaon
"M.A.K AZAD ACADEMY, TAPATTRY",783384,Bongaigaon
AMBIKAGURI JATIYA BIDYALAYA,783384,Bongaigaon
"AROHAN ACADEMY, ABHAYAPURI",783384,Bongaigaon
ASIAN KIDS ENGLISH SCHOOL,783384,Bongaigaon
SCIENCE CITY ACADEMY,783384,Bongaigaon
ABHAYAPURI MULTILINGUAL ACADEMY,783384,Bongaigaon
JATIYA VIDYALAYA ABHAYAPURI,783384,Bongaigaon
JYOTI ADARSHA VIDYALAYA,783384,Bongaigaon
MANAH PARIYA JATIYA VIDYALAYA,783384,Bongaigaon
J. M. ACADEMY,783384,Bongaigaon
ADARSHA JATIYA VIDYALAYA,783384,Bongaigaon
AHMADIYYA HIGH SCHOOL,783384,Bongaigaon
SANKAR AJAN ADARSHA VIDYALAYA,783384,Bongaigaon
"RAINBOW ACADEMY, RANGAPANI",783384,Bongaigaon
J. M. ACADEMY,783384,Bongaigaon
NABAJYOTI JATIYA VIDYALAYA,783384,Bongaigaon
NAYANJYOTI JATIYA VIDYALAYA,783384,Bongaigaon
LALMATI JATIYA VIDYALAYA,783384,Bongaigaon
LATIBARI JATIYA VIDYALAYA,783384,Bongaigaon
KUSHBARI JATIYA VIDYALAYA,783384,Bongaigaon
"ABS MODEL ACADEMY, PALTAN BAZAR",783384,Bongaigaon
MERERCHAR ANCHALIK JATIYA VIDYALAYA,783384,Bongaigaon
MERER CHAR H.S. SCHOOL,783384,Bongaigaon
GYANDEEP JATIYA VIDYALAYA,783382,Bongaigaon
SANKARDEV SISHU NIKETAN KHORAGAON,783382,Bongaigaon
"BIDYAJYOTI JATIYA VIDYALAYA,MALEGARH",783382,Bongaigaon
BARJANA JATIYA VIDYALAYA,783382,Bongaigaon
A.I.M.S ACADEMY,783384,Bongaigaon
AMANIA SENIOR MADRASSA,783392,Bongaigaon
GOLAPARA ANCHALIK JATIYA VIDYALAYA,783384,Bongaigaon
"NABA JAGARAN ACADEMY, NAMBERPARA",783392,Bongaigaon
ADARSHA JATIYA VIDYALAYA,783392,Bongaigaon
ELATE ACADEMY,783392,Bongaigaon
RAJIB GANDHI GRAMIN VIKASH JATIYA VIDYALAYA,783392,Bongaigaon
D.T.I. ACADEMY,783384,Bongaigaon
RIVER SIDE ACADEMY,783392,Bongaigaon
"DEWAN TAZ UDDIN SISHU NIKETAN, KOKILA",783392,Bongaigaon
N.C. JATIYA VIDYALAYA,783392,Bongaigaon
NUMBERPARA ANCHALIK JR. COLLEGE,783392,Bongaigaon
LIFE STAR ACADEMY BALARCHAR MATRAGHOLA,783384,Bongaigaon
RAMDHANU JATIYA VIDYALAYA,783384,Bongaigaon
SUNSHINE ACADEMY,783384,Bongaigaon
JEEVAN JYOTI JATIYA VIDYALAYA,783384,Bongaigaon
"NABAJYOTI JATIYA BIDYALAYA, KIRTANPARA",783384,Bongaigaon
"MODEL ACADEMY, KIRTANPARA",783384,Bongaigaon
"J.K. ANCHALIK JATIYA VIDYALAYA, 2NO. HALDIBARI",783384,Bongaigaon
"JUBAYER MASUD ACADEMY, DUMERGURI",783384,Bongaigaon
DR. APJ ABDUL KALAM MODEL ACADEMY,783384,Bongaigaon
GYANJYOTI JATIYA VIDYALAYA,783384,Bongaigaon
ABHAYESWARI JATIYA VIDYALAYA,783384,Bongaigaon
LUIT PARIYA JATIYA VIDYALAYA,783384,Bongaigaon
PATILADAHA JATIYA VIDYALAYA,783391,Bongaigaon
"JEEVAN JYOTI JATIYA VIDYALAYA, CHATALA",781321,Bongaigaon
NABA JAGARAN JATIYA BIDHLAYA K. MOINBARI,781321,Bongaigaon
FAKHRUDDUN ALI AHMED ACADEMY,781319,Bongaigaon
SONALI JATIYA VIDYALAYA,781315,Bongaigaon
