SchoolName,Pincode,District
HAZI MAHMOD ALI MEMORIAL MODEL ACADEMY,788817,Cachar
"SPRING DALES ACADEMY, BHANGARPAR",788817,Cachar
BHWARPAR AHMODIA ADARSHA BIDYANIKATON,788817,Cachar
HAZI A.N.LASKAR UDYAN BIDYAPIT,788817,Cachar
GANDHI MEMORIAL BIDYAPITH,788815,Cachar
ST.VIANNEY SCHOOL,788817,Cachar
CHANDRANATH PUR HIGH SCHOOL,788817,Cachar
SISHU BIKASH KENDRA,788025,Cachar
GOBINDAPUR ADARSHA VIDYAPITH,788804,Cachar
SUN-RISE SCHOOL,788802,Cachar
EAST KATIGORAH JUNIOR COLLEGE,788802,Cachar
DESHABANDHU VIDYA NIKETAN,788817,Cachar
SARASWATI VIDYA NIKETAN,788817,Cachar
SARADA VIDYAPITH,788815,Cachar
VIVEKANANADA SHISHU VIHAR,788815,Cachar
AL AMEEN ACADEMY,788815,Cachar
NAZRUL ACADEMY,788815,Cachar
"VIVEKANANDA VIDYA NIKETAN,KINNAKHAL",788805,Cachar
JUPITER HIGH SCHOOL,788815,Cachar
JANATA VIDYAPITH,788815,Cachar
MOHAMMADAN ACADEMY,788816,Cachar
ADARSHA VIDYAPITH KALAIN,788815,Cachar
LITTLE FLOWER ENG MED HS,788815,Cachar
UNIVERSAL ACADEMY,788815,Cachar
MOJO CENTRAL SCHOOL,788815,Cachar
GALAXY IDEAL SCHOOL,788815,Cachar
NETAJI VIDYA NIKETAN,788815,Cachar
TALENT SCHOOL OF STUDIES,788815,Cachar
BHARAT NIRMAN VIDYAPITH,788815,Cachar
BANI VIDYA PITH,788815,Cachar
"PRAGATI VIDYA NIKETAN, KATIGORAH",788805,Cachar
"MODEL ACADEMY, LATHIMARA",788805,Cachar
JYOTI ACADEMY MOHANPUR,788817,Cachar
ADARSHA VIDYAPITH,788804,Cachar
MODEL ACADEMY,788804,Cachar
DR RADHA KRISHNAN ACADEMY,788816,Cachar
BETHLEHEM ENGLISH SCHOOL,788816,Cachar
JANA KALLYAN ACADEMY,788815,Cachar
AL- AMAN ACADEMY,788815,Cachar
SARASWATI VIDYA NIKETAN,788815,Cachar
SADIRKHAL VIDYA NIKETAN,788815,Cachar
RISING CHILD ACADEMY,788815,Cachar
SARADA VIDYAPITH,788816,Cachar
"ROYAL ACADEMY, GUMRA",788815,Cachar
AHMED ALI ADARSHA VIDYALAYA,788815,Cachar
DIAMANTE ENGLISH ACADEMY,788805,Cachar
AL-MAHMUD ENGLISH SCHOOL,788805,Cachar
UNIQUE MODEL ACADEMY,788802,Cachar
SRI SRI GNAN MANDIR,788817,Cachar
HOLY FLOWER HIGH SCHOOL,788805,Cachar
AL HILAL ISLAMIC ACADEMY,788817,Cachar
IDEAL ACADEMY SEWTI,788817,Cachar
M.N. SHINING ACADEMY,788025,Cachar
AADARSHA VIDYAPITH,788802,Cachar
AL AMEEN ACADENY,788802,Cachar
ADARSHA VIDYALAYA,788804,Cachar
"IQRA ACADEMY, KATIGORAH",788805,Cachar
SARASWATI VIDYA NIKETAN,788127,Cachar
ORCHID SCHOOL,788127,Cachar
JANAKALYAN VIDYANIKETAN,788805,Cachar
NEHRU ACADEMY,788815,Cachar
BHAIRABPUR ADARSHA BIDYALAYA,788815,Cachar
"PRAGATI VIDYANIKETAN, KARAIKANDI",788817,Cachar
CONVENT ENGLISH SCHOOL,788103,Cachar
ADARSHA VIDYAPITH ENGLISH SCHOOL,788101,Cachar
LAKHIPUR JUNIOR COLLEGE,788106,Cachar
BENISON ENGLISH SCHOOL,788103,Cachar
NORTH EAST ACADEMY,788106,Cachar
EMMANUAL ENGLISH HIGHER SEC SCHOOL,788098,Cachar
ST. VINCENT'S SCHOOL,788098,Cachar
SUNRISE ENGLISH HIGH SCHOOL,788098,Cachar
BRILLIANT ENGLISH SCHOOL,788098,Cachar
ZAKIR HUSAIN MEMORIAL ACADEMY,788101,Cachar
MODERN PUBLIC SCHOOL,788098,Cachar
KIDS CARE SCHOOL,788126,Cachar
SHIROILILY RASMANI ENG SCHOOL,788130,Cachar
BRILLIANT ACADEMY,788101,Cachar
NEEM PUBLIC SCHOOL,788101,Cachar
PIONER ENGLISH SCHOOL,788101,Cachar
ASAPALLY ENGLISH SCHOOL,788106,Cachar
PARTNERSHIP MISSION S ENG SCH,788106,Cachar
MD. ENGLISH SCHOOL,788101,Cachar
H. R. L. MEMORIAL ACADEMY,788101,Cachar
ADARSHA VIDYAPITH,788101,Cachar
BANSKANDI JUNIOR COLLEGE,788101,Cachar
M.K.A.M. IDEAL ENGLISH SCHOOL,788101,Cachar
MAULANA ABUL KALAM AZAD ACADMY,788009,Cachar
MIDA'S ENGLISH SCHOOL,788126,Cachar
SOUTH BORAK ENGLISH SCHOOL,788126,Cachar
CATHERINE BOOTH ENGLISH SCHOOL,788104,Cachar
EDITH DOUGLAS ENG HIGH SCHOOL,788106,Cachar
HOLY VIEW CHILD ACADEMY,788013,Cachar
JAMES MEMORIAL ENGLISH SCHOOL,788104,Cachar
PARADISE ENGLISH SCHOOL,788106,Cachar
RIVERDALE SCHOOL,788130,Cachar
EBENEZER ACADEMY,788104,Cachar
RADIANT ACADEMY,788120,Cachar
HOLY LIFE SCHOOL,788120,Cachar
ADARSHA BIDYA NIKETAN,788117,Cachar
DR. B.R. AMBEDKAR MEMORIAL HIGH SCHOOL,788120,Cachar
SARASWATI VIDYA NIKETAN,788116,Cachar
THE SKYLARK SCHOOL,788116,Cachar
IDEAL ENGLISH SCHOOL DHOLAI,788114,Cachar
"VIVEK HOME ENGLISH MEDIUM SCHOOL, IRONGMARA",788003,Cachar
NAVODAYA VIDYANIKETAN,788115,Cachar
MONIERKHAL ADARSHA BIDYANIKETAN,788099,Cachar
SARASWATI VIDYANIKETAN NARSINGPUR,788115,Cachar
PROMODINI MEMORIAL ENGLISH MEDIUM SCHOOL,788115,Cachar
LITTLE FLOWER KIDS PLAY & SENIOR SCHOOL,788115,Cachar
PALLY UNNAYAN BIDYANIKETAN,788123,Cachar
"SARASWATI VIDYANIKETAN, PANIBHORA",788123,Cachar
VIVEKANANDA KENDRA VIDYALAYA BOROJALENGA,788117,Cachar
PRANABANANDA VIDYA MANDIR,788121,Cachar
LAKSHMI CHARAN HIGHER SECONDARY SCHOOL,788121,Cachar
SARASWATI VIDYA NIKETAN,788116,Cachar
MATHURAPUR PRESBYTERIAN ENGLISH SCHOOL,788114,Cachar
"AGRAGAMI VIDYALAYA, KAZIDAHAR",788115,Cachar
HOLY CROSS SCHOOL KABUGANJ,788121,Cachar
ORIENTAL SCHOOL,788120,Cachar
RAJGHAT ADARSHA BIDYALOY,788120,Cachar
TH. GUNAMANI ACADEMY,788101,Cachar
BARAK VALLEY SECONDARY SCHOOL,788101,Cachar
JNANJYOTI VIDYALAYA,788107,Cachar
ELEVEN STAR ENGLISH SCHOOL,788107,Cachar
KUMARCHERA MISSION ENGLISH MES,788107,Cachar
ADRASHA SHISHU NIKETAN,788107,Cachar
ALBERT EINSTEIN ENGLISH SCHOOL,788107,Cachar
JOHNSTONE ENGLISH SCHOOL II,788107,Cachar
BLOSSOMS ENGLISH SCHOOL,788107,Cachar
BETHEL ENGLISH SCHOOL,788107,Cachar
BINAPANI BIDYANIKETAN,788107,Cachar
MOULANA BAKHTIAR M.PRE.SR.MADRASSA,788101,Cachar
GRACE HIGH SCHOOL,788098,Cachar
STAR ENGLISH SCHOOL,788098,Cachar
SISHUNIKETAN ENGLISH SCHOOL,788107,Cachar
DIPHUCHARRA BARAK PRES. LPS,788107,Cachar
M A SENIOR SECONDARY SCHOOL,788101,Cachar
EUREKA ENGLISH SCHOOL,788107,Cachar
MURSHEDUL ALAM CHOUDHURY MEMORIAL ACADEMY,788005,Cachar
NEW OXFORD SCHOOL,788001,Cachar
HAPPY CHILD HIGH SCHOOL,788001,Cachar
NEW CAMBRIDGE RESIDENTIAL SCHOOL,788015,Cachar
ST THOMAS SCHOOL,788015,Cachar
ISHWARCHANDRA BIDYASAGAR MEMORIAL SCHOOL,788015,Cachar
RAMANUJ VIDYAMANDIR,788007,Cachar
SISHU TIRTHA HIGH SCHOOL,788001,Cachar
SISHU BITAN MONTESSORY SCHOOL,788001,Cachar
SARBODAYA BIDYALAYA,788002,Cachar
VIVEKANANDA JR.COLLEGE,788007,Cachar
HOLY CROSS HIGHER SECONDARY SCHOOL,788005,Cachar
SILCHAR COLLEGIATE SCHOOL,788003,Cachar
ORIENTAL HIGH SCHOOL,788004,Cachar
ASSAM RIFLES PUBLIC SCHOOL,788003,Cachar
MUKTASHREE HIGH SCHOOL,788005,Cachar
TINY TOTS HOME,788005,Cachar
PRANABANANDA HOLY CHILD HIGH SCHOOL,788005,Cachar
SOUTH POINT HIGH SCHOOL,788005,Cachar
NORTH-EASTERN H.S. SCHOOL,788012,Cachar
SARASWATI VIDYA NIKETON,788002,Cachar
DAFFODILS SCHOOLS,788002,Cachar
"SARASWATI VIDYA NIKETAN, DAKSHIN SILCHAR",788006,Cachar
NETAJI SUBHASH NAISHA VIDYALAY,788001,Cachar
PRANABANANDA VIDYAMANDIR,788007,Cachar
PRANABANANDA VIDYA MANDIR,788008,Cachar
MANIMALA NUESERY,788001,Cachar
SURENDRA MEMORIAL JUNIOR COLLEGE,788001,Cachar
PARAMOUNT ENGLISH ACADEMY,788009,Cachar
OXFORD SENIOR SECONDARY SCHOOL,788009,Cachar
RAMANUJ GUPTA JUNIOR COLLEGE,788004,Cachar
MD. ENGLISH SCHOOL,788001,Cachar
ARYAN JUNIOR COLLEGE,788005,Cachar
BARAK VALLY PUBLIC HIGH SCHOOL,788010,Cachar
SAINT CAPITANIO SR. SEC. SCHOOL,788010,Cachar
"VIVEKANANDA VIDYA NIKETAN, BAGMARA",788011,Cachar
JATINGAMUKH BADARPUR HIGH SCHOOL,788025,Cachar
J.B.ACADEMY,788025,Cachar
SRI SRI GNAN MANDIR SCHOOL,788083,Cachar
WEST SILCHAR ACADEMY,788110,Cachar
AL- NOOR PUBLIC SCHOOL,788110,Cachar
MOULANA ABDUS SUBHAN MEMORIAL ACADEMY,788110,Cachar
JATINGA SAMABAY H.S. SCHOOL,788011,Cachar
SEDO VIDYANIKETON,788110,Cachar
SEA BEACH ANGLO BENGALI ACADEMY,788110,Cachar
SARASWATI SHISHU NIKETAN,788111,Cachar
"VIVEKANANDA VIDYA NIKETAN, SAHARJUM",788026,Cachar
S.A. MEMORIAL ACADEMY,788025,Cachar
A.K. AZAD ANGLO BENGALI SCHOOL,788025,Cachar
KAMRUL ISLAM MEMORIAL ACADEMY,788025,Cachar
RAJNAGAR NURSERY SCHOOL,788026,Cachar
SRI SRI GNAN MANDIR,788025,Cachar
KUTI CHAND MEMORIAL ACADEMY,788025,Cachar
DISHA (CENTRE FOR MENTALLY CHALLANGED CHILDREN),788026,Cachar
NETAJI MEMORIAL INSTITUTE (H.S.),788008,Cachar
HAMID RAJA MEMORIAL HIGH SCHOOL,788008,Cachar
HOLY CROWN SCHOOL,788008,Cachar
ROBIJUL ALI ACADEMY,788025,Cachar
VIVEKANANDA GYANPITH HIGHER SECONDARY SCHOOL,788010,Cachar
"VIVEKANANDA KENDRA VIDYALAYA, RAMNAGAR",788003,Cachar
"DON BOSCO SCHOOL, SILCHAR",788003,Cachar
"BARAK VALLEY ACADEMY, BHAKATPUR",788005,Cachar
DELHI PUBLIC SCHOOL SILCHAR,788005,Cachar
PRERANA VIDYAMANDIR,788007,Cachar
JANA MANGAL HIGH SCHOOL,788007,Cachar
N. N. MEMORIAL ACADEMY,788099,Cachar
RADIANT MODEL H S SCHOOL,788006,Cachar
PRESIDENCY SENIOR SECONDARY SCHOOL,788006,Cachar
AL-SIRAT MISSION SCHOOL,788119,Cachar
SISHU BIDYAPITH,788116,Cachar
AGRADOOT VIDYANIKETAN,788013,Cachar
DYNAMIC ENGLISH SCHOOL,788099,Cachar
SARALA BIRLA GYAN JYOTI,788015,Cachar
"PALLY UNNAYAN VIDYANIKETAN,",788116,Cachar
RISING ANGLO BENGALI ACADEMY,788119,Cachar
NOVOJYOTI BIDYAPITH,788119,Cachar
"MAHARISHI VIDYA MANDIR, SILCHAR",788005,Cachar
DAKSHIN CACHAR ADARSHA BIDYANIKETON,788116,Cachar
RAMMANIKPUR HIGH SCHOOL,788116,Cachar
AGRODOOT ACADEMY,788119,Cachar
THE DIVINE ENGLISH SCHOOL,788119,Cachar
WOODLAND ENGLISH SCHOOL,788119,Cachar
SANTI VIDYA NIKETAN,788013,Cachar
PROGOTI VIDYANIKETAN,788013,Cachar
TUKARGRAM VLPS,788013,Cachar
MENIPUR ALAMIN ACADEMY,788112,Cachar
EESHAN BANGLA ACADEMY,788013,Cachar
"HOLY LIFE SCHOOL, SONABARIGHAT",788013,Cachar
SONAI ADARSHA VIDYA NIKETAN,788119,Cachar
SONAI NAVAJYOTI GYANPITH,788119,Cachar
HOLY LIGHT ENGLISH SCHOOL,788119,Cachar
BRIGHTER ENGLISH ACADEMY,788119,Cachar
SONAI JUNIOR COLLEGE,788119,Cachar
GYAN VIKASH VIDYALAYA,788119,Cachar
PRANABANANDA VIDYA MANDIR,788099,Cachar
AL AMIN BIDYA NIKETAN,788119,Cachar
AL-HERA ACADEMY,788119,Cachar
SURMAN ALI BARBHUIYA GYANPIT,788119,Cachar
AGRAGAMEE VIDYANIKETAN,788119,Cachar
PURBANCHAL MODEL ACADEMY,788119,Cachar
EAST SONAI JUNIOR COLLEGE,788119,Cachar
PRANABANANDA VIDYA MANDIR,788099,Cachar
AMRUJ ALI BIDYA BHABAN,788126,Cachar
SAHASRABDA VIDYA NIKETAN,788013,Cachar
AHAD AHMED HIGH SCHOOL,788013,Cachar
GYANKAMAL VIDYAPITH,788119,Cachar
SURENDRA SINGHA MEMORIAL ENGLISH SCHOOL,788003,Cachar
SARASWATI BIDYA NIKETAN,788002,Cachar
HOLY ROSE ENGLISH ACADEMY,788002,Cachar
NEHRU PUBLIC SCHOOL,788003,Cachar
OASIS ENGLISH MEDIUM SCHOOL,788030,Cachar
TAGORE PUBLIC SCHOOL,788009,Cachar
BRAJAPUR VIDYA NIKETAN SALGONGA,788031,Cachar
BLUE BELLS SCHOOL,788030,Cachar
KANCHAKANTI VIDYA MANDIR,788030,Cachar
