SchoolName,Pincode,District
ADARSHA BIDYAPITH CHAMAGURI,786621,Charaideo
BLOOMING BUDS SCHOOL,786621,Charaideo
JOYPUR JATIYA VIDYALAYA,786614,Charaideo
HOLY CHILD HIGH SCHOOL,786614,Charaideo
MAHMORA ADARSHA VIDYAPITH,786621,Charaideo
DIVINELY GRACED SCHOOL,786621,Charaideo
BALYA BIKASH BIDYALAYA,786613,Charaideo
KAZIRANGA ACADEMY,785685,Charaideo
SANKARDEV SISHU NIKETAN,785686,Charaideo
SANKARDEV SISHU NIKETON,785686,Charaideo
SIUKAPHA ACADEMY JUNIOR COLLEGE,785686,Charaideo
NATHAN BROWN MODEL ENGLISH SCHOOL,785686,Charaideo
ASOM KENDRIYA TRIBHASHA MAHA VIDYALAY,785014,Charaideo
"SHANKARDEV SHISU NIKETON,KALAKATA",785692,Charaideo
MORNING STAR ACADEMY,785692,Charaideo
SAPEKHATI JATIYA VIDYALAYA,785692,Charaideo
RADHAKRISHNAN ENGLISH ACADEMY,785692,Charaideo
SANKARDEV SISHU NIKETAN,785693,Charaideo
BORHAT JATIYA VIDYALAYA,785693,Charaideo
HOLY MOTHER ENGLISH SCHOOL,785693,Charaideo
GREEN VIEW ACADEMY,785693,Charaideo
"SHANKARDEV SHISHU NIKETON,MICHAJAN",785693,Charaideo
SANKARDEB SISHU NIKETON,785692,Charaideo
ARUNODOI ACADEMY JUNIOR COLLEGE,785692,Charaideo
BROOK FIELD ENGLISH SCHOOL,785692,Charaideo
ANGELICA ACADEMY,785692,Charaideo
SAPEKHATI COLLEGE,785692,Charaideo
KHIRESWAR GOGOI MEMORIAL JATIYA VIDYALAY,785694,Charaideo
BLOSSOM ACADEMY ENGLISH SCHOOL,785690,Charaideo
SRIMANTA SANKARDEV BIDYALAYA,785692,Charaideo
SRIMANTA SANKARDEV BIDYALAYA,785692,Charaideo
BOHUMUKHI JATIYA ADARSHA VIDYALAYA,785692,Charaideo
BENGENABARI JATIYA BIDYALAYA,785690,Charaideo
SUFFRY ADARSHA BIDYALAYA,785689,Charaideo
MAHMORA JATIYA VIDYALAYA,785691,Charaideo
RONGABAM JATIYA BIDYALAY,785691,Charaideo
BATAMARA JATIYA VIDYALAYA,785670,Charaideo
OIL INDIA HS SCHOOL,785669,Charaideo
NUR ADARSHA SISHU NIKETAN,785669,Charaideo
BISHRAMPUR JATIYA VIDYALAYA,785670,Charaideo
KHARGHORIA DOBA GIRLS HIGH SCHOOL,785673,Charaideo
DOBA ADARSHA JATIYA VIDYALAYA,785673,Charaideo
JATIYA VIDYALAYA,785686,Charaideo
TENGAPUKHURI JR COLLEGE,785686,Charaideo
SAINT JOSEPHS HIGH SCHOOL,785669,Charaideo
KACHUMARI JATIYA VIDYALAYA,785670,Charaideo
RANGOLI JATIYA VIDYAPEETH,785670,Charaideo
RANGOLI ADARSHA JATIYA VIDYALAYA,785670,Charaideo
DIBYALATA IDEL ACADEMY,785690,Charaideo
PATKAI SHANKERDEV S B NIKETAN,785673,Charaideo
BLOSSOMS PUBLIC SCHOOL,785689,Charaideo
GYANDEEP ADARSHA VIDYALAYA MATHARAPUR,785689,Charaideo
DIVINE VALLEY SCHOOL,785673,Charaideo
SONARI JUNIOR COLLEGE,785690,Charaideo
POLESTAR ACADEMY,785690,Charaideo
SONARI COMMERECE COLLEGE,785690,Charaideo
"SHANKARDEV SHISHU VIDYA NIKETAN,SONARI",785690,Charaideo
HAJEE OSIMUDDIN MISSION SCHOOL,785690,Charaideo
SONARI JATIYA VIDYALAYA,785690,Charaideo
ELITE ACADEMY JUNIOR COLLEGE,785690,Charaideo
ST. JOSEPH'S SCHOOL,785690,Charaideo
BRIGHT SIGHT ACADEMY,785690,Charaideo
UNIQUE POINT ACADEMY,785690,Charaideo
GYAN VIKASH ACADEMY,785689,Charaideo
MORNING STAR ENGLISH SCHOOL,785690,Charaideo
BOTUA PUKHURI JATIYA VIDYALAYA,785670,Charaideo
SUKAPHA JUNIOR COLLEGE,785690,Charaideo
LUIT VALLEY JUNIOR COLLEGE,785670,Charaideo
ST.XAVIERS ENGLISH SCHOOL,785690,Charaideo
SANKAR DEV SISHU NIKETAN,785691,Charaideo
RAJANI KANTA PHUKAN KENDRA VIDYALAYA,785670,Charaideo
SANKARDEV SISHU NIKETAN,785670,Charaideo
MORAN MAHILA MAHAVIDYALAYA,785670,Charaideo
BRONSON & BROWN ENG ACADEMY,785670,Charaideo
MODEL ENGLISH SCHOOL,785698,Charaideo
LAKWA JATIYA VIDYALAYA,785688,Charaideo
SANKARDEV SISHU NIKETAN,785685,Charaideo
SANKARDEV SISHU NIKETAN,785686,Charaideo
L.T.P.S. MODEL M.E.S. APGCL M.,785689,Charaideo
SANKARDEV SISHU NIKETAN MATHURAPUR,785689,Charaideo
