SchoolName,Pincode,District
CHALANTAPARA JATIYA BIDDYALOY,783388,Chirang
ST. CLARE OF ASSISI SCHOOL,783383,Chirang
BONGAIGAON H.S. SCHOOL (ENG. MED),783380,Chirang
BARPATHAR ANKUR JEUTI JATIYA VID,783385,Chirang
F.R. ACADEMY,783384,Chirang
BHANDARA JATIYA VIDYALAYA,783390,Chirang
JNANJYOTI JATIYA VIDYALYA,783392,Chirang
KRISHNANANDA ACADEMY-MANIKPUR,783392,Chirang
SANKARDEB KRISHNANANDA SISHU VIDYA NIKETAN,783392,Chirang
MANIKPUR JATIYA VIDYALAYA,783392,Chirang
KUSHLAIGURI JATIYA VIDYALAYA,783391,Chirang
MANAH JATIYA VIDYALAYA,783392,Chirang
"JNANJYOTI JATIYA VIDYALAYA, HAPACHARA",783390,Chirang
LITTLE FLOWER SCHOOL,783392,Chirang
SRI SRI GNAN MANDIR,783383,Chirang
JNANPITH ADARSHA VIDYALAYA(V),783392,Chirang
CHAKIHALI JATIYA VIDYALYA,783392,Chirang
NAVADAYA JATIYA VIDYALAYA,783390,Chirang
JNAN BIKASH JATIYA VIDYALAYA,783392,Chirang
M.A.K. AZAD JATIYA VIDYALAYA(SONAIKOLA),783391,Chirang
DREAM FLOWER SCHOOL,783391,Chirang
ARUNODOY JNYAN VIKASH ACADEMY,783391,Chirang
MOUNT EVEREST ENGLISH SCHOOL,783393,Chirang
ST. PETER'S ENGLISH MEDIUM SCHOOL,783393,Chirang
ZION ENGLISH HIGH SCHOOL,783393,Chirang
U.N.BRAHMA JATIYA VIDYALAYA,783390,Chirang
DAOGALU SWLWNGSALI LPS,783390,Chirang
JWNGMA RESIDENTIAL BODO MED. HS SCHOOL,783390,Chirang
SIJOU SWLWNGSALI,783390,Chirang
RAMAKRISHNA ACADEMY,783393,Chirang
"SWRJI ACADEMY, BAGARGAON",783390,Chirang
AMGURI ENGLISH SCHOOL,783393,Chirang
"BIJNI NOBLE ACADEMY, BIJNI",783390,Chirang
GURUKUL ACADEMY,783390,Chirang
SEVEN STAR RESIDENTIAL SCHOOL,783393,Chirang
"U.N. ACADEMY, BOROBAZAR",783393,Chirang
IDEAL ACADEMY,783393,Chirang
BAGDUAR ACADEMY,783393,Chirang
St. MARTIN'S HIGH SCHOOL,783393,Chirang
KANCHANJUNGA ENGLISH SCHOOL,783393,Chirang
BAGARGAON ANCHALIK JATIYA VIDYALAYA,783390,Chirang
JWNGTHI BAGAN SWLWNGSALI,783390,Chirang
UDAYAN JATIYA VIDYALAYA,783393,Chirang
ARUNODAYA JATIYA VIDYALAYA,783390,Chirang
BIJNI JATIYA VIDYALAYA,783390,Chirang
NAWARATNA ACADEMY JUNIOR COLLEGE,783390,Chirang
ANANDARAM BARUAH ACADEMY,783390,Chirang
NEED ACADEMY BIJNI,783390,Chirang
THE NEW LIFE ENG. MED. SCHOOL,783393,Chirang
SAHITYA RATHI MODEL ACADEMY,783393,Chirang
"GUIDE ACADEMY, BIJNI",783390,Chirang
SUNRISE MODEL ACADEMY,783390,Chirang
"DIAMOND ACADEMY, KAWATIKA",783390,Chirang
ADVAITA VIDYALAYA BIJNI,783390,Chirang
U. N. ACADEMY,783390,Chirang
MANAS VALLEY PUBLIC SCHOOL(VEN,783391,Chirang
"BODOSA ACADEMY, PANBARI",783391,Chirang
"JAYKHLONG ACADEMY, PANBARI",783391,Chirang
ZION ENGLISH SCHOOL,783393,Chirang
UPENDRA NATIONAL ACADEMY.,783393,Chirang
THULUNGA ACADEMY,783385,Chirang
DAKSHIN BIJNI JNANADOYA JATIYA VIDY,783390,Chirang
GURUDEV KALICHARAN BRAHMA ACADEMY,783393,Chirang
U.N.ACADEMY.,783393,Chirang
JESUS MARY SCHOOL,783390,Chirang
PALENGBARI GIRLS HIGH SCHOOL,783391,Chirang
NABADAYA JATIYA BIDDALAYA,783391,Chirang
JAWAHARLAL NEHRU EXCELLENT ACADEMY,783391,Chirang
ALUKHUNDA JATIYA VIDYALAYA,783391,Chirang
JNANJYOTI EXCELLENT ACADEMY,783391,Chirang
HOLY CHILD SENIOR SECONDARY SCHOOL,783390,Chirang
GLOBAL MODERN ACADEMY,783390,Chirang
SHANKARDEV SHISHU/VIDYA NIKETAN,783390,Chirang
BHETAGAON DOTURI HARIZON HIGH SCH.,783390,Chirang
"NORTH EAST MILITARY SCHOOL, BIJNI",783390,Chirang
SRI SRI GNAN MANDIR VIDYALAYA,781519,Chirang
BODOSA ACADEMY,783390,Chirang
ST. JOSEPH CLUNY SCHOOL (PVT),783375,Chirang
ACHARYAKULAM,783385,Chirang
SHYAM MEMORIAL PVT HIGH SCHOOL,783375,Chirang
FAITH SCHOOL,783375,Chirang
SUNSHINE ENGLISH SCHOOL (PVT),783375,Chirang
BETHESDA ENGLISH SCHOOL,783394,Chirang
J.D. WILLIAMS ENG SCHOOL (PVT),783394,Chirang
GYANPURI RUPAMONI BATHOU HS (PVT),783372,Chirang
EMMANUEL ENGLISH SCHOOL,783393,Chirang
REV RIKUM MEMORIAL ENG SCHOOL (PVT),783394,Chirang
RUNIKHATA BATHOU VIDYALAYA (PVT),783375,Chirang
"U.N. ACADEMY, RUNIKHATA",783375,Chirang
DONBOSCO SCHOOL (PVT),783339,Chirang
DON BOSCO SCHOOL (RP),783394,Chirang
CENTRE FOR NEW LEARNING (LWS),783394,Chirang
OUGURI DON BOSCO SCHOOL (PVT),783394,Chirang
MAIGONG BATHOU FORAISHALI SCHOOL,783394,Chirang
MILAN JYOTI JATIYA VIDYALAYA,783393,Chirang
BILASHPUR PADMAPUR JATIYA BIDYALAYA,783385,Chirang
J.S.B. PVT ACADEMY,783372,Chirang
NAYAN JYOTI JATIYA VIDYALAYA,783385,Chirang
EDULAND PUBLIC SCHOOL,783385,Chirang
G.D. BRAHMA BOARDING SCH (PVT),783375,Chirang
FRANCIS ASSISI SCHOOL,783373,Chirang
U. N. ACADEMY KAJALGAON,783385,Chirang
VIVEKANANDA KENDRA VIDYALAYA KAJALGAON,783385,Chirang
