SchoolName,Pincode,District
PATHSALA SIKSHAPITH,781325,Darrang
SARVODAYA NATIONAL ACADEMY,781337,Darrang
HAPPY CHILD ENGLISH SCHOOL,784145,Darrang
"JATIYA BIDYALAYA, SIPAJHAR",784145,Darrang
SANKARDEV SISHU BIDYA NIKETAN,784145,Darrang
PACHIM DARRANG ACADEMY(JR.COLLEGE),784145,Darrang
TRINITY JUNIOR SCIENCE COLLEGE,784145,Darrang
SIPAJHAR JUNIOR COLLEGE,784145,Darrang
SANKAR AZAN ZENITH ACADEMY,784145,Darrang
JNAN JYOTI JATIYA BIDYALAYA,784145,Darrang
JATIYA BIDYALAYA ASSAM,784145,Darrang
LAKSHMINATH BEZBARUA JATIYA BI,784145,Darrang
BARLUIT JATIYA BIDYALAYA,784145,Darrang
"SANKAR-AJAN ACADEMY ,SANOWA",784145,Darrang
VIVEKANANDA ACADEMY,784148,Darrang
SANKARDEV SISHU NIKETAN,784148,Darrang
DUNI JATIYA BIDYALAYA,784148,Darrang
PARADISE ENGLISH SCHOOL,784144,Darrang
"SANKARDEV SISHU NIKETAN, DIPILA",784144,Darrang
GANESH DEKA SISHU NIKETAN,784144,Darrang
PASCHIM DARRANG JATIYA VIDYALA,784144,Darrang
DUMUNICHOWKI JATIYA BIDYALAYA,784145,Darrang
DUMUNICHOWKI ENGLISH SCHOOL,784145,Darrang
KURUA ANCHALIK JATIYA BIDYALAY,784145,Darrang
KHALIHAI ANCHALIK ADARSHA VIDYALAYA,784145,Darrang
RUPKNOWAR JATIYA BIDYALAYA,784145,Darrang
CHENGELIAJHAR JATIYA BIDYALAYA,784145,Darrang
BARDEUL JATIYA BIDYALAYA,784145,Darrang
PARAMOUNT ENGLISH SCHOOL,784145,Darrang
NABA DEEP ADARSHA BIDYALAYA,784145,Darrang
NOVODAY JATIYA VIDYALAYA,784145,Darrang
NABONUR ADARSHA JATIYA BIDYALAYA,784145,Darrang
NO 3 DHALPUR JATIYA VIDYALAYA,784145,Darrang
"JATIYA VIDYALAYA, PATHARIGHAT",784144,Darrang
LUIT VALLEY ACADEMY,784145,Darrang
BARAMPUR JATIYA BIDYALAYA,784144,Darrang
SRIMANTA SANKARDEV VIDYALAYA,784147,Darrang
DEOMORNOI MODEL ENGLISH SCHOOL,784147,Darrang
KENDRIYA JATIYA BIDYALAYA PACHIM MANGALDAI,784125,Darrang
JONJYOTI JATIYA BIDYALAYA,784125,Darrang
"JNAN BIKASH JATIYA BIDYALAYA , BOROLAKHAITY",784145,Darrang
SOBHA RANEE JATIYA BIDYALAYA,784525,Darrang
JNAN BIKASH JATIYA BIDYALAYA,784529,Darrang
JNAN MANDIR JATIYA VIDLAYA,784529,Darrang
ANUNDORAM BAROOAH JATIYA BIDYALAYA,784125,Darrang
BANDIA JATIYA BIDYALAYA,784125,Darrang
ANUNDORAM BAROOAH JR. COLLEGE,784125,Darrang
GURUKUL GROUP OF EDUCATIONAL WING,784529,Darrang
DAHEE JATIYA VIDYALAYA,784529,Darrang
"VIVEKANANDA KENDRA VIDYALAYA, MANGALDAI, DANHEE",784529,Darrang
PURNA JATIA BIDYALAY,784529,Darrang
DIGHIRPAR JNANDEEP JATIYA BIDYALAYA,784144,Darrang
"GURUKUL JATIYA VIDYALAYA, MOWAMARI",784125,Darrang
MANGALDOI MAHARISHI VIDYA MANDIR,784125,Darrang
SRIMANTA SANKARDEV BIDYALAYA,784125,Darrang
B. BARUAH JATIYA BIDYALAYA MANGALDAI,784125,Darrang
NERIM CHALLENGE ACADEMY SENIOR SECONDARY SCHOOL,784125,Darrang
"HOLY CHILD PUBLIC SCHOOL, MANGALDAI",784125,Darrang
"PREMIER ACADEMY, MANGALDAI",784125,Darrang
JNAN VIKASH ACADEMY,784125,Darrang
MANGALDAI DON BOSCO HIGH SCHOOL,784125,Darrang
DIGANTA DEKA MEMORIAL KID'S WORLD SCHOOL,784125,Darrang
NORTH EAST ACCEDMY,784125,Darrang
BIDYANIKETAN ENGLISH SECTION,784125,Darrang
ASSAM PUBLIC SCHOOL,784125,Darrang
GYANSAGAR SENIOR SECONDARY SCHOOL,784125,Darrang
DARRANG ACADEMY JR.COLLEGE,784125,Darrang
SANKARDEV SISHU VIDYA NIKETAN,784125,Darrang
BHUPENDRA NARAYAN DEV JATIYA BIDLAYA,784125,Darrang
BRILIANT ACADEMY,784125,Darrang
GLORIOUS PUBLIC SCHOOL,784125,Darrang
SANKARDEV SISU NIKETAN JALJALI,784529,Darrang
"ASOM JATIYA VIDYALAYA, OUTALA",784525,Darrang
"SANKARDEV SISHU NIKETAN, OUTALA",784525,Darrang
JNYAN BIJNYAN JATIYA BIDYALAYA,784529,Darrang
SANKARDEV SISHU NIKETAN(AULACHOWKA),784529,Darrang
PACHIM MANGALDAI JATIYA VIDYALAYA,784529,Darrang
JAMAL UDDIN MEMORIAL ACADEMY,784190,Darrang
SAMAJ KALAYAN JATIYA VIDYALAYA,784125,Darrang
