SchoolName,Pincode,District
A.S.D JR COLLEGE,787034,Dhemaji
JATIYA VIDYALAYA,787026,Dhemaji
SANKARDEV SISHU NIKETAN SALMARI,787057,Dhemaji
CHRIST KING HIGH SCHOOL,787034,Dhemaji
SUVIDYA R.E.M HIGH SCHOOL,787034,Dhemaji
NATIONAL ACADEMY HIGH SCHOOL,787034,Dhemaji
JOYRAMPUR ACADEMY,787057,Dhemaji
LITTLE STAR ENGLISH SCHOOL,787034,Dhemaji
PRISCILLA ENGLISH SCHOOL (V),787057,Dhemaji
M. K. JUNIOR COLLEGE,787034,Dhemaji
SHANKARDEVA SHISHU NIKETAN MOHARI CAMP,787034,Dhemaji
DIAMOND MISSION SCHOOL,787034,Dhemaji
U N ACADEMY SCHOOL,787034,Dhemaji
LITTLE GOD MODEL SCHOOL,787034,Dhemaji
BORDOLONI KENDRIYA JATIYA VIDYALAYA,787026,Dhemaji
SANKARDEV SISHU NIKETON (V),787026,Dhemaji
A.G.SUPERB SCHOOL,787034,Dhemaji
ADARSHA TRIBAL HIGH SCHOOL,787034,Dhemaji
ALL ASSAM JANAJATI HIGH SCHOOL,787034,Dhemaji
GYANJYOTI ACADEMY,787034,Dhemaji
CHRIST JYOTI HIGH SCHOOL,787034,Dhemaji
ST. TERESA'S ACADEMY,787057,Dhemaji
BRAHMAPUTRA VIDYALAYA,787059,Dhemaji
SAINT FRANCIS DE SALES SCHOOL,787057,Dhemaji
DHEMAJI JATIYA BIDYALAY,787057,Dhemaji
SAINT MARY'S ENGLISH MEDIUM SCHOOL,787057,Dhemaji
DHEMAJI PUBLIC SCHOOL,787057,Dhemaji
KARHA KAN JATIYA VIDYALAYA,787057,Dhemaji
"SANKARDEV SISHU NIKETON, JAMUGURI PANCH ALI",787057,Dhemaji
DIAMOND ENGLISH SCHOOL DIMOW,787059,Dhemaji
P DHEMAJI JATIYA VIDYALAYA,787057,Dhemaji
BORACHIRA HIGH SCHOOL,787057,Dhemaji
VIVEKANANDA KENDRA VIDYALAYA,787057,Dhemaji
KIRAN ACADEMY,787057,Dhemaji
ST. ANDREW JS SCHOOL,787059,Dhemaji
BINAPANI SANSKRIT TOL,787057,Dhemaji
THE GURUKUL,787057,Dhemaji
MADHAVI JATIYA VIDYADEEP KULAJAN,786110,Dhemaji
