SchoolName,Pincode,District
ADARSHA JATIYA VIDYALAYA (PVT),783345,Dhubri
"SANKARDEV SISHU NIKETAN (PVT), RUPSHI",783331,Dhubri
BALAJAN JATIYA VIDYALYA,783331,Dhubri
"SANKAR AZAN JATIYA VIDYALAYA, BALAJAN",783331,Dhubri
MILI JULI ADARSHA BIDYALYA,783334,Dhubri
SANKARDEV SHISHU NIKETAN,783334,Dhubri
RAKHALPATH SANSKRIT BIDYAPITH,783334,Dhubri
PROTAPGANJ JATIO BIDYALYA,783334,Dhubri
BELOMOYEE ROY SANSKRIT TOL,783334,Dhubri
AL-SALAM ACADEMY,783334,Dhubri
KISMAT HASDAHA HIGHER SECONDARY SCHOOL(2),783334,Dhubri
"SANKAR DEV SHISHU NIKETAN, DEBDEBI",783334,Dhubri
MAHESH CHANDRA ACADEMY HIGHER SECONDARY SCHOOL,783331,Dhubri
SRIMANTA SANKARDEV BIDYALAYA DUMARDAHA,783331,Dhubri
JYOTI SURYA JATIYA VIDYALAYA,783331,Dhubri
"SIMANTA JATIYA BIDYALAYA, KANURI (BISHKHOWA)",783334,Dhubri
SANKAR JYOTI JATIYA BIDYALAYA,783334,Dhubri
KALAHAT JATIYA BIDYALYA,783334,Dhubri
HARIMOHAN SANSKRIT VIDYAPITH,783334,Dhubri
NABAJYOTI SENIOR SECONDARY SCHOOL,783334,Dhubri
SANKAR AZAN JATIYA BIDYALAYA,783334,Dhubri
SANKARDEV SISHU NIKETAN,783334,Dhubri
NALIA JATIYA VIDYALAYA,783334,Dhubri
TAPOBAN JATIYA VIDYALAYA,783334,Dhubri
"ESHATUL ULOOM ACADEMY, GOLAKGANJ",783334,Dhubri
BIRAT NAGAR JATIYA BIDYALAYA,783334,Dhubri
J.T.S ENGLISH MEDIUM SCHOOL,783334,Dhubri
BIRAT NAGAR CHARIALI SANKAR AZAN ADARSHA VIDYALAYA,783334,Dhubri
SOULMARI JATIYA VIDYALAYA,783334,Dhubri
KACHARIHAT JATIYA BIDYALAYA,783334,Dhubri
SHAHABGANJ JATIYA BIDYALYA,783331,Dhubri
J.C.P.JATIYA VIDYALAYA GOLAKGANJ,783334,Dhubri
SANKAR DEV SHISHU ARU VIDYA NIKETAN,783334,Dhubri
NOOR ADARSHA JATIYA BIDYALYA,783334,Dhubri
B.C.M CONVENT SCHOOL,783334,Dhubri
GOLAKGANJ PUBLIC SCHOOL,783334,Dhubri
"SABITA RANI PRODHANI SANSKRIT TOL, GOLAKGANJ",783334,Dhubri
RIMA ADARSHA JATIYA VIDYALAYA,783334,Dhubri
RATIADAHA HIGHER SECONDARY SCHOOL(2),783334,Dhubri
"SHANKARDEV SHISHU NIKETAN, RATIADAHA",783334,Dhubri
SANKARDEV SISHU NIKETON,783334,Dhubri
SHISHU SHIKSHA JATIYA VIDYALAYA,783334,Dhubri
A. RAHMAN JATIYA BIDYALAY,783335,Dhubri
SAT SEWRA JATIYA BIDYALAYA,783335,Dhubri
BIDYARDABRI SANKAR AZAN ADARSHA BIDYALAYA,783335,Dhubri
SANKAR AZAN JATIYA BIDYALAYA,783335,Dhubri
SUN BEAM ENGLISH ACADEMY,783335,Dhubri
MIFTAHUL ULOOM ACADEMY,783335,Dhubri
SANKAR AZAN ADARSHA B. SAGOLIA,783335,Dhubri
NORTH EAST ENGLISH SCHOOL,783335,Dhubri
SANKAR DEVA SISHU NIKETAN CHHAGOLIA,783335,Dhubri
"ANNESHA SIKSHA NIKETAN, DAFARPUR",783334,Dhubri
SRIMANTA SANKARDEV VIDYLAYA,783335,Dhubri
SANKAR DEV SISHU NIKETAN HALAKURA,783335,Dhubri
SANKARDEVA JATIYA BIDYALAYA JINKATA,783335,Dhubri
GANDHIJI JATIYA BIDYALAYA,783335,Dhubri
SANKAR AZAN ADHARSHA BIDYALAY,783335,Dhubri
PRAGJYOTISH VIDYAPIT,783335,Dhubri
JNYANDEEP JATIYA BIDYALAYA,783335,Dhubri
DHIRESWR CAKRABARTY JATIYA VIDYALAY,783334,Dhubri
"JANANI JATIYA BIDYALAYA, HAZRATGANJ",783334,Dhubri
NORTH KACHAKHANA SANKAR J.J. BIDYALAY,783331,Dhubri
