SchoolName,Pincode,District
ADARSHA JATIYA BIDYALAYA,787031,Dibrugarh
ZEND ACADEMY SENIOR SECONDARY SCHOOL,787031,Dibrugarh
SARKAR JATIYA BIDYALAYA,787051,Dibrugarh
SANKERDEV SISHU NIKETON,787052,Dibrugarh
CHABOTI JANAKALYAN JUNIOR COLLEGE,787051,Dibrugarh
PAHUMARA JATIA BIDYALAYA,787031,Dibrugarh
VIVEKANANDA PUBLIC SCHOOL,786183,Dibrugarh
ST. XAVIER'S SCHOOL,786153,Dibrugarh
VIDYA NIKETAN,786170,Dibrugarh
"ST. MARY'S SCHOOL, DOOMDOOMA",786153,Dibrugarh
LEARNERS HIGH SCHOOL,786153,Dibrugarh
LEARNERS' SENIOR SECONDARY,786153,Dibrugarh
ST. FRANCIS SCHOOL,786153,Dibrugarh
THE LITTLE STARS SR. SE SCHOOL,786171,Dibrugarh
PLAY HOUSE SCHOOL,786171,Dibrugarh
SANKARDEV SISHU NIKETAN,786151,Dibrugarh
BARBARUAH JATIYA VIDYALAYA,786007,Dibrugarh
PURVODAY JATIYA VIDYALAYA,786007,Dibrugarh
BARBARUAH JAMIRA JUNIOR COLLEGE,786007,Dibrugarh
GYANJYOTI SENIOR SECONDARY SCHOOL,786007,Dibrugarh
BRILLIANT SCHOLARS ACADEMY,786007,Dibrugarh
DIVAJYOTI ACADEMY,786004,Dibrugarh
GYANBHARATI ENGLISH ACADEMY,786007,Dibrugarh
KANAK CHANDRA JATIYA VIDYALAYA,786003,Dibrugarh
LARUA JAMIRAH JATIYA BIDYALAYA,786004,Dibrugarh
KALAKHOWA ADARSHA JATIYA VIDYALAYA,786007,Dibrugarh
JOKAI ADARSHA JATIYA BIDYALAYA,786003,Dibrugarh
SHIKSHA VALLEY SCHOOL,786003,Dibrugarh
SACRED GROVE ACADEMY,786001,Dibrugarh
KOTOHA MODEL SCHOOL,785676,Dibrugarh
HANDIQUE JATIYA BIDYALAYA,785676,Dibrugarh
