SchoolName,Pincode,District
ST. DOMINIC SAVIO CBSE SCHOOL,782460,Dima Hasao
CONVENTION ENGLISH SCHOOL,782460,Dima Hasao
ST MARY'S SCHOOL DALDALI,782460,Dima Hasao
REDEEMER ENGLISH SCHOOL,782460,Dima Hasao
RONGALI CONVENTION ENG. SCHOOL,782461,Dima Hasao
J B HAGJER MEMORIAL JR. COLLEGE,782448,Dima Hasao
ST. XAVIER'S SCHOOL DIYUNGBRA,782448,Dima Hasao
DVA PUBLIC ENGLISH LPS,788931,Dima Hasao
DIYUNG VALLEY ENGLISH SCHOOL,788931,Dima Hasao
RAJA GOVINDH CHANDRA AARSH GURUKULAM,782448,Dima Hasao
CALVARY ENGLISH SCHOOL,788931,Dima Hasao
HAMRI SARASWATI VIDYA MANDIR,788819,Dima Hasao
LONGTAR ENGLISH SCHOOL,788931,Dima Hasao
HERAKA SARASWATI VIDYA MANDIR SCHOOL,788819,Dima Hasao
NZEBAK ENGLISH SCHOOL,788819,Dima Hasao
SENGYA SAMBHUDHAN SCHOOL,788819,Dima Hasao
GREEN WOOD ENGLISH SCHOOL,788819,Dima Hasao
SENGYA SAMBUDHAN HS,788819,Dima Hasao
SARASWATI VIDYA MANDIR,788819,Dima Hasao
DONBOSCO ENG SCHOOL,788819,Dima Hasao
NGAIBANTLANG PRESBYTERY HIGH SCHOOL,788818,Dima Hasao
COVENANT HIGH SCHOOL,788819,Dima Hasao
L.J.V INSTITUTE OF EDUCATION,788818,Dima Hasao
STEP BY STEP PYF SCHOOL,788819,Dima Hasao
GIGAL STANDARD ENGLISH SCHOOL,788818,Dima Hasao
COVENANT ENGLISH SCHOOL,788818,Dima Hasao
TRINITY SCHOOL,788819,Dima Hasao
BETHANY ENGLISH SCHOOL,788818,Dima Hasao
VIVEKANANDA VIDYALAYA MES,788819,Dima Hasao
ANANDA MARGA SCHOOL,788819,Dima Hasao
ELARZET ACADEMY,788819,Dima Hasao
COVENENT ENGLISH SCHOOL,788820,Dima Hasao
ASSAM RIFLES ENGLISH SCHOOL,788820,Dima Hasao
B.T.NELMES ENGLISH LPS,788819,Dima Hasao
PRESBYTERIAN STANDARD ENGLISH SCHOOL,788830,Dima Hasao
DITUING MEMORIAL ENGLISH SCHOOL,788830,Dima Hasao
SRI SRI GANAN MANDIR SCHOOL,788830,Dima Hasao
HAJAICHAK GERLAN ENG LPS,788831,Dima Hasao
HEJAICHAK (H) LPS,788831,Dima Hasao
MOUNT ZION HIGH SCHOOL,788830,Dima Hasao
EVERGREEN ENGLISH SCHOOL,788830,Dima Hasao
COVENANT ENGLISH SCHOOL,788830,Dima Hasao
SRI SRI GAN MANDIR LPS KIPEILUA,788830,Dima Hasao
GOODWILL SCHOOL,788830,Dima Hasao
STEP BY STEP HIGH SCHOOL,788830,Dima Hasao
YOUNG PILLARS SCHOOL,788830,Dima Hasao
DON BOSCO SCHOOL,788830,Dima Hasao
COVENANT ENGLISH SCHOOL,788830,Dima Hasao
SRI SRI GNAN MANDIR,788831,Dima Hasao
DEHANGI SARASWATI VIDYA MANDIR,788819,Dima Hasao
RENGBONGHOM ENGLISH SCHOOL,788931,Dima Hasao
HIMALAYA ACADEMY,788931,Dima Hasao
CARMEL STANDARD SCHOOL,788931,Dima Hasao
UMRANGSO ROYAL ACADEMY,788931,Dima Hasao
ALL SAINTS ENGLISH SCHOOL,788931,Dima Hasao
SACRED HEART HIGH SCHOOL,788931,Dima Hasao
SMT.JOMUNA DEVI SARASWATI VIDYA MANDIR,788931,Dima Hasao
DIMARAZI ENGLISH SCHOOL,788931,Dima Hasao
BPC SYNOD SCHOOL,788931,Dima Hasao
STANDARD MES,788931,Dima Hasao
ST.JOSEPH ENGLISH SCHOOL,788931,Dima Hasao
AKLAR ENGLISH SCHOOL,788931,Dima Hasao
LOYOLA SCHOOL,788831,Dima Hasao
T.M.G.S. HIGH SCHOOL,788819,Dima Hasao
SARASWATI GURUKUL,788832,Dima Hasao
JNARING HINDU ACADEMY,788834,Dima Hasao
K.S.THAOSEN SARASWATI VIDYA MANDIR,788832,Dima Hasao
ST. XAVIER'S SCHOOL,788831,Dima Hasao
SAINJA VALLEY HIGH SCHOOL,788831,Dima Hasao
DIMASA SARASWATI VIDYA MANDIR,788831,Dima Hasao
HALODAO MEMORIAL ST MARY SCHOOL,788832,Dima Hasao
EVER GREEN HIGH SCHOOL,788831,Dima Hasao
PRANABANANDA VIDYA MANDIR HS,788831,Dima Hasao
ST. XAVIER'S SCHOOL BASABARI,788831,Dima Hasao
SINGMIRJENG LONGMIRJENG ACADEMY,782485,Dima Hasao
