SchoolName,Pincode,District
JNAN BIKASH JAITYA VIDYALAYA,783371,Goalpara
NOVODWEEP ADARSHA BIDYAPITH,783371,Goalpara
SANKARDEV SHISU VIDYA NEKATAN,783126,Goalpara
SANKARDEV SHISHU NIKETION,783125,Goalpara
"NOVA ACADEMY, BUDUCHAR",783125,Goalpara
CHARIGAON JATIYA BIDYALAYA,783126,Goalpara
SHANKARDEV SHISHU BIDYA NIKETAN,783125,Goalpara
SANKARDEV SHISHU VIDYANIKETAN KARIPARA,783125,Goalpara
MANIKPUR JATIYA BIDYALAYA,783126,Goalpara
SANKARDEV SISHU NIKETAN,783126,Goalpara
KRISHNAI PUBLIC SCHOOL,783126,Goalpara
"SHANKARDEV SHISHU NIKETAN, LALABORI",783126,Goalpara
WISDOM ACADEMY,783125,Goalpara
JANKALYAN JATIO BIDYALAYA SALMARA,783125,Goalpara
NAYAPARA JATIYA BIDYALAYA,783125,Goalpara
EKALAVYA ENGLISH SCHOOL,783125,Goalpara
ST SEBASTIANS SCHOOL,783125,Goalpara
ST XAVIERS SCHOOL,783126,Goalpara
DR SARVEPALLI RADHA KRISHNAN ACADEMY,783126,Goalpara
KRISHNAI MONTESSORY HIGH SCHOOL,783126,Goalpara
JATIYA BIDYALAYA AHMODNAGAR,783126,Goalpara
SUTARPARA JATIYA BIDYALAYA,783125,Goalpara
MOTHER TERESA JATIYA BIDYALAYA,783125,Goalpara
TUKURA JATIYA BIDYALAYA,783126,Goalpara
GREEN HILLS ACADEMY,783126,Goalpara
SANKARDEV SHISHU NIKETAN,783101,Goalpara
"SHANKARDEV SISHU NIKETAN,SALPARA KALPANI",783126,Goalpara
N. SIMLITALA JATIYA VIDYALAYA,783130,Goalpara
KADALDHOWA JATIYO VIDYALAYA,783101,Goalpara
NOVOJYOTI JATIYA BIDYALAYA,783101,Goalpara
ABADIL MODEL INSTITUTION (ENGLISH MEDIUM),783101,Goalpara
GURIA HEUMPIPE JATIYA BIDYALAYA,783126,Goalpara
SANKARDEV SHISHU VIDYA NIKETAN,783125,Goalpara
KRISHNAI JATIYA BIDYALAYA,783126,Goalpara
BRIGHT FUTURE ACADEMY,783101,Goalpara
AMAR JATIYA BIDYALAYA SARAPARA,783125,Goalpara
DAMRIBHASA NEHRU JATIYA BIDYALAYA,783330,Goalpara
JALESWAR ENGLISH SCHOOL,783132,Goalpara
BRIGHT LIFE ACADEMY,783132,Goalpara
BAPUJI JATIO BIDYALAYA,783330,Goalpara
NOVA JAGARAN JATIYA BIDYALAYA,783132,Goalpara
ADARSHA JATIYA BIDYALAYA,783132,Goalpara
"ABUL KALAM AZAD ACADEMY, POITARI",783129,Goalpara
SOWARI POITARI HIGH SCHOOL,783129,Goalpara
SAZ ACADEMY,783129,Goalpara
NAVO JOYOTI JATIA VIDYALAYA,783129,Goalpara
NATIONAL ENGLISH ACADEMY,783132,Goalpara
"ADARSHA JATIYA BIDYALAYA, GOURNAGAR",783132,Goalpara
"SANIK ACADEMY, GOURNAGAR",783132,Goalpara
"BANAMALI JATIYA BIDYALAYA, HASHDOBA",783129,Goalpara
POLARS ACADEMY,783129,Goalpara
SUN LIGHT JATIYA BIDYALAYA,783129,Goalpara
HURKACHUNGI ADARSHA JATIYA BIDYALAYA,783129,Goalpara
GYAN BIKASH JATIYA BIDYALAYA,783129,Goalpara
"NABAJYOTI ADARSHA BIDYALAYA, KATARIHARA",783132,Goalpara
MASUM GYAN JYOTI JATIO BIDYALAYA,783132,Goalpara
SCHOLAR ACADEMY,783132,Goalpara
