SchoolName,Pincode,District
SANKARDEV SISU VIDYA NIKETON,785611,Golaghat
RONGAMATI BOHUMUKHI BIDYALOYA,785611,Golaghat
BADULIPAR JR. COLLEGE,785611,Golaghat
"SHANKARDEV SISHU NIKETON, BADULIPAR",785611,Golaghat
DIMBESWAR GOGOI JATIYA VIDYALAYA,785622,Golaghat
ANKUR JYOTI BIDYAPITH,785622,Golaghat
SANKARDEV SISU NIKETON,785621,Golaghat
JATIYA BIDYALAY HATIAKHOWA,785626,Golaghat
BISHNUJYOTI VIYAPEETH,785626,Golaghat
"SANKARDEV SISHU NIKETON, ALAMI",785611,Golaghat
BRAHMAPUTRA JATIYA VIDYALAYA,785611,Golaghat
SANKARDEV SISU NIKETAN,785621,Golaghat
SANKAR DEV SISHU NIKETON,785619,Golaghat
"ADARSHA VIDYAPEETH, BHOLAGURI",785611,Golaghat
ROYAL OAK JR. SCHOOL,785618,Golaghat
JANAK JYOTI GYANPEETTH,785614,Golaghat
ADHAR SATRA HIGH SCHOOL,785702,Golaghat
ADHAR SATRA JATIYA BIDYALAYA,785621,Golaghat
SANKARDEV SISHUBIDYA NIKETAN,785618,Golaghat
JATIYA VIDYALAYA KAMARBANDHA,785625,Golaghat
SANKARDEV SHISHU NIKETON,785625,Golaghat
VIDYARTHI BHABAN JR COLLEGE,785705,Golaghat
JYOTI BALYA NIKETAN GOMARI GUR,785705,Golaghat
URAN PAKHI BHAWAN,785610,Golaghat
HOLY CHILD,785702,Golaghat
SRIMANTA SANKARDEV VIDYALAY,785631,Golaghat
R.K.MEMORIAL ENGLISH SCHOOL,785705,Golaghat
BORKACHARI JATIYA BIDYALAYA,785631,Golaghat
FURKATING SENIOR SECONDARY SCHOOL,785610,Golaghat
ATHGAON CHARIALI JATIYA VIDYALAYA,785702,Golaghat
ATHKHELIA URAN PAKHI BHAWAN,785631,Golaghat
ATHKHELIA JATIYA VIDYALAYA,785631,Golaghat
BALIJAN URAN PAKHI BHAWAN,785603,Golaghat
VIDYA VIHAR BALIJAN,785603,Golaghat
LUKAPRIYA JATIYA BIDYALAY,785603,Golaghat
JAMUGURI ADARSHA JATIYA VIDYAPEETH,785603,Golaghat
WOKHA GORANGA JATIYA VIDYALAYA,785603,Golaghat
BISWESWAR PHUKAN Jr. COLLEGE,785702,Golaghat
FLOWAR VALLEY ACADEMEY,785705,Golaghat
POTALI BORA SISHU NIKETON,785705,Golaghat
SRIMANTA SANKARDEV BIDYALAYA,785705,Golaghat
SANKARDEV PUBLIC SCHOOL,785705,Golaghat
NEW LIFE MISSION SCHOOL,785702,Golaghat
GYANJYOTI JATIYA VIDYALAYA,785603,Golaghat
BALYA BIKASH KENDRA,785702,Golaghat
GYAN VIGYAN ACADEMY,785621,Golaghat
SANKARDEV SISHU VIDYA NEKETAN,785621,Golaghat
JNANPITH JATIYA VIDYALAYA,785621,Golaghat
SACRED HEART HIGH SCHOOL,785621,Golaghat
VIVEKANANDA KENDRA VIDYALAYA,785621,Golaghat
