SchoolName,Pincode,District
"JAFARGARH PUBLIC HIGH SCHOOL, ISAMOTI",788723,Hailakandi
DR. APJ ABDUL KALAM GLOBAL HIGHER SECONDARY SCHOOL,788719,Hailakandi
ALGAPUR ADARSHA BIDYAPITH,788150,Hailakandi
OAKLAND ACADEMY,788150,Hailakandi
VIVEKANANDA ACADEMY,788150,Hailakandi
SISHU MANGAL HIGH SCHOOL,788150,Hailakandi
MERIT ACADEMY,788150,Hailakandi
CHEPTI BROJOPUR J.M. H.S. SCHOOL,788155,Hailakandi
RIASATH ALI MEM. ACADEMY,788801,Hailakandi
ALINAGAR ACADEMY,788801,Hailakandi
MINDS GLOBAL PUBLIC SCHOOL,788155,Hailakandi
BLOOMING BUDS SR. SECONDARY SCHOOL,788155,Hailakandi
ABUL KALAM AZAD VIDYAPITH,788151,Hailakandi
AL-ANSAR SECONDARY SCHOOL,788155,Hailakandi
INTAZ ALI CHOU. SISHU BIKASH BIDYAPEETH,788155,Hailakandi
TALENT HIGH SCHOOL,788155,Hailakandi
NETAJI BIDYA NIKETAN,788150,Hailakandi
GENIUS SENIOR SECONDARY SCHOOL,788150,Hailakandi
PROVIDENCE PUBLIC SCHOOL,788155,Hailakandi
GOLAP ACADEMY,788152,Hailakandi
KANCHANPUR MEDHA VIKASH VIDYALAYA,788152,Hailakandi
RADIANT SENIOR SECONDARY SCHOOL,788155,Hailakandi
NATIONAL ACADEMY,788155,Hailakandi
SKYLARK ENGLISH MEDIUM SCHOOL,788155,Hailakandi
KATANALA BARNELINE LPS,788810,Hailakandi
M.A.B.M SWADESHI BIDYALAYA,788150,Hailakandi
MRA MEMORIAL SENIOR SECONDARY SCHOOL,788152,Hailakandi
ADARSHA BIDYAPEETH,788802,Hailakandi
OXFORD ENG MED SCHOOL,788802,Hailakandi
CAMBRIDGE HIGH SCHOOL,788802,Hailakandi
ST. MARY'S SCHOOL,788155,Hailakandi
AL AMEEN INSTITUTE OF EDUCATION,788155,Hailakandi
LITTLE BLOSSOMS SCHOOL,788151,Hailakandi
ADARSHA SISHU KALYAN ACADEMY,788155,Hailakandi
PAKHICHERRA HIGH SCHOOL,788152,Hailakandi
LITTLE ANGELS SCHOOL,788155,Hailakandi
ORIENTAL HIGH SCHOOL,788151,Hailakandi
VALLEY FLOWERS CENTRAL ENGLISH SCHOOL,788155,Hailakandi
SISHU NIKETAN HIGH SCHOOL,788155,Hailakandi
BLUE FLOWERS ENG. MED. HIGH SCHOOL,788151,Hailakandi
ACHIEVERS' HIGH SCHOOL,788151,Hailakandi
VIDYASAGAR ENGLISH MEDIUM SCHOOL,788151,Hailakandi
PARAMOUNT SR. SECONDARY SCHOOL,788151,Hailakandi
RABINDRA BHARATI SENIOR SECONDARY SCHOOL,788151,Hailakandi
HAILAKANDI JUNIOR SCIENCE COLLEGE,788155,Hailakandi
GARDEN RICH ACADEMY,788155,Hailakandi
