SchoolName,Pincode,District
CONCEPT ENGLISH SCHOOL,782482,Hojai
VIVEKANANDA ACADEMY,782481,Hojai
SAMARALI ANCHOLIC JATIYA BIDYALAYA,782482,Hojai
CALVIN ENGLISH L.P. SCHOOL,782460,Hojai
MAHATMA GANDHI MEMORIAL SCHOOL,782460,Hojai
PRIORITY MOUNT JOHANNA SCHOOL,782460,Hojai
SHANKARDEV SHISHU NIKETAN,782441,Hojai
PROGATISHIL ACADEMY,782445,Hojai
RAJIB GANDHI ACADEMY,782445,Hojai
BHELOWGURI ADARSHA BIDYA NIKETON,782440,Hojai
BHELOWGURI JATIYA VIDYALAYA,782440,Hojai
"AJMAL MODERN RESIDENTIAL SCHOOL, BHELOWGURI",782440,Hojai
BIBEKANANDA VIDYALAYA,782435,Hojai
MARYAM AJMAL WOMEN'S COOLEGE OF SCIENCE & TECHNOLOGY,782435,Hojai
HOJAI MODEL PUBLIC SCHOOL,782435,Hojai
"JATIYA VIDYALAYA, BARHOWR",782439,Hojai
MODERN ENGLISH ACADEMY,782439,Hojai
UNIVERSAL ACADEMY,782439,Hojai
JATIYA VIDYALAYA DEBASTHAN,782481,Hojai
AL-FALAAH ACADEMY,782481,Hojai
DEBOSTHAN GYANUDAYA VIDYALAYA,782481,Hojai
MARKAZ ACADEMY ENGLISH HIGHER SECONDARY SCHOOL,782435,Hojai
HAYONG BOSTI JATIYA BIDYALAYA,782428,Hojai
FARID UDDIN CHOWDHURY VIDYAPITH,782440,Hojai
NRI PUBLIC SCHOOL,782440,Hojai
INDIRA GANDHI HS,782440,Hojai
PRATIBHA VIKASH VIDYAPITH,782445,Hojai
GIYAN DHIP SENIOR SECONDARY SCHOOL,782440,Hojai
NAVODAY JATIYA VIDYALAYA,782440,Hojai
GLOBAL ACADEMY,782445,Hojai
AMLIPUKHURI JATIYA ENGLISH ACADEMY MADRASSA,782429,Hojai
AMLI PUKHURI JATIYA BIDYALAYA,782429,Hojai
BAHU MUKHI JATIYA BIDYALAYA,782429,Hojai
"JATIYA VIDYALAYA, JUGIJAN",782429,Hojai
PODUMONI JATIO BIDYALAYA,782439,Hojai
"JATIYA ACADEMY, MURAJHAR",782439,Hojai
PUB JARUNI JATIO VIDYALAYA,782440,Hojai
NILBAGAN GREEN VALLEY ACADEMY,782445,Hojai
NILBAGAN JATIO VIDYALAYA,782445,Hojai
MOULANA MASADDAR ALI VIDYAPITH,788445,Hojai
SARASWATI BIDYAMANDIR,782435,Hojai
SAPTA RISHI VIDYA MANDIR,782435,Hojai
SINGARI BASTI ADARSHA HS,782435,Hojai
SHANKARDEV VIDYA NIKETAN,782435,Hojai
"SHANKARDEV SHISHU NIKETAN, HOJAI GEETASHRAM",782435,Hojai
DON BOSCO HIGH SCHOOL,782435,Hojai
TELIBASTI HS,782435,Hojai
ARUNODAY PUBLIC SCHOOL,782435,Hojai
AJMAL ADARSHA JATIYA VIDYALAYA,782440,Hojai
GYAN JYOTI ACADEMY,782439,Hojai
MOULANA AZAD JR. COLLEGE,782445,Hojai
MOULANA IBRAHIM ALI ACADEMY,782445,Hojai
JAMUNAMUKH JATIYA BIDYALAY,782428,Hojai
CHANGMAJI ARAYAN ACADEMY,782440,Hojai
NIKHARIMUKH N U QURIANA HAFZAI MAD,782428,Hojai
"MARKAZ ACADEMY, NIKHARIMUKH",782428,Hojai
HAZ.HAZIRA BANAT MADRASSATUL,782428,Hojai
DR.A.P.J. A.KALAM JATIYA BIDYALAYA,782428,Hojai
DOBOKA ACADEMY,782440,Hojai
DOBOKA JATIYA ACADEMY,782440,Hojai
ASOM ACADEMY,782440,Hojai
SANKARDEV VIDYA NIKETON DOBOKA,782440,Hojai
DOBOKA ADARSHA VIDYANIKETAN,782440,Hojai
AL-ITTIHAD ENGLISH SCHOOL,782440,Hojai
KARDABA SR. SECONDARY SCHOOL,782440,Hojai
SANKARDEV BIDYA NIKETON JAMUNAMUKH,782428,Hojai
GYANDEEP ADARSHA BIDYAPITH,782428,Hojai
PRANABANANDA VIDYAMANDIR,782435,Hojai
"AJMAL SENIOR SECONDARY SCHOOL, BISHNUPALLY",782435,Hojai
SANKARDEV SENIOR SECONDARY SCHOOL,782435,Hojai
ZENITH ENGLISH HIGH SCHOOL,782435,Hojai
SHANKARDEV SHISHU/BIDYA NIKETAN,782442,Hojai
ROYAL STAR ENGLISH SCHOOL,782446,Hojai
KAPILI JATIYA VIDYALAYA,782446,Hojai
B.S. MEMORIAL ENGLISH SCOOL,782446,Hojai
GYANJYOTI SENIOR SECONDARY SCHOOL,782446,Hojai
DISNEY LAND ENGLISH HIGH SCHOOL,782446,Hojai
"DIGHIRPAR JATIYA BIDYALAYA, CHARING",782439,Hojai
SRI SANKARDEV HINDI BIDYAPITH HIGH SCHOOL,782447,Hojai
DE PAUL SCHOOL,782447,Hojai
SUN SHINE JATIO VIDYALAYA,782446,Hojai
PRATIMA HANSEPI MEMORIAL ENGLISH HIGH SCHOOL,782442,Hojai
"HAJI AJMAL ALI MEMORIAL JR. COLLEGE, KAPASHBARI",782445,Hojai
"MARKAZ ACADEMY ENGLISH HIGH SCHOOL, PADUM PUKHURI",782445,Hojai
HAJI JAWAD ALI ACADEMY,782445,Hojai
TABARAK ALI MEMORIAL ACADEMY,782439,Hojai
SRI AUROBINDO ACADEMY,782447,Hojai
"ADARSHA MARKAZ ACADEMY, NAKHUTI",782446,Hojai
PHULTOLI JATIO VIDYALAYA,782446,Hojai
"GYANUDAY JATIYA VIDYALAYA, LANKAJAN",782446,Hojai
"DR. A.P.J. ABDUL KALAM ENGLISH SCHOOOL, LANKAJAN",782446,Hojai
JANA KALYAN JATIYA VIDYALAYA,782446,Hojai
LITTLE FLOWER ENGLISH SCHOOL,782446,Hojai
NAKHUTI ADARSHA BALIKA VIDYALAYA,782446,Hojai
BRIGHT FUTURE ACADEMY,782445,Hojai
"GYANJYOTI VIDYAPITH, UDALI",782446,Hojai
ASOM VALLEY ACADEMY,782446,Hojai
SRI SRI GNAN MANDIR,782446,Hojai
AJMAL SENIOR SECONDARY SCHOOL,782439,Hojai
NATUN BAZAR MILAN HIGH SCHOOL,782446,Hojai
NATUN BAZAR JATIO VIDYALAYA,782446,Hojai
SRI MANTA SHANKAR DEV VIDYALAYA,782446,Hojai
ADARSHA JATIYA VIDYALAYA,782442,Hojai
"SANKARDEV SSHU NIKETAN,HAWAIPUR",782446,Hojai
MARKAZUL MA-ARIF HIGH SCHOOL,782446,Hojai
CENTRE BAZAR JATIYO VIDYALAYA,782446,Hojai
"DON BOSCO HIGH SCHOOL, LUMDING",782447,Hojai
PRANABANANDA VIDYAMANDIR,782447,Hojai
GYAN JYOTI JATIYA VIDYALAYA,782446,Hojai
PURBANCHAL JATIYA VIDYALAYA,782442,Hojai
PABIJURI JATIA VIDYALAYA,782439,Hojai
RAMKRISHNA VIDYAPITH HIGH SCHOOL,782447,Hojai
SANKARDEV VIDYANIKETAN,782447,Hojai
SARASWATI GURUKUL HIGH SCHOOL,782447,Hojai
SANKARDEV VIDYA NIKETAN LANKA,782446,Hojai
