SchoolName,Pincode,District
GOHAIN GAON ADARSHA SISHU NIKETON,785700,Jorhat
NABUDOYA VIDYAPITH,785010,Jorhat
JADAVPUR HS,785010,Jorhat
AAROHAN ACADEMY JR COLLEGE,785107,Jorhat
JATIYA VIDHYALAYA,785107,Jorhat
PACHIM CHOWKHAT HS,785101,Jorhat
SUNRISE ENGLISH SCHOOL,785700,Jorhat
NOREN CHUTIA SONWARONI FECHUAL JATIA VID,785635,Jorhat
JYOTI VIDYAPITH,785112,Jorhat
JATIYA BIDYALAYA,785112,Jorhat
BHOLANATH HANDIQUE JATIA VIDHY,785700,Jorhat
TEOK JUNIOR COLLEGE,785112,Jorhat
HOLY FLOWER HIGH SCHOOL,785112,Jorhat
GYANJYOTI VIDYAPITH,785112,Jorhat
KAWOIMARI HS SCHOOL,785683,Jorhat
ASHRAF & SIMI MEMORIAL SCHOOL,785107,Jorhat
SANKARDEV SISHU NIKETON,785107,Jorhat
BALYA NIKETON KAKOJAN,785107,Jorhat
CHILDREN FOUNDATION SCHOOL,785107,Jorhat
SANKARDEV SISHU NIKETON,785635,Jorhat
BEN GARDEN SCHOOL,785112,Jorhat
TEOK JATIYA VIDYALAYA,785112,Jorhat
JNANPITH ACADEMY,785112,Jorhat
"JETUKI KONWAR JATIYA BIDYALAYA, KALIAPANI",785112,Jorhat
GANASWARNA SANKARDEVSHUI BIDYA,785683,Jorhat
BHAGAMUKH ADARSHA BIDYA MONDIR,785682,Jorhat
JELENGITUP JANAJATI HIGH,785682,Jorhat
PODUMONI JATIYA VIDYALAYA,785636,Jorhat
AROHAN JATIYA VIDYALAYA,785683,Jorhat
ADHYAYAN ACADEMY,785683,Jorhat
JYOTI BIKASH JATIA VIDYALAYA,785635,Jorhat
NABIKASH BIDYAPITH,785635,Jorhat
SELENGHAT JATIYA BIDYALAYA,785636,Jorhat
MODEL ENGLISH HIGHER SECONDARY SCHOOL,785635,Jorhat
NAKACHARI JATIYA VIDYALAYA,785635,Jorhat
SARBAJANIN ADARSHA VIDYALAYA,785682,Jorhat
NABAJYOTI VIDHYALAYA,785636,Jorhat
DESSOI VALLEY ACADEMY,785635,Jorhat
SANKARDEV SHISHU VIDYA NIKETON,785006,Jorhat
SAHADEV MEMORIAL ENGLISH SCHOOL,785005,Jorhat
ASSAM RIFLES PUBLIC SCHOOL,785004,Jorhat
AIR FORCE SCHOOL,785005,Jorhat
ARMY PUBLIC SCHOOL,785005,Jorhat
CHITRALEKHA SIKSHA BIKASH MONDIR,785616,Jorhat
JNYANUDAYA BIDYAPTIH,785616,Jorhat
DON BOSCO HS (LICHUBARI),785008,Jorhat
SPRINDALE HS,785001,Jorhat
LICHUBARI JATIYA VIDYALAYA,785008,Jorhat
HEMALATA HANIDUQE MEM INST,785008,Jorhat
PRERONA PRATIBANDHI SISHU BIKASH KENDRA,785008,Jorhat
CINNAMARA JATIYA VIDYALAYA,785008,Jorhat
SHEMFORD FUTURISTIC SCHOOL,785007,Jorhat
JORHAT JATIYA VIDYALAYA,785007,Jorhat
SANKARDEV VIDYA NIKETON,785007,Jorhat
CARMEL SCHOOL,785008,Jorhat
CINNAMARA JUNIOR COLLEGE,785008,Jorhat
MAHARISHI VIDYA MANDIR,785008,Jorhat
DKAHIN KARANGA JATIYA VIDYALAY,785008,Jorhat
PARIJAT JATIYA VIDYALAYA,785634,Jorhat
MANN INTERNATIONAL SCHOOL,785634,Jorhat
BAHONI GYANJYOTI JATIYA VIDA.,785633,Jorhat
BAHONI HIGH SCHOOL,785633,Jorhat
GUNIDRANATH HAZARIKA JATI. VID,785616,Jorhat
JAKAI CHUK HS,785616,Jorhat
PASCHIM JORHAT JUNIOR COLLEGE,785006,Jorhat
GYANDEEP JATIYA VIDYALAYA,785616,Jorhat
TRINAMUL JATIYA VIDYALAYA,785616,Jorhat
UDAYAN JATIYA BIDYALAY,785617,Jorhat
BLOOMING LOTUS ENGLISH SCHOOL,785616,Jorhat
PRAGYA JYOTI JATIYA VIDLAYA,785616,Jorhat
SANGSUA TG HS,785616,Jorhat
DON BOSCO HS (BAGHCHUNG),785011,Jorhat
ST. MARRY'S HIGH SCHOOL,785005,Jorhat
PACHIM JORHAT JATIYA VIDYALAYA,785617,Jorhat
ST.ANTHONY HS,785634,Jorhat
EDITH DOUGLAS SCHOOL,785634,Jorhat
MARIANI JATIYA VIDYAPITH,785634,Jorhat
ASSET ACADEMY,785634,Jorhat
RASHTRA BHASHA VIDYALAYA,785001,Jorhat
KISHANLAL MALPANI BALMANDIR,785001,Jorhat
ALPHABET ENGLISH MEDIUM SCHOOL,785001,Jorhat
SARASWATI VIDYAPITH,785001,Jorhat
PRABANANDA VIDYA MANDIR,785001,Jorhat
ROYAL OAK HS,785001,Jorhat
SISHU BIKASH KENDRA,785001,Jorhat
JOYA VIDYAPITH,785001,Jorhat
BALYA BAHWAN LP (PVT),785001,Jorhat
ANAMITRA ACADEMY (JUNIOR COLLEGE),785001,Jorhat
