SchoolName,Pincode,District
NAGARBERA JATIYA VIDYALAYA,781127,Kamrup Metropolitan
SANKARDEV JATIYA VIDYALAYA,781031,Kamrup Metropolitan
BAR LUIT ACADEMY,784115,Kamrup Metropolitan
LAKHIBARI JATIYA VIDYALAYA,785603,Kamrup Metropolitan
SONAPUR JATIYA BIDYALAY,782402,Kamrup Metropolitan
MAHARSHI VIDYALAYA,782402,Kamrup Metropolitan
LITTLE ANGEL ENGLISH SCHOOL,782402,Kamrup Metropolitan
HOLY HEARTS ACADEMY,782402,Kamrup Metropolitan
RADIANT INTERNATIONAL SCHOOL,782402,Kamrup Metropolitan
"PRIYO BANDHU BOHUMUKHI BIDYALAY, DHARBAM",782403,Kamrup Metropolitan
"PRIYOBONDHU BOHUMUKHI BIDYALAY,2 NO ROBINGAON KHETRI",782403,Kamrup Metropolitan
JYOTI PRAKASH ACADEMY,782401,Kamrup Metropolitan
MONTFORT SCHOOL GUWAHATI,781023,Kamrup Metropolitan
ST PATRICKS ENGLISH SCHOOL,782402,Kamrup Metropolitan
GREEN VIEW ACADEMY KHETRI,782403,Kamrup Metropolitan
"SANKARDEV SISHU VIDYA NIKETAN, KHETRI",782403,Kamrup Metropolitan
SANKARDEV SISHU BIDYA NIKETAN,782403,Kamrup Metropolitan
MALAYBARI JATIYA VIDYALAYA,782403,Kamrup Metropolitan
CHRISTIAN ENGLISH SCHOOL BASORONG,782402,Kamrup Metropolitan
AMRI BAPTIST ENGLISH SCHOOL,782402,Kamrup Metropolitan
GYANODAYA JATIYA VIDYALAYA,782401,Kamrup Metropolitan
NORTH-EAST ENGLISH SCHOOL,782403,Kamrup Metropolitan
SANKAR DEV SISHU NIKETAN,782403,Kamrup Metropolitan
"SANKARDEV SISHU NIKETAN, DURUNG",782403,Kamrup Metropolitan
NEIMA ENGLISH SCHOOL,782403,Kamrup Metropolitan
BODHIDROOM JATIYA VIDYALAYA,781150,Kamrup Metropolitan
ASSAM PUBLIC SCHOOL,781027,Kamrup Metropolitan
ADVENT ACADEMY,781027,Kamrup Metropolitan
GYAN MANDIR ENGLISH MEDIUM HIGH SCHOOL,781026,Kamrup Metropolitan
GURUJONA JATIYA BIDYALAYA,781026,Kamrup Metropolitan
ICON ENGLISH SCHOOL,781026,Kamrup Metropolitan
RAJDHANI PUBLIC SCHOOL,782402,Kamrup Metropolitan
UTTAR PUB JATIYA VIDYALAY,781026,Kamrup Metropolitan
LORD'S ANGEL'S ENGLISH SCHOOL,781026,Kamrup Metropolitan
MAHARISHI VIDYA MANDIR PUBLIC SCHOOL,781026,Kamrup Metropolitan
DON BOSCO SCHOOL,781150,Kamrup Metropolitan
GIRIJYOTI VIDYALAYA,781150,Kamrup Metropolitan
"SHANKARDEV SHISHU NIKETAN, HAJONGBARI",781150,Kamrup Metropolitan
"PRIYOBANDHU BOHUMUKHI BIDYALAY, PASCHIM KILLING DIMORIA, KHETRI",782403,Kamrup Metropolitan
KAMRUP METROPOLITAN SENIOR SECONDARY SCHOOL,782402,Kamrup Metropolitan
SANKAR DEV SISHU VIDYA NIKETAN,782402,Kamrup Metropolitan
PUB MALAYBARI JATIYA VIDYALAYA,782403,Kamrup Metropolitan
ST. MARYS ENGLISH SCHOOL,782402,Kamrup Metropolitan
SANKARDEV SISHUBIDYANIKETAN,782402,Kamrup Metropolitan
ST. AGNES ENGLISH SCHOOL,782403,Kamrup Metropolitan
DESTINE ACADEMY ENGLISH SCHOOL,781027,Kamrup Metropolitan
BANASTHALI ACADEMY,781033,Kamrup Metropolitan
ST. MARY'S SENIOR SECONDARY SCHOOL,781011,Kamrup Metropolitan
PACHIM GUWAHATI JATIYA VIDDYALAYA,781012,Kamrup Metropolitan
GARIGAON JATIYA VIDYALAYA,781012,Kamrup Metropolitan
HERITAGE PUBLIC SCHOOL,781033,Kamrup Metropolitan
G.U MODEL HIGH SCHOOL(ENGLISH SECTION),781014,Kamrup Metropolitan
JALUKBARI JATIYA BIDYALAYA,781014,Kamrup Metropolitan
LODESTER ENGLISH MEDIUM SCHOOL,781013,Kamrup Metropolitan
BANI BIDYAPITH HIGH SCHOOL,781012,Kamrup Metropolitan
PREMIER PUBLIC SCHOOL,781012,Kamrup Metropolitan
VICTORIA ENGLISH MEDIUM HIGH SCHOOL,781014,Kamrup Metropolitan
WEST GUWAHATI JR COMMERCE COLLEGE,781012,Kamrup Metropolitan
DREAMLAND MONESSORI ENGLISH SCHOOL,781011,Kamrup Metropolitan
OAKLAND ENGLISH SCHOOL,781009,Kamrup Metropolitan
BRAHMAPUTRA JATIYA BIDYALAYA,781028,Kamrup Metropolitan
CAMBRIDGE PUBLIC SCHOOL,781014,Kamrup Metropolitan
SANKARDEV JATIYA VIDYALAYA,781012,Kamrup Metropolitan
"SHANKARDEV SHISHU NIKETAN, MALIGAON",781011,Kamrup Metropolitan
ST.VIVEKANANDA ENGLISH ACADEMY,781011,Kamrup Metropolitan
"MAHARSHI VIDYAMANDIR - V, JALUKBARI GOTANAGAR",781011,Kamrup Metropolitan
BRAHMAPUTRA JR. COLLEGE,781035,Kamrup Metropolitan
ST FRANCIS D'ASSISI SENIOR SECONDARY SCHOOL,781035,Kamrup Metropolitan
DELHI PUBLIC SCHOOL,781035,Kamrup Metropolitan
PRAGJYOTISH SR. SEC SCHOOL,781035,Kamrup Metropolitan
BINAPANI ACADEMY JUNIOR COLLEGE,781033,Kamrup Metropolitan
ASSAM ENGLISH ACADEMY,781011,Kamrup Metropolitan
GRACE EDUCATIONAL INSTITUTE,781011,Kamrup Metropolitan
WEST POINT HIGH SCHOOL,781025,Kamrup Metropolitan
"SAIVIKASH VIDYA NIKETAN, AHOMGAON",781034,Kamrup Metropolitan
NAYANJYOTI JATIYA VIDALAYA,781035,Kamrup Metropolitan
"PRAGJYOTISH ENGLISH SR. SEC. SCHOOL, GOPATH, DATALPARA, GUWAHATI - 25",781025,Kamrup Metropolitan
NPS INTERNATIONAL SCHOOL,781040,Kamrup Metropolitan
NILACHAL JATIYA VIDYALAYA,781009,Kamrup Metropolitan
LYCEUM HIGH SCHOOL,781025,Kamrup Metropolitan
"ANCHALIK JATIYA VIDYALAYA, GARCHUK",781035,Kamrup Metropolitan
SANKARDEV SISHU VIDYANIKETAN AMBARI,781025,Kamrup Metropolitan
GYANODOYA JATIYA VIDYALAYA,781035,Kamrup Metropolitan
SBOA PUBLIC SCHOOL,781035,Kamrup Metropolitan
DAKSHIN GUWAHATI JATIYA VIDYALAYA,781025,Kamrup Metropolitan
BLUE BIRDS' ENGLISH SCHOOL,781025,Kamrup Metropolitan
SCHOLAR'S GLOBAL SCHOOL,781019,Kamrup Metropolitan
ROSE BUD ENGLISH HIGH SCHOOL,781009,Kamrup Metropolitan
MODERN ENGLISH HIGH SCHOOL,781009,Kamrup Metropolitan
ANGELS ENGLISH HIGH SCHOOL,781009,Kamrup Metropolitan
YWCA ENGLISH SCHOOL,781008,Kamrup Metropolitan
SRI DIGAMBER JAIN VIDYALAYA,781001,Kamrup Metropolitan
DON BOSCO SCHOOL,781001,Kamrup Metropolitan
PRAGJYOTISH ENGLISH HIGH SCHOOL,781001,Kamrup Metropolitan
SHRIMANTA SHANKAR ACADEMY JR. COLLEGE,781008,Kamrup Metropolitan
SUNFLOWER ENGLISH HIGH SCHOOL,781009,Kamrup Metropolitan
ANGELS OF GOD HIGH SCHOOL,781003,Kamrup Metropolitan
"ST. MARY'S HR. SEC SCHOOL, GUWAHATI",781003,Kamrup Metropolitan
PUB GUWAHATI JATIYA VIDYALAYA,781003,Kamrup Metropolitan
PREMIER ACADEMY,781004,Kamrup Metropolitan
BETHANY SCHOOL,781035,Kamrup Metropolitan
HOLY CHILD SCHOOL,781003,Kamrup Metropolitan
MAHARSHI VVIDYA MANDIR SR. SEC. SCHOOL,781003,Kamrup Metropolitan
ELITE ENGLISH ACADEMY,781003,Kamrup Metropolitan
BROOKLYN PUBLIC SCHOOL,781003,Kamrup Metropolitan
"SAIVIKASH JUNIOR COLLEGE, SILPUKHURI",781003,Kamrup Metropolitan
WEST GUWAHATI HIGH SCHOOL,781035,Kamrup Metropolitan
MOTHER AYESHA ENGLISH SCHOOL,781007,Kamrup Metropolitan
CENTRAL PUBLIC SCHOOL,781007,Kamrup Metropolitan
SACRED HEART ENGLISH HIGH SCHOOL,781003,Kamrup Metropolitan
BLUE PINE SCHOOL,781003,Kamrup Metropolitan
ICON ACADEMY (JUNIOR COLLEGE),781003,Kamrup Metropolitan
MOTHER MONTESSORI HOUSE OF CHILDREN,781007,Kamrup Metropolitan
HAPPY CHILD SCHOOL,781008,Kamrup Metropolitan
GURU NANAK ENGLISH HIGH SCHOOL,781008,Kamrup Metropolitan
CRESCENT HEIGHTS PUBLIC SCHOOL,781008,Kamrup Metropolitan
D.A.V High School,781007,Kamrup Metropolitan
STUDENT FACULTY SCHOOL,781008,Kamrup Metropolitan
PRESIDENCY SCHOOL,781007,Kamrup Metropolitan
IDEAL ENGLISH SCHOOL,781007,Kamrup Metropolitan
LITTLE STAR ENGLISH HIGH SCHOOL,781016,Kamrup Metropolitan
BLUE MOUNT ENGLISH HIGH SCHOOL,781018,Kamrup Metropolitan
DANTIN ACADEMY ENGLISH HIGH SCHOOL,781009,Kamrup Metropolitan
ARYAVART HIGHER SECONDARY SCHOOL,781008,Kamrup Metropolitan
ST. LOKNATH ACADEMY,781001,Kamrup Metropolitan
MILKYWAY ENGLISH HIGH SCHOOL,781016,Kamrup Metropolitan
VIVEKANANDA VIDYAPITH HIGH SCHOOL,781034,Kamrup Metropolitan
AASTHA ACADEMY,781034,Kamrup Metropolitan
SOUTH POINT SCHOOL,781018,Kamrup Metropolitan
SRI GURU NANAK NATIONAL HIGH SCHOOL,781016,Kamrup Metropolitan
MODERN VALLEY ENGLISH SCHOOL,781034,Kamrup Metropolitan
IDEAL NURSERY HIGH SCHOOL,781025,Kamrup Metropolitan
NATIONAL ACADEMY,781034,Kamrup Metropolitan
AXEL PUBLIC SCHOOL,781034,Kamrup Metropolitan
SRI B. LOK NATH A.S. MANDIR,781018,Kamrup Metropolitan
ST. LUKE ENGLISH HIGH SCHOOL,781018,Kamrup Metropolitan
GUARDIAN PUBLIC SCHOOL,781018,Kamrup Metropolitan
PURBASHA VIDYANIKETAN,781034,Kamrup Metropolitan
MODERN ENGLISH SCHOOL,781019,Kamrup Metropolitan
IDEAL ENGLISH SCHOOL,781016,Kamrup Metropolitan
SANKAR MADHAB BIRUPRABHA JATIYA VIDYALAY,781034,Kamrup Metropolitan
LITTLE ANGEL'S ENGLISH SCHOOL,781016,Kamrup Metropolitan
SISHU NIKETAN HIGH SCHOOL,781009,Kamrup Metropolitan
ANGELIKA HR. SECONDERY SCHOOL,781005,Kamrup Metropolitan
"SANKARDEV SHISHU NIKETAN, BIRUBARI",781016,Kamrup Metropolitan
ASSAM VALLEY ENGLISH HIGH SCHOOL,781016,Kamrup Metropolitan
VIDYA MANDIR ENGLISH MEDIUM SCHOOL,781026,Kamrup Metropolitan
EKALAVYA MODERN ACADEMY,781006,Kamrup Metropolitan
DISPUR ENGLISH ACADEMY,781019,Kamrup Metropolitan
ARYABHATTA SCIENCE SENIOR SECONDARY SCHOOL,781005,Kamrup Metropolitan
SWADESHI ACADEMY JUNIOR COLLEGE,781005,Kamrup Metropolitan
NORTH EAST PUBLIC SCHOOL,781019,Kamrup Metropolitan
SAI RNS ACADEMY,781019,Kamrup Metropolitan
"MANAV KALYAN JATIYA VIDYALAYA, KAHILIPARA",781019,Kamrup Metropolitan
PRAGATI JATIYA VIDYALAYA,781005,Kamrup Metropolitan
LAKSHMINAGAR MONTESSORI SCHOOL,781005,Kamrup Metropolitan
R.K MEMORIAL ENGLISH AND HINDI HIGH SCHOOL,781026,Kamrup Metropolitan
CAPITAL METRO POLITAN ENG HIGH SCHOOL,781003,Kamrup Metropolitan
HINDUSTANI KENDRIYA VIDYALAYA,781005,Kamrup Metropolitan
SHANKARDEV VIDYA NIKETAN BISHNUPATH ZOO ROAD,781024,Kamrup Metropolitan
ARYAN ACADEMY ENGLISH MEDIUM HIGH SCHOOL,781005,Kamrup Metropolitan
S.K HAZARIKA COLLEGE,781005,Kamrup Metropolitan
PRACHYA BHARATI JUNIOR COLLEGE,781005,Kamrup Metropolitan
SUNRISE ACADEMY,781005,Kamrup Metropolitan
PRAGJYOTISH JATIYA VIDYALAY,781021,Kamrup Metropolitan
GITANAGAR SHISHU VIDYA NIKETAN,781020,Kamrup Metropolitan
GEETANAGAR JATIYA VIDYALAY,781020,Kamrup Metropolitan
FACULTY HIGH SCHOOL,781024,Kamrup Metropolitan
ROSE LAND MODEL SCHOOL,781006,Kamrup Metropolitan
