SchoolName,Pincode,District
DHUMARKUR ANCHALIK JATIYA VIDYALAYA,781352,Kamrup
SWEET FLOWER MODEL SCHOOL,781127,Kamrup
MOHEZ UDDIN ACADEMY,781127,Kamrup
"SANKARDEV SISHU NIKETAN, BOKO",781123,Kamrup
"JATIYA BIDYALAYA,RUPNAGAR",781123,Kamrup
"JATIA VIDYALAYA, BHALUKGHATA",781123,Kamrup
SANKARDEV SISU NIKETAN DHEKIABARI,781123,Kamrup
"JATIYA VIDDALYA, BOKO",781123,Kamrup
"SANKARDEV SHISHU NIKETAN, DAKUAPARA",781123,Kamrup
DON BOSCO HS,781123,Kamrup
"JATIYA VIDYALAYA,JAMBARI",781141,Kamrup
EVANGEL ENGLISH SCHOOL,781129,Kamrup
"DIVINE PROVIDENCE SCHOOL, HAHIM",781129,Kamrup
ST. STEPHEN'S ENGLISH SCHOOL,781129,Kamrup
SOUTH END ENGLISH SCHOOL,781129,Kamrup
"AN. JATIYA BIDYALAYA, DAMAL CHOS",781135,Kamrup
"SANKARDEV SISHU NIKETAN,KHALIHA",781135,Kamrup
"SANKARDEV SISHU NIKETAN,BONDAPARA",781135,Kamrup
"SANKARDEV BIDYA MANDIR,SINGRA",781135,Kamrup
"GYANJYOTI JATIYA VIDYALAYA,DHUPGURI",781135,Kamrup
BAMUNIGAON JATIYA VIDYALAYA,781141,Kamrup
"JATIA VIDYALAYA, BONGAON",781141,Kamrup
SAINT PETTERS ENG. SCHOOL,781135,Kamrup
"GRACE HOME ACADEMY,UKIAM",781124,Kamrup
GREEN HILLS ACADEMY,781123,Kamrup
LAMPI ACADEMY ENGLISH BOARDING SCHOOL,781129,Kamrup
SANKARDEV SISHU NIKETAN,781141,Kamrup
TARABARI ADARSA JATIYA BIDYALAYA,781135,Kamrup
SANKARDEV SISHU NIKETAN,781127,Kamrup
NAGARBERA CHILD ACADEMY,781127,Kamrup
JAMLAI ADARSHA JATIA VIDYALAYA,781127,Kamrup
PUB NAITOR B.N.A. JATIA BIDYA,781127,Kamrup
SANKAR DEV SISHU NIKETAN,781127,Kamrup
"SANKARDEV SHISHU NIKETAN,MALIBARI SATRA",781136,Kamrup
"ADARSHA SISHU NIKETAN,RANGAPANI",781127,Kamrup
HURMUZ ALI ADARSHA ACADEMY,781127,Kamrup
BARALIMARA JATIYA VIDYALAY,781136,Kamrup
AJAN PEER JATIA BIDYALAYA,781136,Kamrup
NABOJYOTI SISHU NIKETAN,781136,Kamrup
MOZIBAR RAHMAN MODEL ACADEMY,781136,Kamrup
"DR. APJ ABDUL KALAM ACADEMY , DEKACHANG",781136,Kamrup
