SchoolName,Pincode,District
LITTLE KINGDOM HS,785675,Karbi Anglong
MOSHAR BHANGA JATIYA VIDYALAYA,785705,Karbi Anglong
DON BOSCO JIBON JYOTI HIGH SCHOOL,785621,Karbi Anglong
PURANA AMULA PATTY JATIYA VIDYALAYA,785621,Karbi Anglong
DOYANG UPPER PRIMARY JATIYA VIDYALAYA,785601,Karbi Anglong
KLIRDAP ENGLISH HIGH SCHOOL,782480,Karbi Anglong
M.L.T. ENGLISH SCHOOL,782480,Karbi Anglong
KOLLOL L.P SCHOOL,782480,Karbi Anglong
BOKAJAN PUBLIC HIGH SCHOOL,782480,Karbi Anglong
DISCOVERY ENGLISH SCHOOL,782480,Karbi Anglong
BALIJAN HINDI ENGLISH SCHOOL,782480,Karbi Anglong
LOVE DEAL HIGH SCHOOL,782480,Karbi Anglong
LORNA'S ENGLISH SCHOOL,782480,Karbi Anglong
KING DAVID HIGH SCHOOL.KHATKHATI,782480,Karbi Anglong
RAM KRISHNA VIDYAPITH,782480,Karbi Anglong
ST. SAVIO'S HIGH SCHOOL,782480,Karbi Anglong
ST.MARY'S SCHOOL,782480,Karbi Anglong
LITTLE FLOWER HIGH SCHOOL,782480,Karbi Anglong
LIFE FOUNDATION SCHOOL,782480,Karbi Anglong
GRACE ENGLISH SCHOOL,782480,Karbi Anglong
GREEN HILL VIEW HIGH SCHOOL,782480,Karbi Anglong
PRANAB VIDYAPITH HIGH SCHOOL,782480,Karbi Anglong
GREEN VALLEY HIGH SCHOOL,782480,Karbi Anglong
SUKHANI ENG. MEDIUM SCHOOL,782480,Karbi Anglong
"S.N.S. ACADEMY,SUKHANJAN",782480,Karbi Anglong
PRANAB JUBILEE SENIOR SECONDARY SCHOOL,782480,Karbi Anglong
GREEN VALLEY SENIOR SECONDARY SCHOOL,782480,Karbi Anglong
ST.JOHN HIGH SCHOOL,782480,Karbi Anglong
LITTLE ASTER ENGLISH SCHOOL,782480,Karbi Anglong
SANKARDEV SHISHU NIKETON BOKAJAN,782490,Karbi Anglong
RONGKANGTHIR ENGLISH SCHOOL,782490,Karbi Anglong
ST. THOMAS HIGH SCHOOL,782480,Karbi Anglong
SERDIHUN ENGLISH SCHOOL,782480,Karbi Anglong
RANGSINA SANKARDEV SHISHU NIKETON(R.S.S.N.),782480,Karbi Anglong
HOLY FAITH ACADEMY,782480,Karbi Anglong
IDEAL ENGLISH HIGH SCHOOL,782480,Karbi Anglong
HIGH MOUNTAIN ENG. HIGH SCHOOL,782480,Karbi Anglong
SHANTINIKETON ENG. HIGH SCHOOL,782480,Karbi Anglong
PRESBYTERIAN MISSION SCHOOL,782480,Karbi Anglong
DON BOSCO PUBLIC SCHOOL,782480,Karbi Anglong
HOLY FAMILY SCHOOL,782470,Karbi Anglong
LOTI KIMI ACADEMY,782470,Karbi Anglong
DAYANAND VIDYA NIKETAN,785602,Karbi Anglong
ST. JOHN HIGH SCHOOL,785602,Karbi Anglong
PRESBETERIAN MISSION SCHOOL,785602,Karbi Anglong
ST. PETER'S SCHOOL,785602,Karbi Anglong
"SANKARDEV SHISHU NIKETON,SILONIJAN",785602,Karbi Anglong
MUKAM ENGLSH ACADEMY,782470,Karbi Anglong
ST.MARY.ENG.SCHOOL,782470,Karbi Anglong
LITTLE FLOWER LP SCHOOL,782470,Karbi Anglong
SANGKAR DEV SHISU NIKETON,782470,Karbi Anglong
LITTLE STAR ENG. SCHOOL,782480,Karbi Anglong
KLIMSO ENGLISH SCHOOL,782480,Karbi Anglong
BETHESDA ENGLISH SCHOOL,782470,Karbi Anglong
VIDYA SAGAR HIGH SCHOOL,782490,Karbi Anglong
VIDYA SAGAR SENIOR SECONDARY SCHOOL,782490,Karbi Anglong
MARTHA SIMMONS MEMORIAL HIGHER SECONDARY SCHOOL,782480,Karbi Anglong
RENSING HANSE MEMORIAL ENG. SCHOOL,782482,Karbi Anglong
DINA RAM HANSE MEMOLIAL ENG.,782482,Karbi Anglong
ST. JOHN'S ENGLISH SCHOOL,782482,Karbi Anglong
KLIRDAP ENGLISH L.P SCHOOL,782482,Karbi Anglong
ST. VINCENT'S SCHOOL,782482,Karbi Anglong
SHANKARDEV JATIYA BIDYALAYA,782481,Karbi Anglong
SRI MANTA SANKAR DEV BIDYALAYA,782481,Karbi Anglong
NATIONAL SCHOOL HOWRAGHAT,782481,Karbi Anglong
ATURKIMI ACADEMY HOWRAGHAT,782481,Karbi Anglong
RISING SUN ACADEMY ENGLISH SCHOOL,782481,Karbi Anglong
NATION PRIDE ENGLISH SCHOOL,782482,Karbi Anglong
SARASWATI VIDYA NIKETON,782482,Karbi Anglong
CHURCH OF CHRIST ENG. SCHOOL,782441,Karbi Anglong
SHREE MANTA SHANKARDEV BIDYALAYA,782441,Karbi Anglong
NIRMAL NIKETAN ENG SCHOOL,782441,Karbi Anglong
BANRE TERANGPI RESIDENTIAL ENGLISH SCHOOL,782441,Karbi Anglong
BANDHAN ENG.HIGH SCHOOL,782441,Karbi Anglong
ST. XAVIER'S ENGLISH HIGH SCHOOL,782441,Karbi Anglong
BIDYASAGAR JATIYA VIDYALAYA,782481,Karbi Anglong
HOLY KIDS ACADEMY OK-KERENG,782481,Karbi Anglong
"MOUNT SINAI ENGLISH SCHOOL,DENGAON",782441,Karbi Anglong
SARASWATI VIDYA NIKETON,782481,Karbi Anglong
SARADA CHATUSPATHI,782481,Karbi Anglong
RONGKUT UDHARJAN UTTARPAR M.E. SCHOOL,782481,Karbi Anglong
NIGHTINGALE ENGLISH ACADEMY,782481,Karbi Anglong
