SchoolName,Pincode,District
RAJNAGAR JUNIOR COLLEGE,788026,Karimganj
ADARSHA VIDYANIKETAN,788003,Karimganj
SRI BEHULA TEA GARDEN M.E SCHOOL,788701,Karimganj
ADARSHA VIDYANIKETAN,788806,Karimganj
ANGLAR BAZAR ADARSHA VIDYAPITH,788806,Karimganj
K. R. L. MEMORIAL SCHOOL,788806,Karimganj
LITTLE FLOWER SCHOOL,788806,Karimganj
M. A.J.C. ADARSHA VIDYAPITH,788806,Karimganj
INDRAMONI L.P SCHOOL,788806,Karimganj
POLLY MANGAL VIDYANIKETAN,788806,Karimganj
NATIONAL SENIOR SECONDARY SCHOOL,788806,Karimganj
AHMEDABAD LP SCHOOL,788701,Karimganj
IRFAN ALI MEMORIAL LP SCHOOL,788701,Karimganj
NABAJAGARAN BIDYANIKETAN,788706,Karimganj
BANGA BHARATI VIDYANGAN,788701,Karimganj
KUSHIYARA SHIKSHA SADAN,788806,Karimganj
ABDUL HASIB MEMORIAL L.P SCHOOL,788806,Karimganj
ABDUL KHALIQUE TALUKDAR ME SCHOOL,788806,Karimganj
NETAJI VIDYAPITH,788806,Karimganj
SARASWATI BIDYANIKETAN,788806,Karimganj
GURU CHARAN JUNIOR COLLEGE,788701,Karimganj
TALENT ACADEMY,788701,Karimganj
ROYAL HIGHER SECEONDARY SCHOOL,788701,Karimganj
BHANGA PUBLIC HIGH SCHOOL,788701,Karimganj
MARKAZ ACADEMY,788701,Karimganj
JAMAL UDDIN AHMED MODERN HIGH SCHOOL,788701,Karimganj
GYANJYOTI VIDYANIKETAN,788701,Karimganj
GURUKUL H.S.SCHOOL,788701,Karimganj
NATIONAL HIGH SCHOOL,788720,Karimganj
AL-ISLAH NATIONAL ACADEMY,788806,Karimganj
SAINT ANTONYS SCHOOL,788806,Karimganj
AHSANUR REZA CHOUDHRY L.P SCHOOL,788806,Karimganj
ADARSHA VIDYALAYA,788806,Karimganj
"CENTRAL PUBLIC SCHOOL, BADARPUR",788806,Karimganj
BADARPUR VIDYANIKETAN,788806,Karimganj
"AL AMEEN ACADEMY, BADARPUR",788803,Karimganj
JANAKALYAN ADARSHA VIDYALAYA,788806,Karimganj
DR. B.R AMBEDKAR MEMORIAL L.P SCHOOL,788701,Karimganj
SODIAL VISION SCHOOL,788806,Karimganj
MODERN GIRLS HIGH MADRASSA,788701,Karimganj
PARAGON SCHOOL,788806,Karimganj
BORDER ME SCHOOL,788701,Karimganj
NANDAPUR HIGH SCHOOL,788701,Karimganj
ABDUR ROUF V. L. P SCHOOL,788701,Karimganj
