SchoolName,Pincode,District
SANKARDEV SISHU NIKETAN (PVT),783354,Kokrajhar
PRABHAT ROY PUBLIC SCHOOL (PVT),783354,Kokrajhar
GURUKUL ENGLISH SCHOOL (PVT),783354,Kokrajhar
"U.N. ACADEMY (PVT), JHARBARI",783346,Kokrajhar
SANKARDEV SISHU NIKETAN (PVT),783370,Kokrajhar
NOU NWGWR ENGLISH SCHOOL (PVT),783346,Kokrajhar
S.V. RISING SUN SCHOOL (PVT),783345,Kokrajhar
TINY TOTS E.M. PRIMARY SCHOOL (PVT),783345,Kokrajhar
DREAM FLOWER ENGLISH MEDIUM SCHOOL (PVT),783345,Kokrajhar
LAIMWN SWRANG ACADEMY (PVT),783347,Kokrajhar
SANKAR AJAN JATIYA VIDYALAYA (PVT),783345,Kokrajhar
SRI SRI GNAN MANDIR VIDYALAYA (PVT),783354,Kokrajhar
MAHATMA GANDHI JATIYA VIDALAYA (PVT),783337,Kokrajhar
GURUDEV KALICHARAN PVT ACADEMY,783347,Kokrajhar
"U.N. ACADEMY (PVT), DOTMA",783347,Kokrajhar
DE PAULS PUBLIC SCHOOL (PVT),783347,Kokrajhar
ST. FRANCIS XAVIER SCHOOL,783347,Kokrajhar
U.N. ACADEMY (PVT),783346,Kokrajhar
CHILARAY JATIYA VIDYALAYA (PVT),783346,Kokrajhar
"DON BOSCO SCHOOL (PVT), RAMFALBIL",783346,Kokrajhar
CHARLES DARWIN ENGLISH SCHOOL (PVT),783346,Kokrajhar
SURJA UDOY JATIYA VIDYALAYA - PVT,783347,Kokrajhar
CHITHILA JATIYA VIDYALAYA (PVT),783354,Kokrajhar
BODOLAND PUBLIC SCHOOL (PVT),783360,Kokrajhar
SANKARDEV SISHU NIKETAN (PVT),783337,Kokrajhar
SANKAR AZAN JATIYA VID (PVT),783337,Kokrajhar
"U.N. ACADEMY (PVT), GOSSAIGAON",783360,Kokrajhar
OXFORD ENGLISH MEDIUM SCHOOL (PVT),783361,Kokrajhar
SUNRISE ENGLISH HIGH SCHOOL (PVT),783360,Kokrajhar
ST. ANTONYS E.M. HIGH SCHOOL (PVT),783360,Kokrajhar
ST. JOHNS E.M. SCHOOL (PVT),783360,Kokrajhar
SANKAR AJAN JATIYA VIDYALAYA (PVT),783360,Kokrajhar
BLOOMING BUDS SCHOOL (PVT),783360,Kokrajhar
PADMABIL JATIYA VIDYALAYA (PVT),783360,Kokrajhar
MOUNT CARMEL SCHOOL (PVT),783360,Kokrajhar
SHANKARDEV VIDYA NIKETAN (PVT),783360,Kokrajhar
LITTLE STAR E.M. HIGH SCHOOL (PVT),783360,Kokrajhar
ST. MARYS SCHOOL (PVT),783361,Kokrajhar
SIDO-KANHU INSTITUTE - PVT,783361,Kokrajhar
SYNOD ENGLISH MISSION SCHOOL - PVT,783361,Kokrajhar
SHILLONG RILUM PRESBYTERY SCH PVT,783360,Kokrajhar
JOEMA MISSION ENGLISH MEDIUM SCHOOL (PVT),783360,Kokrajhar
JOYMA MISSION JATIYA VIDYALAYA -PVT,783360,Kokrajhar
SANKARDEV SISHU NIKETAN (PVT),783336,Kokrajhar
BABYLAND ENG HIGH SCHOOL (PVT),783333,Kokrajhar
LOYOLA PVT SCHOOL,783333,Kokrajhar
ST. JOSEPHS SCHOOL (PVT),783333,Kokrajhar
M.A.M. JATIYA BIDYALAYA (PVT),783360,Kokrajhar
ST. PAULS E.M. SCHOOL (PVT),783337,Kokrajhar
BETHEL ENGLISH MISSION SCHOOL (PVT),783331,Kokrajhar
A.B.G.U. JATIYA VIDYALAYA (PVT),783339,Kokrajhar
SRIMANTA SANKARDEV VIDYALAYA (PVT),783339,Kokrajhar
DULIGAON U.N. ACADEMY (PVT),783337,Kokrajhar
GURUDEV K. BRAHMA ACADEMY (PVT),783339,Kokrajhar
