SchoolName,Pincode,District
BIHPURIA JATIA VIDYALAYA,784161,Lakhimpur
BAPUJI LITTLE FLOWER ENG.MED SCHOOL,784161,Lakhimpur
"SANKARDEV SISHU VIDYA NIKETAN, BIHPURIA",784161,Lakhimpur
DIKSHA VIDYA BHAWAN,784161,Lakhimpur
PRAJNAA ACADEMY BIHPURIA,784161,Lakhimpur
DIKRONG NATIONAL JUNIOR COLLEGE,784161,Lakhimpur
ARAYABHATTA VIDYA MANDIR,784161,Lakhimpur
GLOBAL JATIYA BIDYALAYA,787054,Lakhimpur
DINABANDHU ADARSHA VIDYALAYA,787054,Lakhimpur
SANKAR DEV SHISHU NIKETAN,787054,Lakhimpur
LAKHIMPUR MARKAZ ACADEMY,784160,Lakhimpur
GITA ACADEMY,784160,Lakhimpur
PRABHAT JYOTI JATIYA BIDYALAYA,784161,Lakhimpur
MOTHER ANGEL RESIDENTIAL SCHOOLS,784160,Lakhimpur
ST. XAVIER'S SCHOOL,784160,Lakhimpur
HARMOTI JATIA BIDYALAYA,784160,Lakhimpur
GRACE ENGLISH SCHOOL,784160,Lakhimpur
GYAN EDUCATIONAL INSTITUTION,784160,Lakhimpur
DENIZEN PUBLIC SCHOOL,784160,Lakhimpur
"SANKARDEV SISHU NIKETAN, LALUK",784160,Lakhimpur
LALUK JATIYA BIDYALAY,784160,Lakhimpur
PADUMONI JATIYA BIDYALAYA,784160,Lakhimpur
DR. A.P.J. ABDUL KALAM JATIYA BIDALAYA,787054,Lakhimpur
PRAGYADEEP JATIYA BIDYALAY,787054,Lakhimpur
GYAN SAURAV JATIYA VIDYALAYA,784161,Lakhimpur
SONAPUR S.S. JATIYA BIDYALAYA,787054,Lakhimpur
SONAPUR STARVALLEY JATIYA BIDYALAY,787054,Lakhimpur
DOULATPUR ISLAMIA B MADRASSA,787054,Lakhimpur
TINTHENGIA JATIYA BIDYALAYA,787054,Lakhimpur
G.I. JATIYA BIDYALAYA,787054,Lakhimpur
DIAMOND ARISE JATIYA BIDYALAYA,787054,Lakhimpur
