SchoolName,Pincode,District
N.S GREEN WOOD ENGLISH MEDIUM,785110,Majuli
SRI SRI ANIRUDDHADEV ACADEMY,785106,Majuli
SANKARDEV SISHU NIKETAN,785106,Majuli
B.D. GIRL'S HIGH SCHOOL,785105,Majuli
AMAR GHOSH HOLY ISLAND SCHOOL,785104,Majuli
SANKAR DEV SISHU NIKETAN,785106,Majuli
CAMBRIDGE ACADEMY OF EXCELLENCE,785106,Majuli
VIVEKANANDA KENDRA VIDYALAYA,785106,Majuli
ISLAND ACADEMY,785106,Majuli
NAMONI MAJULI JATIYA VIDYALAYA,785104,Majuli
SRI SRI GNAN MANDIR,785614,Majuli
SANKARDEV SHISHU NIKETAN PHULONI,785106,Majuli
JAMUDCHUK LAHAN JANAJATI HS,785104,Majuli
MAJULI JANAJATI JR COLLEGE,785105,Majuli
ECOLAND ACADEMY,785105,Majuli
BATHURAM BHARALI GIRLS HIGH SCHOOL,785104,Majuli
JONAKI JATIYA VIDHYALAYA,785104,Majuli
SANKARDEV SHISU NIKETAN BAPUCHALA,785110,Majuli
SANKARDEV SHISU NIKETON,785105,Majuli
ST. PAUL'S HIGH SCHOOL,785105,Majuli
EBION PUBLIC SCHOOL,785105,Majuli
VIVEKANANDA KENDRA PRATHAMIK VIDYALAYA,785106,Majuli
JENGRAI GAON GIRLS HIGH SCHOOL,785105,Majuli
LACHAN CHAPORI HS,785110,Majuli
KUMARBARI HS,785105,Majuli
KENG MILI JANAJATI HIGH SCHOOL,785105,Majuli
TRIBENI GIRL'S HIGH SCHOOL,785105,Majuli
MADHYA MAJULI JATIYA VIDYALAYA,785104,Majuli
UPPER CHERPAI HS,785105,Majuli
SANKARDEV VIDYA NIKETAN,785104,Majuli
VIVEKANANDA VIDYALAYA,785104,Majuli
PURNAKANTA DEV GOSWAMI MEMORIAL SHANKAR DEV SHISHU NIKETAN,785104,Majuli
SANKAR DEV SISHU NIKETAN,785110,Majuli
LOHIT PARIYA JUNIOR COLLEGE,785104,Majuli
UTTAR MAJULI JUNIOR COLLEGE,785104,Majuli
MAJULI ENGLISH SCHOOL,785105,Majuli
NATUNBAZAR SANKARDEV SISU VIDYA NIKETON,785105,Majuli
DHOWACHALA HS,785110,Majuli
SANKAR DEV SISHU NIKETAN,785110,Majuli
BRAHMAPUTRA JANAJATI HS,785110,Majuli
