SchoolName,Pincode,District
NAYAN JYOTI JATIYA VIDYALAYA,784190,Morigaon
NAGABANDHA JATIYA BIDYALAYA,782106,Morigaon
SAHARIAGAON GYAN JYOTI VIDYA PEETH,782126,Morigaon
BELOBORI SHEIKH BROTHERS JATIYA BIDYALAYA,782126,Morigaon
AJAN SANKAR VIDYAPITH (PRIVATE),782126,Morigaon
AL-HADEE ENGLISH ACADEMY MOIRABARI,782126,Morigaon
MOIRABARI ENGLISH ACADEMY,782126,Morigaon
HAJI ABDUL MOTIN KHAN LP SCHOOL,782126,Morigaon
AJAN SANKAR SENIOR SECONDARY SCHOOL,782126,Morigaon
MOIRABARI JATIYA BIDYALAYA,782126,Morigaon
AL FALAH MODEL SCHOOL MOIRABARI,782126,Morigaon
LAHARIGHAT JATIYA VIDYALAYA,782127,Morigaon
LAHARIGHAT NEW GLOBAL SCHOOL,782127,Morigaon
TINISUKIA JATIYA BIDYALAY,782127,Morigaon
"ADARSHA MARKAZ ACADEMY, TENGAGURI",782127,Morigaon
SANKARDEV SHISHU NIKETAN BHURAGAON,782121,Morigaon
BHURAGAON JATIYA BIDYALAYA,782121,Morigaon
"MODERN MARKAZ ACADEMY, BHURAGAON",782121,Morigaon
DURABANDHI ADARSHA VIDYAPITH,782126,Morigaon
BARALIMARI ANCH. JATIYA BIDYALAYA,782121,Morigaon
SANKARDEV SISHU NIKETAN GERUA,782121,Morigaon
GERUA KABIRAM BORO JUNIOR COLLEGE,782121,Morigaon
"SANKARDEV SIHSU NIKTAN, KUSHTOLI",782127,Morigaon
SHAHED ALI KHAN MODEL ACADEMY,782104,Morigaon
BOWALGURI HAJI EUSUF ALI JATIA VIDHYALAYA,782104,Morigaon
KACHARIBORI ANCH. JATIYA BIDYALAYA,782127,Morigaon
"SANKARDEV SISHU NIKETAN, JHARGAON",782411,Morigaon
SOLMARI MANIKANCHAN BIDYAMANDIR,782104,Morigaon
SANKAR DEV SISHU NIKETAN B BARJARI,782411,Morigaon
SANKARDEV B NIKETON BHAKATGAON,782411,Morigaon
SARASWATI JATIYA BIDYALAYA,782411,Morigaon
SANKARDEV SISHU NIKETAN,782412,Morigaon
SANKARDEV BIDYA NIKETON TELAHI,782412,Morigaon
MORIGAON JATIYA VIDYALAYA,782105,Morigaon
MUHILA HOME MODEL SCHOOL,782105,Morigaon
MUHILA HOME JUNIOR COLLEGE,782105,Morigaon
SANKARDEV BIDYA NIKETAN,782105,Morigaon
RAMESWARI SANGHA VIDYALAY,782105,Morigaon
MORIGAON MODEL HS,782105,Morigaon
PUBERUN ADARSHA VIDYAPITH,782105,Morigaon
GURUKUL ACADEMY JUNIOR COLLEGE,782105,Morigaon
MONIKANCHAN VIDYA MONDIR (P),782105,Morigaon
JYOTINIWAS HS,782410,Morigaon
NAVODOYA JATIYA VIDYALAYA,782410,Morigaon
NEW LIFE HIGH SCHOOL,782410,Morigaon
NALANDA ACADEMY,782410,Morigaon
SANJARDEV BIDYA NIKETAN JAGIROAD,782410,Morigaon
SANKARDEV B. NIKETAN NELLIE,782413,Morigaon
INDUS ACADEMY,782410,Morigaon
SANKARDEV SISU NIKETAN BAGHARA,782105,Morigaon
"SANKARDEV SISHU NIKETAN, BURGAON",782411,Morigaon
ST. THERESA'S SCHOOL,782105,Morigaon
RADHAKRISHNAN CENTRAL ACADEMY,782105,Morigaon
BABY LAND ENGLISH MEDIUM SCHOOL,782105,Morigaon
JNANDEEP JUNIOR COLLEGE,782105,Morigaon
NAVODAYA JATIYA VIDYALAYA,782104,Morigaon
"JATIYA BIDYALAYA,",782106,Morigaon
"SANKARDEV VIDYA NIKETAN , CHARAIBAHI",782106,Morigaon
MUKTI J. L. DEKA L.P. ( P ),782107,Morigaon
SRIMANTA SANKAR DEV SCHOOL,782142,Morigaon
"JATIYA BIDYALAYA, DOLONG GHAT",782142,Morigaon
BORCHILA ADARSHA JATIYA BIDYALAYA,782142,Morigaon
N. I. JATIYA BIDYALAYA,782123,Morigaon
"SANKARDEV BIDYA NIKETAN, KAPAHERA",782103,Morigaon
SANKARDEV SISHU BIDYA NIKETAN,782106,Morigaon
JATIYA BIDYALAYA RANAGADARIA,782103,Morigaon
"SANKARDEV SISHU NIKETAN, BHURBANDHA",782104,Morigaon
"JATIYA BIDYALAYA, DANDUA",782104,Morigaon
MANIKANCHAN BIDYA MANDIR,782105,Morigaon
SANKARDEV SHISHU NIKETAN (MANIPUR),782105,Morigaon
SANKARDEV SISU NIKETAN GARMARI,782105,Morigaon
GYANJYOTI JATIYA VIDYALAYA,782105,Morigaon
M.K ADARSHA JATIYA VIDYALAYA,782122,Morigaon
ARABARI JATIYA BIDYALAYA,782124,Morigaon
IMPACT SENIOR SECONDARY SCHOOL,782103,Morigaon
GREEN VALLEY PUBLIC SCHOOL,781012,Morigaon
