SchoolName,Pincode,District
M. HAZARIKA SUWORONI J. BIDYALAYA,782142,Nagaon
AMLOKHI BHETIBARI A.S.S. BIDYAPITH,782123,Nagaon
DHUPAGURI K.BASTY R.P. GIRLS HS,782123,Nagaon
DHUPAGURI MODERN ENGLISH SCHOOL,782003,Nagaon
DHUPAGURI J.AHMED JATIYA VIDYALAYA,782123,Nagaon
USMAN GANI JUNIOR COLLEGE,782123,Nagaon
NAVAJAGARAN JATIYA BIDYALAYA,782123,Nagaon
BATAMARI GAYANDEEP SR.SEC.SCHOOL,782123,Nagaon
BECHAMARI DR.A.B.S. JATIYA VID.(V,782123,Nagaon
GYANDEEP BIDYAPITH,782123,Nagaon
NAV-JAGARAN VIDYAPITH BECHAMARI,782123,Nagaon
NIZDHING ADARSHA JATIYA VIDYALAYA,782123,Nagaon
KANDHULIMARI JATIYA BIDYALAYA,782123,Nagaon
KANDHULIMARI GAYAN DARSHAN BIDYAPITH,782123,Nagaon
KATAHGURI QUASEME JATIYA VIDYALAYA,782123,Nagaon
KATAHGURI MUKTER HUSSAIN GIRLS HIGH SCHOOL,782123,Nagaon
ROWMARI MOIRADHAJ ADARSHA JATIYA VIDYALAYA,782123,Nagaon
KAZI A.RASHID BIDYAPITH,782126,Nagaon
SHALKATI HAJI SULTAN ALI JATIYA BIDYALAYA,782126,Nagaon
MOIRADHAJ PACHIM UTTAR CHUK AK LPS,782123,Nagaon
AL-AMEEN ACADEMY MOIRADHAJ,782123,Nagaon
DAMAYANTI BALA MEMORIAL ENGLISH ACADEMY,782123,Nagaon
GYAN DEEP SISHU NIKETAN,782122,Nagaon
RABIA MODEL MARKAZ ACADEMY,782123,Nagaon
IQRA ADARSHA ACADEMY,782123,Nagaon
SANKARDEV SISHU NIKETON DOOM DOOMIA BALISATRA,782122,Nagaon
RAMPUR CHALAPATHAR JATIYA VIDYALAYA,782122,Nagaon
RAMPUR CHALAPATHER NAVODAYA JATIYA VIDYALAYA,782123,Nagaon
JATIYA VIDYALAYA BATADRAVA,782122,Nagaon
SHANKAR DEV SHISHU BIDYA NIKETAN BATADRAVA,782122,Nagaon
1 NO KANDHULIMARI PR SR MADRASSA,782123,Nagaon
DHANIA BHETI ADARSHA JATIYA VIDALAYA,782122,Nagaon
ALITANGANI JATIYA BIDYALAYA,782124,Nagaon
ALHAJ HUSSAIN ALI ACADEMY,782124,Nagaon
BATAMARI JATIYA VIDYALAYA,782124,Nagaon
PUB BARALIMARI JATIYA VIDYALAY,782124,Nagaon
GYANJYOTI JATIYO VIDYALAYA,782124,Nagaon
HOLY CHILD SCHOOL,782124,Nagaon
NATIONAL JUNIOR COLLEGE,782124,Nagaon
PUB CHATIAN JATIYA BIDYALAYA,782124,Nagaon
"ADARSHA JATIYA BIDYALAYA, DAGAON",782124,Nagaon
DAAGON CENTRAL SCHOOL,782124,Nagaon
ABDUL MOZID JATIYA BIDYLAYA,782124,Nagaon
JARAMARI JATIYA VIDYALAYA,782122,Nagaon
NORTH EAST ADVANCED ACADEMY,782122,Nagaon
BRAHMAPUTRA VALLEY JATIYA BIDYALAYA,782122,Nagaon
JENGONI KALADUBA HIGH SCHOOL,782122,Nagaon
