SchoolName,Pincode,District
AL-AMIN ADARSHA JATIYA VIDYALAYA,781102,Nalbari
BHAKATRAM MEMORIAL JATIYA VIDYALAYA,781126,Nalbari
SANKARDEV SISHUNIKETON BARTOLA,781138,Nalbari
SANKAR AJAN JATIYA BIDYALAYA,781304,Nalbari
NIJORA LPS,781126,Nalbari
"SANKARDEV SISHU NIKETAN, DAULASAL",781312,Nalbari
SANKARDEV SISHUNIKETON TEGHERITARY,781126,Nalbari
ADARSHA JATIYA BIDYALAYA And ORPHANAGE,781138,Nalbari
HAZRAT ALI ( R) MODEL ACADEMY,781138,Nalbari
LUITVALLEY ADARSHA JATIYA VIDALAYA,781138,Nalbari
"G B L C JATIYA BIDYALAYA, GHOGA",781126,Nalbari
ARONUDAYA DEAF & DUMB SCHOOL,781138,Nalbari
OXFORD PUBLIC SCHOOL,781138,Nalbari
K.B MILAN JYOTI JATIYA VIDYALAYA,781138,Nalbari
GYANDEEP DHINI JATIYA VIDYALAYA BALIKUCHI,781126,Nalbari
SANKARDEV SISHU NIKETAN,781126,Nalbari
NO 1 NAVAJIVAN BUNIADI BIDYALAYA,781126,Nalbari
CENTRAL PUBLIC SCHOOL,781126,Nalbari
"BARALIYA JATIYA BIDDALAYA, BARALIARPAR",781126,Nalbari
NO 1 KANDHABARI ANCHALIK JATIYA VIDYALAYA,781126,Nalbari
MADINATUL ULOOM ISLAMIA MADRASSA,781126,Nalbari
"AKSHA DWINY JATIA BIDYALAYA ,ADABARI",781126,Nalbari
NATIONAL PUBLIC SCHOOL ADABARI,781126,Nalbari
JAMIATUS SALIAHAT GIRLS MADRASSA ADABARI,781126,Nalbari
"SANKARDEV SHISHU-VIDYA NIKETAN, ADABARI",781126,Nalbari
GALDIGHLA JATIYA BIDYALAYA,781126,Nalbari
"PUB BARKHETRI ANCHALIK JATIYA BIDYALAYA, LOHARKATHA",781126,Nalbari
"LOHARKATHA ANCHALIK JUNIOR COLLEGE, LOHARKATHA",781126,Nalbari
NAWBAZ CHAR JATIYA BIDYALAYA,781126,Nalbari
HAZRAT RAMJAN SHAH ( R) ISLAMIA MADARSA BAMUNBARI,781312,Nalbari
"SANKAR AJAN JATIYA VIDYALAYA, MUGDI",781312,Nalbari
"MILAN JYOTI JATIYA VIDYALAYA, MUGDI-SONAPUR",781312,Nalbari
"ANCHALIK Sr Secondary School, RAMPUR",781312,Nalbari
SANKARDEB SISHU NIKETAN RAMPUR,781312,Nalbari
"UDIYAMAN JATIYA BIDYALAYA, RAMPUR",781312,Nalbari
BRIGHT STAR ENGLISH ACADEMY,781312,Nalbari
ADARSHA JATIYA VIDYALAYA,781126,Nalbari
FLORANCE SCHOOL,781126,Nalbari
IQRA ACADEMY AN ENGLISH MEDIUM SCHOOL,781126,Nalbari
BIDYAJYOTI ACADEMY MUKALMUA,781126,Nalbari
JNYANPEETH HIGH SCHOOL,781126,Nalbari
BARKHETRI JATIYA BIDYALAYA,781126,Nalbari
DREAMLAND ENGLISH SCHOOL NARAYANPUR,781126,Nalbari
HOLY ANGELS ENGLISH SCHOOL,781126,Nalbari
HAZRAT ALI (R) D. ENGLISH ACADEMY,781126,Nalbari
ALMADRASATUL MONOWARATULIL BANAT MADRASSA,781138,Nalbari
KIAMUDDIN MEMORIAL PRE-SENIOR MADRASSA,781126,Nalbari
BARDHAP KHALIHAPARA ADARSHA JATIYA BIDYALAYA,781126,Nalbari
PRAGATI JATIYA VIDYALAYA JOYSAGAR,781126,Nalbari
L M SENIOR MADRASSA,781138,Nalbari
SHANKARDEV SHISHU NIKETAN,781369,Nalbari
SANKARDEV SISHU NIKETAN,781310,Nalbari
PRAGJYOTISH JATIYA BIDYALAYA,781310,Nalbari
TAJMAHAL IINTERNATIONAL PUBLIC SCHOOL,781348,Nalbari
"SANKARDEV SISHU NIKETAN,BARMURIKONA,KARDOITOLA",781334,Nalbari
SHOISHAV VIDYAPEETH,781351,Nalbari
UTTAR NALBARI HAFIZIA MADRASSA,781340,Nalbari
G.K BIDYAMANDIR JATIYA BIDYALAYA,781340,Nalbari
