SchoolName,Pincode,District
MANDRE PRIMARY SCHOOL,403527,North Goa
VISCOUNT OF PERNEM PRIMARY SCHOOL,403512,North Goa
ST. ANNE'S HIGH SCHOOL,403503,North Goa
SHREE SATERI ENG PRIMARY SCHOOL,403512,North Goa
DATTARAM MANTRAVADI MEMO PRY SCHOOL,403507,North Goa
ST. ANTHONY PRY SCHOOL,403507,North Goa
EDEN PRIMARY PRE PRIMARY SCHOOL,403507,North Goa
"BLOOMING BUDS PRY SCHOOL, CALANGUTE",403516,North Goa
"FUTURE HOPE PRY SCHOOL, CALANGUTE",403516,North Goa
BABYLAND PRY SCHOOL,403507,North Goa
GOOD SHEPHARD SCHOOL,403001,North Goa
HOLY CROSS CAMURLI PRY,403507,North Goa
LITTLE ANGELS PRIMARY SCHOOL ANJUNA,403509,North Goa
ST RITA'S PRY SCHOOL,403513,North Goa
SHREE RAM VIDYA MANDIR PRIMARY SECTION,403513,North Goa
ROSE GARDEN PRIMARY SCHOOL,403521,North Goa
THE ARDEE WORLD SCHOOL,403521,North Goa
MATER DEI INSTITUTION,403511,North Goa
SEMINARY OF OUR LADY HIGH SCHOOL,403511,North Goa
GREEN MEADOWS SCHOOL,403518,North Goa
JOEDELLS PRIMARY SCHOOL,403507,North Goa
BLOOMING DALE PRY SCHOOL,403507,North Goa
CHUBBY CHEEKS PRY SCHOOL,403521,North Goa
KIDS KINGDOM INTERNATIONAL SCHOOL,403521,North Goa
JNYAN VIKAS SCHOOL,403521,North Goa
THE PORVORIM ENGLISH PRIMARY SCHOOL,403521,North Goa
MARIA VITORIA GURJAO SCHOOL,403521,North Goa
HOLY FAMILY PRIMARY SCHOOL,403501,North Goa
STEPPING STONES PRY SCHOOL,403101,North Goa
SHIKSHA NIKETAN PRIMARY SCHOOL,403101,North Goa
HOLY TRINITY PRY SCHOOL,403507,North Goa
DIVINE MERCY ENGLISH MEDIUM EDGAR F. BRAGANZA MEMORIAL SCHOOL,403507,North Goa
DNYANPRASSARAK VIDYALAYA PRIMARY,403507,North Goa
YOUNG ACHIEVERS PRIMARY SCHOOL,403521,North Goa
"ST. FRANCIS SCHOOL, DULER",403526,North Goa
SHIVAJIRAJE PRIMARY SCHOOL,403503,North Goa
SMT LAXMIBAI SANZAGIRI MEM SCH,403505,North Goa
BIC. ROTARY CHARITABLE TRUST'S ENG MED PRY SCH,403504,North Goa
GURUDAS P GAUNS MEM. ENG PRY SCHOOL,403505,North Goa
SHRI. BHUMIKA PRIMARY SCHOOL,403505,North Goa
SEVENTH DAY ADVENTIST SCHOOL,403001,North Goa
TINY TOTS PRIMARY SCHOOL,403001,North Goa
SHARADA MANDIR SCHOOL GOALIM MOULA KADAMBA,403402,North Goa
BAL BHAVAN PRIMARY SCHOOL,403001,North Goa
"Mushtifund Saunstha,Shree Mahalaxmi Primary School",403001,North Goa
ROYALE PRIMARY SCHOOL,403002,North Goa
"ST. MICHAEL PRIMARY SCHOOL, TALEIGAO- GOA",403002,North Goa
NAVAYUG NIKETAN PRIMARY SCHOOL,403002,North Goa
OUR LADY OF HELP PRIMARY SCHOOL,403006,North Goa
LITTLE ANGELS PRIMARY SCHOOL,403202,North Goa
EZEKIEL METHODIST SCHOOL,403202,North Goa
MERCURY ARMY PREPRIMARY AND PRIMARY SCHOOL,403201,North Goa
MONTESSORI PRIMARY SCHOOL,403108,North Goa
EPHIGENIA ENGLISH SCHOOL,403005,North Goa
KIDZ WORLD PRIMARY SCHOOL,403005,North Goa
MERRY ANGEL'S PRIMARY SCHOOL,403005,North Goa
GREENLAWN PRIMARY SCHOOL,403401,North Goa
ST. MICHAELS PRIMARY SCHOOL CARANZALEM,403002,North Goa
SUNSHINE WORLDWIDE SCHOOL,403402,North Goa
FR. AGNEL CENTRAL SCHOOL,403203,North Goa
FAIRYLAND PRIMARY SCHOOL,403108,North Goa
PEOPLES PRIMARY SCHOOL,403001,North Goa
THE ROSARY SCHOOL,403001,North Goa
SHARADA MANDIR,403001,North Goa
DEMPO HIGHER SECONDARY SCHOOL OF SCIENCE,403001,North Goa
MUSHTIFUND ARYAAN HIGHER SECONDARY SCHOOL,403001,North Goa
THE GERA SCHOOL,403402,North Goa
MEFs PRIMARY SCHOOL,403401,North Goa
G.V.M'S PRY AND K.G,403406,North Goa
VIDHYA VRUDDHI SAUNSTHA'S SCHOOL,403401,North Goa
G.V.M's ADARSH HIGHER SECONDARY SCHOOL,403401,North Goa
GVMS UTKARSH VIDYA MANDIR,403401,North Goa
GVM's KG AND PRIMARY SCHOOL BORIM,403401,North Goa
GVM's KG & Primary School,403401,North Goa
PRAGATI VIDHYA MANDIR PRY SCHOOL,403401,North Goa
GVM'S KG & PRIMARY KHANDEPAR,403406,North Goa
GURUKUL ACADEMY,403401,North Goa
G.V.M'S K.G. & PRI. SCHOOL BANDORA,403401,North Goa
"ESTELLAR HIGHER SECONDARY SCHOOL OF EXCELLENCE, PENHA DE FRANCA, BARDEZ GOA",403521,North Goa
PODAR INTERNATIONAL SCHOOL,403006,North Goa
"INDI-GLOBAL PARADISE SCHOOL, CANCA - VERLA",403510,North Goa
"SPRING VALLEY HIGHER SECONDARY SCHOOL, ALTO PORVORIM",403521,North Goa
School Name,Pincode,District
