SchoolName,Pincode,District
LITTLE AGGEL PUBLIC SCHOOL,787052,Sivasagar
SUNNY ROSE ENGLISH HIGH SCHOOL,785672,Sivasagar
DOON PUBLIC SCHOOL,785640,Sivasagar
PD ACADEMY,785667,Sivasagar
KRISHNA KT. HANDIQUE SISHU NIKETON,785667,Sivasagar
DESANGMUKH JATIYA VIDYALAYA,785663,Sivasagar
SWARNA BIDYAPEETH,785662,Sivasagar
H.C.B. MODEL ENGLISH SCHOOL,785662,Sivasagar
DEMOW ADARSHA JATIYA VIDYALAYA,785662,Sivasagar
DEMOW JUNIOR COLLEGE,785662,Sivasagar
SAMANNAY JUNIOR COLLEGE,785662,Sivasagar
DEMOW ENGLISH ACADEMY,785662,Sivasagar
L.B.S. SISHU NIKETAN,785662,Sivasagar
SANKARDEV JATIYA VIDYALAYA,785667,Sivasagar
KONWERPUR JR.COLLEGE,785667,Sivasagar
MAHARANI ADARSHA JANAJATI HS,785662,Sivasagar
PRABHATI SURUJ JATIYA BIDYALAY,785671,Sivasagar
SANKARDEV SISHU NIKETAN,785671,Sivasagar
SRIMANTA SANKARDEV VIDYALAYA,785671,Sivasagar
SANKARDEV SISHU NIKETAN,785671,Sivasagar
RAJABARI SR SECONDARY SCHOOL,785671,Sivasagar
GK SANKAR DEV SISHU NIKETON,785671,Sivasagar
SANKARDEV SHISHU NIKETAN,785640,Sivasagar
PANI DEHING JUNIOR COLLEGE,785671,Sivasagar
TETELIGURI JANAJATI LPS,785671,Sivasagar
ST MARYS SCHOOL,785662,Sivasagar
RAJABARI JATIYA BIDYALAYA,785672,Sivasagar
TENGAPANI JATIYA BIDYALAYA,785671,Sivasagar
SANKARDEV SISHU NIKETAN,785640,Sivasagar
NEW LOOK ACADEMY,785640,Sivasagar
MONTESWARI JATIYA BIDYALAYA AMGURI,785680,Sivasagar
SANKARDEV SISHU NIKETAN HALWATING,785681,Sivasagar
ARUNUDOI ACADEMY,785680,Sivasagar
RAMESWAR DUTTA ENG. MEDIUM HS,785680,Sivasagar
K. C. MEMORIAL ENGLISH SCHOOL,785680,Sivasagar
ANKURAN JATIA VIDYALAYA,785683,Sivasagar
BORBAM JATIYA BIDYALAYA,785681,Sivasagar
BRAHMAPUTRA ENGLISH ACADEMY,785666,Sivasagar
GOLDLINE MODEL SCHOOL,785661,Sivasagar
MORABAZAR JATIYA VIDYALAYA,785680,Sivasagar
SAMAGURI JATIA VIDYALYA,785680,Sivasagar
SHANKAR DEV SISHU VIDYA NIKETON,785661,Sivasagar
S. J. B. JATIYA VIDYALAYA,785664,Sivasagar
AXOM JATIYA BIDYALAYA,785682,Sivasagar
JNANBIKASH VIDYAPITH,785680,Sivasagar
SANKARDEV JYOTI BIDYAPITH,785680,Sivasagar
NEELAKSHI MEMORIAL ACADEMY SENIOR SECONDARY SCHOOL,785680,Sivasagar
MAGARAHAT JATIYA BIDYALAYA,785666,Sivasagar
SANKARDEV VIDYA MANDIR,785664,Sivasagar
SISHU SADAN HIGH SCHOOL GAURISAGAR,785664,Sivasagar
GAURISAGAR SENIOR SECONDARY SCHOOL,785664,Sivasagar
SANKARDEV SISHU NIKETAN GAURISAGAR,785664,Sivasagar
DOPDAR JATIYA VIDYALAYA,785680,Sivasagar
THE DIVINE GRACE SCHOOL,785697,Sivasagar
SHANKARDEV SISHU NIKETAN,785640,Sivasagar
K.P.M. ENGLISH SCHOOL,785667,Sivasagar
BOGIDOLE SANKARDEV SISHU NIKETAN,785640,Sivasagar
BORPATRADOLE JATIYA BIDYALAYA,785666,Sivasagar
DON BOSCO H.S.,785680,Sivasagar
ADARSHA SISU BHABAN,785680,Sivasagar
SIVASAGAR JATIYA VIDYALAYA,785665,Sivasagar
AMGURI JATIYA VIDYALAYA,785680,Sivasagar
C GOGOI SANKARDEV SISHU NIKETAN,785683,Sivasagar
JHANJI JATIYA VIDYALAY,785683,Sivasagar
SRI SUNDARMAL MODERN SCHOOL,785640,Sivasagar
ASOM JATIYA VIDALAYA,785681,Sivasagar
NORTH EAST CENTRAL ENG. SCHOOL,785681,Sivasagar
TEMPLE TOWN EURO SCHOOL,785665,Sivasagar
SANKAR DEV SISHU NIKETAN,785640,Sivasagar
TWINKLE STAR ACADEMY,785640,Sivasagar
RONGPUR JATIYA BIDYA NIKETAN,785640,Sivasagar
BRAHMAPUTRA VALLEY SCHOOL,785640,Sivasagar
BIDYA KUNJA JATIYA VIDYALAYA,785697,Sivasagar
GURUKUL,785701,Sivasagar
SANKARDEV SISHU NIKETAN,785701,Sivasagar
HOLY NAME SCHOOL,785640,Sivasagar
SRIMONTA SANKARDEV BIDYALAYA,785697,Sivasagar
SANKARDEV SISHU NIKETAN,785640,Sivasagar
MAHABIR CHILARAI JR. COLLEGE,785697,Sivasagar
BIDYA BHAWAN,785685,Sivasagar
BETBARI JATIYA BIDYAPITH,785697,Sivasagar
SHALOM ENGLISH SCHOOL,785673,Sivasagar
ARUNODAI JR COLLEGE,785640,Sivasagar
