SchoolName,Pincode,District
S.H. PATUWARY ADARSHA JATIYA BIDYALAYA,782428,Sonitpur
SONITPUR SISHU BIKASH ACADEMY,784001,Sonitpur
SACRED HEART HIGH SCHOOL,784001,Sonitpur
Emmanual Christian school,784001,Sonitpur
Tezpur Science Academy,784154,Sonitpur
Luit Valley Academy,784025,Sonitpur
Sonitpur College,784025,Sonitpur
PANCHMILE JATIYA VIDYALAYA,784025,Sonitpur
THELAMARA JATIYA BIDYALAYA,784149,Sonitpur
SANKARDEV SISHU NIKETAN PACHIM TEZPUR,784001,Sonitpur
Upendra National Academy,784149,Sonitpur
St. Mary's School,784027,Sonitpur
KNOWLEDGE PATH ACADEMY,784027,Sonitpur
KRISHNA GURU BIDYAJYOTI,784149,Sonitpur
Moonlit HS,784001,Sonitpur
Yuganayak Shankardev Sishu Niketan,784153,Sonitpur
SANKARDEV SISSU NIKATAN,784149,Sonitpur
SRIMANTA SANKARDEV JATIYA VIDYALAYA,784001,Sonitpur
St. Joseph's Convent HSS,784001,Sonitpur
ALL SAINTS DIOCESAN SCHOOL,784001,Sonitpur
GURUNANAK MODEL HS,784001,Sonitpur
LOTUS ENGLISH SCHOOL,784001,Sonitpur
AL-KAUSER MODEL ACADEMY,784001,Sonitpur
Tezpur Gurukul,784001,Sonitpur
HOLY CHILD ENGLISH SCHOOL,784506,Sonitpur
SWARUP STHITI BORDING SCHOOL,784507,Sonitpur
"UPENDRA NATIONAL ACADEMY, HUGRAJULI",784507,Sonitpur
Smart Kids School,784110,Sonitpur
VIVEKANANDA SISTER NIVEDITA SCHOOL,784110,Sonitpur
GYANAM,784110,Sonitpur
BRAHMAPUTRA PUBLIC SCHOOL,784110,Sonitpur
KIDS HEAVEN ENGLISH SCHOOL,784110,Sonitpur
SANKARDEV SISHU NIKETAN,784110,Sonitpur
RISING STAR ENGLISH SCHOOL,784110,Sonitpur
Little Angels School,784110,Sonitpur
Tea Buds Enlish HS,784110,Sonitpur
NAYAN JYOTI JATIYA VIDYALAYA,784112,Sonitpur
Abdul Hussain Jatiya Bidyalaya,784110,Sonitpur
LUIT JATIYA BIDYALAYA,784117,Sonitpur
"U.N. ACADEMY, JALANG CENTRE",784110,Sonitpur
GURUDEV KALICHARAN BRAHMA JWNGMA ASHRAM,784110,Sonitpur
ZION ENGLISH MEDIUM SCHOOL,784111,Sonitpur
SANKARDEV SISHU NIKETAN,784117,Sonitpur
BORSOLA JATIYA BIDYALAY,784117,Sonitpur
ST. URSULA SCHOOL,784110,Sonitpur
Khudeja Khatun Jatiya Bidyalaya,784110,Sonitpur
KEHERUKHANDA JATIYA BIDYALAY,784110,Sonitpur
SANKARDEV SISHU NIKETAN,784149,Sonitpur
SARASWATI PUBLIC SCHOOL,784110,Sonitpur
"Pole Star Academy, Bhangamandir",784112,Sonitpur
SANKARDEV SISHU NIKETAN,784112,Sonitpur
Upendra National Academy Belsiri,784111,Sonitpur
"UPENDRA NATIONAL ACADEMY, ABWI CENTRE",784111,Sonitpur
DON BOSCO HIGHER SECONDARY SCHOOL,784117,Sonitpur
MITERI ENGLISH SCHOOL,784110,Sonitpur
SANKARDEV SISSU NIKETAN,784117,Sonitpur
GURUKUL ENGLISH SCHOOL,784112,Sonitpur
SANKAR AJAN ADARSHA JATIYA BIDYALAYA,784112,Sonitpur
Sankardev Jatiya Vidyalaya,784506,Sonitpur
Matab Ali Jatiya Vidyalaya,784110,Sonitpur
POLE STAR ACADEMY,784110,Sonitpur
Little Star English School,784507,Sonitpur
CHILDREN'S PARADISE ENGLISH SCHOOL,784507,Sonitpur
ADARSHA JATIYA BIDYALAYA,784507,Sonitpur
SANKARDEV SISHU NIKETAN,784507,Sonitpur
Bodofa Upendra National Academy,784111,Sonitpur
Swrji Bathou Ashram School,784111,Sonitpur
"U N Academy, Birgwsri",784111,Sonitpur
SONG BWRAI BATHOU ASHRAM SCHOOL,784507,Sonitpur
Army Public School,784506,Sonitpur
"HAZARAT AISA(R.A)ACADEMY, RAGAGORAH",784110,Sonitpur
Green Dale School,784505,Sonitpur
SANKARDEV SISHU NIKETON RANGAPARA,784505,Sonitpur
Nagapathar High School,784506,Sonitpur
Sonali Junior College,784153,Sonitpur
"UN Academy, Khelmati",784153,Sonitpur
Assam Rifles HS,784103,Sonitpur
Roop Konwar Sishu Niketan,784102,Sonitpur
Summerdale English Medium School,784102,Sonitpur
St. John's school,784101,Sonitpur
LITTLE FLOWER ENGLISH SCHOOL,784102,Sonitpur
MORNING STAR ENGLISH SCHOOL,784103,Sonitpur
ZION ENGLISH ACADEMY,784102,Sonitpur
The Heritage Enlish School,784101,Sonitpur
JOHN MEMORIAL HS,784105,Sonitpur
ELITE ACADEMY,784101,Sonitpur
HOLI KID'S PUBLIC SCHOOL,784101,Sonitpur
Little Flower English School,784105,Sonitpur
"B.N. ACADEMY, MWNABILI",784103,Sonitpur
VIVEKANANDA KENDRA VIDYALAY TEZPUR,784150,Sonitpur
Gyan Bharati Academy,784154,Sonitpur
MODEL ACADEMY KHANAMUKH,784101,Sonitpur
"U.N. ACADEMY, MAINAOSRI",784105,Sonitpur
AIR FORCE SCHOOL,784104,Sonitpur
St Xavier's Junior College,784105,Sonitpur
Holy Child School,784505,Sonitpur
SEVEN SISTER'S ENGLISH SCHOOL,784504,Sonitpur
RAJENDRA JYOTI B. M. HINDI HS,784505,Sonitpur
St. Paul's English School,784505,Sonitpur
Gyandeep Vidyaniketan,784505,Sonitpur
Ankur Bikash Jatiya Vidyalaya,784505,Sonitpur
Bahbari Jatiya Bidyalaya,784101,Sonitpur
KUMUDA SUNDARI SEN ACADEMY,784101,Sonitpur
MADHAV DEV SHISHU NIKETAN,784028,Sonitpur
"HEERA ACADEMY, TEZPUR",784028,Sonitpur
HINDUSTAN KENDRIYA VIDYALAYA,784001,Sonitpur
MAHARSHI VIDYAMANDIR,784154,Sonitpur
Little Angel Enlish&Assamese School,784504,Sonitpur
SONITPUR VIDYA NIKETAN,784154,Sonitpur
SANKARDEV SHISU NIKETAN,784101,Sonitpur
CARMEL CONVENT SCHOOL,784154,Sonitpur
ARMY PUBLIC SCHOOL,784501,Sonitpur
DON BOSCO HIGH SCHOOL,784001,Sonitpur
CHRIST JYOTI HIGH SCHOOL,784507,Sonitpur
"SACRED HEART SCHOOL,ROWTA",784508,Sonitpur
DAFALA POTA HIGH SCHOOL,784114,Sonitpur
"U N ACADAMY, KACHARISON",784117,Sonitpur
Green Model English HS,784182,Sonitpur
NEW HORIZON LPS,784176,Sonitpur
