SchoolName,Pincode,District
HITESH R-CHOUDHURY MEMORIAL SCL,783331,South Salmara Mancachar
A.K.MONDAL MEMORIAL ADARSHA VL,783330,South Salmara Mancachar
SALKATA SUNLIGHT JATIYA VIDYALAYA,783330,South Salmara Mancachar
M.B. JATIO BIDYALAYA,783330,South Salmara Mancachar
RAHAMATPUR ANCHALIK JATIYA BIDYALAYA,783330,South Salmara Mancachar
SALKATA JANA KALYAN ACADEMY,783330,South Salmara Mancachar
ANNESHA SHIKSHA NIKETAN,783330,South Salmara Mancachar
B.N. NAVAJYOTI JATIYA BIDYALAYA,783330,South Salmara Mancachar
GYANDEEP JATIYA BIDYALAYA,783330,South Salmara Mancachar
BRAHMAPUTRA JATIO BIDYALAYA BIRSHING,783330,South Salmara Mancachar
BIRSHING JATIO VIDYALAYA,783330,South Salmara Mancachar
BALUGHAT DHENARKUTI ADARSHA SISHU,783127,South Salmara Mancachar
BALUGHAT NAVOJYOTI JATIO BIDYALAYA,783127,South Salmara Mancachar
ADARSHA SISHU BIDYALAYA (RAVATARY),783127,South Salmara Mancachar
OXFORD ACADEMY,783330,South Salmara Mancachar
DIPTI ADARSHA BIDYALAYA,783330,South Salmara Mancachar
SMART SIKSHA ACADEMY,783327,South Salmara Mancachar
JONAKI JATIO BIDYALAYA,783330,South Salmara Mancachar
"SMART ACADEMY, CHANDIPARA",783330,South Salmara Mancachar
DR. JAKIR HUSSAIN ENGLISH ACADEMY,783330,South Salmara Mancachar
DR. JAKIR HUSSAIN ACADEMY,783330,South Salmara Mancachar
MOON LIGHT ACADEMY,783330,South Salmara Mancachar
SB. VIDYAPITH,783330,South Salmara Mancachar
SKYLARK ACADEMY,783330,South Salmara Mancachar
NAMONI ASOM JATIYA VIDHYALAYA SURJOMONI (RAVATARY),783127,South Salmara Mancachar
DR. A.P.J. ABDUL KALAMJATIYA BIDYALAYA,783128,South Salmara Mancachar
SANKAR AZAN JATIYA VIDYALAYA,783330,South Salmara Mancachar
MILON JYOTI JATIYA BIDYALAYA,783330,South Salmara Mancachar
SAMAJ KALYAN JATIYA BIDYALAYA,783330,South Salmara Mancachar
NICHINPUR JATIYA BIDYALAYA,783330,South Salmara Mancachar
DARUL ULUM AHMEDIA ACADEMY,783330,South Salmara Mancachar
SISHU KALYAN JATIYA VIDYALAYA,783330,South Salmara Mancachar
AIRKATA BAZAR JATIYA VIDYALAYA,783330,South Salmara Mancachar
BUL BUL JATIYA VIDYALAYA,783330,South Salmara Mancachar
MOIRAKUCHI AL-AMIN JATIYA BIDDYALAYA,783330,South Salmara Mancachar
A.R. MEMORIAL JATIYA BIDYALAYA,783330,South Salmara Mancachar
MEDARTARI JATIYA BIDYALAYA,783330,South Salmara Mancachar
ADROSHO CHAR JATIYO BIDYALAYA NILOKHIA,783128,South Salmara Mancachar
PANDIT ABDUL HALIM JATIYA BIDYALAYA,783330,South Salmara Mancachar
"AUREUS ACADEMY,FAKIRGANJ",783330,South Salmara Mancachar
FAKIRGANJ ANCHALIK ROYAL INSTITUE,783330,South Salmara Mancachar
KHADIZA MEMORIAL JATIYA BIDYALAYA,783330,South Salmara Mancachar
ADHYAYAN ACADEMY,783330,South Salmara Mancachar
ABDUR ROUF MEMORIAL ADORSHA VIDYALAYA,783128,South Salmara Mancachar
CHAR UNNAYAN JATIYO BIDYALAYA,783330,South Salmara Mancachar
LIFE SHINE ACADEMY MEDORTARI,783330,South Salmara Mancachar
"N. N. S. K. ACADEMY, CHIRAKUTI",783330,South Salmara Mancachar
AKAM ADARSHYA JATIYO,783132,South Salmara Mancachar
GURUKUL MODEL ACADEMY (JATIYA VIDYALAYA),783135,South Salmara Mancachar
JONBAI ASOM JATIYA VIDYALAYA,783131,South Salmara Mancachar
JONAKI SANGHA JATIYA VIDYAPITH,783131,South Salmara Mancachar
"ARUNODAYA JATIYA VIDYALAYA, JHOWDANGA",783131,South Salmara Mancachar
"ASOM JATIYO VIDYALAYA, JHOWDANGA",783131,South Salmara Mancachar
GYANDEEP JATIO VIDYALAYA,783131,South Salmara Mancachar
THAKURANBARI JATIYA VIDYALAYA,783131,South Salmara Mancachar
SHIMANTA JATIO VIDYALAYA,783131,South Salmara Mancachar
NAMONI AXOM JATIYA VIDYALAYA,783135,South Salmara Mancachar
SANKAR AJAN JATIYA VIDYALAYA,783135,South Salmara Mancachar
NAVODAYA JATIYA VIDYALAYA,783135,South Salmara Mancachar
ELEGANT ENGLISH ACADEMY,783135,South Salmara Mancachar
"IQRA ENGLISH ACADEMY, HATSINGIMARI",783135,South Salmara Mancachar
SUKCHAR JATIO BIDYALAYA,783128,South Salmara Mancachar
SHISHU BIKASH ADARSHA JATIA VIDYALAYA,783135,South Salmara Mancachar
CHATIBHUI SARBOJANIN JATIYA VIDYALAYA (KURALBHANGA),783135,South Salmara Mancachar
FOUR SISTER BLOOM JATIYA VIDYALAYA,783131,South Salmara Mancachar
SONOR AXOM JATIYA VIDYALAYA,783131,South Salmara Mancachar
"S.R. ACADEMY (JATIYA VIDYALAYA), FOKIRPARA",783131,South Salmara Mancachar
DR. A.P.J. ABDUL KALAM ACADEMY,783131,South Salmara Mancachar
AL AMEEN ISMAIL HOSSAIN IDEAL SCHOOL,783135,South Salmara Mancachar
NOVOJYOTI ADARSHA JATIO VIDYALAYA,783135,South Salmara Mancachar
RAHMANIA ENGLISH ACADEMY,783135,South Salmara Mancachar
NAVA JAGORAN JATIYA VIDYALAYA,783135,South Salmara Mancachar
"GREEN VALLEY SCHOOL, MANKACHAR",783131,South Salmara Mancachar
LITTLE STAR ENGLISH ACADEMY,783131,South Salmara Mancachar
"PATHFINDER ACADEMY, MANKACHAR",783131,South Salmara Mancachar
GYANODAYA JATIYA VIDYALAYA,783128,South Salmara Mancachar
