SchoolName,Pincode,District
GRACE CHILDREN PRIMARY SCHOOL,403601,South Goa
LOYOLA PRIMARY SCHOOL ENGLISH MEDIUM,403601,South Goa
CHILD CARE PRIMARY SCHOOL,403601,South Goa
LIBERTY SCHOOL,403602,South Goa
ST ANTHONYS PRIMARY SCHOOL MARGAO,403601,South Goa
ANGELS' PRIMARY SCHOOL NAVELIM,403707,South Goa
ROYAL KIDS PRIMARY SCHOOL,403707,South Goa
LITTLE FINGERS PRIMARY SCHOOL,403709,South Goa
ST JOSEPH'S SCHOOL NISPABHAT,403709,South Goa
DIVINE HEART SCHOOL,403714,South Goa
SHISHUKUNJ PRIMARY SCHOOL,403601,South Goa
DADDY'S HOME SPECIAL SCHOOL,403602,South Goa
"ST SEBASTIAN ENGLISH PRIMARY SCHOOL,AQUEM",403601,South Goa
VIDYA VRUKSH PRIMARY SCHOOL AQUEM,403601,South Goa
ANGELS PRIMARY SCHOOL AMBORA,403718,South Goa
CAMBRIDGE SCHOOL,403721,South Goa
BLOOMZ INTERNATIONAL SCHOOL,403713,South Goa
THE KINGS SCHOOL MUGALLI,403709,South Goa
VIDYA VIKAS ACADEMY,403601,South Goa
KIDS KINGDOM PRIMARY EDUCATIONAL SCHOOL,403601,South Goa
ROSARY'S ANGELS PRIMARY SCHOOL TELAULIM,403707,South Goa
DON BOSCO HIGHER SECONDARY SCHOOL LOUTOLIM,403718,South Goa
OUR OWN ENGLISH PRIMARY,403703,South Goa
TRINITY PRIMARY SCHOOL,403709,South Goa
LITTLE'S PRIMARY SCHOOL FATORDA,403602,South Goa
LES ANGES ACADEMY,403602,South Goa
AL HUDA INTERNATIONAL ISLAMIC SCHOOL,403602,South Goa
MANOVIKAS ENGLISH MEDIUM SCHOOL,403602,South Goa
ST ANNE'S PRIMARY SCHOOL AGALLI,403602,South Goa
ST. ANNE'S PRIMARY SCHOOL BENAULIM,403716,South Goa
SHISHU VIKAS PRIMARY SCHOOL,403707,South Goa
POSH PRIMARY & MIDDLE ENGLISH SCHOOL,403707,South Goa
TENDER TOUCH SCHOOL GUDI PARODA,403705,South Goa
FIRST STEPS PRIMARY SCHOOL,403708,South Goa
DAISY DUCK PRIMARY SCHOOL,403601,South Goa
IQRA ENGLISH PRIMARY SCHOOL,403707,South Goa
"BUSY BEE ENGLISH HIGH SCHOOL, VASCO",403803,South Goa
ST.JOSEPH'S INSTITUTE SCHOOL BAINA,403802,South Goa
MOUNT LITERA ZEE SCHOOL,403726,South Goa
BHARATIYA VIDYA BHAVAN,403726,South Goa
EDIFY SCHOOL,403802,South Goa
"YUWAK SANGH PRIMARY SCHOOL, SADA",403804,South Goa
MURGAON PRIMARY SCHOOL,403804,South Goa
"DEEPVIHAR PRIMARY SCHOOL,SADA",403804,South Goa
GREEN LAWN'S INSTITUTE,403802,South Goa
"AIRWAY PUBLIC SCHOOL, VIDYANAGAR",403726,South Goa
Shantadurga Primary School,403710,South Goa
VIDYA MANDIR PRIMARY SCHOOL,403711,South Goa
NAVY CHILDREN SCHOOL,403801,South Goa
MOTHER OF MERCY ENG PRIMARY SCHOOL,403802,South Goa
"SANTANA PRIMARY SCHOOL, DESTERRO",403802,South Goa
ST.ANDREW'S SCHOOL ICSE,403802,South Goa
DEVAPPA DESAI HIGH SCHOOL,403703,South Goa
CAMBRIDGE SCHOOL,403706,South Goa
Our Lady Of Perpetual Succour Convent School,403706,South Goa
"SHRI KATYAYANI BANESHWAR VIDYALAYA, PRIMARY SCHOOL",403702,South Goa
ST FRANCIS XAVIER HIGH SCHOOL,403702,South Goa
OUR NEW ENGLISH SCHOOL,403702,South Goa
