SchoolName,Pincode,District
SANKARDEV SHISHU BIDYA NIKETAN UPARHALI,781122,Tamulpur
"SRIMANTA SANKARDEV VIDYALAYA, MAHINA",781369,Tamulpur
NAVA JYOTI JATIYA VIDYALAYA,781369,Tamulpur
"SANKARDEV SHISU NIKETAN,LATIBARI",781368,Tamulpur
SANJARANG RWDWMPHU SWLWNGSHALI,781364,Tamulpur
DR. AMBEDKAR HIGH SCHOOL,781368,Tamulpur
BISHNU JYOTI JATIYA VIDYALAYA,781367,Tamulpur
RUPKONWAR JATIYA VIDHYALAYA,781367,Tamulpur
ADARSHA BIDYA NIKETAN KACHUBARI,781367,Tamulpur
"SHANKARDEV SHISHU NIKETAN, KUMARIKATA",781360,Tamulpur
"UPENDRA NATIONAL ACADEMY,KUMARIKAT",781360,Tamulpur
SASHIPUR EDUCARE INSTITUTE,781360,Tamulpur
ADARSHA BIDYA NIKETON,781368,Tamulpur
ADARSHA BIDYA NIKETON,781368,Tamulpur
"SANKARDEV ACADEMY JATIYA VIDYALAYA,NAGRIJULI",781368,Tamulpur
"ADARSHA JATIYA VIDYALAYA,KAWLI",781360,Tamulpur
SANKARDEV SISHU NIKETAN KAWLI,781360,Tamulpur
GRACE ENGLISH SCHOOL,781367,Tamulpur
UN ACADEMY,781367,Tamulpur
SHANKARDEV BIDYA NIKETAN TAMULPUR,781367,Tamulpur
AMBIKAGIRI JATIYA VIDYALAYA,781360,Tamulpur
PRAGYAJYOTI JATIYA BIDYALAYA,781368,Tamulpur
DANTAK PUBLIC SCHOOL,781360,Tamulpur
ADARSHA JATIYA VIDYALAYA,781366,Tamulpur
DHULABARU ASAN ALI MOLLA MEMORIAL MODERN MOKTAB MADRASSA,781364,Tamulpur
DWARKUCHI GIRLS ME SCHOOL,781376,Tamulpur
"PHUNGBILI SWLWNGCHALI,DWARKUCHI",781376,Tamulpur
SANKAR DEV SISHU NIKETAN,781366,Tamulpur
ADARSHA JATIYA VIDYALAYA,781366,Tamulpur
ANKURAN SISHU NIKETAN,781366,Tamulpur
SUNJABWRALI SWLWNGSALI,781366,Tamulpur
RAINBOW ENGLISH SCHOOL,781366,Tamulpur
GERUWA HIGH SCHOOL,781366,Tamulpur
SANKAR AJAN JATIYA BIDYALAYA,781354,Tamulpur
SANKAR AJAN JATIYA VIDYALAYA,781364,Tamulpur
MAHARIPARA JATIYA BIDYALAYA,781364,Tamulpur
MAHARIPARA AKALABYA VIDYAMANDIR,781364,Tamulpur
GURMOW ADARSHA JATIYA VIDYALAYA,781366,Tamulpur
SANTIPUR SANKARDEV SISHU NIKETAN,781349,Tamulpur
ADARSHA JATIYA BIDYALAYA,784522,Tamulpur
SUNRISE JUNIOR COLLEGE,784522,Tamulpur
PRIDE ACADEMY,784525,Tamulpur
