SchoolName,Pincode,District
RUPKUNWAR JATIYA VIDYALAYA,786151,Tinsukia
LITTLE ANGEL SCHOOL,786125,Tinsukia
RADSICK MEMORIAL ENGLISH SCHOOL,786125,Tinsukia
"INVENTURE ACADEMY, SENIOR SECONDARY SCHOOL",786125,Tinsukia
BISHNUJYOTI JATIYA VIDYALAYA,786145,Tinsukia
BORDUBI JATIYA BIDYALAYA,786601,Tinsukia
BORDUBI BALIKA VIDYAPITH,786601,Tinsukia
TINSUKIA JATIYA VIDYALAYA,786125,Tinsukia
AUXILIUM JUNIOR COLLEGE,786125,Tinsukia
ST. STEPHEN'S HIGH SCHOOL,786125,Tinsukia
GOOD SHEPHERD ENGLISH SCHOOL,786125,Tinsukia
GYANNPITH- THE ABODE OF KNOWLEDGE,786183,Tinsukia
MAHASWETA JATIYA VIDYALAYA,786183,Tinsukia
GYANAM,786125,Tinsukia
RANJIT SINGH MEMORIAL SCHOOL,786125,Tinsukia
ANANDA MOHAN VIDYAPITH HES,786147,Tinsukia
GUIJAN HINDI HS,786147,Tinsukia
NATIONAL ENGLISH ACADEMY,786147,Tinsukia
BORHAPJAN ENGLISH SCHOOL,786150,Tinsukia
GYANUDAYA JATIYA VIDYALAYA,786191,Tinsukia
SHREE SHREE ANIRUDHA DEVA ADAR,786156,Tinsukia
"OXFORD VIDYAPITH, KORDOIGURI",786156,Tinsukia
GYANANGKUSH RESIDENTIAL SCHOOL,786126,Tinsukia
JATIA VIDYALAYA BOZALONI,786170,Tinsukia
BRIGHT ENGLISH SCHOOL,786190,Tinsukia
EDEN GARDEN SCHOOL,786190,Tinsukia
DHEKIAJURI HINDI MES,786145,Tinsukia
DHEKIAJURI HINDI HIGH SCHOOL,786145,Tinsukia
HOLY BROOK SCHOOL,786146,Tinsukia
VIVEKANANDA ENGLISH ACADEMY,786170,Tinsukia
TINGRAI ANCHALIK BALYA BHAWAN,786171,Tinsukia
TINY FLOWER ACADEMY,786171,Tinsukia
"JATIYA VIDYALAYA, TINGRAI",786171,Tinsukia
TINGRAI JUNIOR COLLAGE,786171,Tinsukia
LITTLE LEARNER ENGLISH SCHOOL,786171,Tinsukia
OIL VALLEY SCHOOL,786171,Tinsukia
"ARUNODOI JATIYA VIDYALAYA, DAISA",786156,Tinsukia
"NEW ENGLISH ACADEMY, LAKHIPATHER",786171,Tinsukia
ZENITH PATHSHALA,786170,Tinsukia
MARY JOANS ACCADEMY HIGH SCHOOL,786183,Tinsukia
HINDUSTANI KENDRIYA VIDYALAYA,786183,Tinsukia
VIVEKANANDA KENDRA VIDYALAYA,786183,Tinsukia
HEAVENLY DELIGHT HIGH SCHOOL,786151,Tinsukia
"SANKARDEV SHISHU NIKETAN, BORDUBI",786601,Tinsukia
OUR ABC ACADEMY,786126,Tinsukia
GURU TEG BAHADUR ACADEMY,786125,Tinsukia
OUR ABC JUNIOR SCHOOL,786125,Tinsukia
BISHNUJYOTI VIDYALAYA,786148,Tinsukia
