SchoolName,Pincode,District
ASOMI JATIYA VIDYALAYA,781369,Udalguri
NAMKHOLA ADARSHA JATIYA VIDYALAYA,784522,Udalguri
DIPEN SAHARIA JUNIOR COLLEGE,784147,Udalguri
ADARSA JATIYA BIDYALAYA,784148,Udalguri
SANKARDEV SISHU NIKETAN LPS,784525,Udalguri
BHUPEN HAZARIKA JATIYA BIDYALAYA,784525,Udalguri
SANKARDEV SHISU NIKETAN( MUDOIBARI),784146,Udalguri
SANTIPUR JATIYA BIDYALAYA,784514,Udalguri
BRIGHT LIFE SENIOR SECONDARY SCHOOL,784116,Udalguri
SANKARDEV SISHU VIDYA NIKETAN,784190,Udalguri
SANKAR DEV JATIYA VIDYALAYA,784113,Udalguri
ABED ALI MEMORIAL JATIYA VIDYALAYA,784514,Udalguri
GRAMIN VIKAS MERIT ACADEMY,784523,Udalguri
JAGRITI LPS WITH UPPER PRIMARY,784523,Udalguri
JNANODOI VIDYAPEETH,784528,Udalguri
KHOIRABARI JUNIOR COLLEGE,784522,Udalguri
CAMBRIDGE PUBLIC ENGLISH SCHOOL,784522,Udalguri
"UPENDRA NATIONAL ACADEMY,KHOIRABARI",784522,Udalguri
NRDS SENIOR SECONDARY SCHOOL,784522,Udalguri
KALAGURU JATIYA BIDYALAYA,784522,Udalguri
AUXILIARY ENGLISH SCHOOL,784522,Udalguri
JATIYA BIDYALAYA BHERGAON,784522,Udalguri
U.N ACADEMY,784522,Udalguri
SANKARDEV SISHU NIKETAN,784522,Udalguri
SANKARDEV JATIYA BIDYALAYA,784528,Udalguri
MILLENNIUM ACADEMY,784527,Udalguri
DR.BHUPEN HAZARIKA JATIYA VIDYALAYA,784525,Udalguri
RADIANCE SCHOOL DIMAKUCHI,784526,Udalguri
UPENDRA NATIONAL ACADEMY,784526,Udalguri
BALIPARA ADARSHA JATIYA BIDYALAYA,784525,Udalguri
D.A.V. HIGH SCHOOL,784526,Udalguri
UPENDRA NATIONAL ACADEMY,784525,Udalguri
PUWATI TARA ADARSH BIDYALAYA,784525,Udalguri
EDEN ACADEMY,784525,Udalguri
JNAN JYOTI JATIYA BIDYALAYA,784525,Udalguri
"BODOFA U.N ACADEMY,KABIRALI",784525,Udalguri
JEEVAN JYOTI JATIYA VIDYALAYA,784525,Udalguri
"U N ACADAMY, DHANSIRIGHAT",784114,Udalguri
ROWTA BAGAN JATIYA BIDYALAYA,784508,Udalguri
MAZBAT JATIYA VIDYALAYA,784507,Udalguri
PANCHNOI JATIYA VIDYALAYA,784114,Udalguri
SANKARDEV SISHU NIKETAN,784114,Udalguri
SARASWATI ENGLISH SCHOOL,784114,Udalguri
UPENDRA NATIONAL ACADAMY,784114,Udalguri
PANCH ALI JATIYA BIDYALAYA,784114,Udalguri
SANKARDEV SISHU NIKETAN HS,784507,Udalguri
NORTHEAST ACADEMY,784507,Udalguri
SANKADEV SHISHU NIKETAN MERABIL,784508,Udalguri
GARAIMARY HIGH SCHOOL,784508,Udalguri
BISHNU RABHA BODO HIGH SCHOOL,784114,Udalguri
SEREGA FOUNDATION SENIOR SECONDARY SCHOOL,784508,Udalguri
JHARGAON JATIYA VIDDALAYA,784508,Udalguri
SIDHAKHOWA JATIYA BIDYALAYA,784514,Udalguri
AMINPARA BRILLIANT ACADEMY,784514,Udalguri
EKRABARI HIGH SCHOOL,784514,Udalguri
BELTOLI JATIYA BIDYALAYA,784514,Udalguri
ROWTA JATIYA VIDYALAYA,784508,Udalguri
UPENDRA NATIONAL ACADEMY ROWTA,784508,Udalguri
LUIT JATIYA VIDYALAYA,784113,Udalguri
"SI-BWRAI U N ACADAMY, BAROBAZAR",784113,Udalguri
KABIRAM BASUMATARY MEMORIAL HIGH SCHOOL,784514,Udalguri
KHIYAJULI LPS,784507,Udalguri
EUREKA ENGLISH SCHOOL,784114,Udalguri
CHENGALIMORA LUIT JATIYA VIDYALAYA,784117,Udalguri
SWAMEE RAM DEV PUBLIC SCHOOL,784118,Udalguri
KOUPATI JATIYA BIDYALAYA,784113,Udalguri
"DON BOSCO HIGHER SECONDARY SCHOOL,TANGLA",784521,Udalguri
ASBOFORD ACADEMY,784509,Udalguri
UDALGURI COLLEGE,784509,Udalguri
AUXILIUM JUNIOR COLLEGE,784509,Udalguri
UDALGURI MAHARISHI VIDYALAYA,784509,Udalguri
DREAM FLOWER ENGLISH SCHOOL,784509,Udalguri
EVERGREEN ENGLISH SCHOOL,784509,Udalguri
NETAJI ENGLISH SCHOOL,784509,Udalguri
