SchoolName,Pincode,District
MAISAM GIRLS ME SCHOOL,782426,West Karbi Anglong
SINGIMARI HS SCHOOL,782450,West Karbi Anglong
MOONLIGHT ENGLISH SCHOOL,782446,West Karbi Anglong
ST. DOMINIC SAVIO L.P,782413,West Karbi Anglong
UMSWAI BALA KONWAR PRIMARY SCHOOL,782413,West Karbi Anglong
GREEN VALLEY ACADEMY,782413,West Karbi Anglong
INDRASING DEWRI M.E. SCHOOL,782413,West Karbi Anglong
SANGBAR KRO MEMORIAL ENGLISH SCHOOL,782413,West Karbi Anglong
DON BOSCO SCHOOL,782413,West Karbi Anglong
GEDEON MEMORIAL ENGLISH SCHOOL,782413,West Karbi Anglong
JIRLONG ENGLISH SCHOOL,782413,West Karbi Anglong
SHANKARDEV SHISHU NIKETAN,782413,West Karbi Anglong
SWARASWATI SISHU NIKETAN,782413,West Karbi Anglong
DON BOSCO HIGH SCHOOL,782413,West Karbi Anglong
SARTHENGRAK ENGLISH LP,782413,West Karbi Anglong
KUNGRIPI BAPTIST ENGLISH SCHOOL,782450,West Karbi Anglong
THANGMO PRESBYTERIAN MISSION SCHOOL,782413,West Karbi Anglong
NEW LIVE ENGLISH ACADEMY,782450,West Karbi Anglong
DON BOSCO,782450,West Karbi Anglong
DAKOPTA ENGLISH SCHOOL,782450,West Karbi Anglong
LANGRI SHISHU VIDYA NIKETON,782450,West Karbi Anglong
"PRESBYTERIAN MISSION SCHOOL, HAMREN",782486,West Karbi Anglong
CHURCH OF GOD,782486,West Karbi Anglong
DON BOSCO HIGH SCHOOL,782486,West Karbi Anglong
RAJEN KRO MEM. ENGLISH SCHOOL,782450,West Karbi Anglong
TRINAYAN ENGLISH ACADEMY,782450,West Karbi Anglong
RAJIB SUBBA MEMORIAL ENGLISH ACADEMY,782450,West Karbi Anglong
EVERGREEN LP SCHOOL,782413,West Karbi Anglong
BINA PANI LP SCHOOL,782413,West Karbi Anglong
DON BOSCO HIGH SCHOOL,782485,West Karbi Anglong
NEW WAVE ACADEMY,782485,West Karbi Anglong
ALL SAINTS' ENGLISH SCHOOL,782485,West Karbi Anglong
DISCIPLES' ENGLISH ACADEMY,782485,West Karbi Anglong
NEW BITHUNG PUBLIC ENGLISH L.P SCHOOL,782485,West Karbi Anglong
LANGTUK TERON MEMORIAL ENG. HIGH SCHOOL,782485,West Karbi Anglong
SAR IK TERANG GOVERNOR MEMORIAL ENGLISH SCHOOL,782485,West Karbi Anglong
HOLY CHILD HOME ACADEMY,782485,West Karbi Anglong
ARTUKEKANG ENGLISH M.E./HIGH SCHOOL,782485,West Karbi Anglong
DON BOSCO HIGH SCHOOL,782485,West Karbi Anglong
LITTLE FLOWER ENGLISH SCHOOL,782485,West Karbi Anglong
INDIAN SCHOOL RONGKUROI,782485,West Karbi Anglong
VIVEKANANDA VIDYALAYA ENGLISH L.P,782485,West Karbi Anglong
MADHYA BHELAPARA ENGLISH L.P.,782485,West Karbi Anglong
HABEKANG ME SCHOOL,782485,West Karbi Anglong
VOSO-KOIDA ENG. L.P.SCHOOL,782485,West Karbi Anglong
PRANABANANDA ENGLISH SCHOOL,782485,West Karbi Anglong
DON BOSCO HIGHER SECONDARY SCHOOL KHERONI,782448,West Karbi Anglong
MON MEMORIAL ENGLISH SCHOOL,782448,West Karbi Anglong
DYNAMIC ENGLISH L.P SCHOOL,782448,West Karbi Anglong
KABON TERONPI MEMORIAL LP SCHOOL,782448,West Karbi Anglong
WORLD PROGRESS ACADEMY SCHOOL,782448,West Karbi Anglong
HOLYLAND ENGLISH M.E. SCHOOL,782448,West Karbi Anglong
JOTIN ENGHEE MEMORIAL ENGLISH L.P. SCHOOL,782448,West Karbi Anglong
SARDOKPO RONGHANG MEMORIAL ACADEMY,782448,West Karbi Anglong
SUN RISE ACCADEMY (BATPLANG),782448,West Karbi Anglong
"PRESBYTERIAN MISSION SCHOOL,HARLONGSORA",782448,West Karbi Anglong
HOLY CROSS ENGLISH SCHOOL,782435,West Karbi Anglong
PRANABANANDA VIDYA MANDIR,782448,West Karbi Anglong
"ATURKIMI ACADEMY,JENGKHA",782448,West Karbi Anglong
KOPILI ENGLISH SCHOOL,782435,West Karbi Anglong
SILDUBI JUNIOR COLLEGE,782435,West Karbi Anglong
GYANDEEP HINDI M.V SCHOOL,782435,West Karbi Anglong
HILLS TOP ENGLISH SCHOOL,782485,West Karbi Anglong
GOOD SHEPHERD ENGLISH SCHOOL,782485,West Karbi Anglong
ORIENTAL ENGLISH ACADEMY,782485,West Karbi Anglong
HILLS GLORY ENG L P(JNB),782448,West Karbi Anglong
DON BOSCO SCHOOL INGLONGPARPAN JENGKHA,782448,West Karbi Anglong
HILLS GLORY ENGLISH M.E. SCHOOL,782448,West Karbi Anglong
DON BOSCO PROCEEDING HIGH SCHOOL,782485,West Karbi Anglong
SHANKAR DEV SHISU NIKETON,782485,West Karbi Anglong
THERESA CHILDREN'S HOME ACADEMY,782485,West Karbi Anglong
EVER GREEN ENGLISH SCHOOL,782485,West Karbi Anglong
DON BOSCO SCHOOL,782448,West Karbi Anglong
EMMANUEL ENGLISH SCHOOL,782448,West Karbi Anglong
LITTLE STAR ENGLISH SCHOOL,782446,West Karbi Anglong
MORNING GLORY ENGLISH ACADEMY,782446,West Karbi Anglong
MODERN ENGLISH SCHOOL,782448,West Karbi Anglong
SUNRISE ENGLISH SCHOOL LAMBAPATHAR,782448,West Karbi Anglong
KHERONI PUBLIC ENGLISH SCHOOL,782448,West Karbi Anglong
ANCHALIC PUBLIC ENGLISH HIGH SCHOOL,782448,West Karbi Anglong
VIVEKANANDA VIDYALAYA,782448,West Karbi Anglong
COUNTRY SIDE ENGLISH ME SCHOOL,782486,West Karbi Anglong
ADARSH HINDI HIGH SCHOOL,782448,West Karbi Anglong
MODERN ENGLISH SCHOOL,782448,West Karbi Anglong
"RASTRA BHASHA HIGH SCHOOL, WATIZUR NO.2",782448,West Karbi Anglong
HAWAIPUR BAPTIST ENG. HIGH SCHOOL,782446,West Karbi Anglong
VIDYA MANDIR ACADEMY,782446,West Karbi Anglong
HOLY CHILD ENGLISH SCHOOL,782448,West Karbi Anglong
EVERGREEN ACADEMY,782446,West Karbi Anglong
HAWAIPUR EXCELLANCE ACADEMY,782446,West Karbi Anglong
