"SchoolName","Address","Pincode","ContactEmail","ContactPhone","Website","GMapLink","PlaceID"
"Sunrise Academy, Kirtanpara","9QG9+W2M, Sajalpara, Assam 783384, India","783384","NA","NA","NA","https://maps.google.com/?cid=15769014169270425704","ChIJwX3SROmnWTcRaBh30dbK1to"
"Adarsha Jatiya Vidyalaya","8W4G+844, Barpeta, Assam 781314, India","781314","NA","NA","NA","https://maps.google.com/?cid=11441376081216319205","ChIJca__Z8eYWTcR5a6MRu3ux54"
"Anchalik Jatiya Vidyalaya, Gharuwabaha","Gharuwabaha (Ghorathal, 878R+JMP, Mugdi, Mukalmua, Assam 781312, India","781312","NA","NA","NA","https://maps.google.com/?cid=11595807147061813751","ChIJKSHKTgAtWjcR9yGOvCmV7KA"
"Kapoha adarsha jatiya bidyalaya,bhatkuchi","Barpeta-Mandia Road, Kopoha, Assam 781301, India","781301","NA","084869 72747","NA","https://maps.google.com/?cid=17184667744071518410","ChIJf1ccMd2bWTcRygh_1EM0fO4"
"JNANDEEP JATIYA VIDYALAYA,SALEKURA","8WMF+H35, Jania, Assam 781314, India","781314","NA","NA","NA","https://maps.google.com/?cid=18152820281550687309","ChIJKfI6vY6fWTcRTcxVSd7F6_s"
"Barpeta Road Jatiya Vidyalaya","GX4F+VVJ, North, Barpeta Road, Barpeta, Assam 781315, India","781315","NA","088110 50117","NA","https://maps.google.com/?cid=15736053954897280949","ChIJPwX9NA50WTcRtX8I5LKxYdo"
"Barpeta Road Jatiya Vidyalaya","GX4F+VVJ, North, Barpeta Road, Barpeta, Assam 781315, India","781315","NA","088110 50117","NA","https://maps.google.com/?cid=15736053954897280949","ChIJPwX9NA50WTcRtX8I5LKxYdo"
"SITOLI ANCHALIC JATIYA BIDHALAYA","7WFJ+G65, Barpeta, No.4 Bhera, Assam 781314, India","781314","NA","NA","NA","https://maps.google.com/?cid=16983537372699402497","ChIJbUxo_1mZWTcRAaFRAUKlses"
"CHASRA ANCHALIK JATIYA VIDYALAYA","Bahari - Baghbor Embankment, Tedhara Gaon, Mandiya SPO, Chasra Gaon, Assam 781308, India","781308","NA","091015 90087","NA","https://maps.google.com/?cid=14837402001018835021","ChIJh14USAmZWTcRTdBlDIIK6c0"
"Joynal Abedin Jatiya Vidyalaya","8W9J+JQ6, Mahammadpur, Kadong, Assam 781314, India","781314","NA","NA","NA","https://maps.google.com/?cid=7492773718279514234","ChIJyzGuTWOZWTcReuhulP-t-2c"
"AMARDEEP ACADEMY, JANIA","8WHF+H4C, Jania, Kalampur, Assam 781314, India","781314","NA","NA","NA","https://maps.google.com/?cid=3601731173256673327","ChIJb1PLad6fWTcRLzhqVmvr-zE"
"Little Land English Medium School, Jania, Barpeta, Assam","CXFJ+72P, Jania, Howly, Assam 781314, India","781314","NA","NA","NA","https://maps.google.com/?cid=4921222643846049609","ChIJ-diO48OfWTcRSW8Nu-uxS0Q"
