"SchoolName","Address","Pincode","ContactEmail","ContactPhone","Website","GMapLink","PlaceID"
"Dr A P J Abdul Kalam Memorial Academy","J4P9+5R6, Chikadal, Assam 781318, India","781318","NA","NA","NA","https://maps.google.com/?cid=11190164425887910720","ChIJjXKje0tlWTcRQAtD30FzS5s"
"Jawahar Navodaya Vidyalaya","FWJ2+4CW, Sorbhog, Bare Gaon, Assam 781317, India","781317","NA","NA","NA","https://maps.google.com/?cid=10635723329907747327","ChIJ_____2oLWTcR_2l8oASumZM"
"Jatiya Bidlaya Rehabari","H6W4+GPQ, Dakshin Rehabari, Akaya, Assam 781329, India","781329","NA","NA","NA","https://maps.google.com/?cid=12518322723967068949","ChIJq2gj-8R9WTcRFevBSTEEuq0"
"Sankardev Sishu Vidya Niketan, Baghmara","J58H+PCM, Pub Kathal Muri, Assam 781328, India","781328","NA","NA","NA","https://maps.google.com/?cid=2600763202992656506","ChIJuQIqIdpiWTcRetBIi1rEFyQ"
"Bijni College","FMRX+GPR, College Road, Bijni, Assam 783390, India","783390","NA","03668 295 025","http://www.bijnicollege.ac.in/","https://maps.google.com/?cid=12384244530128550355","ChIJD6eD9pQGWTcR0_niHcms3as"
"Modern Academy","FXP9+3W3, Milan Nagar, Dhup Guri, Bala Bhitha, Assam 781315, India","781315","NA","096788 09644","NA","https://maps.google.com/?cid=16517277888785878335","ChIJi_4HpD10WTcRPw1_QbooOeU"
"Lower Assam Public School","Manashpur Ward No. 10,, near Electric Power House, Sat Bainer Tup, Assam 781315, India","781315","NA","094013 00877","NA","https://maps.google.com/?cid=8734665815084343379","ChIJBwSiGxV0WTcRU6DZ00fEN3k"
"ROYAL NATIONAL PUBLIC SCHOOL","FXMC+4HF, Bhawanipur-Simlaguri Rd, Milan Nagar, Dhup Guri, Assam 781315, India","781315","NA","099574 78859","NA","https://maps.google.com/?cid=8515417670564383848","ChIJhbBvwTx0WTcRaAwTOEHXLHY"
"NAYAN JYOTI JATIYA VIDYALAYA","4MC3+698, Rakhyasini Garopara Pt-I, Rakhyasini Pahar, Assam 783101, India","783101","NA","NA","NA","https://maps.google.com/?cid=8952187589439987788","ChIJyTQQJ2C1WTcRTCA7jy6PPHw"
"Barpeta Road Jatiya Vidyalaya","GX4F+VVJ, North, Barpeta Road, Barpeta, Assam 781315, India","781315","NA","088110 50117","NA","https://maps.google.com/?cid=15736053954897280949","ChIJPwX9NA50WTcRtX8I5LKxYdo"
"NAVAMILAN JATIYA VIDYALAYA","G2QG+CR8, Kuchiakhanda, Assam 781315, India","781315","NA","NA","NA","https://maps.google.com/?cid=12448035556543680600","ChIJW6LTRKBxWTcRWNA322JOwKw"
"Maharishi Vidyapeeth","FXXC+6W6, Barpeta Road, Assam 781315, India","781315","NA","NA","NA","https://maps.google.com/?cid=15580463113951205488","ChIJ05IWBhB0WTcRcFgjP6fsONg"
"Manas Valley Academy","Jakhlirpar, Barpeta Road, Dist, FXHF+MVW, Jyoti Nagar, Dhup Guri, Assam 781313, India","781313","NA","03666 260 308","https://www.manasvalleyacademy.org.in/","https://maps.google.com/?cid=14906587016323834176","ChIJiSkw9SR0WTcRQKFusenV3s4"
"Sankardev Sishu Vidya Niketan, Nalbari","Circuit house road,, Sankardev High School, Nalbari, Assam 781335, India","781335","NA","NA","NA","https://maps.google.com/?cid=2419726658383825853","ChIJN9-oz5DMWzcRvcuCVpOYlCE"
"Agrang Bwrai Bathow Ashram","B.T.R, Subankhata, Assam 781372, India","781372","NA","NA","NA","https://maps.google.com/?cid=8371444507848990938","ChIJ3WmrKCjDWzcR2uA7E21YLXQ"
"Rupkonwar jatiya vidyalaya","Tamulpur - Nagrijuli - Guwabari Rd, Barimakha, Assam 781368, India","781368","NA","NA","NA","https://maps.google.com/?cid=818284870224542286","ChIJC916kV27WzcRTnrPBsEhWws"
"U N Academi","JF36+34V, Angardhua, Assam 781344, India","781344","NA","NA","NA","https://maps.google.com/?cid=18165816804392311711","ChIJjRK9f8bHWzcRnxugECPyGfw"
"Shankardev Shishu Niketan, Doomni","P864+R6H, Nathkuchi - Doomni Rd, Tihu Chowk, Nityananda, Pahala Simalu Bari, Subansri, Assam 781355, India","781355","NA","091012 70611","NA","https://maps.google.com/?cid=2111140263461825198","ChIJR5DrpRPcWzcRrqqqYuJGTB0"
"Akash Jatiya Vidyalaya","M85R+P3C, Kadamtal Nikasi Rd, Mushalpur, Assam 781372, India","781372","NA","NA","NA","https://maps.google.com/?cid=6915218562933851796","ChIJJ8mdXRrbWzcRlAbcA6XK918"
"Sunrise English Medium High School","Mushalpur, Assam 781372, India","781372","NA","NA","NA","https://maps.google.com/?cid=9504320016645349831","ChIJG7kzIBbbWzcRx-HH97Ig5oM"
"Shankardev Shishu Niketan, Doomni","P864+R6H, Nathkuchi - Doomni Rd, Tihu Chowk, Nityananda, Pahala Simalu Bari, Subansri, Assam 781355, India","781355","NA","091012 70611","NA","https://maps.google.com/?cid=2111140263461825198","ChIJR5DrpRPcWzcRrqqqYuJGTB0"
"Darwin English School","H7WJ+79Q, Bebejia Para, Assam 781329, India","781329","NA","NA","NA","https://maps.google.com/?cid=13529192266233382753","ChIJ45Bs3MnXWzcRYYfNdq9Ywbs"
"Gyan vikash jatiya vidyalaya","H764+WQR, No.2 Sialmarikhuti, Assam 784116, India","784116","NA","NA","NA","https://maps.google.com/?cid=7148808768491677348","ChIJgd2lWgAlWzcRpOYk7bKrNWM"
"Bathou Ashram High School Adalbari","Adalbari, Baksa, SH-10A, Kadamtal Nikasi Road, Muchalpur, Muchalpur, Adalbari, Assam 781372, India","781372","NA","NA","NA","https://maps.google.com/?cid=5109174548731498533","ChIJKQ775ZzaWzcRJZCbuC5v50Y"
"Samanwaya Jatiya Vidyalaya","M97H+986, Dighaldonga, Assam 781343, India","781343","NA","NA","NA","https://maps.google.com/?cid=7556094775665842789","ChIJWQz4DwDFWzcRZVq_ICqk3Gg"
"Sankardev Sishu Vidya Niketan, Nalbari","Circuit house road,, Sankardev High School, Nalbari, Assam 781335, India","781335","NA","NA","NA","https://maps.google.com/?cid=2419726658383825853","ChIJN9-oz5DMWzcRvcuCVpOYlCE"
"Bathou Ashram High School","MC3X+4FF, Baganpara, Assam 781344, India","781344","NA","NA","NA","https://maps.google.com/?cid=1014261207971260438","ChIJ_S68tobGWzcRFuiV4jFhEw4"
"Sunrise English High School","MC3W+75R, Baganpara, Assam 781344, India","781344","NA","078966 69949","NA","https://maps.google.com/?cid=16415983726964829259","ChIJm0wrm4HGWzcRS-xUXDlK0eM"
"MODERN ENGLISH SCHOOL NIKASHI","P9JH+QGV, Nikashi, Assam 781372, India","781372","NA","NA","NA","https://maps.google.com/?cid=17168628474151739715","ChIJlzL-ymDDWzcRQ6F4SqI4Q-4"
