"SchoolName","Address","Pincode","ContactEmail","ContactPhone","Website","GMapLink","PlaceID"
"Gyan Jyoti Jatiya Vidyalay","RQGG+65H, Balipara, Assam 784101, India","784101","NA","NA","NA","https://maps.google.com/?cid=16273941023295327959","ChIJc1ICPxe_RDcR184sPSOn2OE"
"Balijuri model English school","VW7Q+FH9, Unnamed Road, Christan Basti, Assam 784182, India","784182","NA","NA","NA","https://maps.google.com/?cid=938747323922820694","ChIJG-DxRXyPRDcRVq5EqLcZBw0"
"Gyan Malini English School","VW7R+WV5, Balijuri, Christan Basti, Assam 784182, India","784182","NA","NA","NA","https://maps.google.com/?cid=6485553550957553993","ChIJMdfIZaGPRDcRSSmZuJdQAVo"
"High Land School","Kusumtola Kusumtola centre, Jamugurihat, Assam 784189, India","784189","NA","NA","NA","https://maps.google.com/?cid=13361261580733759865","ChIJ7RODYBDzRDcRecG13p28bLk"
"Amritopom Public School","PXV7+M4V, Talakabari Bangali, Jamugurihat, Assam 784189, India","784189","NA","NA","NA","https://maps.google.com/?cid=8098894557403941414","ChIJ8chKIcLyRDcRJgpor7ANZXA"
"Mount Sinai English High School","RWW6+V52, No.1 Bardikarai Bali Chapori, Assam 784182, India","784182","NA","NA","NA","https://maps.google.com/?cid=522455658764571795","ChIJFTJnAzuSRDcRkxSOT6ciQAc"
"Srijani Jatiya Vidyalaya সৃজনী জাতীয় বিদ্যালয়","QWJ7+W52 Srijani Jatiya Vidyalaya, Dhalaibil, Assam 784182, India","784182","NA","NA","NA","https://maps.google.com/?cid=14019226586312490371","ChIJv6-eBRuTRDcRgz3enk1MjsI"
"Saptarshi Vidyalaya","PWJM+Q9P, Niz-Borbhagia, Assam 784180, India","784180","NA","NA","NA","https://maps.google.com/?cid=16880340909912551061","ChIJl5xQSWPtRDcRle7UJp8EQ-o"
"Shankardev Shishu Vidya Niketan","P4GV+R5G, Nilpur T.E. 255/420, Biswanath Charali, Assam 784176, India","784176","NA","NA","http://shankardevbnc.org/","https://maps.google.com/?cid=15590917430330222511","ChIJaWR3Bk5eRDcRr2dHdcwQXtg"
"Holy Child English School,Jamugurihat","Pachi Gaon, Assam 784180, India","784180","NA","NA","http://www.hcesjmg.com/","https://maps.google.com/?cid=1303395753546766262","ChIJJU2cDn_tRDcRtlfoO4iXFhI"
"Mount Sinai English High School","RWW6+V52, No.1 Bardikarai Bali Chapori, Assam 784182, India","784182","NA","NA","NA","https://maps.google.com/?cid=522455658764571795","ChIJFTJnAzuSRDcRkxSOT6ciQAc"
"Gyan Bharati High School","P4CX+95C, Madhupur, Garehagi, Biswanath Charali, Assam 784176, India","784176","NA","NA","NA","https://maps.google.com/?cid=764145350148488151","ChIJ6cKPYitfRDcR1_tduCXKmgo"
"Jamuguri Higher Secondary School","PWMJ+C78, NH 52, Jamugurihat, Niz-Borbhagia, Assam 784180, India","784180","NA","NA","NA","https://maps.google.com/?cid=10970544597117163745","ChIJB7tU5WTtRDcR4di_xy80P5g"
"NADUAR JATIYA VIDYALAYA","PWHR+63V SATRA, GAON, Bahbari, Mohmara, Assam 784189, India","784189","NA","NA","NA","https://maps.google.com/?cid=14843142617293875447","ChIJxVeW5Y_zRDcR92hDbpFv_c0"
"Sankardev Sishu Niketan, Dhansrighat","M7X7+G3H, Dhansrighat, Bhalukmari Jungle, Assam 784114, India","784114","NA","NA","https://www.instagram.com/ssn_dhansrighat_official?igsh=MTQ1MGJ6c2pvbmxuZQ==","https://maps.google.com/?cid=73057672596726761","ChIJD6S5b505WzcR6aM-75CNAwE"
"Green Bud School","P4QJ+J6G, Sadharu T.E. F.S. 10/9, Biswanath Charali, Assam 784176, India","784176","NA","NA","NA","https://maps.google.com/?cid=3262265042087987806","ChIJndgl1MlfRDcRXkrUhMXkRS0"
"D.N. Five Star School","R48Q+FQP, Pabhoi, Assam 784174, India","784174","NA","NA","NA","https://maps.google.com/?cid=15439416017005319429","ChIJsVBt5eNhRDcRBRUU4RDTQ9Y"
"Gyanam academy senior secondary school","P4GX+M49, Madhupur, Biswanath Charali, Assam 784176, India","784176","NA","NA","NA","https://maps.google.com/?cid=10969987768437544281","ChIJZadzkuRfRDcRWZUZAME5PZg"
"Jane Bosco School","P5P5+3MJ, Bam Gaon, Biswanath Charali, Assam 784176, India","784176","NA","NA","NA","https://maps.google.com/?cid=10472389497849146622","ChIJ01Tx32xfRDcR_mzUYMNmVZE"
"Shankardev Shishu Vidya Niketan","P4GV+R5G, Nilpur T.E. 255/420, Biswanath Charali, Assam 784176, India","784176","NA","NA","http://shankardevbnc.org/","https://maps.google.com/?cid=15590917430330222511","ChIJaWR3Bk5eRDcRr2dHdcwQXtg"
"Shankardev Shishu Vidya Niketan","P4GV+R5G, Nilpur T.E. 255/420, Biswanath Charali, Assam 784176, India","784176","NA","NA","http://shankardevbnc.org/","https://maps.google.com/?cid=15590917430330222511","ChIJaWR3Bk5eRDcRr2dHdcwQXtg"
"biswanath Abhyasan Vidyapeeth","P4MR+WPM, Nilpur T.E. 255/420, Biswanath Charali, Assam 784176, India","784176","NA","NA","NA","https://maps.google.com/?cid=11965459844655245639","ChIJ5zmkxkteRDcRR2ngPlXaDaY"
"Little Star School","Biswanath Chariali, P4MW+QM6, Sonitpur, Biswanath Charali, Assam 784176, India","784176","NA","03715 222 172","http://www.littlestarbnc.com/","https://maps.google.com/?cid=5464865478338933871","ChIJ2UpjlkheRDcRb_SvzTIa10s"
"Biswanath Jnan Bharati School","Madhupur, Garehagi, Biswanath Charali, Assam 784176, India","784176","NA","086386 67283","NA","https://maps.google.com/?cid=12607155190153406362","ChIJoS4UVFdeRDcRmudQkdmc9a4"
"Happy Child English School","P6V7+58G, Niz Baghmari, Assam 784176, India","784176","NA","NA","NA","https://maps.google.com/?cid=13970442558603594758","ChIJ4XLVjrBdRDcRBgyRDH374ME"
"Sree Manta Shankar Guru Jatiya Vidyalaya","P5WP+4M5, Burigang, Biswanath Charali, Assam 784176, India","784176","NA","NA","NA","https://maps.google.com/?cid=4050360528569967162","ChIJGejjLf9dRDcROiKt5XDFNTg"
"St.xaviers school","Q532+R64, Sadharu Ghop F.S. 3/5, Biswanath Charali, Assam 784176, India","784176","NA","NA","NA","https://maps.google.com/?cid=10837615761785162454","ChIJcaVySiReRDcR1gphfR3yZpY"
"Model English High School","Q542+89P, Sadharu Ghop F.S. 3/5, Biswanath Charali, Assam 784176, India","784176","NA","NA","NA","https://maps.google.com/?cid=7804302485835028239","ChIJh79_KCReRDcRDxflC8NzTmw"
"Pearl Academy Senior Secondary School","Ward no 4, Bam Gaon, Biswanath Charali, Assam 784176, India","784176","NA","070868 12090","https://www.pearlacademyassam.co.in/","https://maps.google.com/?cid=5051405407349461743","ChIJJTfJpUZeRDcR71KNWXQyGkY"
"TARUN CHANDRA BHATTACHARYYA MEMORIAL JUNIOR COLLEGE","Bojar Burhigung path, Bamgaon,Biswanatha Chariali, P5M3+WWV, Biswanath Charali, Assam 784176, India","784176","NA","03715 223 385","NA","https://maps.google.com/?cid=6519719735819494489","ChIJRQ83pG9eRDcRWeSfiI6yelo"
"Little Angels School","PF2H+3XX, Tamuli Road, Dhekiajuli, Assam 784110, India","784110","NA","096132 32366","NA","https://maps.google.com/?cid=15839235457559626692","ChIJyQ-v30HLRDcRxAOdkbpE0Ns"
"Upendra National Academy","C7CH+5Q4, Jwhwlao Dwimalu Rd, Bodofa Nagar, Boro Bhatarmari, Assam 783370, India","783370","NA","NA","NA","https://maps.google.com/?cid=41523061347337361","ChIJ7XDwXjZgWDcRkUSYGQGFkwA"
"Sijwo Bathou Ashram School सिजौ बाथौ आस्रम फरायसालि","V2R3+2Q2, Assam 784182, India","784182","NA","NA","NA","https://maps.google.com/?cid=6234068332482283735","ChIJdzKQx5mPRDcR10gebx7cg1Y"
"Blue Pine School","QXV7+V69, Itakhola-Seijusa Rd, Itakhola, Assam 784182, India","784182","NA","03715 276 494","https://www.instagram.com/blue_pine_english_high_school/profilecard/?igsh=cmwzdXZ4NDVuanlm","https://maps.google.com/?cid=1068244010464224021","ChIJr_xErxaNRDcRFaMoiUQq0w4"
"Gyan Bharati Public School","P2P8+2X4, Unnamed Road, Khanaguri, Hazarimal, Borhola Par, Assam 784175, India","784175","NA","NA","NA","https://maps.google.com/?cid=5111659198003282720","ChIJx76ID570RDcRIAPYNfVC8EY"
"Marigold High School","P2RR+M8H, Sootea, Udaipur, Assam 784175, India","784175","NA","NA","NA","https://maps.google.com/?cid=10411931874766275178","ChIJoYEHxcH0RDcRasICFeCcfpA"
"Royal Public School","Gereki, Biswanath, P3Q6+J6Q, Sootea, Palasani, Assam 784175, India","784175","NA","098540 14596","NA","https://maps.google.com/?cid=5872821974572311515","ChIJ16BTch_1RDcR26N9Z3h0gFE"
"Chariali Adarsha Vidyapeeth","Near Adarsha Vidyapith NH15, Ward No 1, Biswanath Charali, Assam 784176, India","784176","NA","088766 37493","NA","https://maps.google.com/?cid=6348877463379232839","ChIJ42TrITVeRDcRR8gzR2q-G1g"
"Bhaskarjyoti Adarsha Bidyapith","Sootea Opposite Nh15, Sootea Road, Borhola Par, Assam 784175, India","784175","NA","087240 04843","NA","https://maps.google.com/?cid=8014333634256443866","ChIJEfx542PzRDcR2hlShfqhOG8"
"Parijat Shishu Bidyapith","M3Q3+CXQ, Sonitpur, Assam 784175, India","784175","NA","NA","NA","https://maps.google.com/?cid=10006879337883430467","ChIJ5a-CYTT0RDcRQ-68NL2T34o"
"Shankardev Shishu Niketan, Borgang","R7MV+9R8, Sukan Suti, Assam 784167, India","784167","NA","NA","NA","https://maps.google.com/?cid=10070801477003028094","ChIJK9XuJztpRDcRfqY-AJaswos"
"Carmel Residential English High School","VX4F+WXX, Sonibaria, Balijuri, No.2 Tezalpati, Assam 784182, India","784182","NA","NA","NA","https://maps.google.com/?cid=7829489683054874340","ChIJq6qqqm6ORDcR5E4SY2Lvp2w"
"Shankardev Shishu Vidya Niketan","P4GV+R5G, Nilpur T.E. 255/420, Biswanath Charali, Assam 784176, India","784176","NA","NA","http://shankardevbnc.org/","https://maps.google.com/?cid=15590917430330222511","ChIJaWR3Bk5eRDcRr2dHdcwQXtg"
"Royal Academy Senior Secondary School","Am Tola NH 15, Road, Ghahi Gaon, Am-Tola, Assam 784172, India","784172","NA","091018 18311","NA","https://maps.google.com/?cid=6400092237591186101","ChIJL_Ld2O8VRDcRtYpbH_ux0Vg"
"Royal Vally School","RGJ6+F63, Hukajan, Assam 784172, India","784172","NA","NA","NA","https://maps.google.com/?cid=15110231829301427331","ChIJ5QZhS7sWRDcRg_xPk8pTstE"
"Kalyanee English School","RG35+GF4, Dhopabar, Assam 784172, India","784172","NA","NA","NA","https://maps.google.com/?cid=1425005672904445129","ChIJt82uTYYWRDcRycxiCByjxhM"
"Brahmaputra Valley English Academy","3HCJ+993, Bongara - Rani Rd, Borjhar, Kamar Gaon, Assam 781015, India","781015","NA","076368 33308","http://www.bvea.co.in/","https://maps.google.com/?cid=13948949651376196439","ChIJgQXcTphBWjcRV0sWoM2flME"
"New Scholar's Academy","VJF2+9WV, Gohpur, Gohpur T.E. Grant 655 Pt., Assam 784168, India","784168","NA","NA","NA","https://maps.google.com/?cid=3441465535496255164","ChIJ_X7DJQAbRDcRvPYAvquKwi8"
"Carmel Residantial school","WC9F+JQX, Uttar Kari Bil, Assam 784170, India","784170","NA","NA","NA","https://maps.google.com/?cid=3901701794420915232","ChIJcwZQHsoSRDcRIHz2IxyhJTY"
"Little Star School","Biswanath Chariali, P4MW+QM6, Sonitpur, Biswanath Charali, Assam 784176, India","784176","NA","03715 222 172","http://www.littlestarbnc.com/","https://maps.google.com/?cid=5464865478338933871","ChIJ2UpjlkheRDcRb_SvzTIa10s"
"Emmanuel English Higher Secondary School","NH 53, Lalangkitta Labocpar Pt I, Assam 788098, India","788098","NA","097060 01715","NA","https://maps.google.com/?cid=17326962840207196674","ChIJ7x_3yn9UTjcRAoLxpua8dfA"
"Mount Carmel English School Pasighat","3886+P9V Mir mir, char Ali, Pasighat, 791102","791102","NA","NA","http://www.mcsecschool.in/","https://maps.google.com/?cid=5562773301416894060","ChIJv6bS8Z-XPzcRbB77RNjwMk0"
"Royal Global English School, Chandanpur","36, Nagaon - Lumding Rd, near AU Digital Point, Tarkata, Mubarak Basti, Assam 782445, India","782445","NA","NA","https://www.facebook.com/profile.php?id=61555355460459&mibextid=ZbWKwL","https://maps.google.com/?cid=10409910717385548513","ChIJofQ1XwATRTcR4SJMtaRud5A"
"Sonitpur Jatiya Vidyalaya","MQ3R+3W8, Lokhra, Majgaon, Tezpur, Assam 784001, India","784001","NA","098549 60721","http://sonitpurjatiyavidyalaya.in/","https://maps.google.com/?cid=3143237560035931295","ChIJ7Zzm8enpRDcRn3SbQugFnys"
"Morning Star High School","Hukajan, Barangabari, Gohpur, Hukajan, Assam 784172, India","784172","NA","099574 86104","NA","https://maps.google.com/?cid=14328209261961614908","ChIJAQAAAL8WRDcRPBav3mgG2MY"
"Jadav Goswami Jatiya Vidyalaya","NH15, near Bank, Barangabari, Hukajan, Assam 784172, India","784172","NA","093655 32737","NA","https://maps.google.com/?cid=1683697397457907146","ChIJMxcu7ocXRDcRym26xNyxXRc"
"GREEN MEADOW RESIDENTIAL SCHOOL CHANMARI","Uttar, Kekurijan, Boroi 286/485, 784171","784171","NA","091018 66172","NA","https://maps.google.com/?cid=16688321559798174023","ChIJjRLbaoETRDcRR1FDRQrUmOc"
