"SchoolName","Address","Pincode","ContactEmail","ContactPhone","Website","GMapLink","PlaceID"
"ST. FRANCIS DE SALES HS SCHOOL BAHALPUR","8F37+W88, NH-31, Bahalpur, Bahalpur Totpara, Assam 783371, India","783371","NA","094768 16485","https://sfsbahalpur.ac.in/","https://maps.google.com/?cid=9637539874015099558","ChIJ39ClP7xQWDcRpjpVG3Rrv4U"
"Gyanpith Jatiya Vidyalaya,Jogighopa","6HPG+FM5, Kaiyapatty, Islampara, Kabaitari Pt VI, Assam 783382, India","783382","NA","NA","NA","https://maps.google.com/?cid=7832225629221162069","ChIJ44Ac7ZtSWDcRVQxwfransWw"
"JATIYA VIDALAYA KABAITARY","PARLLITAL JATIYA VIDALAYA, Chalantapara, Jogighopa, Kabaitari Pt VI, Assam 783388, India","783388","NA","NA","NA","https://maps.google.com/?cid=13157093290620491044","ChIJCXRtI85TWDcRJBUceKNil7Y"
"KOREYA BIDYA JYOTI JATIYA VIDYALAYA","7H22+8XW, Karea Pt I, Assam 783389, India","783389","NA","NA","NA","https://maps.google.com/?cid=8492139238531730202","ChIJ_yrbJpJTWDcRGgvX56Qj2nU"
"Jyanoday Jatiya Vidyalaya","north, DC Residence St, North Bongaigaon, New Colony, Mahabirstan, Bongaigaon, Assam 783380, India","783380","NA","NA","NA","https://maps.google.com/?cid=11247153067439328746","ChIJAYzuy-3-WDcR6o0q9x_qFZw"
"Marry's Public School","Jogighopa, Bongaigaon, NH-31B, Bongaigaon, Bongaigaon, Kawaitari, Assam 783382, India","783382","NA","03664 272 040","http://www.marryspublicschool.org/","https://maps.google.com/?cid=10771201578155914551","ChIJw9ITV75SWDcRNzUcXsT-epU"
"Hill view English school","9HP5+4M2, Hill Block N.C, Assam 783384, India","783384","NA","NA","NA","https://maps.google.com/?cid=10559831986722891215","ChIJB0yVQ9lVWDcRz-VsWD4PjJI"
"Jeevan jyoti jatiya vidyalaya,new bongaigaon","BHAWLAGURI, south, Dhaligaon Urban, New Bongaigaon Rly. Colony, Assam 783381, India","783381","NA","NA","https://jeevanjyotiv.info/","https://maps.google.com/?cid=2177360281310922148","ChIJDwiTd2z_WDcRpAWVw6OJNx4"
"LITTLE BRIGHT ACADEMY","9F6F+HFH, Talguri - Basugaon PWD Rd, Dhantola, Assam 783384, India","783384","NA","NA","NA","https://maps.google.com/?cid=3594338197424481350","ChIJCwM53w1XWDcRRqQaBIyn4TE"
"Dr.A.P.J Abdul Kalam Jatiya Vidyalaya","6HH5+868, Chatpara, Assam 783389, India","783389","NA","086384 80588","NA","https://maps.google.com/?cid=1691188131554879343","ChIJW2ogRIdNWDcRb2evNaVOeBc"
"Jyanoday Jatiya Vidyalaya","north, DC Residence St, North Bongaigaon, New Colony, Mahabirstan, Bongaigaon, Assam 783380, India","783380","NA","NA","NA","https://maps.google.com/?cid=11247153067439328746","ChIJAYzuy-3-WDcR6o0q9x_qFZw"
"JATIYA BIDDALAY SATIPUR","GGHC+J7C, Chilarai Rd, BRPL Refinery, Dhaligaon Urban, Bongaigaon Refinery and Petro-chemic, Assam 783385, India","783385","NA","NA","NA","https://maps.google.com/?cid=8473178255207587051","ChIJ_zyZ1F_7WDcR61w29LrGlnU"
"Gobinda Memorial Higher Secondary School Jogighopa","6HCC+FCH, Jogighopa, Bhatipara N.C., Assam 783382, India","783382","NA","NA","NA","https://maps.google.com/?cid=8919969434758734939","ChIJwRJxMgdNWDcRW-Qi3vAYyns"
"St.Xavier's Public School, Chalantapara","P.O, Chalantapara Pt IV, Bongaigaon, Assam 783388, India","783388","NA","088228 05190","https://www.stxavierschalantapara.com/","https://maps.google.com/?cid=14418360500227256500","ChIJhap8fWxTWDcRtLCRs3tOGMg"
"Markaz Academy Chalantapara","chalantapara mg college road, To NH 31B, india, Chalantapara Pt IV, Assam 783388, India","783388","NA","070026 43373","https://markazacademies.in/","https://maps.google.com/?cid=6728050515040524749","ChIJAYmzwNxSWDcRzdnf80vWXl0"
"Chanakya Public School","Nayapara, Khagarpur Pt., Assam 783383, India","783383","NA","070860 42501","NA","https://maps.google.com/?cid=7029239972358028859","ChIJ4eUAVx5VWDcRO35gKYPgjGE"
"MARKAZ JATIYA VIDYALAYA, BALAPARA","7G6V+XG6, Balapara, Assam 783389, India","783389","NA","NA","NA","https://maps.google.com/?cid=14988135428503950749","ChIJTQd6UAxTWDcRndVs_cKNANA"
"Modern English School Balapara","7G6R+X3M, Balapara, Assam 783388, India","783388","NA","NA","NA","https://maps.google.com/?cid=9904318810781857450","ChIJzeHfEc9TWDcRqjbfqns1c4k"
"Sankardev Shishu Vidya Niketan, Bongaigaon","2 no Bakhrapara, Mayapuri, Bongaigaon, Assam 783380, India","783380","NA","NA","NA","https://maps.google.com/?cid=6941535422951015556","ChIJDV4Mj1P-WDcRhETJeLBJVWA"
"TRINITY ENGLISH SCHOOL","FHM5+GXX, Netaji Nagar, Old colony, Bongaigaon, Assam 783380, India","783380","NA","060001 33012","NA","https://maps.google.com/?cid=2963425251278159862","ChIJ7fAVGPT-WDcR9n_brJAzICk"
"Jyanoday Jatiya Vidyalaya","north, DC Residence St, North Bongaigaon, New Colony, Mahabirstan, Bongaigaon, Assam 783380, India","783380","NA","NA","NA","https://maps.google.com/?cid=11247153067439328746","ChIJAYzuy-3-WDcR6o0q9x_qFZw"
"St.Francis D'Assisi School","NH27, Chaprakata, Bongaigaon, Nayapara Pt I, Assam 783380, India","783380","NA","NA","NA","https://maps.google.com/?cid=1677241273032672300","ChIJYQct9BX-WDcRLIS8KQ3CRhc"
"Pranab Bidyapith","FGGV+97H, New Colony, Mahabirstan, Bongaigaon, Bhakarivita [Pt], Assam 783380, India","783380","NA","NA","NA","https://maps.google.com/?cid=1334285108149262215","ChIJ_3XhPd3-WDcRh5dUjDxVhBI"
"North boitamari jatiya vidyalaya","9GJ5+9WW, Salbari Bongaigaon Rd, Amguri, Assam 783384, India","783384","NA","NA","NA","https://maps.google.com/?cid=1416391337204850479","ChIJ3RkttM1XWDcRLx8JtWoIqBM"
