"SchoolName","Address","Pincode","ContactEmail","ContactPhone","Website","GMapLink","PlaceID"
"Haji Mudarich Ali Memorial Academy","PRPH+WHF, 13, Part-IV, Saidpur, Silchar, Sonabarighat Pt II, Assam 788013, India","788013","NA","NA","NA","https://maps.google.com/?cid=7871129395402457298","ChIJLQOEYDxJTjcR0kAZanveO20"
"Spring Dales Academy: Bhangarpar","WMJ6+CMJ, Unnamed Road, Bhangerpar Pt IV, Assam 788817, India","788817","NA","NA","https://springdalesacademy.co.in/","https://maps.google.com/?cid=15390061582025217597","ChIJr8Q5RMPNTzcRPdb_A3h7lNU"
"Adarsha Bidya Niketan","MPHP+CR8, Choto Jalenga Pt I, Assam 788011, India","788011","NA","NA","NA","https://maps.google.com/?cid=4934641310894375176","ChIJJaojBps5TjcRCMHTnSBee0Q"
"HAJI A. N. Laskar Udayan Bidyapit, Bhangarpar","WMC6+5MP, Bhangarpar Rd, Bhangerpar Pt V, Assam 788110, India","788110","NA","NA","NA","https://maps.google.com/?cid=10365069688706410983","ChIJb8GjrXHNTzcR56mDI_cf2I8"
"Gandhi Memorial Vidyapith","XH5V+273, Kalain, Manipur Pt I, Assam 788815, India","788815","NA","NA","NA","https://maps.google.com/?cid=6473943076065431097","ChIJWzjR3XbTTzcROc76YO0Q2Fk"
"St. Vianney High School","XJ45+X8J, Burunga Pt I, Assam 788817, India","788817","NA","NA","NA","https://maps.google.com/?cid=12562252315264982369","ChIJE22GEhLSTzcRYZ0yTuwVVq4"
"Chandranathpur High School","Chandranathpur, 95 Bsf Camp Damchera, Assam 788817, India","788817","NA","NA","NA","https://maps.google.com/?cid=6314143370189966553","ChIJIeLHq-HNTzcR2YwPAfFXoFc"
"Sishu Bikash Kendra, Gonirgram","VM2C+45W, Unnamed Road, Nischintapur, Sridharpur, Assam 788025, India","788025","NA","NA","NA","https://maps.google.com/?cid=2871189751851392374","ChIJeXcIk1UzTjcRdh3Y-d2D2Cc"
"Adarsha Vidyalaya","gobindaput (II), P.O-Gobindapur west, VJQH+2W2, Tarinipur Pt III, Assam 788804, India","788804","NA","NA","NA","https://maps.google.com/?cid=12630608739678348204","ChIJJWsSD07NTzcRrON4mbrvSK8"
"Sunrise English High School","kunjabasti, silchar Road, pailapool, Lalangkitta Labocpar Pt I, Assam 788098, India","788098","NA","NA","http://www.sunriseenglishschool.com/","https://maps.google.com/?cid=11794791946349030277","ChIJj9VI2n9UTjcRhavFociEr6M"
"Katigorah Senior Secondary School","CHERAGI BAZAR Niz Katigorah pt iii, Katigara, Niz Katigorah Pt III, Assam 788805, India","788805","NA","098545 63612","NA","https://maps.google.com/?cid=12648515051647271150","ChIJYbenGbUsTjcR7gCevWyNiK8"
"Deshabandhu Vidya Niketan","XM42+P4G, Ujangram-Dholcherra Rd, Sewti Pt I, Assam 788817, India","788817","NA","NA","NA","https://maps.google.com/?cid=16102778526753824610","ChIJJyoEC3nNTzcRYh_z_8CPeN8"
"Saraswati Vidya Niketan","WPQ7+675, Jarailtala, Assam 788127, India","788127","NA","NA","NA","https://maps.google.com/?cid=18236347875646646992","ChIJ7_mbHZrLTzcR0CpeyMWFFP0"
"Vivekananda Shishu Vihar","Khelma Rd, Khelma Pt VI, Khelma Pt VII, Assam 788815, India","788815","NA","NA","NA","https://maps.google.com/?cid=453711630528489656","ChIJ85J7wx_UTzcRuCgd-FLoSwY"
"Al Ameen Academy, Badarpur.","Dawat Nagar, Badarpur, Assam 788806, India","788806","NA","088227 89998","https://alameenbadarpur.in/","https://maps.google.com/?cid=9847737965775385993","ChIJz2qYVrcsTjcRiXUrG4Exqog"
"Nazrul Academy","PCW2+WW8, Nazrul Academy Rd, Dhaka 1000, Bangladesh","NA","NA","02-58310079","NA","https://maps.google.com/?cid=13675763705464213393","ChIJJ8rOz5G4VTcRkc9fAKISyr0"
"Kinnakhal Bazar","WF8X+GW4, Chandi Nagar Pt II, Assam 788805, India","788805","NA","NA","NA","https://maps.google.com/?cid=11019383508639419179","ChIJlZv6BVHVTzcRKwtA_Oq27Jg"
"Jupiter high School, Kalain","XH68+9H6, Hatigarh - Kalain Rd, Baraitoli Pt I, Assam 788815, India","788815","NA","NA","NA","https://maps.google.com/?cid=13992607723036945930","ChIJ4Zvz96DTTzcRCi4BjZa6L8I"
"Janata vidyapith, natanpur","XH26+J8V, Digabor Tea Garden Road, Baraitoli Pt II, Baraitoli Pt I, Assam 788815, India","788815","NA","NA","NA","https://maps.google.com/?cid=1015109613917194415","ChIJ52Ad9pXTTzcRr0ieydBkFg4"
"Al aman academy","XHC4+2M3, NH 44, Tarapur, Assam 788815, India","788815","NA","NA","https://alaman-academy.in/","https://maps.google.com/?cid=9913352383617292130","ChIJL0HY3ebTTzcRYtfHPnhNk4k"
"Adarsha Vidyapith","XH8C+H69, Kalain Rd, Kalain, Assam 788815, India","788815","NA","086386 53675","NA","https://maps.google.com/?cid=18154949717875419497","ChIJV0LEPNDTTzcRaekKUZRW8_s"
"Little Flower School","XH9C+7PP, Unnamed Road, Kalain, Assam 788815, India","788815","NA","NA","NA","https://maps.google.com/?cid=8363579096962041309","ChIJbVV0fcvTTzcR3QVOZeBmEXQ"
"Universal Academy","Kalain, Assam 788815, India","788815","NA","094352 85965","NA","https://maps.google.com/?cid=10165118052456273747","ChIJuX0fttHTTzcRUxeR-ALBEY0"
"MOJO CENTRAL SCHOOL","Digabor Tea Garden Road, Kalain, Assam 788815, India","788815","NA","097060 20070","NA","https://maps.google.com/?cid=10490165459456172114","ChIJ-d1VfrrTTzcRUiD19eeNlJE"
"Galaxy Ideal School","XH8C+PWQ, Kalain, Assam 788815, India","788815","NA","098598 04842","NA","https://maps.google.com/?cid=16671347717145322772","ChIJjWaLudHTTzcRFGV3j2uGXOc"
"Netaji Vidya Niketan","Silchar-Kalain Road, Dhumkar, XH7H+XVV, Kalain, Assam 788815, India","788815","NA","NA","NA","https://maps.google.com/?cid=18311558885381641943","ChIJ2e3mFCjTTzcR1xbSlsm5H_4"
"Talent School of Studies","Dhumkar, Kalain, Assam 788815, India","788815","NA","NA","NA","https://maps.google.com/?cid=15035343112034604756","ChIJ_ay1PDfTTzcR1FbwVOZEqNA"
"Bharat Nirman Vidyapith","XH87+GWG, Tarapur, Kalain, Assam 788815, India","788815","NA","NA","NA","https://maps.google.com/?cid=3817621952449642627","ChIJ1xVjgSLTTzcRg4B-avDq-jQ"
"Pragati Vidya Niketan, Niz Katigorah Part II","🚉, near, Station Rd, near Sukritipur railway station 🚉, Part II, Niz, Katigara, Siddeswar Pt II, Assam 788805, India","788805","NA","NA","NA","https://maps.google.com/?cid=2520494952354343284","ChIJcwQkp-DTTzcRdOk-Fc6Y-iI"
"Model Academy Lathimara","VHJ3+7Q9, Lathimara, Assam 788805, India","788805","NA","NA","NA","https://maps.google.com/?cid=10728821402930931395","ChIJX7UsmNEtTjcRw2ZO5Dhu5JQ"
"Jyoti Academy Mohanpur","Kalain Rd, Sewti Pt II, Assam 788817, India","788817","NA","NA","NA","https://maps.google.com/?cid=10890279601994368270","ChIJG_gWzbnNTzcRDoWOTZkLIpc"
"Adarsha Vidyapith","XH8C+H69, Kalain Rd, Kalain, Assam 788815, India","788815","NA","086386 53675","NA","https://maps.google.com/?cid=18154949717875419497","ChIJV0LEPNDTTzcRaekKUZRW8_s"
"Model Academy Lathimara","VHJ3+7Q9, Lathimara, Assam 788805, India","788805","NA","NA","NA","https://maps.google.com/?cid=10728821402930931395","ChIJX7UsmNEtTjcRw2ZO5Dhu5JQ"
"Dr. Radhakrishnan Academy","XFX3+FX8, Talkar Grant, Assam 788816, India","788816","NA","NA","NA","https://maps.google.com/?cid=10598525003892893934","ChIJC0xyOOEpUDcR7qghcFaGFZM"
"Bethlehem English School","Road, Noagang, Tripura 799253, India","799253","NA","098629 62356","NA","https://maps.google.com/?cid=8955475628339815809","ChIJ0YrG5kvtUTcRgeXcxaI9SHw"
"Jana Kalyan Driving Training School","VH7C+3C5, Unnamed Road, Jumbasti, Srinagar Colony, Badarpur Rly Town, Badarpur, Assam 788806, India","788806","NA","NA","NA","https://maps.google.com/?cid=3195864299608991591","ChIJ2djEjM4tTjcRZ-eL6KX9WSw"
"Al aman academy","XHC4+2M3, NH 44, Tarapur, Assam 788815, India","788815","NA","NA","https://alaman-academy.in/","https://maps.google.com/?cid=9913352383617292130","ChIJL0HY3ebTTzcRYtfHPnhNk4k"
"Saraswati Vidya Niketan, Malugram","RRQ4+R96, Itkhola, Tarapur, Rongpur Pt IV, Silchar, Assam 788002, India","788002","NA","NA","NA","https://maps.google.com/?cid=6207962502296584630","ChIJ1cuSytVLTjcRtkFVMAEdJ1Y"
"Sadirkhal M. E. School","XF2P+F45, Sadirkhal bazaar, Sadirkhal, Saidpur Pt I, Assam 788815, India","788815","NA","NA","NA","https://maps.google.com/?cid=873383164624625345","ChIJN3up5RvVTzcRwd5BYFzhHgw"
"RISING CHILD ACADEMY","XF2P+H9R, Sadirkhal, Kalain, Saidpur Pt I, Assam 788815, India","788815","NA","NA","NA","https://maps.google.com/?cid=11651868133419248139","ChIJmYyVkpPVTzcRC-olRlXAs6E"
"SARADA VIDYAPITH","XGP9+6F8, NH6, Gobindakupa, Khelma Pt VIII, Assam 788815, India","788815","NA","NA","NA","https://maps.google.com/?cid=196731741439378520","ChIJxV1VlJjWTzcRWMSJ_HnuugI"
"Umrongso Royal Academy","Umrangso, Assam 788931, India","788931","NA","094355 77594","http://www.facebook.com/UmrongsoRoyalAcademy","https://maps.google.com/?cid=10313408457370412234","ChIJBYmJ9qbzTzcRyqQSZVmWII8"
"Adarsha Vidyalaya, Aloicherra","9HQ4+XPV, Alaicherra Pt V, Assam 788165, India","788165","NA","NA","NA","https://maps.google.com/?cid=9463865788165629365","ChIJdZTOf-kbTjcRtaWV6cpnVoM"
"DIAMANTE ENGLISH ACADEMY","Niz Hari Tikar Pt II, Assam 788805, India","788805","NA","NA","NA","https://maps.google.com/?cid=4519743848907390913","ChIJh_HA1TIrTjcRwb_hfRVbuT4"
"Al Mahmud English School","VGGQ+PJM, Nazat Pur, Assam 788805, India","788805","NA","NA","NA","https://maps.google.com/?cid=16623396992420962728","ChIJbSR8CFcrTjcRqGGMdX0rsuY"
"Unique Model Academy","TRK Road, 788802, Tarinipur Pt III, Assam 788025, India","788802","NA","NA","NA","https://maps.google.com/?cid=7959006215069499772","ChIJrwarIk3NTzcRfAFY5vsRdG4"
"Sri Sri gnan mandir school","Vill-masimpur, VQJ7+VQG, Masimpur Bagicha, Assam 788003, India","788003","NA","NA","NA","https://maps.google.com/?cid=5213472830706258472","ChIJ4xqjpKXLTzcRKJJl2Or5WUg"
"Holy Flower High School","VHGH+V7J, Uttarbadarpur, Assam 788805, India","788805","NA","097646 28028","NA","https://maps.google.com/?cid=14828279471347267687","ChIJt4iMyigtTjcRZ_jel52hyM0"
"Al Hilal Islamic Academy","Sunapur pakka masjid... Darul qirat building Bhangarpar, hospital road, WMMC+MJP, Rangar Pt I, Assam 788817, India","788817","NA","NA","NA","https://maps.google.com/?cid=5639668183840313677","ChIJHRrKxyvNTzcRTdHfPFUgRE4"
"Ideal Academy","2R5X+X5X, Markaz Rd, Hojai, Assam 782435, India","782435","NA","NA","NA","https://maps.google.com/?cid=9100966614240237978","ChIJR4EoJQJrRTcRmpl6quogTX4"
"Shining Academy","QCPG+V5R, Bagbari, Assam 788720, India","788720","NA","NA","NA","https://maps.google.com/?cid=7898488335065425350","ChIJO_BXVwDXUTcRxiUk8koRnW0"
"PANCHGRAM ADARSHA VIDYAPITH","VJ62+3PV, Panchgram, Assam 788802, India","788802","NA","NA","NA","https://maps.google.com/?cid=12743395247319699094","ChIJgU2oQ_YtTjcRlk7kxHWi2bA"
"Al Ameen Model Academy","RQJ3+4J3, pt 4, Tarapur, Silchar, Assam 788003, India","788003","NA","NA","https://alameensilchar.in/","https://maps.google.com/?cid=1828441794847906978","ChIJQ_9nOSpLTjcRohxj-h_uXxk"
"Adarsha Vidyapith","XH8C+H69, Kalain Rd, Kalain, Assam 788815, India","788815","NA","086386 53675","NA","https://maps.google.com/?cid=18154949717875419497","ChIJV0LEPNDTTzcRaekKUZRW8_s"
"IQRA ACADEMY, KATIGORAH","VHJ4+CFV, Cheragi Bazar, Niz Katigorah Pt III, Lathimara, Assam 788805, India","788805","NA","NA","http://facebook.com/iqraacademy.org","https://maps.google.com/?cid=8852994499798760926","ChIJk6pOwrQsTjcR3v39ppcn3Ho"
"Saraswati Vidya Niketan","WPQ7+675, Jarailtala, Assam 788127, India","788127","NA","NA","NA","https://maps.google.com/?cid=18236347875646646992","ChIJ7_mbHZrLTzcR0CpeyMWFFP0"
"Orchid hs school","WMXW+7VV, Jarailtala, Bhitor Gangapur Pt II, Assam 788127, India","788127","NA","NA","NA","https://maps.google.com/?cid=4700230933416366372","ChIJMZ7SDgDNTzcRJNGVjCGTOkE"
"Janakalyan Vidhyaniketan Jagadishpur pt V Katigorah cachar Assam","VHR9+22M, Jagadishpur, Katigara, Niz Katigorah Pt III, Assam 788805, India","788805","NA","NA","NA","https://maps.google.com/?cid=4223458651036606616","ChIJUzspB8vTTzcRmGCWKkS9nDo"
"NEHRU ACADEMY","WHHP+8G8, KK Rd, Niz Katigorah Pt I, Katirail T.E., Assam 788805, India","788805","NA","NA","NA","https://maps.google.com/?cid=15737055316146706242","ChIJceOEdoHTTzcRQteYeW5AZdo"
"Adarsha Vidyalaya Borobazar, Bhumkipara","JJ3W+48J, Simlaguri, Assam 783393, India","783393","NA","NA","NA","https://maps.google.com/?cid=2133757024597988581","ChIJ8-grrG8DWTcR5VQocLWgnB0"
"East Karaikandi Road","E Karaikandi Rd, Assam 788101, India","788101","NA","NA","NA","https://maps.google.com/?q=E+Karaikandi+Rd,+Assam+788101,+India&ftid=0x374e4db42ae1e351:0xef8f080ed0095381","ChIJUePhKrRNTjcRgVMJ0A4Ij-8"
"Royal convent English school","101 No, Sibpur Rd, Sibpur Part I, Assam 788101, India","788101","NA","NA","NA","https://maps.google.com/?cid=15121154421011357438","ChIJ78F3KwBPTjcR_p41otQh2dE"
"Adarsha Vidyapith English School, Nandapur","QV5X+PJR, Gobindapur Pt I, Dungripar Pt II, Assam 788101, India","788101","NA","NA","NA","https://maps.google.com/?cid=4843116607924259134","ChIJJ0_gQGBOTjcRPskeHeU0NkM"
"Lakhipur Junior College","Q2R9+V9V, NH-53, Lakhipur, Assam 788106, India","788106","NA","NA","NA","https://maps.google.com/?cid=4550710808705212255","ChIJVVUVFghUTjcRX59nrF5fJz8"
"Benison English School Lakhipur","Benison English School Lakhipur, Durgapally Rd, Durgapally, Lakhipur, Assam 788103, India","788103","NA","NA","http://www.benisonenglishschool.com/","https://maps.google.com/?q=Benison+English+School+Lakhipur&ftid=0x374e53eefba52b95:0x487261fbdbacbc98","ChIJlSul--5TTjcRmLys2_thckg"
"North East Academy English School","Nayagram, Q2R8+89F, Fulertal Bridge Rd, Dilkushbasti, Lakhipur, Assam 788106, India","788106","NA","NA","NA","https://maps.google.com/?cid=7230655210000008188","ChIJO4gMJ_hTTjcR_MNglZpyWGQ"
"Emmanuel English Higher Secondary School","NH 53, Lalangkitta Labocpar Pt I, Assam 788098, India","788098","NA","097060 01715","NA","https://maps.google.com/?cid=17326962840207196674","ChIJ7x_3yn9UTjcRAoLxpua8dfA"
"ST. VINCENT'S SCHOOL","R2G8+V6X, Lalangkitta Labocpar Pt I, Assam 788098, India","788098","NA","801130899","http://stvincentschoolpailapool.com/","https://maps.google.com/?cid=9984266198701493456","ChIJ____T4dUTjcR0MyKdDU9j4o"
"Sunrise English High School","kunjabasti, silchar Road, pailapool, Lalangkitta Labocpar Pt I, Assam 788098, India","788098","NA","NA","http://www.sunriseenglishschool.com/","https://maps.google.com/?cid=11794791946349030277","ChIJj9VI2n9UTjcRhavFociEr6M"
"Brilliant English School,Pailapool","R2HF+XRP, Joypur Road, Lalangkitta Labocpar Pt I, Assam 788098, India","788098","NA","NA","NA","https://maps.google.com/?cid=10177181409468160369","ChIJ5XSP-oZUTjcRcRkPJpKcPI0"
"Jakir hussain memorial english school","QWFG+WFM, Kaptanpur Pt., Assam 788101, India","788101","NA","NA","NA","https://maps.google.com/?cid=2592214631383873913","ChIJY1fWNA9OTjcRebk0HXll-SM"
"Modern Public School","Saraleikai Rd, Lalang Pt II, Assam 788098, India","788098","NA","NA","NA","https://maps.google.com/?cid=10608475644767689262","ChIJpfNzY6BTTjcRLtrCjmTgOJM"
"Kids care English school","QWGF+MQC, Rupaibali Rd, Kaptanpur Pt., Assam 788101, India","788101","NA","NA","NA","https://maps.google.com/?cid=17161983779621460743","ChIJ34NBh_1PTjcRB1tayVGdK-4"
"Shiroi Lily Rasmani English School","QXPC+5J5, Singerband Road, Singerband, Assam 788103, India","788103","NA","NA","NA","https://maps.google.com/?cid=12866491426085096933","ChIJ-ZnTSSlSTjcR5U1pTcj1jrI"
"Brilliant Academy school","RWC3+J5J, Lambabasti Rd, Niz-Banskandi Pt III, Assam 788101, India","788101","NA","NA","NA","https://maps.google.com/?cid=13639637424098700465","ChIJi5TZYQVNTjcRseyGqPi5Sb0"
"Nim Public School","RW56+HQP, Banshkandi, Assam 788101, India","788101","NA","088762 20101","NA","https://maps.google.com/?cid=15806667006751458284","ChIJC6TnOblNTjcR7MNONOWPXNs"
"Pioneer English School","RW68+675, Banshkandi, Assam 788101, India","788101","NA","NA","NA","https://maps.google.com/?cid=10679444287730870332","ChIJN2__eL5NTjcRPOjFYP8BNZQ"
"Asapalli English School","Q2QF+VW7, Fulertal, Assam 788106, India","788106","NA","03841 287 418","NA","https://maps.google.com/?cid=16711342339729018762","ChIJqZYMhxFUTjcRik9-R1Gd6uc"
"PMS ENGLISH SCHOOL","Q2QG+G99, Hmarkhawlien, Assam 788106, India","788106","NA","NA","NA","https://maps.google.com/?cid=12397436264623543081","ChIJS8xPEQVUTjcRKZNuJpmKDKw"
"MD. English School","H, Banshkandi, Assam 788101, India","788101","NA","NA","NA","https://maps.google.com/?cid=14379077664667411926","ChIJTYT-o71NTjcR1iVB0PO-jMc"
"H R Memorial Academy","Kanchanpur, Tupkhana, Kanchanpur Pt I, Assam 788151, India","788151","NA","060001 35717","NA","https://maps.google.com/?cid=2739174149392698683","ChIJrTntwZklTjcROw18SGCAAyY"
"Adarsha Vidyapith English School, Nandapur","QV5X+PJR, Gobindapur Pt I, Dungripar Pt II, Assam 788101, India","788101","NA","NA","NA","https://maps.google.com/?cid=4843116607924259134","ChIJJ0_gQGBOTjcRPskeHeU0NkM"
"M.A Junior College/ F.A Degree College","RV5R+Q3R, Niz-Banskandi Pt II, Assam 788101, India","788101","NA","NA","NA","https://maps.google.com/?cid=12876417157684214808","ChIJnxcyHklMTjcRGDyDxy45srI"
