"SchoolName","Address","Pincode","ContactEmail","ContactPhone","Website","GMapLink","PlaceID"
"Blooming Buds English School","HPFH+GMR, Unnamed Road, No.2 Silapathar Block, Assam 787059, India","787059","NA","NA","NA","https://maps.google.com/?cid=10327421244676318681","ChIJiYxiiRSTQDcR2SXBrudeUo8"
"Joypur Jatiya Vidyalaya","797Q+VQ8, Joypur Chariali, Assam 786614, India","786614","NA","NA","NA","https://maps.google.com/?cid=13080796304959936847","ChIJJ_WkT_lHPzcRTxlhMO9SiLU"
"Jaipur HOLY CHILD HIGH SCHOOL","797P+WQ4, Joypur Chariali, Assam 786614, India","786614","NA","NA","NA","https://maps.google.com/?cid=18032122097310187828","ChIJSX9MhvtHPzcRNEGlXIL3Pvo"
"MAHMORA ADARSHA VIDYAPITH","56JF+RHP, Chauwani, Assam 786612, India","786612","NA","NA","NA","https://maps.google.com/?cid=7613098285242406020","ChIJdZGF1fxRPzcRhFQC9I0op2k"
"Divinely Graced School","56WQ+9Q8, Bortani No.1, Sisumuria Borpather, Assam 786621, India","786621","NA","NA","NA","https://maps.google.com/?cid=4215048543935287185","ChIJH456YbhPPzcRkU9KhFHcfjo"
"Kaziranga Academy","WQF2+P85, Borkola Gorh Gaon, Garhgaon, Assam 785685, India","785685","NA","091270 52947","NA","https://maps.google.com/?cid=3547541012651717293","ChIJof6FdmtIRzcRrTI8XcFlOzE"
"Sankardev Shishu Niketan, simaluguri","WQG8+J8P, SH 1, Ramu Gaon, Simaluguri, Assam 785686, India","785686","NA","NA","NA","https://maps.google.com/?cid=11330158810272102335","ChIJuwsnYfVJRzcRv_cHf2jPPJ0"
"Sankardev Shishu Niketan, simaluguri","WQG8+J8P, SH 1, Ramu Gaon, Simaluguri, Assam 785686, India","785686","NA","NA","NA","https://maps.google.com/?cid=11330158810272102335","ChIJuwsnYfVJRzcRv_cHf2jPPJ0"
"Siukapka Academy Junior College, Simaluguri","WQC5+J4M, Deodhai Gaon, Simaluguri, Assam 785686, India","785686","NA","NA","NA","https://maps.google.com/?cid=10130476944895294438","ChIJfQc6dO1JRzcR5rvEmRuvlow"
"Bronson and Brown English Academy","5WG9+X3R, Moranhat Town, Assam 785670, India","785670","NA","NA","NA","https://maps.google.com/?cid=11366828373434117101","ChIJHTim7d6tQDcR7StffS4Wv50"
"Shankardev Shishu/Vidya Niketan, Sapekhati","4538+R64, Konwari Pothar, Assam 785692, India","785692","NA","NA","NA","https://maps.google.com/?cid=4231574544797324566","ChIJAXlDFxVTPzcRFtU676CSuTo"
"Morning Star Academy","36X9+979, Kala Kata Gaon, Assam 785692, India","785692","NA","NA","NA","https://maps.google.com/?cid=1713388421888619187","ChIJySUz8KJSPzcRszLwGLEtxxc"
"Sapekhati Jatiya Vidyalay","Sapekhati Charialli, Bus Stop, Dhodar Ali Rd, Bagh Moria Gaon, Assam 785692, India","785692","NA","NA","NA","https://maps.google.com/?cid=3101237632834831748","ChIJ5dGZoo1TPzcRhIUxLTLPCSs"
"SHANKARDEV SHISU NIKETAN, BORPATRA","Borpatra, Borhat, Panisaki Grant, Assam 785693, India","785693","NA","091017 66051","NA","https://maps.google.com/?cid=13360340096384283500","ChIJg30Zr2hLPzcRbLNkE4h2abk"
"Borhat Jatiya Vidyalaya","Borhat Habi Gaon, Assam 785693, India","785693","NA","094354 55217","NA","https://maps.google.com/?cid=6308941527834236932","ChIJL7hONy9MPzcRBBhFs-TcjVc"
"Green View Academy","577G+G25, Railway Crossing Rd, Borhat Habi Gaon, Borhat, Assam 785693, India","785693","NA","NA","NA","https://maps.google.com/?cid=6063537977204864789","ChIJgWGC5tVNPzcRFfdiDaoDJlQ"
"Sankardev Vidya Niketan, Melachakar, Sivasagar","XJJW+C9F, T.P Chaliha Rd, Sivasagar, Assam 785640, India","785640","NA","NA","NA","https://maps.google.com/?cid=1267605627282092413","ChIJbTWTzUkxRzcRfXFvGZpwlxE"
"Shankardev Shishu/Vidya Niketan, Sapekhati","4538+R64, Konwari Pothar, Assam 785692, India","785692","NA","NA","NA","https://maps.google.com/?cid=4231574544797324566","ChIJAXlDFxVTPzcRFtU676CSuTo"
"Arunodoi Senior Secondary School","4535+XRX, Main Road, Sapekhati, Timon Bortani, Assam 785692, India","785692","NA","NA","NA","https://maps.google.com/?cid=11832714126850998071","ChIJjTkbayZTPzcRNz-zU84-NqQ"
"SAPEKHATI BROOK FIELD ENGLISH SCHOOL","4537+PXF, Konwari Pothar, Assam 785692, India","785692","NA","NA","NA","https://maps.google.com/?cid=3155850376162381927","ChIJ28jHOxVTPzcRZxBxWzLVyys"
"Angelica Academy","Sapekhati Station Rd, Sapekhati, Timon Bortani, Assam 785692, India","785692","NA","NA","NA","https://maps.google.com/?cid=1331204278377333673","ChIJfwEYcmxTPzcRqUMp-DxjeRI"
"Sapekhati Collage","4527+7JM, Sapekhati, Konwari Pothar, Assam 785692, India","785692","NA","NA","NA","https://maps.google.com/?cid=17096220299680821831","ChIJJ2qRS_RTPzcRRzJMbMj5Qe0"
"Sapekhati Higher Secondary School","No. 1, Kathiakhunda, Charaideo, Sapekhati, Konwari Pothar, Assam 785692, India","785692","NA","NA","NA","https://maps.google.com/?cid=7543984568631286223","ChIJ75BAzUFTPzcRz9lL1P6dsWg"
"Blossom Academy English School","23QG+V47, Borholla Habi, Assam 785691, India","785691","NA","NA","NA","https://maps.google.com/?cid=6984830016115574085","ChIJwSdGOgOrODcRRQUOd-QZ72A"
"Charaideo Jatiya Bidyalay","WVV6+R27, Bhokot Gaon, Assam 785686, India","785686","NA","NA","NA","https://maps.google.com/?cid=8313021738853999521","ChIJjX2Y5_tPRzcRoSN-KjrJXXM"
"Bengenabari Siva Mondir","24W3+66H, Bengenabari, Sonari, Assam 785690, India","785690","NA","NA","NA","https://maps.google.com/?cid=2423716579092099307","ChIJDX3bZuerODcR63ACJWPFoiE"
"SUFFRY ADARSHA BIDYALAYA","2X24+WF5, NH702C, near ABHOIPUR SUNDAY MARKET, Ranga Pothar, Naphuk Gaon, Assam 785689, India","785689","NA","NA","NA","https://maps.google.com/?cid=1920100314373204042","ChIJ9XfQiOdTRzcRSqhUExCRpRo"
"Mahmora Jatiya Vidyalaya","3XFP+2JC, Erabari, Assam 785673, India","785673","NA","NA","NA","https://maps.google.com/?cid=13222404774776435749","ChIJNyhjMYpVRzcRJXT6XBZrf7c"
"Moran Jatiya Vidyalaya","6W43+C8X, Assam Trunk Rd, Khowang Chah Co. 108 No Fs Gra, Tiliki Amguri, Assam 785675, India","785675","NA","NA","NA","https://maps.google.com/?cid=9472386968576411674","ChIJmyC7nSKuQDcRGkgJ1cKtdIM"
"Batamara Senior Secondary Jatiya Vidyalaya","Batamara Jatiya Vidyalaya, Oil India Ltd Twp, Moranhat, Moran Changmai, Assam 785670, India","785670","NA","091018 13553","https://www.facebook.com/batamarajatiyabidyalaya","https://maps.google.com/?cid=14398102580511574622","ChIJn_-tJJetQDcRXgoHNwNW0Mc"
"OIL INDIA HS SCHOOL, MORAN","4WW3+3HM, Oil India Ltd Twp, Moran Changmai, Assam 785670, India","785670","NA","0374 280 7322","NA","https://maps.google.com/?cid=17359746845170249112","ChIJM8s_48itQDcRmK0Uocc16vA"
"NUR ACADEMY SENIOR SECONDARY SCHOOL (CLASS XI/XII) ARTS","C/o Nur Adarsha sishu niketan MORANHAT, Khatikhedi, Assam 785669, India","785669","NA","NA","NA","https://maps.google.com/?cid=5175417012093559325","ChIJCebqsKqzQDcRHaJZGlrG0kc"
"BISHRAMPUR JATIYA VIDYALAYA","3WRM+58X, Kachupathar Rd, Jajoli Habi, Borbil No.2, Assam 785673, India","785673","NA","NA","NA","https://maps.google.com/?cid=5911102215533377668","ChIJbT4YVQKtQDcRhDjkiyV0CFI"
"Kharghoria Doba M.E School","Doba, 3WF4+J78, Road, Kharghoria, Deodhai Gaon, Moranjan Gaon, Assam 785673, India","785673","NA","NA","NA","https://maps.google.com/?cid=10032231962185610530","ChIJTZiW6gxTRzcRIrVkCtGlOYs"
"Doba Adarsha Jatiya Vidyalaya","3VCX+6QC, Khargharia Deodhai, Assam 785673, India","785673","NA","NA","NA","https://maps.google.com/?cid=2694819142388595006","ChIJp7Ng96NSRzcRPrn-c7vrZSU"
"Charaideo Jatiya Bidyalay","WVV6+R27, Bhokot Gaon, Assam 785686, India","785686","NA","NA","NA","https://maps.google.com/?cid=8313021738853999521","ChIJjX2Y5_tPRzcRoSN-KjrJXXM"
"TENGAPUKHURI JR COLLEGE","WRH9+XHQ, Phuloni Bari Path, Tenga Pukhuri, Kukurachowa Gaon, Assam 785686, India","785686","NA","NA","NA","https://maps.google.com/?cid=12353354660438404860","ChIJyf4IRq1PRzcR_O7Y35zub6s"
"ST.JOSEPH'S HIGH SCHOOL, Moranhat","5WF5+HJ5, Assam Trunk Rd, Jyotipur, Moranhat, Moranhat Town, Assam 785670, India","785670","NA","NA","http://sjsmoranhat.yolasite.com/","https://maps.google.com/?cid=16828320590645240481","ChIJCa36geatQDcRoSLNu2o0iuk"
"Kachumari High School","4W6J+J43, Deroi Deogharia Pathar N.C, Assam 785673, India","785673","NA","NA","NA","https://maps.google.com/?cid=15699995154458054906","ChIJY6FRRoutQDcR-pDTLGmW4dk"
"Batamara Senior Secondary Jatiya Vidyalaya","Batamara Jatiya Vidyalaya, Oil India Ltd Twp, Moranhat, Moran Changmai, Assam 785670, India","785670","NA","091018 13553","https://www.facebook.com/batamarajatiyabidyalaya","https://maps.google.com/?cid=14398102580511574622","ChIJn_-tJJetQDcRXgoHNwNW0Mc"
"Charaideo Jatiya Bidyalay","WVV6+R27, Bhokot Gaon, Assam 785686, India","785686","NA","NA","NA","https://maps.google.com/?cid=8313021738853999521","ChIJjX2Y5_tPRzcRoSN-KjrJXXM"
"Dibyalta Ideal Academy","22H7+F9V, Sonari, Assam 785690, India","785690","NA","NA","NA","https://maps.google.com/?cid=9719558608249004437","ChIJbelo01NURzcRlaFFyg7P4oY"
"Patkai Shankardev Shishu/Vidya Niketan , Patsaku","2RFJ+G6J, Barbhuyan Gaon, Assam 785674, India","785674","NA","NA","https://m.facebook.com/groups/275128232514283?refid=46&sld=eyJzZWFyY2hfc2lkIjoiMDFmMTJlMDZiNjRjMTEwNmFhMTU4MzA5MmZkYjgzMTEiLCJxdWVyeSI6InBhdGthaSBzaGFua2FyZGV2Iiwic2VhcmNoX3R5cGUiOiJTZWFyY2giLCJzZXF1ZW5jZV9pZCI6MTk1MjA0MzIwNiwicGFnZV9udW1iZXIiOjEsImZpbHRlcl90eXBlIjoiU2VhcmNoIiwiZW50X2lkIjoyNzUxMjgyMzI1MTQyODMsInBvc2l0aW9uIjowLCJyZXN1bHRfdHlwZSI6Njl9","https://maps.google.com/?cid=16501780771407538561","ChIJA6OVRWpMRzcRgSkecS4aAuU"
"Blossoms Public School","XWF6+W5W, No.101 F.S Grant, Assam 785688, India","785688","NA","NA","NA","https://maps.google.com/?cid=5781824764420111100","ChIJlyy5TpNRRzcR_DrRZP0qPVA"
"Divine Valley School","4V53+C4H, Sepon Bazar, Sepon Chah Bagicha 107/110 Nlr, Domar Dolong Habi, Assam 785673, India","785673","NA","NA","NA","https://maps.google.com/?cid=718367718462405614","ChIJo9tkuyGzQDcR7jsPRaIn-Ak"
"Sonari Junior College","22F5+VMQ, Sonari, Assam 785690, India","785690","NA","NA","NA","https://maps.google.com/?cid=1328244018361775380","ChIJxwz3CFpURzcRFLV9ueXebhI"
"Polestar Academy","Ward No. 13, Rajadhap, Court Rd, Sonari, Assam 785690, India","785690","NA","091014 23714","http://polestaracademy.com/","https://maps.google.com/?cid=1493672952598064180","ChIJI1H3h1lURzcRNGw39qKXuhQ"
"Sonari Commerce College","Dhodar Ali Rd, Sonari, Assam 785690, India","785690","NA","03772 256 400","https://sonaricomcollege.org/","https://maps.google.com/?cid=13562872138928171346","ChIJ9SGX4q5VRzcRUinb5lkAObw"
"Shankardev Sishu Vidya Niketon","22J4+Q3H, Sonari, Assam 785690, India","785690","NA","NA","NA","https://maps.google.com/?cid=14059461439679220030","ChIJ0TL3f1lURzcRPslhbbA9HcM"
"Hajee Osimuddin Mission Academy","22GC+29H, LNB road, Sonari, Assam 785690, India","785690","NA","NA","NA","https://maps.google.com/?cid=6386902859325889288","ChIJUy1wf7JVRzcRCNsLsU_Wolg"
"Sonari Jatiya Bidyalay","22C7+PMX, Sonari, Assam 785690, India","785690","NA","NA","NA","https://maps.google.com/?cid=13835725270602536745","ChIJB4ZcOExURzcRKdcoLNReAsA"
"ELITE ACADEMY","Ward No 1, Bhojo, Road, Sonari, Assam 785690, India","785690","NA","NA","NA","https://maps.google.com/?cid=14788933066926878658","ChIJmTQOJa9VRzcRwm807UTYPM0"
"St. Joseph Higher Secondary School","Dhodar Ali Rd, Sonari, Assam 785690, India","785690","NA","NA","NA","https://maps.google.com/?cid=17195233966498109169","ChIJ8yl2zqxVRzcR8dbZMjC-oe4"
"Bright Sight Academy,Sonari","Moran - Sonari Rd, Sonari, Assam 785690, India","785690","NA","NA","NA","https://maps.google.com/?cid=2056532147607918607","ChIJiZtyOohVRzcRD1hXnxdFihw"
"Uniqe Point Academy","Namtola–Mon Rd, Sonari, Assam 785690, India","785690","NA","096786 94288","NA","https://maps.google.com/?cid=4405254986617223650","ChIJm1dHO7BVRzcR4nlW_hGcIj0"
"Gyan Vikash Academy Safrai","2WHV+FXC, Sepon-Suffry Rd, Barpothar, Assam 785689, India","785689","NA","NA","NA","https://maps.google.com/?cid=10016713827751670556","ChIJB0lhvG5TRzcRHLPhzyeEAos"
"Morning Star English School, Namtola","X346+W64, Towkok Grant No.2, Assam 785690, India","785690","NA","NA","NA","https://maps.google.com/?cid=11734602824351951923","ChIJF_f6vdWpODcRMyzLnRiv2aI"
"Botua Pukhuri Jatiya Bidyalaya","42G4+4HW, Deepling Grant, Assam 785670, India","785670","NA","NA","NA","https://maps.google.com/?cid=12802697490539733187","ChIJt9b_SQ-rQDcRw-BnOolRrLE"
"Sukapha Junior College","22F6+CWF, Sukapha Rd, Sonari, Assam 785690, India","785690","NA","NA","NA","https://maps.google.com/?cid=5882843689634011581","ChIJm8V4b05URzcRvZnIxSoPpFE"
"Luit Valley Academy","Q663+MGC, Malow Ali Rd, Malow Ali, Jorhat, Assam 785001, India","785001","NA","099544 24680","NA","https://maps.google.com/?cid=14836651991407602837","ChIJWwWNg-3CRjcRlSzx02Bg5s0"
"St. Xavier's School","22HC+646, Sonari, Assam 785690, India","785690","NA","NA","NA","https://maps.google.com/?cid=1881657356259692924","ChIJz2igBK1VRzcRfBHcZGX9HBo"
