"SchoolName","Address","Pincode","ContactEmail","ContactPhone","Website","GMapLink","PlaceID"
"Chalantapara Post Office","Chalantapara Part 4 Chalantapara, Part 4, Bongaigaon, Chalantapara Pt IV, Assam 783388, India","783388","NA","060016 61831","NA","https://maps.google.com/?cid=15643099358338795622","ChIJpZW-5cRSWDcRZsjsV_xzF9k"
"St Clare Of Assisi School,Salbari","9H9J+M57, Khagarpur Pt., Assam 783384, India","783384","NA","098546 78273","NA","https://maps.google.com/?cid=8764557457341612868","ChIJaSAKTOBUWDcRRANZIpL2oXk"
"Bongaigaon HS School EM","FGWW+34M, Gurunanak Nagar, Bongaigaon, Assam 783380, India","783380","NA","NA","NA","https://maps.google.com/?cid=11987429378363252522","ChIJK9d7CJb-WDcRKl9s64HnW6Y"
"Barpathar Ankur jeuti jatiya vidyalaya","7VMR+6FW, Barpathar Bazar Road, Kalibari, Kalyani Para, Barpathar, Assam 785602, India","785602","NA","NA","NA","https://maps.google.com/?cid=14081701030710951418","ChIJf14Ie3N9RjcR-j3HuHpAbMM"
"F.R.ACADEMY","9QR7+JX9, Bashbari No.7, Assam 783384, India","783384","NA","NA","NA","https://maps.google.com/?cid=5557962218659031542","ChIJ33uaP0SnWTcR9qk2xjDZIU0"
"Bhandara Jatiya Vidyalaya","CPVP+6FJ, Bhandara No.1, Assam 783390, India","783390","NA","090858 65186","NA","https://maps.google.com/?cid=555023584352693035","ChIJ00GhT8AHWTcRK2tOYwLXswc"
"Jnan Jyoti Jatiya Vidyalaya","CQP8+G77, Chalabila No.3, Bhandara No 2, Assam 783392, India","783392","NA","NA","NA","https://maps.google.com/?cid=564150140100190371","ChIJdT0ECBUIWTcRo6CoPJBD1Ac"
"KRISHNANANDA ACEDAMY,MANIKPUR","FR92+7FX, Borbila, Assam 783392, India","783392","NA","NA","NA","https://maps.google.com/?cid=3188330049611650564","ChIJr1zMu3EJWTcRBFbOoUk5Pyw"
"Shankardev Shishu Vidya Niketan,Bijni","Bijni, Assam 783390, India","783390","NA","NA","NA","https://maps.google.com/?cid=5182664205746213527","ChIJ2YEb55QGWTcRl5Ki3aKF7Ec"
"NC Jatiya Vidyalaya","9RH8+PVX, Manikpur, Matraghola, Assam 783392, India","783392","NA","NA","NA","https://maps.google.com/?cid=17389491968980561080","ChIJY2uICCunWTcRuCyY88_iU_E"
"Manah Jatiya Vidyalaya","FQ37+4VX, Nowapara No.2, Bhandara No 2, Assam 783392, India","783392","NA","099574 19210","NA","https://maps.google.com/?cid=4537042121211574524","ChIJYUx_fWUIWTcR_PjMXcXP9j4"
"Jnan Jyoti Jatiya Vidyalaya","CQP8+G77, Chalabila No.3, Bhandara No 2, Assam 783392, India","783392","NA","NA","NA","https://maps.google.com/?cid=564150140100190371","ChIJdT0ECBUIWTcRo6CoPJBD1Ac"
"Little Flower School, Bongaigaon","NH-31C, Chapaguri, Bongaigaon, Salbari Pt., Assam 783380, India","783380","NA","03664 236 204","https://www.littleflowerschool.info/","https://maps.google.com/?cid=8796245307518122891","ChIJjUvcooX-WDcRi3vQr4CKEno"
"Jnanpith Adarsha Vidyalaya","CRJG+WWQ, Unnamed Road, Kahibari, Bala Pet, Assam 781317, India","781317","NA","NA","NA","https://maps.google.com/?cid=13223310682812350204","ChIJMwO4vSsJWTcR_H6ogwGjgrc"
"Chakihali Jatiya Bidyalaya","CRJP+HMM, Chakihali Bazar, Assam 783392, India","783392","NA","NA","NA","https://maps.google.com/?cid=8546381094454311290","ChIJn8lIRDcLWTcRejkQIlPYmnY"
"Jawahar Navodaya Vidyalaya, Chirang","GMQQ+MJH, Khamarguri, Chirang, Assam 783390, India","783390","NA","NA","NA","https://maps.google.com/?cid=411929311155769751","ChIJfRu9rG0EWTcRl9ECqIZ3twU"
"Jnan bikash jatiya vidyalaya","F688+FGV HELANA MARKET, Bargandubi, Assam 781326, India","781326","NA","NA","NA","https://maps.google.com/?cid=13227417656892967788","ChIJ5ynuDdfVWzcRbMvV7kY6kbc"
"M.A.K AZAD JATIYA VIDYALAYA Sonaikola","No2goraimari Jono koylan club, Deotari [Alukhunda], Assam 783391, India","783391","NA","086386 97831","NA","https://maps.google.com/?cid=270730628435434945","ChIJyZY3UyIPWTcRwV22eRLUwQM"
"Dream Flower English Medium School","95CG+XGJ, Kharida Chandala II, Assam 783345, India","783345","NA","NA","NA","https://maps.google.com/?cid=3766913148720837418","ChIJOaNd8_RjWDcRKvNAAY3DRjQ"
"U.N. Academy, Bijni","Chatianguri No.1 Bijni- Ulubari Road PO : Bijni PS : Bijni Dist: Chirang BTAD, Bijni, Chatianguri No.1, Assam 783390, India","783390","NA","099541 21947","NA","https://maps.google.com/?cid=9801694063817732988","ChIJIXjas0cHWTcRfDPpxtGcBog"
"Mount Everest English School","MHX9+54V, Koila-Moila, Assam 783393, India","783393","NA","NA","NA","https://maps.google.com/?cid=13359124537122950454","ChIJp2EDj9rjWDcRNg1rofwkZbk"
"Zion English School, Rangijhora","JHRJ+QFG, Pub-Amguri, Assam 783393, India","783393","NA","NA","NA","https://maps.google.com/?cid=13964747105738791087","ChIJUx_GLTrjWDcRr5i5F4G_zME"
