"SchoolName","Address","Pincode","ContactEmail","ContactPhone","Website","GMapLink","PlaceID"
"Pathsala Sikshapith Senior Secondary School","College Rd, Bhattadev Nagar, Pathsala, Titka Garia, Assam 781325, India","781325","NA","080997 72050","https://www.instagram.com/pathsalasikshapith/","https://maps.google.com/?cid=13907429347399250510","ChIJ0awF7HR-WTcRTjKThk4dAcE"
"Sarvodaya National Academy","NH31 Sondha-Kairara, P.O, Milanpur, Assam 781337, India","781337","NA","094353 23035","NA","https://maps.google.com/?cid=15851990506947211299","ChIJcRzlDPvKWzcRI_Bz7WCV_ds"
"Happy Child English School","BHUKTABARI, 9VQV+VX7, National Highway 52, Sipajhar, Assam 784145, India","784145","NA","NA","NA","https://maps.google.com/?cid=6223200368673273711","ChIJQWy9rhb-WjcRb7fZbMM_XVY"
"Jatiya Vidyalaya Sipajhar","CV2X+PPW, Sipajhar, Assam 784145, India","784145","NA","NA","NA","https://maps.google.com/?cid=6874624834019726511","ChIJ1cDhuhz-WjcRrxTT-9ySZ18"
"SANKARDEV SHISU VIDYA NIKETAN MANGALDAI","F22M+WW3, Baruapara Lane Number 1, Mangaldoi, Bamunpara, Assam 784125, India","784125","NA","098545 93406","NA","https://maps.google.com/?cid=9279267881858313261","ChIJL3_d1FIcWzcRLSzbkfmUxoA"
"Pachim Darrang Academy Sipajhar","Ghorabandha, Nayak Para, Assam 784145, India","784145","NA","070028 59149","https://youtube.com/channel/UCRtI3rfI2QcD23pldSsr-2Q","https://maps.google.com/?cid=2887346083229699176","ChIJIyjyZgH-WjcRaIyFAvfpESg"
"Trinity Junior Science College","CW22+794, Sipajhar, Assam 784145, India","784145","NA","098546 82119","NA","https://maps.google.com/?cid=292287074646783718","ChIJjaZ9nQT-WjcR5nbCuItpDgQ"
"Sipajhar College","SIPAJHAR COLLEGE CHOWK, OPPOSITE SIPAJHAR, POLICE STATION, Mangaldoi, Sipajhar, Assam 784145, India","784145","NA","03713 266 427","https://sipajharcollege.ac.in/","https://maps.google.com/?cid=1050352424813286643","ChIJGf-JbRb-WjcR81T3IfeZkw4"
"Sankar azan zenith senior secondary school","Sipajhar, Assam 784145, India","784145","NA","NA","NA","https://maps.google.com/?cid=17052591345655513600","ChIJLUY6yD3-WjcRAIKy-Xr5puw"
"Jnan Jyoti Jatiya Vidyalaya Khandajan","9V24+PG5, Maruwa Chuburi, Assam 784145, India","784145","NA","NA","NA","https://maps.google.com/?cid=1376444325251052230","ChIJ0zDP1_D_WjcRxvKwM9IcGhM"
"Jatiya Bidyalaya Assam, Hazarikapara","Hazarikapara, Nizsipajhar, Assam 784145, India","784145","NA","NA","NA","https://maps.google.com/?cid=1354760653833814707","ChIJhcbOr-r9WjcRs8JwB6MTzRI"
"Lakshminath Bezbaruah Jatiya Vidyalaya","CR7Q+77G, Assam Trunk Rd, Samaguri, Assam 782140, India","782140","NA","NA","NA","https://maps.google.com/?cid=14192356914115217126","ChIJgWm4t9bhRDcR5oZlR2th9cQ"
"Jatiya Bidyalaya Assam, Hazarikapara","Hazarikapara, Nizsipajhar, Assam 784145, India","784145","NA","NA","NA","https://maps.google.com/?cid=1354760653833814707","ChIJhcbOr-r9WjcRs8JwB6MTzRI"
"Sankar-Ajan Academy,Rangapani","Simlabari, Pt.II, Simalabari Pt II, Narar Vita Pt II, Assam 783384, India","783384","NA","NA","NA","https://maps.google.com/?cid=8636740043796552616","ChIJ04g8cqqlWTcRqJvid0_d23c"
"Vivekananda academy","FQ3Q+32Q Milanpur Chariali (Thana Chowk), Salikajhar, Balikuchi, Assam 784148, India","784148","NA","NA","NA","https://maps.google.com/?cid=15170231635316813202","ChIJqyxGjIKrWzcRkq1zB0x9h9I"
"Sankardev Sisu Niketan ( শংকৰদেৱ শিশু নিকেতন , দেওমৰনৈ )","FWVC+RCM, Mangaldoi Deomornoi Road, Barigaon, Hirapara, Assam 784147, India","784147","NA","NA","NA","https://maps.google.com/?cid=14397737090987132225","ChIJM_UUyfADWzcRQQXBDZoJz8c"
"Duni jatiya vidyalaya","FR6F+JV4, Dipila-Balikuchi Bezera Rd, Barpathar, Assam 784148, India","784148","NA","NA","NA","https://maps.google.com/?cid=11233885009653197666","ChIJBZCA4o-rWzcRYuv2h-XG5ps"
"Paradise English High School","Dipila, Assam 784144, India","784144","NA","088760 12383","NA","https://maps.google.com/?cid=11198212121224413614","ChIJu4E_MvcAWzcRrgEO9ZcKaJs"
"Sankardev Sishu Niketon, Dipila","FV39+W55, Dipila, Assam 784144, India","784144","NA","NA","NA","https://maps.google.com/?cid=6091995681933048966","ChIJuxiMe_8AWzcRhjzVwssdi1Q"
"Ganesh Deka Sisu Niketan","FVJ2+MP8, Hatimara, Assam 784144, India","784144","NA","NA","NA","https://maps.google.com/?cid=12028249541075576236","ChIJacq1hcAAWzcRrKWQrTrt7KY"
"Paschim Darrang Jatiya Vidyalaya","FR6W+F8M, Dipila-Balikuchi Bezera Rd, Duni, Assam 784144, India","784144","NA","NA","NA","https://maps.google.com/?cid=5658380308341738917","ChIJQSsysI4AWzcRpU3GOumahk4"
"Dumunichowki jatiya vidyalaya","8RVG+C83, N Guwahati-Kurua-Dumunichowki-Khatara Rd, Saraighat Salmara, Maruwa Chuburi, Assam 784145, India","784145","NA","NA","NA","https://maps.google.com/?cid=2211427477784477820","ChIJ45e7OUpVWjcRfMDhC5ORsB4"
"Dumunichowki English School","9R5H+29R, Dumunichowki, Assam 784145, India","784145","NA","098545 52859","NA","https://maps.google.com/?cid=17353297903907099567","ChIJfVWziYNVWjcRr9Ppe4BM0_A"
"Kurua Anchalik Jatiya Bidyalay","6RQF+HVV, Dakhin Kuruah No.1, Assam 784145, India","784145","NA","NA","NA","https://maps.google.com/?cid=4806697197726073169","ChIJf5Pg-g9XWjcRUQFUZaLRtEI"
"Khalihai Anchalik High School","darrang assam, 7RCJ+RFP, Dumunichowki Kurua Road, Tekeliakur Grant, Assam 784145, India","784145","NA","NA","NA","https://maps.google.com/?cid=5577448636185810515","ChIJ1anv9ylWWjcRU5bX6PsTZ00"
"Rupkonwar Jatiya Bidyalaya","8PVM+C65, Pialikhata, Baihata Chariali, Assam 781121, India","781121","NA","NA","NA","https://maps.google.com/?cid=8732534802551030597","ChIJtXWzc75TWjcRRUPKziIyMHk"
"Chengeliajhar Higher Secondary School","CR9X+877, Naopota, Assam 784145, India","784145","NA","NA","NA","https://maps.google.com/?cid=337560577355891766","ChIJtdsgMiQBWzcRNkR5f45BrwQ"
"KENDRIYA JATIYA BIDYALAYA","C2G8+CH4, Bidya Nagar, Gerimari Chapori, Mangaldoi, Assam 784529, India","784529","NA","NA","NA","https://maps.google.com/?cid=16742521113851160467","ChIJn4ovdG0dWzcRk2eTUz9iWeg"
"Paramount English School","CW3G+P29, Bordaulguri, Sipajhar, Dakhin Chuburi, Assam 784145, India","784145","NA","NA","NA","https://maps.google.com/?cid=308747850187492015","ChIJscSB2vX9WjcRr0qXr4jkSAQ"
"Bechimari Adarsha Vidyalaya","H5RQ+X5Q, Batabari-DungparaRoad, Batabari, Sarichabari, Assam 784116, India","784116","NA","NA","NA","https://maps.google.com/?cid=293271064098312562","ChIJD_uxCYY9WzcRchF7nnroEQQ"
"Navoday jatiya vidyalaya","8R7C+9H5, Ganeshkuwari, Assam 784145, India","784145","NA","NA","NA","https://maps.google.com/?cid=6493146541403278496","ChIJB88gzFJXWjcRoAzmkmBKHFo"
"Nabonur Adarsha Jatiya Vidyalaya","7VQ7+5PW, Unnamed Road, Khalihai Pathar, Assam 784145, India","784145","NA","NA","NA","https://maps.google.com/?cid=6058711124077579016","ChIJk4NAU3v5WjcRCAtau6rdFFQ"
"No.3 Dhalpur Jatiya Vidyalaya","8W38+PXH, Dhalpur No.3, Assam 781150, India","781150","NA","NA","NA","https://maps.google.com/?cid=2681161426779276706","ChIJr1bkNiL7WjcRooWovBxmNSU"
"Jatiya Bidyalay","CVXP+JVH, Alikhapara, Patharighat, Assam 784144, India","784144","NA","0361 265 4229","https://www.assamjatiyabidyalay.com/","https://maps.google.com/?cid=15231603663054296131","ChIJ7bOOb6EBWzcRQ9Tjv9SGYdM"
"LUIT VALLEY ACADEMY","8WQ5+GV6, Sanowatari, Assam 784145, India","784145","NA","099544 24680","NA","https://maps.google.com/?cid=4192986542898418562","ChIJR2VxI8H_WjcRghN0nQt7MDo"
"Barampur Jatiya Bidyalaya","FVQH+4JW, Naptapara, Assam 784144, India","784144","NA","NA","NA","https://maps.google.com/?cid=195888745562263578","ChIJL9Mqjo4BWzcRGlC8tsbvtwI"
"Srimanta Sankardev Vidyalaya","GV9J+C59, Mahaliapara, Samatiapara, Assam 784147, India","784147","NA","NA","NA","https://maps.google.com/?cid=6747845604043604920","ChIJ-y70UtsGWzcRuEMzRNMppV0"
"Deomornoi Model English School","FWXC+FPG, Hirapara, Assam 784147, India","784147","NA","NA","NA","https://maps.google.com/?cid=5615233462557774343","ChIJEYzQ544DWzcRB5KkWhVR7U0"
