"SchoolName","Address","Pincode","ContactEmail","ContactPhone","Website","GMapLink","PlaceID"
"Dhemaji Jatiya Vidyalaya","FHF5+896, Ram Nagar, Dhemaji, Assam 787057, India","787057","NA","070025 05404","NA","https://maps.google.com/?cid=10343446984871124096","ChIJh-jgxlXdQDcRgBxUFjtOi48"
"Shankardev Vidya Niketan, Dhemaji","FHM9+F87, Unnamed Road, Ram Nagar, Dhemaji, Assam 787057, India","787057","NA","NA","NA","https://maps.google.com/?cid=2539889519276992786","ChIJ-WXIugboQDcREik-lQ-APyM"
"Christ King Higher Secondary School, Gogamukh","Gogamukh, Assam 787026, India","787026","NA","069019 36685","http://www.cksgogamukh.ac.in/","https://maps.google.com/?cid=11265845610836584875","ChIJb47EUGEhQTcRq-lO4ORSWJw"
"SUVIDYA R.E.M HIGH SCHOOL","FHF7+FPM, Bhadrapara, Dhemaji, Assam 787057, India","787057","NA","NA","NA","https://maps.google.com/?cid=12938794418398328396","ChIJG3JWCTDDQDcRTHZwivjUj7M"
"National Academy HS School","C8J7+FPM, Gogamukh, Assam 783348, India","783348","NA","NA","NA","https://maps.google.com/?cid=7816572000824239628","ChIJt2TxdwsjQTcRDKZkHtIKemw"
"Joyrampur academy","to, moromi road, Joyrampur, Assam 787026, India","787026","NA","NA","NA","https://maps.google.com/?cid=9562370526102924824","ChIJvaBY4YzhQDcRGK4Hc1RdtIQ"
"Little Star English School, Joyrampur","Joyrampur road, Dhemaji, Joyrampur, Assam 787035, India","787035","NA","091014 26076","http://lsesschool1.website2.me/","https://maps.google.com/?cid=8470700502929430112","ChIJPeUiAlngQDcRYNbUSzr5jXU"
"Priscilla English School","GC8Q+696, Unnamed Road, Holowdunga, Assam 787026, India","787026","NA","NA","NA","https://maps.google.com/?cid=14725022236579590172","ChIJPXLCMXnhQDcRHPANKbXJWcw"
"Sankardev Shishu Niketan","near Public Health Office, opposite National Highway 15, Lakhimpur, Gogamukh, Assam 787056, India","787056","NA","091018 08961","NA","https://maps.google.com/?cid=5055589332136467672","ChIJY9HZqTIiQTcR2Jw_QLYPKUY"
"Diamond Mission School","F8P2+7WH, Dirpai, Tarajan N.C, Assam 787032, India","787032","NA","NA","NA","https://maps.google.com/?cid=11404915506504961556","ChIJwb_mfO4ZQTcRFI6SMjpmRp4"
"U.N.Academy, Hugrajuli","V99J+P7R, Dewsani, Assam 784111, India","784111","NA","NA","NA","https://maps.google.com/?cid=9919653159884823991","ChIJhxiYZYtJWzcRtx0ECv6vqYk"
"Little God English School","CC78+X4W, Dewgharbari, Assam 787026, India","787026","NA","NA","NA","https://maps.google.com/?cid=7573959970748705511","ChIJ811OgWvfQDcR5yqB_3YcHGk"
"Bordoloni Central College","Bordoloni, Gogamukh, CC98+258, Dhemaji, Dewgharbari, Assam 787026, India","787026","NA","098546 01859","http://bordolonicentralcollege.org/","https://maps.google.com/?cid=9480433275885001313","ChIJoeWPWHei6zkRYRrrvdVDkYM"
"Shankardev Vidya Niketan, Dhemaji","FHM9+F87, Unnamed Road, Ram Nagar, Dhemaji, Assam 787057, India","787057","NA","NA","NA","https://maps.google.com/?cid=2539889519276992786","ChIJ-WXIugboQDcREik-lQ-APyM"
"Adarsha High School,Dhemaji","FH5C+G8Q, Dhemaji, Bhehpara Na Pam, Assam 787057, India","787057","NA","NA","NA","https://maps.google.com/?cid=15043372172263268370","ChIJL6V96LDCQDcREqC_l0nLxNA"
"sila Jana Jati High School","JQ23+946, Dhemaji, Assam 787059, India","787059","NA","NA","NA","https://maps.google.com/?cid=17970729812851979242","ChIJB3NkcRmTQDcR6nOQQY3bZPk"
"Gyanjyoti Academy","Gyanjyoti Academy, 1, NHPC Gerukamukh - Gogamukh Rd, Chowal Dhuwa Bali, Gogamukh, Assam 787034, India","787034","NA","086388 72312","http://gyanjyotiacademy.in/","https://maps.google.com/?cid=447124279969390378","ChIJSTcO7CgiQTcRKh8H5imBNAY"
"CHRIST JYOTI HIGH SCHOOL","Newargaon, P. O-Gogamukh Dist -Dhemaji, C897+P9R, Gogamukh, Assam 787034, India","787034","NA","NA","NA","https://maps.google.com/?cid=9259233511293530541","ChIJtYl-Rl0jQTcRrTELLdJnf4A"
"St.Teresa's Academy","FH92+FG3, Nagarkhelia No.1, Dhemaji, Assam 787057, India","787057","NA","NA","NA","https://maps.google.com/?cid=11691040660391496094","ChIJK6R5hYDdQDcRnolI8YnrPqI"
"Brahmaputra Vidyalaya, Akajan","HP3M+H23, Bormuria Deori, Assam 787059, India","787059","NA","NA","NA","https://maps.google.com/?cid=10151177538532383920","ChIJN9GPy62UQDcRsJwlJDA64Iw"
"SFS School, Dhemaji","Ram Nagar No.1, Ram Nagar, Nagakhelia, Dhemaji, Assam 787057, India","787057","NA","084739 41211","https://sfsdhemaji.ac.in/","https://maps.google.com/?cid=1976708518032560869","ChIJ6XAB91XdQDcR5dLRkeytbhs"
"Dhemaji Jatiya Vidyalaya","FHF5+896, Ram Nagar, Dhemaji, Assam 787057, India","787057","NA","070025 05404","NA","https://maps.google.com/?cid=10343446984871124096","ChIJh-jgxlXdQDcRgBxUFjtOi48"
"st. marys e.m.school","FHG4+243, Nagakhelia No.2, Dhemaji, Assam 787057, India","787057","NA","NA","NA","https://maps.google.com/?cid=14235156365508116647","ChIJNaO7KFbdQDcRp4BAGEtvjcU"
"Dhemaji Public School","FGMW+FW8, Rup Nagar Village, Dhemaji, Assam 787057, India","787057","NA","094359 64451","NA","https://maps.google.com/?cid=13085186425522381169","ChIJc7ZDBvHnQDcRcWEGybnrl7U"
"Dhemaji Jatiya Vidyalaya","FHF5+896, Ram Nagar, Dhemaji, Assam 787057, India","787057","NA","070025 05404","NA","https://maps.google.com/?cid=10343446984871124096","ChIJh-jgxlXdQDcRgBxUFjtOi48"
"Sankardev Sishu Niketan - (Pachim Dhemaji)","9FQJ+3MR, Naruathan, Assam 787058, India","787058","NA","NA","NA","https://maps.google.com/?cid=12829426144281816586","ChIJ8wlA1mDdQDcRCu4G4hpHC7I"
"Diamond english school dimow","dimow, MRG8+MG6, Silapathar, Dimow, Assam 787059, India","787059","NA","NA","NA","https://maps.google.com/?cid=8911103010724966010","ChIJBybFQaePQDcReu4sp_mYqns"
"Dhemaji Jatiya Vidyalaya","FHF5+896, Ram Nagar, Dhemaji, Assam 787057, India","787057","NA","070025 05404","NA","https://maps.google.com/?cid=10343446984871124096","ChIJh-jgxlXdQDcRgBxUFjtOi48"
"BORBAM HIGH SCHOOL","FCFG+JJF, No.2 Salmari, Assam 787026, India","787026","NA","NA","NA","https://maps.google.com/?cid=2533521135248260295","ChIJSyHqiNnfQDcRx7xqoQzgKCM"
"Vivekananda Kendra Vidyalaya, Dhemaji","CGWP+868, Kachoiting Gaon, Dhemaji, No.2 Kachoiting, Assam 787057, India","787057","NA","NA","NA","https://maps.google.com/?cid=12862392291717376879","ChIJJU8hQxHdQDcRb2uJNaRlgLI"
"Kiran Academy, Dhemaji","CGXV+P24, NH 15, Bharalichuk, Dhemaji, Nalani Pam, Assam 787057, India","787057","NA","070024 00833","NA","https://maps.google.com/?cid=13132368022956015194","ChIJDROX2IPdQDcRWv79eyOLP7Y"
"Jawahar Navodaya Vidyalaya, Dhemaji","No.1 Bishnupur, Dhemaji, No.1 Bishnupur, Assam 787057, India","787057","NA","073990 70450","https://navodaya.gov.in/nvs/nvs-school/DHEMAJI/en/about_us/About-JNV/","https://maps.google.com/?cid=10795525255757769888","ChIJkQq_rwHnQDcRoCwz4QVp0ZU"
"Dhemaji Post Office","Station Rd, Rup Nagar Village, Dhemaji, Assam 787057, India","787057","NA","NA","http://indiapost.gov.in/","https://maps.google.com/?cid=2122996060572906157","ChIJybYaU_rnQDcRrXIAQqtldh0"
