"SchoolName","Address","Pincode","ContactEmail","ContactPhone","Website","GMapLink","PlaceID"
"PRAGATI ADARSHA JATIYA VIDYALAYA","PRAGATI ADARSHA JATIYA VIDYALAYA, Jhagrarpar, Dhubri, Jhagra Pt.II, Assam 783325, India","783325","NA","093654 20830","NA","https://maps.google.com/?cid=1395011289356412915","ChIJebcq_hef4jkR86e_Z2ATXBM"
"Sankardev Sishu Vidya Niketan, Dhubri","Hanuman Mandir Road, near Sankardev School, Nayapara, Dhubri, Bilasipara, Assam 783348, India","783348","NA","070025 12760","NA","https://maps.google.com/?cid=17975271389344486618","ChIJmwBYZp2h4jkR2tQebxf-dPk"
"Balajan Higher Secondary School","Balajan, Debattar Hasdaha Pt.IV, Assam 783331, India","783331","NA","NA","NA","https://maps.google.com/?cid=15230785904850044756","ChIJ9xoGzACZ4jkRVAedlBWfXtM"
"SANKAR AZAN JATIYA VIDYALAYA BALAJAN","VILL & PO, Balajan, Assam 783331, India","783331","NA","084866 47681","NA","https://maps.google.com/?cid=11264378644048474201","ChIJyZKqf2-Z4jkRWXABDrIcU5w"
"Sankardev Sishu Vidya Niketan, Dhubri","Hanuman Mandir Road, near Sankardev School, Nayapara, Dhubri, Bilasipara, Assam 783348, India","783348","NA","070025 12760","NA","https://maps.google.com/?cid=17975271389344486618","ChIJmwBYZp2h4jkR2tQebxf-dPk"
"Protapganj High School","Barundanga, Kamalarjhar, Assam 783334, India","783334","NA","NA","NA","https://maps.google.com/?cid=9060721037571121537","ChIJnZAZphaa4jkRgeFVJcclvn0"
"Al Salam Academy, Kacharihat Senior Secondary School","01, Kacharihat, Bhelakoba, Singimari Pt.II, Assam 783334, India","783334","NA","NA","NA","https://maps.google.com/?cid=5206323187647464621","ChIJLSyOpIaZ4jkRrUSb2VqTQEg"
"Kismat Hasdaha High School","3V3Q+HPG, Kismat Hasdaha Pt.II, Assam 783324, India","783324","NA","NA","NA","https://maps.google.com/?cid=4020059110428405613","ChIJmZHubYiY4jkRbW8oNXYeyjc"
"Sankardev Sishu Vidya Niketan, Dhubri","Hanuman Mandir Road, near Sankardev School, Nayapara, Dhubri, Bilasipara, Assam 783348, India","783348","NA","070025 12760","NA","https://maps.google.com/?cid=17975271389344486618","ChIJmwBYZp2h4jkR2tQebxf-dPk"
"MADINATUL ULUM MADRASSA HS SCHOOL","3WFW+HG4, Tiamari Pt.II, Assam 783331, India","783331","NA","NA","NA","https://maps.google.com/?cid=5890814306252674482","ChIJHcPyaAWf4jkRstX6kWZgwFE"
"Mahapurusha Srimanta Sankardeva Viswavidyalaya,MSSV, Dhubri (Assam)","3WR4+HM4, Dumardaha Pt IV, Kurirpar, Assam 783331, India","783331","NA","NA","NA","https://maps.google.com/?cid=5087877474463435687","ChIJg3f0pHWZ4jkRp8saNpvFm0Y"
"Gyan Jyoti Jatiya Bidyalay","2XF8+44R, Jhagrarpar, Nayamasjid, Dhubri, Assam 783301, India","783301","NA","NA","NA","https://maps.google.com/?cid=3991852823462248998","ChIJCfyvZDSg4jkRJoIbQv7oZTc"
"Bishkhowa","4QHG+XGQ, Dhubri, Paschim Konuri Pt.II, Assam 783331, India","783331","NA","076630 40482","NA","https://maps.google.com/?cid=15763937032705144599","ChIJVVVVVVWZ4jkRF_cD2DXBxNo"
"Sankar Jyoti Jatiya Bidyalaya","01, Kismat Hasdaha Pt.II, Assam 783324, India","783324","NA","088119 11619","NA","https://maps.google.com/?cid=18309756846771207082","ChIJ1QFR2OuZ4jkRqvuSx9dSGf4"
"Brahmaputra Jatiya Vidyalaya, Dhubri","Adabari, 2WJR+MV7, Part II, Dhubri, Chagalchara Pt.III, Assam 783324, India","783324","NA","086388 98484","NA","https://maps.google.com/?cid=5427750965134364566","ChIJ3z13sOeh4jkRlg8ezr4-U0s"
"Nabajyoti High school","FWPF+W5F, Hawriapet-II, Assam 783361, India","783361","NA","NA","NA","https://maps.google.com/?cid=8988367957200857442","ChIJ8y--qiF84jkRYul13wgZvXw"
"Sankar Azan Jatiya Bidyalaya","5PVJ+Q26, Jhapusabari Pt.IV, Assam 783335, India","783335","NA","NA","NA","https://maps.google.com/?cid=3243301773179603207","ChIJI3venvqS4jkRB8nDaceFAi0"
"Sankardev Sishu Vidya Niketan, Dhubri","Hanuman Mandir Road, near Sankardev School, Nayapara, Dhubri, Bilasipara, Assam 783348, India","783348","NA","070025 12760","NA","https://maps.google.com/?cid=17975271389344486618","ChIJmwBYZp2h4jkR2tQebxf-dPk"
"NALIA JATIYA VIDYALAYA, NALIA","01, Pt.2, Nalia, Keder Pt.III, Assam 783334, India","783334","NA","NA","NA","https://maps.google.com/?cid=12099280637794302087","ChIJ6aLYmhWX4jkRh7h9paJH6ac"
"Tapoban Jatiya Vidyalaya","4R8X+94M, Dakhin Tokererchora Pt.II, Assam 783334, India","783334","NA","NA","NA","https://maps.google.com/?cid=1784929304989575741","ChIJ20sGsdyX4jkRPaoW9b5XxRg"
"Eshatul Uloom Academy, Golakganj","North, Raipur Pt.I, Golakganj, Dakhin Tokererchora Pt.II, Assam 783334, India","783334","NA","NA","NA","https://maps.google.com/?cid=11771584194364136349","ChIJO4G7rVyX4jkRnVutzHQRXaM"
"Dhubri Jatiya Vidayalaya, Dhubri","Ward No. 15, College Road, Silghagri, Santi Nagar, Dhubri, Assam 783324, India","783324","NA","NA","NA","https://maps.google.com/?cid=13182591269201508570","ChIJ7x4_rTCg4jkR2vjrO-r48bY"
"J.T.S. English Medium School.","Uttar Raipur part 3, Village Bisondai, Birat Nagar Chariali, P.S, Golakganj, Uttar Raypur Pt.III, Assam 783334, India","783334","NA","094359 55977","http://www.jtsemschool.in/","https://maps.google.com/?cid=50657929130018345","ChIJs2KlpbSQ4jkRKQbaPh75swA"
"Sankar Azan Adarsha Bidyalaya","Jamai Bazar, Santi Nagar, Dhubri, Assam 783323, India","783323","NA","NA","NA","https://maps.google.com/?cid=10543223450571259652","ChIJDeyJxEeg4jkRBD_eLt4NUZI"
"Brahmaputra Jatiya Vidyalaya, Dhubri","Adabari, 2WJR+MV7, Part II, Dhubri, Chagalchara Pt.III, Assam 783324, India","783324","NA","086388 98484","NA","https://maps.google.com/?cid=5427750965134364566","ChIJ3z13sOeh4jkRlg8ezr4-U0s"
