"SchoolName","Address","Pincode","ContactEmail","ContactPhone","Website","GMapLink","PlaceID"
"Bogolijan Adarsha Jatiya Vidyalaya","174, Bogolijan, Nalkata Bowalguri, Assam 787031, India","787031","NA","070026 96788","NA","https://maps.google.com/?cid=2097252400693828343","ChIJ4537m0k3QTcR99qwW_LvGh0"
"Shree Agrasen Academy","FWJ4+W39, Dibrugarh, Assam 786001, India","786001","NA","099545 27388","http://agrasenacademydbr.com/","https://maps.google.com/?cid=840652664836574214","ChIJfcmHQBeYQDcRBswRCyWZqgs"
"SARKAR JATIYA VIDIYALAYA","near Rangajan Masjid, No.1 Rangajan, Assam 787051, India","787051","NA","070869 89781","http://sarkarjatiyavidyalaya.blogspot.com/","https://maps.google.com/?cid=433371583385490769","ChIJ68p6p-hJQTcRUdVwsyilAwY"
"RSP Shankardev Vidya Niketan, Dibrugarh","FV8W+FVX, University Link Rd, Dibrugarh, Assam 786003, India","786003","NA","NA","https://rspshankardevvidya.wixsite.com/website","https://maps.google.com/?cid=2934528955774282481","ChIJUYFVawGYQDcR8SoGmImKuSg"
"Dibrugarh Hanumanbax Surajmall Kanoi commerce College","FWHF+P3J, Dibrugarh, Assam 786001, India","786001","NA","094359 08628","http://www.dhskcommercecollege.edu.in/","https://maps.google.com/?cid=6945748453280622264","ChIJQXpvJOGZQDcRuKYCCWtBZGA"
"Larua Jamirah Jatiya Vidyalaya","CR4P+9JX, Dibrugarh, Assam 786004, India","786004","NA","NA","NA","https://maps.google.com/?cid=4323805499208162089","ChIJb3uf4UW8QDcRKdsuajE-ATw"
"VKV, Dibrugarh","Vivekananda Rd, East, Chowkidingee, Dibrugarh, Assam 786001, India","786001","NA","0373 232 4326","http://dibrugarh.vkv.in/","https://maps.google.com/?cid=17326938362418202042","ChIJ0SBH2RKYQDcRuoUGeaOmdfA"
"St. Xavier's School","CWXH+438, Hatimura Gaon Rd, Teporgaon, Chring Gaon, Assam 786003, India","786003","NA","0373 237 5791","http://stxavierschools.org/","https://maps.google.com/?cid=3424514219681847392","ChIJIyU_rI-iQDcRYBhp-IlRhi8"
"RSP Shankardev Vidya Niketan, Dibrugarh","FV8W+FVX, University Link Rd, Dibrugarh, Assam 786003, India","786003","NA","NA","https://rspshankardevvidya.wixsite.com/website","https://maps.google.com/?cid=2934528955774282481","ChIJUYFVawGYQDcR8SoGmImKuSg"
"St. Mary's HS School","HHR5+XC2, Assam Trunk Rd, Rupai Siding, Assam 786153, India","786153","NA","NA","https://instagram.com/ddm_marians_forever?igshid=MzRlODBiNWFlZA==","https://maps.google.com/?cid=14584525441841908750","ChIJ0aaXbXcQPzcRDkyiAp6kZso"
"Learners High School","HHR3+FH2, Rupai Siding, Assam 786153, India","786153","NA","03759 240 733","NA","https://maps.google.com/?cid=1666181220254277780","ChIJaxdWhnoQPzcRlOCu9P12Hxc"
"Learners High School","HHR3+FH2, Rupai Siding, Assam 786153, India","786153","NA","03759 240 733","NA","https://maps.google.com/?cid=1666181220254277780","ChIJaxdWhnoQPzcRlOCu9P12Hxc"
