"SchoolName","Address","Pincode","ContactEmail","ContactPhone","Website","GMapLink","PlaceID"
"ST Dominic Savio school Diphu","R9GR+6P, Thesojuri 5 km, Assam 782460, India","782460","NA","NA","NA","https://maps.google.com/?cid=3117506448287317616","ChIJo86jNgaTRTcRcL4n85ibQys"
"Convention English School","R8RX+GV9, Langli Timung, Assam 782460, India","782460","NA","NA","NA","https://maps.google.com/?cid=15972260467697070522","ChIJeXJq9KKTRTcRujEZTUXeqN0"
"St Mary's School, Daldali","RGGJ+J39, Joseph Basti, Daldali, Assam 782480, India","782480","NA","NA","NA","https://maps.google.com/?cid=3778636679067258356","ChIJacV4nk3vRTcR9M0QHwpqcDQ"
"Redeemer English School","RCVJ+46V Birla, Diphu, Assam 782462, India","782462","NA","NA","NA","https://maps.google.com/?cid=17699949607589814599","ChIJCds9eTLtRTcRR6G0xmPaovU"
"Convention English School , Rong-Ali","X8HQ+GC6, Assam 782461, India","782461","NA","NA","NA","https://maps.google.com/?cid=11095916650207944781","ChIJxVrCEiGXRTcRTaD8mGed_Jk"
"J.B. Hagjer Memorial High School","QWRP+W8R, Jengkha, Dayang Mukh, Assam 782448, India","782448","NA","NA","NA","https://maps.google.com/?cid=15188133845965015937","ChIJwyxqZTNlRTcRgQvVQUMXx9I"
"St. Xavier's School","St Xeviar English High School, Wasilong Road, Diyungbra, Dayang Mukh, Assam 788832, India","788832","NA","NA","NA","https://maps.google.com/?cid=6018154833750825191","ChIJ-Rgj0M56RTcR55gEje_HhFM"
"D V A PUBLIC SCHOOL","PRMW+MF3, Amreng, Assam 788832, India","788832","NA","NA","NA","https://maps.google.com/?cid=239785238493030782","ChIJCXXc_AxnRTcRfmnCamfjUwM"
"Diyung valley English School","Diyungmukh, Dayang Mukh, Assam 788832, India","788832","NA","NA","NA","https://maps.google.com/?cid=9416725568858104544","ChIJRcytx0plRTcR4CIgTwPuroI"
"Raja Govind Chandra Arsh Gurukulam","QX47+4G9, Washaikong, Assam 788832, India","788832","NA","070869 62233","NA","https://maps.google.com/?cid=13414759810386655576","ChIJv4kavhN7RTcRWHlIHfnMKro"
"Calvary English School","RQ2C+GCQ, Khelmati, Assam 784101, India","784101","NA","NA","NA","https://maps.google.com/?cid=15941180100739560902","ChIJx_Mwpdu_RDcRxnUbdddyOt0"
