"SchoolName","Address","Pincode","ContactEmail","ContactPhone","Website","GMapLink","PlaceID"
"Jnan bikash jatiya vidyalaya","F688+FGV HELANA MARKET, Bargandubi, Assam 781326, India","781326","NA","NA","NA","https://maps.google.com/?cid=13227417656892967788","ChIJ5ynuDdfVWzcRbMvV7kY6kbc"
"Shankar Dev Shishu Vidya Niketan","5J8H+8VV, Goaltuli Road, Goalpara, Assam 783101, India","783101","NA","NA","NA","https://maps.google.com/?cid=4798087171270028586","ChIJ4_CL2xGzWTcRKq3oZNw6lkI"
"Shankar Dev Shishu Vidya Niketan","5J8H+8VV, Goaltuli Road, Goalpara, Assam 783101, India","783101","NA","NA","NA","https://maps.google.com/?cid=4798087171270028586","ChIJ4_CL2xGzWTcRKq3oZNw6lkI"
"NOVA ACADEMY BUDUCHAR","4Q2X+W9F, Dalgoma, Matia, Mamudpur Pt-I, Assam 783125, India","783125","NA","NA","NA","https://maps.google.com/?cid=16491389885331986071","ChIJSRlbxuu5WTcRl9auv7kv3eQ"
"Goalpara Jatiya Vidyalaya","Moila-Pathar, Goalpara, Assam 783121, India","783121","NA","NA","NA","https://maps.google.com/?cid=5756327292183643442","ChIJmfjpQWizWTcRMgV-hSyV4k8"
"Shankar Dev Shishu Vidya Niketan","5J8H+8VV, Goaltuli Road, Goalpara, Assam 783101, India","783101","NA","NA","NA","https://maps.google.com/?cid=4798087171270028586","ChIJ4_CL2xGzWTcRKq3oZNw6lkI"
"Sankardev Sishu Niketan, Karipara","2RH8+FXF, Karipara Pt-IV, Assam 783124, India","783124","NA","NA","NA","https://maps.google.com/?cid=5199184562745441429","ChIJ7WmLH1vHWTcRlfwiONA2J0g"
"Manikpur Jatiya Bidyalay","3M37+695, Bujruk Manikpur, Assam 783126, India","783126","NA","0361 265 4229","NA","https://maps.google.com/?cid=11176055712752975004","ChIJofoIZuW1WTcRnLydHHVTGZs"
"Shankar Dev Shishu Vidya Niketan","5J8H+8VV, Goaltuli Road, Goalpara, Assam 783101, India","783101","NA","NA","NA","https://maps.google.com/?cid=4798087171270028586","ChIJ4_CL2xGzWTcRKq3oZNw6lkI"
"Krishnai Public School","2MP6+4JR, Krishnai, Assam 783126, India","783126","NA","NA","NA","https://maps.google.com/?cid=7758058548406769757","ChIJDRoUlgvKWTcRXdh3VCUpqms"
"Shankar Dev Shishu Vidya Niketan","5J8H+8VV, Goaltuli Road, Goalpara, Assam 783101, India","783101","NA","NA","NA","https://maps.google.com/?cid=4798087171270028586","ChIJ4_CL2xGzWTcRKq3oZNw6lkI"
"Wisdom Academy","3QPQ+Q66, Mamudpur Pt.-II, Assam 783125, India","783125","NA","NA","NA","https://maps.google.com/?cid=8620944952640364363","ChIJX0G46Vu5WTcRS19TOsK_o3c"
"Nayapara Jatiya Bidyalaya","3RHP+R88, Salmara - Sidhabari Rd, Nayapara Pt-I, Assam 783125, India","783125","NA","NA","NA","https://maps.google.com/?cid=4340486456636896813","ChIJFRIkvMK_WTcRLXY8eG-BPDw"
"Ekalavya English school","3Q7J+4FV, Matia, Pub Matia, Assam 783125, India","783125","NA","NA","NA","https://maps.google.com/?cid=5146812217013006884","ChIJpf74mTG5WTcRJHKzQHEmbUc"
"St Sebastian's School,Matia","Pub Matia, Assam 783125, India","783125","NA","NA","NA","https://maps.google.com/?cid=3221914410971078877","ChIJnwbC8EK4WTcR3aCkGhaKtiw"
"St.Xaviers School Road","St.Xaviers School Rd, Assam 783126, India","783126","NA","NA","NA","https://maps.google.com/?q=St.Xaviers+School+Rd,+Assam+783126,+India&ftid=0x3759ca0924225a3b:0x764ef7347e9e2387","ChIJO1oiJAnKWTcRhyOefjT3TnY"
"DR.SARVEPALLI RADHAKRISNAN ACADEMY.","Joy Mangla, Assam 781334, India","781334","NA","097066 86283","https://www.knowledgeassam.com/2023/02/doctor-sarvapalli-radhakrishnan-academy.html","https://maps.google.com/?cid=16496514371329813834","ChIJ0-B4-6LMWzcRSm09H2tk7-Q"
"Krishnai Montessori High School","2MF9+RJ9, Jyoti Nagar, Krishnai, Khoridhora, Assam 783126, India","783126","NA","NA","NA","https://maps.google.com/?cid=17306801855986868892","ChIJk8gJahvKWTcRnCIruJccLvA"
"Jatiya Bidyalaya Ahmodnagar","2MFC+Q2R, Khoridhora, Assam 783126, India","783126","NA","084861 81121","https://jvahmodnagar.in/portal/frontend#","https://maps.google.com/?cid=10600363266199129066","ChIJSeeUURrKWTcR6gvmOzoOHJM"
"Sutarpara Jatiya Vidyalaya","Near Sutarpara Masjid, Sutarpara, Bharbari, Assam 783125, India","783125","NA","095777 83910","NA","https://maps.google.com/?cid=16216603809161894671","ChIJhXbuYpW_WTcRD1tXxD7zDOE"
"Tukura Jatiya Bidyalaya","3J2P+66M, Tukura Pt-III, Tukura Pt-II, Assam 783126, India","783126","NA","NA","NA","https://maps.google.com/?cid=14818042121759134256","ChIJrX5HeSPLWTcRMJI65sxCpM0"
"Green Hills Academy","Goalpara - Guwahati Rd, Tukura Pt-II, Tukra, Assam 783126, India","783126","NA","NA","NA","https://maps.google.com/?cid=14288275517375427873","ChIJ0w9ikKi1WTcRIbUSauEmSsY"
