"SchoolName","Address","Pincode","ContactEmail","ContactPhone","Website","GMapLink","PlaceID"
"Sankardev Sishu Bidya Niketan, Golaghat","GX7H+2H9, Golaghat, Assam 785621, India","785621","NA","NA","NA","https://maps.google.com/?cid=8551304460247359130","ChIJWfzOaXuORjcRmt5BjxlWrHY"
"Rongamati Bohumukhi Jatiya Bidyalaya","JVV9+5M9, Badulipar, Badulipara, Assam 785611, India","785611","NA","NA","NA","https://maps.google.com/?cid=6664432046493935909","ChIJDRPHAIybRjcRJSkA-aLRfFw"
"Badulipar High School","MVF8+629, Bon-Bagicha, Badulipara, Assam 785611, India","785611","NA","NA","NA","https://maps.google.com/?cid=3031749844891638158","ChIJ0YzDUHWZRjcRjpmcyGvwEio"
"Sankardev Sishu Bidya Niketan, Golaghat","GX7H+2H9, Golaghat, Assam 785621, India","785621","NA","NA","NA","https://maps.google.com/?cid=8551304460247359130","ChIJWfzOaXuORjcRmt5BjxlWrHY"
"Golaghat Jatiya Vidyalaya","GX6P+6R2, Dhodar Ali Rd, Golaghat, Assam 785621, India","785621","NA","03774 284 233","https://www.golaghatjatiyavidyalaya.org/","https://maps.google.com/?cid=5694751467996368394","ChIJSSOLSH-ORjcRCs4OvknSB08"
"Jyoti pustak mandir","Ladia complex, Dhodar Ali Rd, Golaghat, Bhoga Gaon, Assam 785621, India","785621","NA","096783 33880","NA","https://maps.google.com/?cid=8901316424865389644","ChIJqQqLYmGORjcRTJxzkSDUh3s"
"Sankardev Sishu Bidya Niketan, Golaghat","GX7H+2H9, Golaghat, Assam 785621, India","785621","NA","NA","NA","https://maps.google.com/?cid=8551304460247359130","ChIJWfzOaXuORjcRmt5BjxlWrHY"
"Jatiya Vidyalaya Hatiakhowa","Hatiakhowa Gaon, Assam 785626, India","785626","NA","NA","NA","https://maps.google.com/?cid=11968658552755963321","ChIJoxptp1yTRjcRucX1goo3GaY"
"Sankardev Sishu Bidya Niketan, Golaghat","GX7H+2H9, Golaghat, Assam 785621, India","785621","NA","NA","NA","https://maps.google.com/?cid=8551304460247359130","ChIJWfzOaXuORjcRmt5BjxlWrHY"
"Golaghat Jatiya Vidyalaya","GX6P+6R2, Dhodar Ali Rd, Golaghat, Assam 785621, India","785621","NA","03774 284 233","https://www.golaghatjatiyavidyalaya.org/","https://maps.google.com/?cid=5694751467996368394","ChIJSSOLSH-ORjcRCs4OvknSB08"
"Sankardev Sishu Bidya Niketan, Golaghat","GX7H+2H9, Golaghat, Assam 785621, India","785621","NA","NA","NA","https://maps.google.com/?cid=8551304460247359130","ChIJWfzOaXuORjcRmt5BjxlWrHY"
"Sankardev Sishu Bidya Niketan, Golaghat","GX7H+2H9, Golaghat, Assam 785621, India","785621","NA","NA","NA","https://maps.google.com/?cid=8551304460247359130","ChIJWfzOaXuORjcRmt5BjxlWrHY"
"Adarsha Vidyapeeth, Bholaguri","JVW6+FQG, Likson Gaon, Badulipara, Assam 785611, India","785611","NA","NA","NA","https://maps.google.com/?cid=16754282590954493127","ChIJVZrNdC-bRjcRx5RanD8rg-g"
"Royal Oak School Mazgaon Moszid","M265+JCR, Dhodang Gari Gaon, Assam 785618, India","785618","NA","087518 57957","NA","https://maps.google.com/?cid=9237090009840443311","ChIJ10gM0myURjcRr1_Zemy8MIA"
"Janak Jyoti Gyan Peeth","Rongamati, P.O-Rongamati, MWG5+4C3, Dist, P. S, Dergaon, State, Assam 785614, India","785614","NA","NA","NA","https://maps.google.com/?cid=614156248657565092","ChIJLfft9O2XRjcRpBXSrdrrhQg"
"AdharSatra Senchowa Bapuji High School","GWX9+3FM, No.1 Sensowa Gaon, Assam 785702, India","785702","NA","NA","NA","https://maps.google.com/?cid=10312727669224200620","ChIJ6TDSjuSPRjcRrFlzDS0rHo8"
"Golaghat Jatiya Vidyalaya","GX6P+6R2, Dhodar Ali Rd, Golaghat, Assam 785621, India","785621","NA","03774 284 233","https://www.golaghatjatiyavidyalaya.org/","https://maps.google.com/?cid=5694751467996368394","ChIJSSOLSH-ORjcRCs4OvknSB08"
"Sankardev Sishu Bidya Niketan: Kakodonga","M27R+26G, Lukhurakhonia Gaon, Assam 785618, India","785618","NA","NA","NA","https://maps.google.com/?cid=17485014034484598252","ChIJVZKoQKWVRjcR7JUs8p8_p_I"
"Golaghat Jatiya Vidyalaya","GX6P+6R2, Dhodar Ali Rd, Golaghat, Assam 785621, India","785621","NA","03774 284 233","https://www.golaghatjatiyavidyalaya.org/","https://maps.google.com/?cid=5694751467996368394","ChIJSSOLSH-ORjcRCs4OvknSB08"
"Sankardev Sishu Bidya Niketan, Golaghat","GX7H+2H9, Golaghat, Assam 785621, India","785621","NA","NA","NA","https://maps.google.com/?cid=8551304460247359130","ChIJWfzOaXuORjcRmt5BjxlWrHY"
"Debraj Roy College, Golaghat","Circuit House Road, Golaghat, Kachugaon, Assam 785621, India","785621","NA","03774 451 224","http://www.drcollege.ac.in/","https://maps.google.com/?cid=5447014810292069018","ChIJlQZXam6ORjcRmiLARRyvl0s"
"Athkhelia Uran Pakhi Bhawan","F36Q+RVP, SH 33, Bocha Gaon, Assam 785631, India","785631","NA","NA","NA","https://maps.google.com/?cid=4370252436727389897","ChIJ6Wrj-V3zRjcRyd7rxW9Bpjw"
"Holy Child School (CBSE)","FXQG+7FQ, Bengenakhowa GF Rd, Tetelital, Assam 785702, India","785702","NA","NA","NA","https://maps.google.com/?cid=8297122759943805013","ChIJuTTetZCORjcRVVhCrDBNJXM"
"Srimanta Sankardev Vidyalaya","8393+87X, Unnamed Road, Assam 785603, India","785603","NA","NA","NA","https://maps.google.com/?cid=16027694387679849196","ChIJWUWyRgNhRjcR7OotkiDPbd4"
"RL Memorial English School","QCV5+V76, Nasbor-Batiamari Rd, Batiamari, No.2 Batiamari, Assam 784166, India","784166","NA","NA","NA","https://maps.google.com/?cid=17348442979407249110","ChIJiTBqLNprRDcR1j6wSfkMwvA"
"Bokolai Jatiya Vidyalaya","G3PM+HJJ, SH 1, Golaghat, Kanugaon, Assam 785625, India","785625","NA","NA","NA","https://maps.google.com/?cid=15223879602147329262","ChIJeV_w6YnzRjcR7oROrdYVRtM"
