"SchoolName","Address","Pincode","ContactEmail","ContactPhone","Website","GMapLink","PlaceID"
"Jafargarh Public High School","M8FQ+4PP, Haitorkha Pt II, Assam 788723, India","788723","NA","NA","NA","https://maps.google.com/?cid=14552409624337560492","ChIJC6k9YBHbUTcRrLOdjHOL9Mk"
"Algapur Adarsha Bidyapith","QH6V+RX9, Algapur, Hindustan Paper Corporation Ltd. To, Assam 788150, India","788150","NA","NA","NA","https://maps.google.com/?cid=1577748606574616411","ChIJxQ6GdZQvTjcRW1-_l_9J5RU"
"Oakland Academy School","Near Algapur Police Station, Hindustan Paper Corporation Ltd. To, Assam 788150, India","788150","NA","NA","NA","https://maps.google.com/?cid=17992479706337011526","ChIJ2Z3HQ0QuTjcRRmek9PYgsvk"
"Vivekananda Academy School, Alagapur","QH5V+VXC, Hailakandi, Hindustan Paper Corporation Ltd. To, Assam 788150, India","788150","NA","NA","NA","https://maps.google.com/?cid=342058081935781852","ChIJ_Wk3CAAvTjcR3G9VYgM8vwQ"
"Sishu Niketan High School","Ratanpur Road,Hailakandi Town Word no 11, Bandukmara Grant, Hailakandi, Assam 788155, India","788155","NA","NA","NA","https://maps.google.com/?cid=7948094396995208871","ChIJmc2-h4UlTjcRpwYsRr5NTW4"
"Merit Academy, Algapur","QH9V+3V4, Algapur Pt I, Assam 788150, India","788150","NA","NA","NA","https://maps.google.com/?cid=3666300667308510128","ChIJAYEK1WsuTjcRsIuzMghR4TI"
"Nimaichandpur H.S School","Milon Bazar, Nimaichandpur Pt II, Assam 788168, India","788168","NA","NA","NA","https://maps.google.com/?cid=5868852639542058915","ChIJf6auP0k7TjcRo58Ek2FaclE"
"Riasath Ali Memorial Acedemy","RJ3F+6V9, Bakri Howar Pt VIII, Bakri Howar Pt X, Assam 788801, India","788801","NA","NA","NA","https://maps.google.com/?cid=84126533082084060","ChIJG5ztJrczTjcR3PKK2KLgKgE"
"Alinagar academy","RJCP+5R2, Kalinagar Pt V, Assam 788801, India","788801","NA","NA","NA","https://maps.google.com/?cid=9152176629614658441","ChIJhSa7AQAzTjcRiUPQgScQA38"
"Minds Global Public High School","JJWC+PFF, Bashdahar Pt II, Assam 788155, India","788155","NA","NA","NA","https://maps.google.com/?cid=4277455138145226792","ChIJ9WbL_aI7TjcRKNDQA8mSXDs"
"BLOOMING BUDS SENIOR SECONDARY SCHOOL","Silchar-Hailakandi Rd, Matijuri, Bashdahar Pt II, Assam 788155, India","788155","NA","NA","NA","https://maps.google.com/?cid=8906900375123215835","ChIJ4YmR9kIlTjcR20UDTbOqm3s"
"Al Ansar National School, Boalipar","PH8C+CVF, NH154, Lakhirbond Pt I, Assam 788152, India","788152","NA","095779 27026","NA","https://maps.google.com/?cid=8023121306175670605","ChIJ3Ql9vgwvTjcRTQl41FHaV28"
"Talent High School","PH9F+6JV, NH154, Lakhirbond Pt I, Assam 788152, India","788152","NA","094018 83109","https://www.talenthighschool.in/","https://maps.google.com/?cid=4901751081730518859","ChIJ7djgiwsvTjcRSy_vY6OEBkQ"
"Netaji Vidya Niketan","Silchar-Kalain Road, Dhumkar, XH7H+XVV, Kalain, Assam 788815, India","788815","NA","NA","NA","https://maps.google.com/?cid=18311558885381641943","ChIJ2e3mFCjTTzcR1xbSlsm5H_4"
"Genius Senior Secondary School, Algapur","QH9V+3V4, Algapur Pt I, Assam 788150, India","788150","NA","NA","NA","https://maps.google.com/?cid=17115338451574450785","ChIJK8eP6CEvTjcRYeqtCKTlhe0"
"Providence Public School","Lakhirbond, Lakhirbond Pt II, Assam 788155, India","788155","NA","NA","NA","https://maps.google.com/?cid=9452094240135518286","ChIJb0aAHdgvTjcRThjLzqGVLIM"
