"SchoolName","Address","Pincode","ContactEmail","ContactPhone","Website","GMapLink","PlaceID"
"Bibekanda Academy","2V32+HQG, Hojai, Assam 782435, India","782435","NA","094352 52983","NA","https://maps.google.com/?cid=6687280341179490196","ChIJJ1yo21BrRTcRlN90IQr-zVw"
"Samarali Ancholic jatiya Bidyalaya","3476+M6X, Rajapathar Rd, Bokolia, Assam 782482, India","782482","NA","NA","NA","https://maps.google.com/?cid=9642272051467402951","ChIJC8eWK56hRTcRxz5kB1g70IU"
"Calvin English School","RCMF+55F, Diphu, Assam 782462, India","782462","NA","NA","NA","https://maps.google.com/?cid=4437571961685036257","ChIJO6GGXJ_tRTcR4Ux4GTBslT0"
"Mahatma Gandhi Memorial English School","VCJX+3XM, Assam 782460, India","782460","NA","NA","NA","https://maps.google.com/?cid=12911145802338749265","ChIJoaegpe3sRTcRUUutd7OaLbM"
"Priority Mount Johanna School","WCJW+2X8, Borsing Tokoi, Assam 782461, India","782461","NA","NA","NA","https://maps.google.com/?cid=6626507829064597414","ChIJMbeGg27rRTcRpn-9BMMV9ls"
"Sankardev Vidya Niketan","Hojai, XRWH+GX3, Dakhin Bidyanagar, Assam 782435, India","782435","NA","NA","NA","https://maps.google.com/?cid=2312717086722962050","ChIJFyyrfTtrRTcRgjIZ5O9rGCA"
"PROGATISHIL ACADEMY","3W9P+4CQ, Kapasbari road, Joynagar, Hojai, Joynagar Madrassa, Assam 782445, India","782445","NA","NA","NA","https://maps.google.com/?cid=8314590810645027874","ChIJF8xgX3gSRTcRIlw5KUpcY3M"
"Rajib Gandi Academy","4W4V+2F7, Ambari, Assam 782445, India","782445","NA","NA","NA","https://maps.google.com/?cid=1843786235408222786","ChIJgw707P0NRTcRQgpD889xlhk"
"Bhelowguri Adarsha Bidya Niketon","4QQW+8P6, Bhelowguri Pather Rd Number 1, Changmaji Mikir Pather, Changmaji Gaon, Assam 782440, India","782440","NA","NA","NA","https://maps.google.com/?cid=12232804237069558883","ChIJQ6n0Sj8WRTcRY6RsNaSmw6k"
"Bhelowguri Jatiya Vidalaya","4RR2+3W7, Nagaon - Lumding Rd, Changmaji Pather, Madartoli, Assam 782440, India","782440","NA","NA","NA","https://maps.google.com/?cid=14783141552749774133","ChIJwUHvFw8XRTcRNYX38-pEKM0"
"AJMAL MODERN RESIDENTIAL SCHOOL, BHELOWGURI","4QRG+6GW, Bheloguri Pather, Assam 782440, India","782440","NA","NA","NA","https://maps.google.com/?cid=5377984015599711899","ChIJy9ZCqLw9RTcRm7aM6fdvoko"
"Bibekanda Academy","2V32+HQG, Hojai, Assam 782435, India","782435","NA","094352 52983","NA","https://maps.google.com/?cid=6687280341179490196","ChIJJ1yo21BrRTcRlN90IQr-zVw"
"Maryam Ajmal Women's College of Science & Technology","Borpukhuri, Hojai, Assam 782435, India","782435","NA","03674 250 123","http://mawcsthshojai.ajmalgroupofcolleges.org/","https://maps.google.com/?cid=4113705178204865248","ChIJdYwPCrUURTcR4AKWcRDRFjk"
"Hojai Public School","Pachim Nandapur, Hojai, Assam 782435, India","782435","NA","097077 00916","NA","https://maps.google.com/?cid=13638640882095274587","ChIJr6_-KWprRTcRW7poJJ8vRr0"
"Jatiya Vidyalaya, Hojai","2V77+X9P, Hojai, Assam 782435, India","782435","NA","NA","NA","https://maps.google.com/?cid=9650525846140977709","ChIJZwTRblMTRTcRLYL1WiCO7YU"
"Modern English Academy","4232+GC4, SH 19, Barhawar, Assam 782481, India","782481","NA","NA","NA","https://maps.google.com/?cid=18197747701188970888","ChIJqcUtOR4MRTcRiMmMUR5ji_w"
"AJMAL FOUNDATION","2V65+JG Haji Mufossil Ali Complex, Vishu Polli Rd, Nagaon, Hojai, Assam 782435, India","782435","NA","03674 254 786","http://www.ajmalfoundation.com/","https://maps.google.com/?cid=137942515206320368","ChIJdfi5i1VrRTcR8PBLmvwR6gE"
"Jatiya Viddalaya Debosthan","423H+66Q, Debasthan, Assam 782481, India","782481","NA","NA","NA","https://maps.google.com/?cid=10879823500066150411","ChIJf5_YgSULRTcRC9hjXNTl_JY"
"Al Falaah Academy","4229+JJC, Debasthan, Assam 782481, India","782481","NA","NA","NA","https://maps.google.com/?cid=405937707991343982","ChIJXcd8oP8LRTcRbqPC1TEuogU"
"Debosthan Gyanudoy Vidyalaya","422H+9FR, Debasthan Rd, Debasthan, Assam 782481, India","782481","NA","NA","NA","https://maps.google.com/?cid=15634542797913345855","ChIJd8jO0e0LRTcRP09E39YN-dg"
"Markaz Academy English Senior Secondary School","2VG6+HQR BB Donki Garden, Hojai, Danki Gaon, Assam 782435, India","782435","NA","NA","NA","https://maps.google.com/?cid=8986783888447306768","ChIJZwJP9CwTRTcREPwaIFV4t3w"
"Jatiya Vidyalaya, Hojai","2V77+X9P, Hojai, Assam 782435, India","782435","NA","NA","NA","https://maps.google.com/?cid=9650525846140977709","ChIJZwTRblMTRTcRLYL1WiCO7YU"
"Farid Uddin Choudhory academy","3RVJ+HVQ, Dakhin Bhedeoati, Assam 782440, India","782440","NA","NA","NA","https://maps.google.com/?cid=15524746752921967767","ChIJa8S8ZiUVRTcRlxzQC-v6ctc"
"NRI public school","Doboka Town, Chandanpur, Assam 782440, India","782440","NA","094011 12222","http://www.nripublicschool.com/","https://maps.google.com/?cid=554427224244065227","ChIJt9y7vNURRTcRy5Pfep-4sQc"
"Gandhi Vidyapith High School","2V54+CW2, J. K. Kedia Rd, Bishnu Pally, Hojai, Assam 782435, India","782435","NA","NA","NA","https://maps.google.com/?cid=6350559981783172969","ChIJP4Ef8lVrRTcRaUf_Hqi4IVg"
"Pratibha Vidyapeeth","325R+X3P, Chodhury Bazar Samorali Rd, Samarali Maidham, Assam 782439, India","782439","NA","NA","NA","https://maps.google.com/?cid=6645568502942373761","ChIJS4KSHycLRTcRgZdn_FfNOVw"
"Giyan Dhip Senior Secondary school (Jamal)","4W6G+HG2, Assam 782439, India","782439","NA","NA","NA","https://maps.google.com/?cid=12204133422803578201","ChIJ3TTnSrIRRTcRWe2tEbDKXak"
