"SchoolName","Address","Pincode","ContactEmail","ContactPhone","Website","GMapLink","PlaceID"
"Gohain Gaon Adarsha Shishu Niketon","Q8HH+9M9, Arandhara Gaon, Assam 785700, India","785700","NA","NA","NA","https://maps.google.com/?cid=12191768282846602525","ChIJ8-Lx57_fRjcRHSXykqjcMak"
"Jawahar Navodaya Vidyalaya, Jorhat","J59X+65C, Bojal Bari Gaon, Assam 785630, India","785630","NA","NA","https://navodaya.gov.in/nvs/nvs-school/JORHAT/en/contact-us/JNV/","https://maps.google.com/?cid=6190246898761761786","ChIJZ0oXGyLvRjcR-oOo0MEs6FU"
"Jadavpur T.G. High School","Q74V+2JG, Dulakharia Gaon, Assam 785010, India","785010","NA","NA","NA","https://maps.google.com/?cid=2558371201896734986","ChIJTxNbWpXdRjcRCuGkpA0pgSM"
"Aarohan Academy, Kakojan","Assam Trunk Rd, Kakojan, Assam 785700, India","785700","NA","NA","NA","https://maps.google.com/?cid=6825667259669567428","ChIJpca-WdzeRjcRxFeebzWkuV4"
"Jorhat Jatiya Vidyalaya","Shankarpur Path, near Jatiya Vidyalaya, Shankarpur, Jorhat, Assam 785007, India","785007","NA","087618 47833","NA","https://maps.google.com/?cid=3657403280341646433","ChIJ00IeDlHdRjcRYbwc3ee0wTI"
"Chowkhat high school","R8CH+7F2, Dhekiakhowa Bor Namghar Path, Lahdoigarh, Khata Pathar, Assam 785700, India","785700","NA","NA","NA","https://maps.google.com/?cid=11691060051166873075","ChIJv6MVywrfRjcR88WPtSz9PqI"
"Sunrise English Medium High School","R834+553, Unnamed Road, Meleng Hudamua Gaon, Borkhalia Gaon, Assam 785700, India","785700","NA","NA","NA","https://maps.google.com/?cid=10502213162608655941","ChIJvUlNVpTdRjcRRX64cDpbv5E"
"Noren Chutia Suwarani Jatiya Vidyalaya","P8MP+W58, Naginijan Grant Gaon, Assam 785635, India","785635","NA","NA","NA","https://maps.google.com/?cid=7005537096183625342","ChIJB1MCTW_fRjcRfrbYPt-qOGE"
"Jyoti Vidyapith, Teok","RCQF+3CG Follow me on insta 🫶🏼😉 @sanskarixarly, Bhagamukh, Teok, Assam 785112, India","785112","NA","NA","https://jyotividyapith.in/","https://maps.google.com/?cid=228540052022685890","ChIJE-W20DsnRzcRwvDCaffvKwM"
"Teok Jatiya Vidyalaya","RCJC+QF2, NH37 to Dhodar Ali, Bhagamukh, Teok, Assam 785112, India","785112","NA","NA","NA","https://maps.google.com/?cid=1234834366006140109","ChIJuTCyxTcnRzcRzZw9PlADIxE"
"BHOLANATH HANDIQUE ADARSHA JATIYA BIDYAPITH","Q8R4+HCP, Fesual, Meleng Hudamua Gaon, Assam 785700, India","785700","NA","NA","NA","https://maps.google.com/?cid=1535070299185981696","ChIJh6_fvILdRjcRAKk70E2qTRU"
"Teok Junior College","RCR9+5H2, Bhagamukh, Teok, Assam 785112, India","785112","NA","NA","NA","https://maps.google.com/?cid=1456878235679054286","ChIJ85UkTj8nRzcRztmlVgnfNxQ"
"Holy Flower Senior Secondary School, Teok","Hospital Road, Teok, Assam 785112, India","785112","NA","0376 239 6786","http://www.holyflowerschool.com/sagarika,Basak","https://maps.google.com/?cid=3235840894914269668","ChIJzZOOOkYnRzcR5BEMUyYE6Cw"
"Jyoti Vidyapith, Teok","RCQF+3CG Follow me on insta 🫶🏼😉 @sanskarixarly, Bhagamukh, Teok, Assam 785112, India","785112","NA","NA","https://jyotividyapith.in/","https://maps.google.com/?cid=228540052022685890","ChIJE-W20DsnRzcRwvDCaffvKwM"
"Kaoimari HS School","FR98+FXF, Kawaimari, Assam 782140, India","782140","NA","099448 64118","NA","https://maps.google.com/?cid=16233243986140142952","ChIJUTtKU9_gRDcRaB0h4mURSOE"
"SHEMFORD School.","Proffessor &, Staff Colony, Garmur Rd, Garmur, Jorhat, Assam 785007, India","785007","NA","099544 88337","https://www.shemford.com/","https://maps.google.com/?cid=6120136662787132854","ChIJceAh-kPdRjcRto1Fct4X71Q"
"Dharmeswar Baruah Sankardev Sishu Niketan.","Q5FQ+X9G, Dhekorgorah, Jorhat, Raja Howli Gaon, Assam 785001, India","785001","NA","NA","NA","https://maps.google.com/?cid=1041400361922097584","ChIJVVVVlVbCRjcRsHFUkRzMcw4"
"Balya Niketon Kakojan","R83R+VCH, Assam Trunk Rd, Sipahikhola, Assam 785700, India","785700","NA","NA","NA","https://maps.google.com/?cid=3127989036402587187","ChIJGbeZfcHeRjcRM7YXsHTZaCs"
"children foundation school kakojan","R954+95C, Assam Trunk Rd, Komarkhatowal, Kakojan, Assam 785700, India","785700","NA","NA","NA","https://maps.google.com/?cid=776560887313636732","ChIJPzzkBcDfRjcRfJ3KOgPmxgo"
"Dharmeswar Baruah Sankardev Sishu Niketan.","Q5FQ+X9G, Dhekorgorah, Jorhat, Raja Howli Gaon, Assam 785001, India","785001","NA","NA","NA","https://maps.google.com/?cid=1041400361922097584","ChIJVVVVlVbCRjcRsHFUkRzMcw4"
"Ben Garden High School","785112, Pirakata - Boloma Rd, Teok, Chowdang Gaon, Assam 785107, India","785112","NA","0376 239 6092","https://bengardenschool.com/","https://maps.google.com/?cid=14330292151929082774","ChIJe1JpY7YgRzcRlhNNe8ls38Y"
"Teok Jatiya Vidyalaya","RCJC+QF2, NH37 to Dhodar Ali, Bhagamukh, Teok, Assam 785112, India","785112","NA","NA","NA","https://maps.google.com/?cid=1234834366006140109","ChIJuTCyxTcnRzcRzZw9PlADIxE"
"Jnanpith Academy","RCJC+PF2, Bhagamukh, Teok, Assam 785112, India","785112","NA","NA","NA","https://maps.google.com/?cid=17914389181017632152","ChIJTWfwKOwnRzcRmC2orguynPg"
"Selenghat Sub-Post Office","QFMJ+9WG, Unnamed Road, Chowdang Gaon, Baisahabi Grant, Assam 785636, India","785636","NA","03772 253 457","https://www.indiapost.gov.in/","https://maps.google.com/?cid=7140228210585087300","ChIJK76xodcjRzcRRK0lG7ovF2M"
"Maharishi Vidya Mandir Sr. Secondary School","M6VM+JF4, Bhakatcheuni Gaon, Assam 785004, India","785004","NA","098938 98925","NA","https://maps.google.com/?cid=8435568941683126665","ChIJ_2ckGdbnRjcRiTFXR0IpEXU"
"Jelengitup Janajati ME School","WCQ9+CV7, Jelengitup Gaon, Assam 785682, India","785682","NA","NA","NA","https://maps.google.com/?cid=5875879640888418625","ChIJjahNhGcpRzcRQaEa0mZRi1E"
"Jorhat Jatiya Vidyalaya","Shankarpur Path, near Jatiya Vidyalaya, Shankarpur, Jorhat, Assam 785007, India","785007","NA","087618 47833","NA","https://maps.google.com/?cid=3657403280341646433","ChIJ00IeDlHdRjcRYbwc3ee0wTI"
"Jorhat Jatiya Vidyalaya","Shankarpur Path, near Jatiya Vidyalaya, Shankarpur, Jorhat, Assam 785007, India","785007","NA","087618 47833","NA","https://maps.google.com/?cid=3657403280341646433","ChIJ00IeDlHdRjcRYbwc3ee0wTI"
"ADHYAYAN ACADEMY Hanhchara","RFQH+CF7, Hanhchara, Suramoni Gaon, Assam 785112, India","785112","NA","NA","NA","https://maps.google.com/?cid=10287505133664730824","ChIJATh2_ecnRzcRyP4X3WmPxI4"
"Jyoti Bikash Jatiya Bidyalaya, Lahing, Teok","PCX7+945, Balijan - Oating - Garigaon Rd, Golaghat, Gualgaon Pt-II, No.162 Grant Gaon, Assam 785610, India","785610","NA","NA","NA","https://maps.google.com/?cid=7827556002286051963","ChIJde8waRMgRzcRe6K8P7YQoWw"
"Jaya Bidyapith","P6M3+C7C, Barbheta, Jorhat MB and OG Part, Jorhat, Assam 785001, India","785001","NA","099544 55380","NA","https://maps.google.com/?cid=12052696874713618428","ChIJGZQW5ifoRjcR_BfEGvPHQ6c"
"Selenghat Jatiya Vidyalay","Majunagayan gaon, P.O- Selenghat, RF2F+236, Kukurachowa Gaon, Assam 785636, India","785636","NA","NA","NA","https://maps.google.com/?cid=2411275202169093163","ChIJp2XRUlwhRzcRKzz_WAWSdiE"
"Model English Senior Secondary School","MCP3+M6R, Tirual Gaon, Assam 785635, India","785635","NA","NA","NA","https://maps.google.com/?cid=8138998188403015795","ChIJ01KA99MfRzcRc0BP57qH83A"
"Nakachari Jatiya Vidyalaya","PF22+V4X, Nakachari Gaon, Assam 785635, India","785635","NA","NA","NA","https://maps.google.com/?cid=5271867705956712408","ChIJkTL-bAAfRzcR2D9nPL9vKUk"
"Sarbajanin Adarsha Vidyalaya","VFW2+33R, Chintamonigarh Road, Amtal, Tamuli Gaon, Assam 785682, India","785682","NA","NA","NA","https://maps.google.com/?cid=6302693406022017030","ChIJXyDEzjkmRzcRBqAjekKqd1c"
"Jawahar Navodaya Vidyalaya, Jorhat","J59X+65C, Bojal Bari Gaon, Assam 785630, India","785630","NA","NA","https://navodaya.gov.in/nvs/nvs-school/JORHAT/en/contact-us/JNV/","https://maps.google.com/?cid=6190246898761761786","ChIJZ0oXGyLvRjcR-oOo0MEs6FU"
"Dessoi Valley Academy","Dhodar ali, Deberapar, Nakachari, Jorhat, Tirual Gaon, Assam 785635, India","785635","NA","096783 98773","NA","https://maps.google.com/?cid=15430795229633071214","ChIJuT2mJNEfRzcRbkgSaIEyJdY"
"Dharmeswar Baruah Sankardev Sishu Niketan.","Q5FQ+X9G, Dhekorgorah, Jorhat, Raja Howli Gaon, Assam 785001, India","785001","NA","NA","NA","https://maps.google.com/?cid=1041400361922097584","ChIJVVVVlVbCRjcRsHFUkRzMcw4"
"Sahadev Memorial English School","SH 33, Raraiyah, Senchoa Gaon, Jorhat, Assam 785004, India","785004","NA","099570 67875","NA","https://maps.google.com/?cid=14316922806845510216","ChIJtUEnrFLpRjcRSBK3QnDtr8Y"
"Assam Rifles Public School","Nefabari, Rowriah, near Civil Airport, Raraiyah, Jorhat, Assam 785013, India","785013","NA","0376 231 1020","http://arpsjorhat.in/","https://maps.google.com/?cid=3621862623392071569","ChIJYy9GjdXpRjcRkX-M1N1wQzI"
"Air Force School Jorhat","P59F+G5H, Raraiyah, Jorhat, Assam 785006, India","785006","NA","0376 295 7087","https://www.afsjorhat.in/","https://maps.google.com/?cid=10236334090266682231","ChIJqfy8y6zpRjcRdyOR5J7DDo4"
"Army Public School Jorhat","Charaibahi Gaon, Kuhiar Boria, Assam 785616, India","785616","NA","0376 233 3069","https://apsjorhat.org/","https://maps.google.com/?cid=12835501838858559012","ChIJ7QpTtOrpRjcRJJ4Jw-rcILI"
"Chitralekha Siksha Bikash Mandir","M48V+G5J, Sonari Gaon, Assam 785009, India","785009","NA","091014 95498","http://www.csbm.in/","https://maps.google.com/?cid=14028279334036155737","ChIJyVN8ZN3rRjcRWa0ts7p1rsI"
"Don Bosco High School, Baghchung","Baghchung, Kunwari Pukhuri, P686+J8M, Danish Nagar, Jorhat, Senchoa Gaon, Assam 785001, India","785001","NA","0376 296 0312","https://dbsjorhat.in/","https://maps.google.com/?cid=11867687355116777726","ChIJNamsdD7oRjcR_nAhk8V-sqQ"
"Springdale Sr. Sec School","Cinnamara, Jorhat, Chekonidhara, Assam 785008, India","785008","NA","0376 234 0676","https://springdaleschool.co/","https://maps.google.com/?cid=12893728619830518828","ChIJdTRhaXToRjcRLCRJp92577I"
"Lichubari Jatiya Vidyalaya","P6C8+64M, Lichubari, Jorhat, Chekonidhara, Assam 785008, India","785008","NA","NA","NA","https://maps.google.com/?cid=14104785555794945743","ChIJpcehpxfoRjcRz-Y3jrtDvsM"
"Hemalata Handiqui Memorial Institute | Schools in Jorhat | Best Schools in Jorhat","P6H8+6V6, GH Rd, Lichubari, Jorhat, Chekonidhara, Assam 785008, India","785008","NA","087610 63412","https://hhmi.edu.in/","https://maps.google.com/?cid=13826245800428688921","ChIJzSsXQBnoRjcRGdbJB02x4L8"
"Prerona Pratibandhi Sishu Bikash Kendra","Gar Ali Rd, Cinnamara, Jorhat, Chekonidhara, Assam 785008, India","785008","NA","098540 44474","http://preronajorhat.in/","https://maps.google.com/?cid=13141046269906062708","ChIJj0bWFAboRjcRdA25TvVfXrY"
"Cinnamara Jatiya Bidyalay","Cinnamara, Jorhat, Jorhat CD Block Part, Assam 785008, India","785008","NA","094355 95656","NA","https://maps.google.com/?cid=15791809681592296510","ChIJ40-34XXoRjcRPiTinzzHJ9s"
"Shemford Futuristic School - Jorhat","TR Phookan Rd, Choladhara, Jorhat, Assam 785001, India","785001","NA","0376 230 9651","https://www.shemford-jorhat.com/","https://maps.google.com/?cid=1431637107352790248","ChIJIXkTDfPCRjcR6OQHL10y3hM"
"Jorhat Jatiya Vidyalaya","Shankarpur Path, near Jatiya Vidyalaya, Shankarpur, Jorhat, Assam 785007, India","785007","NA","087618 47833","NA","https://maps.google.com/?cid=3657403280341646433","ChIJ00IeDlHdRjcRYbwc3ee0wTI"
"Sankardev Bidya Niketan","Q63M+9RH, Garmur, Jorhat, Assam 785007, India","785007","NA","NA","NA","https://maps.google.com/?cid=18348462027049172835","ChIJG-seTEvdRjcRY38C0f_Uov4"
"Carmel School","Cinnamara, Maz Gaon, Jorhat, Jorhat CD Block Part, Assam 785008, India","785008","NA","0376 236 0355","http://carmeljorhat.com/","https://maps.google.com/?cid=708618347672747291","ChIJ-xlTTwjoRjcRG71b_qGE1Qk"
"Cinnamara College","P65R+FMJ, Jorhat Mariani Rd, ONGC Colony, Kavyakshetra, Cinnamara, Jorhat CD Block Part, Jorhat, Assam 785008, India","785008","NA","0376 236 1058","NA","https://maps.google.com/?cid=677683107754427786","ChIJTR_qct3nRjcRikX8KzKdZwk"
"Maharishi Vidya Mandir","P6X6+HVP, Atilagaon, Jorhat, Assam 785001, India","785001","NA","087218 72898","http://mvmjorhat.org/","https://maps.google.com/?cid=18261894050269335458","ChIJ____P5HCRjcRoo8fEOJHb_0"
"Dakhin Karanga Jatiya Vidyalay","M7F3+X33, Kamar Hajarika Gaon, Assam 785704, India","785704","NA","NA","NA","https://maps.google.com/?cid=12260096395907204709","ChIJWUpN9ejnRjcRZYYYHrecJKo"
"Jorhat Jatiya Vidyalaya","Shankarpur Path, near Jatiya Vidyalaya, Shankarpur, Jorhat, Assam 785007, India","785007","NA","087618 47833","NA","https://maps.google.com/?cid=3657403280341646433","ChIJ00IeDlHdRjcRYbwc3ee0wTI"
"Maan International High School","Jaimati Nagar, Mariani, Assam 785634, India","785634","NA","086389 77976","NA","https://maps.google.com/?cid=3245168872498721128","ChIJseS83EfjRjcRaPFwWeUnCS0"
"Gyan Jyoti jatiya vidyalaya","6VGV+3J4, Tiloi Nagar, Assam 785675, India","785675","NA","NA","NA","https://maps.google.com/?cid=6145900344560147712","ChIJpycxYguvQDcRAF11Ds2fSlU"
"BAHONI L.P SCHOOL","H7RR+643, Lahing Gaon, Assam 785633, India","785633","NA","NA","NA","https://maps.google.com/?cid=14892284809950294581","ChIJL3jut1vlRjcRNXIIxyEGrM4"
"Charaibahi Higher Secondary School","M5V7+7GF, Chaliha Gaon, Assam 785006, India","785006","NA","NA","NA","https://maps.google.com/?cid=6388510740879041707","ChIJ47pG85zpRjcRq-TcyauMqFg"
"Paschim Jorhat Junior College, Dahotia","P46F+RPR, Borhuj Gaon, Assam 785616, India","785616","NA","NA","NA","https://maps.google.com/?cid=17383329944681347942","ChIJ8cxYopvrRjcRZnsk3nv-PfE"
"Gyandeep jatiya Vidyalaya Moabundha Jorhat","P35J+9HJ, Bhurakala No.2, Assam 785006, India","785006","NA","NA","NA","https://maps.google.com/?cid=1512961954961478453","ChIJrURvhcTrRjcRNdMozOEe_xQ"
"Jorhat Jatiya Vidyalaya","Shankarpur Path, near Jatiya Vidyalaya, Shankarpur, Jorhat, Assam 785007, India","785007","NA","087618 47833","NA","https://maps.google.com/?cid=3657403280341646433","ChIJ00IeDlHdRjcRYbwc3ee0wTI"
"Udayan Jatiya Vidyalaya","P46G+PJ9, Jorhat, Assam 785616, India","785616","NA","NA","NA","https://maps.google.com/?cid=4756809553869338706","ChIJuwmbQn_rRjcRUviQKhaVA0I"
"Blooming Lotus English School","M48V+X63, Kamar Bandha Rd, Sonari Gaon, Assam 785009, India","785009","NA","NA","NA","https://maps.google.com/?cid=10987515731987245600","ChIJP4OArQPrRjcRIKodCVh_e5g"
"Pragya jyoti jatiya bidyaloi","P427+FX5, Pani Chakua, Assam 785616, India","785616","NA","NA","NA","https://maps.google.com/?cid=8321140950864556270","ChIJPbKSSrjrRjcR7vA8hpuhenM"
"Don Bosco High School, Baghchung","Baghchung, Kunwari Pukhuri, P686+J8M, Danish Nagar, Jorhat, Senchoa Gaon, Assam 785001, India","785001","NA","0376 296 0312","https://dbsjorhat.in/","https://maps.google.com/?cid=11867687355116777726","ChIJNamsdD7oRjcR_nAhk8V-sqQ"
"St. Mary's High School, Jorhat","P56P+779, Rowriah, Jorhat, Assam 785004, India","785004","NA","081339 66530","NA","https://maps.google.com/?cid=6477590156985622362","ChIJs0ObhMLpRjcRWt-xk-0F5Vk"
"Pachim Jorhat Jatiya Vidyalaya","P47G+X78, Phukan Ali Rd, Jorhat, Assam 785617, India","785617","NA","NA","NA","https://maps.google.com/?cid=7718419138742590939","ChIJxWHH8mnqRjcR2x1UEFBVHWs"
"St. Antony's High School","M829+QR7, Mariani, Assam 785634, India","785634","NA","NA","NA","https://maps.google.com/?cid=13590336905612769542","ChIJ4VDANEzhRjcRBjnuNGmTmrw"
"Edith Douglas Higher Secondary School","Mariani, Assam 785634, India","785634","NA","NA","NA","https://maps.google.com/?cid=14491076074815503740","ChIJDbPFz0vhRjcRfD2KvOmkGsk"
"Mariani Jatiya Vidyapith","M859+79G, Mariani, Assam 785634, India","785634","NA","NA","NA","https://maps.google.com/?cid=5259213993556317895","ChIJ42mdUUrhRjcRxxawO0N7_Eg"
"Assets English Medium School","M83F+V79, Mariani, Assam 785634, India","785634","NA","NA","NA","https://maps.google.com/?cid=7452683545843174030","ChIJsaUy1UjhRjcRjoph7TJAbWc"
"Rashtra Bhasha Vidyalaya","Q677+MHC, Raja Maidam Rd, Rajamaidam, New Colony, Jorhat, Dulia Gaon, Assam 785001, India","785001","NA","091011 81788","https://rashtrabhashavidyalayajorhat.org.in/","https://maps.google.com/?cid=529303615784104522","ChIJUVPevMrDRjcRSjIkjdV2WAc"
"MALPANI AGENCIES","Raja Maidam Rd, New Colony, Jorhat, Dulia Gaon, Assam 785001, India","785001","NA","080114 77569","NA","https://maps.google.com/?cid=8911922028754155053","ChIJASSqdsHCRjcRLbbeJd6BrXs"
"Alphabet English medium high school","Rb lane, near Nirmal chariali, New Colony, Jorhat, Dulia Gaon, Assam 785001, India","785001","NA","083999 26835","NA","https://maps.google.com/?cid=11536320915628227002","ChIJW4Pv58HCRjcRuvntLsA-GaA"
"saraswati vidyapith","New Colony, Jorhat, Dulia Gaon, Assam 785001, India","785001","NA","086387 76658","NA","https://maps.google.com/?cid=10068111616421134542","ChIJ6bC1UKrDRjcRzgDEByweuYs"
"Pranabananda Vidya Mandir","Q628+896, DOHABORA, Jorhat, Assam 785001, India","785001","NA","NA","NA","https://maps.google.com/?cid=7914510121002485252","ChIJ0dmxQLzCRjcRBEaWrQX91W0"
"Royal Oak High School","Q53X+FFQ, Kakoti Gaon, Tarajan, Jorhat, Assam 785001, India","785001","NA","NA","NA","https://maps.google.com/?cid=2635989867342570831","ChIJ30VCHIzCRjcRT6V7etHqlCQ"
"Prerona Pratibandhi Sishu Bikash Kendra","Gar Ali Rd, Cinnamara, Jorhat, Chekonidhara, Assam 785008, India","785008","NA","098540 44474","http://preronajorhat.in/","https://maps.google.com/?cid=13141046269906062708","ChIJj0bWFAboRjcRdA25TvVfXrY"
"Jaya Bidyapith","P6M3+C7C, Barbheta, Jorhat MB and OG Part, Jorhat, Assam 785001, India","785001","NA","099544 55380","NA","https://maps.google.com/?cid=12052696874713618428","ChIJGZQW5ifoRjcR_BfEGvPHQ6c"
"Balya Bhavan","Q645+FFV, Old Circuit House Rd, Atilagaon, Jorhat, Assam 785001, India","785001","NA","NA","NA","https://maps.google.com/?cid=13600113206697022275","ChIJUzYxkZTCRjcRQ1NGrudOvbw"
"Anamitra Academy","P5VM+7CP, Pulibor, Jorhat, Assam 785001, India","785001","NA","NA","NA","https://maps.google.com/?cid=606991734528119941","ChIJQ0SmQ3rCRjcRhZQlPsR3bAg"
"Crescent Academy","Kakoti Gaon, Tarajan, Jorhat, Assam 785001, India","785001","NA","094350 90681","NA","https://maps.google.com/?cid=1547814594156888103","ChIJSxLTnI3CRjcRJwDjNizxehU"
"Gurukul Sikshyayotan Jatiya Vidyalaya","Q632+QFV, KK Barooah Rd, Kakoti Gaon, Tarajan, Jorhat, Assam 785001, India","785001","NA","099542 55566","NA","https://maps.google.com/?cid=7180505102558682252","ChIJqX0LVmfDRjcRjNzjyVhHpmM"
"Angsuka Academy, Jorhat","Q53X+R4H, DCB Rd, Kakoti Gaon, Tarajan, Jorhat, Assam 785001, India","785001","NA","NA","NA","https://maps.google.com/?cid=12918917004617911124","ChIJOwDOx6PDRjcRVAsBf5E2SbM"
"Dipankar Vidyapith","Q674+FQ4, Malow Ali, Jorhat, Dulia Gaon, Assam 785001, India","785001","NA","NA","NA","https://maps.google.com/?cid=8262683241991069833","ChIJQXeN_tHDRjcRiWBziqHyqnI"
"Valley High Academy Senior Secondary School","Valley High Academy Tarajan. Jorhat Near tarajan pool, beside highway Bajaj showroom, Kakoti Gaon, Tarajan, Jorhat, Assam 785001, India","785001","NA","099544 11517","NA","https://maps.google.com/?cid=16642221699002507869","ChIJ9b6EaPHCRjcRXaJXAnYM9eY"
"Luit Valley Academy","Q663+MGC, Malow Ali Rd, Malow Ali, Jorhat, Assam 785001, India","785001","NA","099544 24680","NA","https://maps.google.com/?cid=14836651991407602837","ChIJWwWNg-3CRjcRlSzx02Bg5s0"
"Pragya Academy","Tulasi Narayan Sharma Path,, near Janambhumi Press, Malow Ali, Jorhat, Assam 785001, India","785001","NA","096780 96207","NA","https://maps.google.com/?cid=5858538347191618764","ChIJVfGoz-3CRjcRzExcP5a1TVE"
"Jonaki Sangha Vidyalay","Q623+F6J, Jail Rd, Kakoti Gaon, Tarajan, Jorhat, Assam 785001, India","785001","NA","NA","NA","https://maps.google.com/?cid=12444599340681372465","ChIJS-gE5JHCRjcRMaNfgSoZtKw"
"Brilliance Academy","DCB Rd, Kushal Nagar, Tarajan, Jorhat, Assam 785001, India","785001","NA","096780 09298","NA","https://maps.google.com/?cid=10039140392065801751","ChIJN-YW9oTCRjcRF55bN_8wUos"
