"SchoolName","Address","Pincode","ContactEmail","ContactPhone","Website","GMapLink","PlaceID"
"Gurukul HS jatiya vidyalaya, Nagarbera","4X7W+P6G, Mandalpara, Nagarbera, Assam 781127, India","781127","NA","NA","NA","https://maps.google.com/?cid=17034834185899251066","ChIJbat7GeyTWTcRepU0CnDjZ-w"
"sankardev jatiya vidyalaya","5MP8+PR4, Amingaon, Hajo, Guwahati, Assam 781031, India","781031","NA","NA","NA","https://maps.google.com/?cid=17429636775516621003","ChIJz3wucPpFWjcRy8jAGE2C4vE"
"Bar Luit Academy ( )","F5MP+J2G, Magurmari, No.2 Magurmari, Assam 784115, India","784115","NA","NA","NA","https://maps.google.com/?cid=7101832834233726269","ChIJjXSaLfkhWzcRPfW06lXHjmI"
"Lakhibari Jatiya Vidyalay, Golaghat","92H6+65C, Chowdang, Merapani, Assam 785603, India","785603","NA","NA","NA","https://maps.google.com/?cid=11292452619451037869","ChIJQ2ZEAm2KRjcRrfhO0dPZtpw"
"S.S. Jatiya Bidyalay","329F+GXP, Sonapur, No.2 Sonapur, Assam 787054, India","787054","NA","NA","NA","https://maps.google.com/?cid=6824779414085646603","ChIJ30Sal0O1RjcRCzn5xrd8tl4"
"Maharishi Vidya Mandir - II Public School","Panikhaiti, Guwahati, Assam-781026, Kamrup, Khankar Gaon, Assam 781026, India","781026","NA","NA","https://mvmguwahati-2.org/","https://maps.google.com/?cid=14047944288541700608","ChIJF5ixFpv3WjcRAHIBt-ZS9MI"
"Little Angel English High School","Sonapur, Gumoria Pathar, Kamrup Metropolitan, NH-37, Guwahati, Guwahati, Rewa N.C., Assam 782402, India","782402","NA","0361 291 0119","https://www.littleangelehs.in/","https://maps.google.com/?cid=11204754832111389968","ChIJV6-ulR_yWjcREE1XiydJf5s"
"Holy Hearts Academy","4X92+C2C, NH 27, Dhangiri Gaon, Sonapur Pathar, Assam 782402, India","782402","NA","NA","NA","https://maps.google.com/?cid=9156994956713962361","ChIJJQp-IY_zWjcReav6tGUuFH8"
"Radiant International School","G.B. Tamuli Commercial Complex, Sonapur, Old Market, 4X8C+R5R, Rewa N.C., Assam 782402, India","782402","NA","NA","http://radiantinternationalschool.in/","https://maps.google.com/?cid=18192605093753662122","ChIJxfIkS6DzWjcRqiomuPEdefw"
"Priyobondhu Bohumukhi Bidyalay C H A R I T Y S C H O O L S","House number 45, near Central Nursing Home), Survey, Nandanpur Path, Beltola Tiniali, Guwahati, Assam 781022, India","781022","NA","070021 06997","http://priyobondhubohumukhibidyalay.org/","https://maps.google.com/?cid=17464138579253429514","ChIJVVVVpdRYWjcRCoWYRIIVXfI"
