"SchoolName","Address","Pincode","ContactEmail","ContactPhone","Website","GMapLink","PlaceID"
"Dhumarkur Anchalik Jatiya Vidyalaya","F4H8+FWX, Katola Pathar, Assam 781325, India","781325","NA","NA","NA","https://maps.google.com/?cid=3259388944344497079","ChIJ00jEN_F5WTcRtzt91PmsOy0"
"Sweet Flower Senior Secondary Model School","Pub Mahchara Market Road. pin 781127, Assam 781127, India","781127","NA","NA","NA","https://maps.google.com/?cid=5853083400548264537","ChIJt3KV9mSPWTcRWSpqgldUOlE"
"Shankardev Sishu Bidya Niketan, Boko","X6JH+5HM, Boko, Assam 781123, India","781123","NA","NA","NA","https://maps.google.com/?cid=11496928641549992119","ChIJWWyw-DYeWjcRtwCap69LjZ8"
"Jatiya Vidyalaya, Boko","X6GH+46, Boko, Assam 781123, India","781123","NA","060001 29896","NA","https://maps.google.com/?cid=13002543351283061244","ChIJOVEs9agfWjcR_BHYnUlQcrQ"
"JATIYA BIDYALAYA BHALUKGHATA","258Q+FGV, Unnamed Road, Kamar Gaon, Jalukbari, Assam 781136, India","781136","NA","NA","NA","https://maps.google.com/?cid=5941657166968937781","ChIJ3aKRfz71WTcRNV1WjrYBdVI"
"Shankardev sishu niketan, Dhekiabari","Boko - Chamaria Rd, Dhekiabari, Pukhuripara, Assam 781123, India","781123","NA","NA","NA","https://maps.google.com/?cid=4606014442301520927","ChIJWab-1xX1WTcRH3yzR7vZ6z8"
"Jatiya Vidyalaya, Boko","X6GH+46, Boko, Assam 781123, India","781123","NA","060001 29896","NA","https://maps.google.com/?cid=13002543351283061244","ChIJOVEs9agfWjcR_BHYnUlQcrQ"
"Sankardev Shishu/Vidya Niketan, Dakuwapara","NH37, BOKO ,DAKUWAPARA, Pakharapara, Assam 781123, India","781123","NA","NA","NA","https://maps.google.com/?cid=1230475728495696321","ChIJdzD7EzweWjcRwdm53SeHExE"
"Don Bosco Higher Secondary School,Boko","X67G+WM5, Boko, Assam 781123, India","781123","NA","NA","NA","https://maps.google.com/?cid=12578754274195298150","ChIJoYNQ_BUeWjcRZldWBl62kK4"
"Kamrup Jatiya Vidyalaya, Kochpara mirza","3GQM+4HR, Mirza, Maliata, Assam 781015, India","781015","NA","NA","NA","https://maps.google.com/?cid=14555283111061998831","ChIJPVuEv45AWjcR78wXUN_A_sk"
"Divine Providence School, Hahim","V545+5WJ, Assam 781129, India","781129","NA","NA","NA","https://maps.google.com/?cid=5054405860676169389","ChIJNdTpPmT3WTcRrW5B1FnbJEY"
"St. Stephen English School","V576+2PX, Hahim Bazar, Assam 781129, India","781129","NA","NA","NA","https://maps.google.com/?cid=10763364558833842198","ChIJm044wbf3WTcRFvhRHQonX5U"
"South End English school","V539+X6X, Hahim, Assam 793119, India","793119","NA","NA","NA","https://maps.google.com/?cid=16373022553723463217","ChIJRSyXVh73WTcRMWYlvkOpOOM"
"Sankardev Sishu Niketan, Khaliha","X4GQ+9FJ, No.2 Dakshin Sakhadari, Assam 781135, India","781135","NA","NA","NA","https://maps.google.com/?cid=9519484148279258814","ChIJAbqAFnf0WTcRvq4lf2UAHIQ"
"Sankardev Sishu Niketan, Khaliha","X4GQ+9FJ, No.2 Dakshin Sakhadari, Assam 781135, India","781135","NA","NA","NA","https://maps.google.com/?cid=9519484148279258814","ChIJAbqAFnf0WTcRvq4lf2UAHIQ"
"Sankardev Bidya Mandir","W5R5+V7F, Singra, Assam 781123, India","781123","NA","NA","NA","https://maps.google.com/?cid=14806828673847240952","ChIJ58nfH572WTcR-Ki7mjpsfM0"
"Gyan Jyoti Jatiya Vidyalaya","Bagan Bazar, Bus Stop, Mirza-Rajapara Rd, Assam 781120, India","781120","NA","NA","NA","https://maps.google.com/?cid=16510326613536276481","ChIJLd9nJHYUWjcRAQCCXZR2IOU"
"Jatiya Vidyalaya, Bamunigaon","2888+9FM, Unnamed Road, Bamunigaon, Lamgaon N.C., Nijbagai, Assam 781124, India","781124","NA","NA","NA","https://maps.google.com/?cid=17647293259191301673","ChIJOa2-dxAZWjcRKTY-SbjH5_Q"
