"SchoolName","Address","Pincode","ContactEmail","ContactPhone","Website","GMapLink","PlaceID"
"Little Kingdom School","Tiloibari, 6VFX+CCW, Nepali Gaon Rd, P.O, Tiloi Nagar, Assam 785675, India","785675","NA","094354 25806","NA","https://maps.google.com/?cid=17767680663571876519","ChIJZZYm_yuuQDcRp0rHIm17k_Y"
"Moshar bhanga Jatiya Vidyalaya","8X7R+576, Golaghat - Kachomari Rd, No.2 Borjan, Assam 785603, India","785603","NA","NA","NA","https://maps.google.com/?cid=11837876726968009628","ChIJk7PJnIphRjcRnMPK1SmWSKQ"
"Don Bosco Jibon Jyoti School","FWW2+VG4, Rangajan, Dhulia Gaon, Assam 785702, India","785702","NA","NA","NA","https://maps.google.com/?cid=1506163243601322808","ChIJ1yUTNUGJRjcROGObdH335hQ"
"Golaghat Jatiya Vidyalaya","GX6P+6R2, Dhodar Ali Rd, Golaghat, Assam 785621, India","785621","NA","03774 284 233","https://www.golaghatjatiyavidyalaya.org/","https://maps.google.com/?cid=5694751467996368394","ChIJSSOLSH-ORjcRCs4OvknSB08"
"DOYANG LP SCHOOL","Gari Gaon Kachamari, 72PQ+5XX, Sibangpara, Assam 785603, India","785603","NA","NA","NA","https://maps.google.com/?cid=11458298051196350658","ChIJGYsrT9phRjcRwvAbcF4NBJ8"
"Klirdap High School","Taralangso Road, Dillaji, 782460, Diphu, Assam 782460, India","782460","NA","NA","NA","https://maps.google.com/?cid=1215450511157579845","ChIJ93liFsHsRTcRRVCd18wl3hA"
"Mt. View English School","XH8V+649, Vothatlangso Rd, Baithalangso, Assam 782450, India","782450","NA","NA","NA","https://maps.google.com/?cid=16094267333446483071","ChIJOSTdyfZIRTcRfzxAYt5SWt8"
"Bokajan Higher Secondary School","Ward No. 1, Bokajan, Sukhanjan, Assam 782490, India","782490","NA","NA","NA","https://maps.google.com/?cid=7939514422490264432","ChIJLVm6V6d1RjcRcHOfSU3SLm4"
"Discovery Senior Secondary School","Pucca ali road, Bokajan, Assam 782480, India","782480","NA","099541 23478","NA","https://maps.google.com/?cid=16114574010137481218","ChIJhTEEI-B0RjcRApD8_K53ot8"
"Balijan Govt.English L.P. School","P.O. Karagaon Dist., WM8X+4PQ, Borlengri, Assam 782480, India","782480","NA","094353 97494","NA","https://maps.google.com/?cid=4831128065726113331","ChIJg2am6HbhRTcRM2YGHmGdC0M"
