"SchoolName","Address","Pincode","ContactEmail","ContactPhone","Website","GMapLink","PlaceID"
"Adarsha Vidya Niketan An English Medium School","RQXF+R97, Ramnagar, Tarapur Pt VII, Silchar, Assam 788003, India","788003","NA","NA","http://adarshavidyaniketan.iedu.website/","https://maps.google.com/?cid=3483778183337114347","ChIJh1y_VGE1TjcR63oQxszdWDA"
"Isabheel Tea Estate","C854+C5R, Karimganj, Assam 788727, India","788727","NA","NA","NA","https://maps.google.com/?cid=3748805853232635301","ChIJMS7R-P7lUTcRpR3WvQ9vBjQ"
"Anipur Adarsha Vidyaniketan","GCXG+RX2, Amarkhal, Assam 788734, India","788734","NA","096139 57979","NA","https://maps.google.com/?cid=4751912864879178341","ChIJPZq-WqnfUTcRZXK76pIv8kE"
"AnglarBazar Adarsha Vidyapith","Harinadik, Po, Anglarbazar, Dist, Goabari, Assam 788701, India","788701","NA","NA","NA","https://maps.google.com/?cid=11390513372462550313","ChIJ0R7Rn8grTjcRKY33DpA7E54"
"Rowland's Memorial High School","V983+XV5, Church Rd, Karimganj, Assam 788710, India","788710","NA","03843 261 005","https://rowlands.co.in/","https://maps.google.com/?cid=9340716866776711107","ChIJezAvcTzTUTcRw7-5R4DkoIE"
"LITTLE FLOWER SCHOOL","VHC6+GV7, Karimganj - Silchar Rd, Badarpur, Chapra, Assam 788806, India","788806","NA","NA","NA","https://maps.google.com/?cid=4939543492078000227","ChIJtdInPQAtTjcRY9jmnaLIjEQ"
"ADARSHA VIDYAPITH","Moina, Patharkandi, Haitorkha Pt I, Assam 788724, India","788724","NA","NA","NA","https://maps.google.com/?cid=4709105285782190226","ChIJSSf2ZfraUTcRkjj2uE4aWkE"
"LP school","526 No, LP School, Barantar, Karimganj, Assam 788710, India","788710","NA","070057 18914","NA","https://maps.google.com/?cid=8646304024137703294","ChIJNf5_COgrTjcRfh_CKrPX_Xc"
"Pallimangal High School","Suprakandi P.O. Girishganj Bazar, Ranigram Pt I, Assam 788711, India","788711","NA","NA","NA","https://maps.google.com/?cid=16007169979534590255","ChIJM1eckv3TUTcRL8F0aUnkJN4"
"Al Hira National Senior Secondary School","Village Khadiman , Post office Bardarpur Ghat Dist, Badarpur, Assam 788803, India","788803","NA","NA","NA","https://maps.google.com/?cid=9563378791850366331","ChIJ5bdZ6sgsTjcRe9W-nFfyt4Q"
"Kurban Ali L.P School","Q962+FCV, Nilambazar, Farampasha Pt II, Assam 788722, India","788722","NA","NA","NA","https://maps.google.com/?cid=16869155113226180077","ChIJP5rfTgDRUTcR7ZXP6DJHG-o"
"Nabajagaran Bidyaniketan","RFWV+79F, Mahakal Pt I, Assam 788701, India","788701","NA","NA","NA","https://maps.google.com/?cid=5448352292814513752","ChIJX8AfDvsqTjcRWOZkMItvnEs"
"Kushiyara Shikha Sadan","VF8W+5P9, Kandigram Chaita, Assam 788806, India","788806","NA","NA","NA","https://maps.google.com/?cid=8841414777662655679","ChIJrUF0ib0rTjcRv8x4fuUDs3o"
"Amirul Talukdar","Q89H+2FG, Sahapur, Karimganj, Brahmanshasan Pt, Assam 788722, India","788722","NA","NA","NA","https://maps.google.com/?cid=7123814305458013471","ChIJcQGQgp7RUTcRH8WrAl7f3GI"
"Netaji Vidyapith School","VG69+GQR, Srigouri, Assam 788806, India","788806","NA","080115 54363","NA","https://maps.google.com/?cid=8240317585067919960","ChIJrTwLvwsrTjcRWMpgPi99W3I"
"Saraswati Vidya Niketan","Banka Dutta Rd, Karimganj, Assam 788710, India","788710","NA","094013 75466","https://svnkarimganj.ac.in/","https://maps.google.com/?cid=3360243534735708143","ChIJdVMu2kbTUTcR74-5BrH7oS4"
"Gurucharan Jr College","VF5F+78C, Mahakal Pt I, Assam 788701, India","788701","NA","NA","NA","https://maps.google.com/?cid=363944834689396227","ChIJqbgvT5YqTjcRA-5_Heb9DAU"
"Talent Academy, Bhanga","Bhanga Bazaar, Mahakal Pt I, Assam 788701, India","788701","NA","NA","NA","https://maps.google.com/?cid=5287826256623871008","ChIJD_nSapUqTjcRIKQM3PYhYkk"
"Royal Higher Secondary School, Bhanga Bazar","VF4G+WJ4, Karimganj, Mahakal Pt I, Assam 788710, India","788710","NA","NA","NA","https://maps.google.com/?cid=11558999136721497719","ChIJGZtVMgArTjcRd-5U_3jQaaA"
"Bhanga Higher Secondary School","VF5H+66J, Mahakal Pt I, Assam 788701, India","788701","NA","NA","NA","https://maps.google.com/?cid=5847443315295691729","ChIJP_C0p5UqTjcR0aNu1LZKJlE"
"KARIMGANJ MARKAZ ACADEMY","W Kanishail Rd, Kanishail, Assam 788711, India","788711","NA","094359 12511","http://www.markazacademy.in/","https://maps.google.com/?cid=16251046089744450368","ChIJm0CK3pDTUTcRQAO4H1FQh-E"
"M A Choudhury Memorial High School","J7CR+V8C, Defalala, Patharkandi, Longai T.E., Assam 788724, India","788724","NA","NA","NA","https://maps.google.com/?cid=16006106650592132066","ChIJ609WHenFUTcR4ruP2TEdId4"
"Gyanjyoti Adarsha Vidyalaya","W735+X32, Lafasail Pt II, Assam, India","NA","NA","NA","NA","https://maps.google.com/?cid=3030229215393269944","ChIJ4wWhJSIzUDcRuMiGo2qJDSo"
"Gurukul High School","V97C+8X3, Karimganj, Assam 788710, India","788710","NA","NA","NA","https://maps.google.com/?cid=7313895469686595711","ChIJ9yO-OF3TUTcRfyAC0y0tgGU"
"National High School Shiberchak","RF63+55J, Ghoramara Pt II, Assam 788701, India","788701","NA","NA","NA","https://maps.google.com/?cid=6240958988979440936","ChIJz5Jp1vjVUTcRKI3mayJXnFY"
"Al-Islah national academy","Gorkhapon, Srinagar Colony, Badarpur, Assam 788806, India","788806","NA","080995 15019","http://alislahacademy.com/","https://maps.google.com/?cid=16556573156790073487","ChIJUVVVVcEsTjcRj3g9zJDDxOU"
"St. Antony's School Badarpur","VH93+GGR, Badarpur, Assam 788806, India","788806","NA","NA","NA","https://maps.google.com/?cid=4832153104749252189","ChIJIYwr_rAtTjcRXU7hnKVBD0M"
"LP school","526 No, LP School, Barantar, Karimganj, Assam 788710, India","788710","NA","070057 18914","NA","https://maps.google.com/?cid=8646304024137703294","ChIJNf5_COgrTjcRfh_CKrPX_Xc"
"Adarsha Vidyalaya School Badarpur","VH92+4H4, Chapra, Badarpur, Assam 788806, India","788806","NA","NA","NA","https://maps.google.com/?cid=1454730357176183151","ChIJr_Vx_bosTjcRb6l2Z409MBQ"
"Central Public School","VG7P+35C, Srigouri, Assam 788806, India","788806","NA","03843 268 714","http://www.erdf.edu.in/","https://maps.google.com/?cid=1771509915209301602","ChIJJ1zNZl4rTjcRYv4hzOGqlRg"
"Badarpur vidyaniketan","VHF4+5RG, Mission Road, Badarpur, Chapra, Assam 788806, India","788806","NA","NA","NA","https://maps.google.com/?cid=13144594149928061690","ChIJp35DfwAtTjcR-sojf7z6arY"
"Al Ameen Academy, Badarpur.","Dawat Nagar, Badarpur, Assam 788806, India","788806","NA","088227 89998","https://alameenbadarpur.in/","https://maps.google.com/?cid=9847737965775385993","ChIJz2qYVrcsTjcRiXUrG4Exqog"
"Adarsha Vidyalaya, Lowairpoa","H827+9FH, Shillong - Agartala - Sabrum Rd, Ankapai Punjee, Assam 788726, India","788726","NA","03843 262 101","http://www.avlowairpoa.in/","https://maps.google.com/?cid=293759321220979254","ChIJPyKkSybdUTcRNhrW1oukEwQ"
