"SchoolName","Address","Pincode","ContactEmail","ContactPhone","Website","GMapLink","PlaceID"
"Shankardev Shishu Vidya Niketan","97VF+QFR, Kokrajhar, Assam 783370, India","783370","NA","NA","NA","https://maps.google.com/?cid=9504274319457751849","ChIJTeTDnUdgWDcRKZMlQyP35YM"
"THE REALITY PUBLIC SCHOOL","P.O. Chandrapara, Kokrajhar, BTAD, C7C3+73H, Chandamari, Assam 783370, India","783370","NA","094352 93000","http://www.realitypublicschool.com/","https://maps.google.com/?cid=13271204249401420945","ChIJB1gtIHiKWDcRkew5c_PJLLg"
"Gurukul English Medium School,Sakti Ashram","C54C+9QM, Fakiragram - Serfanguri Rd, Tapapara, Assam 783370, India","783370","NA","NA","NA","https://maps.google.com/?cid=15233774136498089463","ChIJS1Fmgi1jWDcR922Aet08adM"
"UN Academy, Jharbari","J6CR+JXH, Jharbari, Genduguri, Assam 783370, India","783370","NA","NA","NA","https://maps.google.com/?cid=15503396346522230101","ChIJY8GZgWqTWDcRVd2LLtYgJ9c"
"Shankardev Shishu Vidya Niketan","97VF+QFR, Kokrajhar, Assam 783370, India","783370","NA","NA","NA","https://maps.google.com/?cid=9504274319457751849","ChIJTeTDnUdgWDcRKZMlQyP35YM"
"U.N.Academy College kokrajhar west campus","C6JJ+XP2, Kumguri, Assam 783370, India","783370","NA","NA","NA","https://maps.google.com/?cid=8635551543742027995","ChIJvYa7R8SLWDcR29hRPGCk13c"
"SV Rising Sun School","956J+8XC, SH 5, Fakiragram, Karaitari, Assam 783345, India","783345","NA","NA","NA","https://maps.google.com/?cid=8940695908908618697","ChIJV96fBwZjWDcRyVNJL4-7E3w"
"Tinytots E.M School","govt hospital road, P22C+55R, Sullurupeta, Andhra Pradesh 524121, India","524121","NA","NA","https://tinytotsonline.in/","https://maps.google.com/?cid=17216690627889935020","ChIJ5-xMB7B0TToRrDIte-j47e4"
"Dream Flower English Medium School","95CG+XGJ, Kharida Chandala II, Assam 783345, India","783345","NA","NA","NA","https://maps.google.com/?cid=3766913148720837418","ChIJOaNd8_RjWDcRKvNAAY3DRjQ"
"LAIMWN SWRANG ACADEMY, BANARGAON","F68F+C73, Banghshidharma, Assam 783347, India","783347","NA","NA","NA","https://maps.google.com/?cid=15747184142312160890","ChIJuZ5hV_6JWDcRej4ul4s8ido"
"Sankar Ajan Jatiya Bidyalay","956M+5W9 sankar Ajan Jatiya Bidyala, Fakiragram, Karaitari, Assam 783345, India","783345","NA","080116 38611","NA","https://maps.google.com/?cid=2701615751958475724","ChIJFaNg1AdjWDcRzLMVbzYRfiU"
"Mahatma Gandhi Jatiya Vidyalaya(PVT)","94JJ+H9P, Mohisbathan, Assam 783337, India","783337","NA","NA","NA","https://maps.google.com/?cid=11879603458282856467","ChIJTfLGIAB9WDcRE6Bzi2fU3KQ"
"Gurudev Kalicharan Institute of Training and Management","C62X+6C2, Kokrajhar - Monakosha Rd, Kokrajhar Bagicha, Assam 783370, India","783370","NA","NA","NA","https://maps.google.com/?cid=8848512200936270390","ChIJJemq5dhhWDcRNiqEH_c6zHo"
"U.N academy","C728+HMJ, Kokrajhar, Assam 783370, India","783370","NA","NA","http://unak.in/","https://maps.google.com/?cid=791752873849647240","ChIJ4ZSnCXphWDcRiPCzOwvf_Ao"
