"SchoolName","Address","Pincode","ContactEmail","ContactPhone","Website","GMapLink","PlaceID"
"Bihpuria Jatiya Vidyalaya","2W55+GMR, Gosaipathar No.2, Assam 784161, India","784161","NA","095770 99649","NA","https://maps.google.com/?cid=11924954716706866228","ChIJxYlWyeOxRjcRNITuOyLzfaU"
"Bapuji Little Flower English Medium School","College Rd, near Bihpuria Collegiate HS School, Lakhimpur, Bihpuria, Assam 784161, India","784161","NA","093651 64965","NA","https://maps.google.com/?cid=15963993781406329514","ChIJEcQxXeGxRjcRqupEacN_i90"
"Sankardev Sishu Vidya Niketan","XV23+PJ5, NH 52, Narayanapur, Badulahati, Assam 784164, India","784164","NA","NA","NA","https://maps.google.com/?cid=1614874811336970283","ChIJ30xc6m2vRjcRK1B3vhUwaRY"
"Diksha Vidyabhawan","2W96+MXP, Bihpuria, Assam 784161, India","784161","NA","NA","https://dikshavidyabhawan.com/","https://maps.google.com/?cid=11725429228202686409","ChIJL4sjDPuxRjcRyfcAUsIXuaI"
"Prajnaa Academy","2W86+2X8, Bihpuria, Assam 784161, India","784161","NA","NA","NA","https://maps.google.com/?cid=12033328062028084379","ChIJtRFjzMaxRjcRm3Ts-h34_qY"
"Dikrong National Senior Secondary School, Bihpuria","2W67+Q3G, Bihpuria, Assam 784161, India","784161","NA","NA","NA","https://maps.google.com/?cid=2612621107522003084","ChIJRaj16-SxRjcRjGCJFg7lQSQ"
"Harmutty Jatiya Bidyalaya (হাৰমতি জাতীয় বিদ্যালয়)","Assam Jatiya Vidyalaya, NH-52, Harmoti, Harmoti Gaon, Assam 784160, India","784160","NA","NA","NA","https://maps.google.com/?cid=15812697860757460373","ChIJF2cRas2sRjcRlRUH0-z8cds"
"Dinabandhu Adarsha Vidayalaya","Bongalmara , Islamgoan, 3X43+GH2, Bangalmara Thengal, Assam 787054, India","787054","NA","NA","NA","https://maps.google.com/?cid=9605454856206683576","ChIJ2aoWE1qzRjcRuA1AwkxuTYU"
"Sankardev Shishu Niketan","near Public Health Office, opposite National Highway 15, Lakhimpur, Gogamukh, Assam 787056, India","787056","NA","091018 08961","NA","https://maps.google.com/?cid=5055589332136467672","ChIJY9HZqTIiQTcR2Jw_QLYPKUY"
"Lakhimpur Markaz Academy","Lakhimpur Markaz Academy , Karunabari , P.O, Laluk, Karunabari No.2, Assam 784160, India","784160","NA","084868 89902","https://lma.net.in/","https://maps.google.com/?cid=17840917288084335875","ChIJL_dtEYKzRjcRA21kj7-rl_c"
"Gita Academy (Residental).","4VFQ+FV6, No.302 N.L.R Grant, Assam 784160, India","784160","NA","NA","NA","https://maps.google.com/?cid=6417544118550214995","ChIJXdGVQrRSQTcRUzmVzF-yD1k"
