"SchoolName","Address","Pincode","ContactEmail","ContactPhone","Website","GMapLink","PlaceID"
"Sri Sri Aniruddhadeva Junior College","FWGJ+MQ9, Dibrugarh, Assam 786001, India","786001","NA","0373 232 1383","NA","https://maps.google.com/?cid=10337699694697144418","ChIJb8slF2OYQDcRYmAW0Rnjdo8"
"SANKAR DEV SISHU NIKETAN ,BONGAON.","X77M+FQ3, KB Rd, Dhowachala Gaon, Assam 785106, India","785106","NA","NA","NA","https://maps.google.com/?cid=18229923271215505186","ChIJX7FiLtvRRjcRIl9t_6Cy_fw"
"Girls High School","X72P+XG8, Bon Gaon, Assam 785106, India","785106","NA","NA","NA","https://maps.google.com/?cid=15616455874585677766","ChIJq_iYT7HRRjcRxs893-DLuNg"
"Holy Island School","Garamur Satra, Krishna Chandra Dev Path, Garamur, Majuli, Kaibortta Gaon, Assam 785104, India","785104","NA","NA","NA","https://maps.google.com/?cid=7684789560807332099","ChIJldyrGi3JRjcRAxmNyWPbpWo"
"SANKAR DEV SISHU NIKETAN ,BONGAON.","X77M+FQ3, KB Rd, Dhowachala Gaon, Assam 785106, India","785106","NA","NA","NA","https://maps.google.com/?cid=18229923271215505186","ChIJX7FiLtvRRjcRIl9t_6Cy_fw"
"Vivekananda Kendra Vidyalaya, Majuli","W5X6+2H9, Kamalabari Chariali, Assam 785106, India","785106","NA","03775 291 894","http://vkvmajuli.blogspot.com/","https://maps.google.com/?cid=11649328428809633863","ChIJadkDBEjPRjcRR8AON3y6qqE"
"ISLAND ACADEMY JUNIOR COLLEGE","W5WC+8C8, Jorhat, Kathanibari, Assam 785106, India","785106","NA","NA","NA","https://maps.google.com/?cid=631578284545810037","ChIJo73yTeDPRjcRdR40ghrRwwg"
"Namoni majuli jatiya vidyalaya","W2HJ+XP7, Majuli, Malapindha Chilakola Miri, Assam 785108, India","785108","NA","NA","NA","https://maps.google.com/?cid=17407012151646882435","ChIJS8W1rU63RjcRgwrSW1MhkvE"
"Sri Sri Gnan Mandir.majuli","29W4+2RV, Bheuchuk, Assam 785105, India","785105","NA","NA","NA","https://maps.google.com/?cid=13082295812226752350","ChIJNelY0LLVRjcRXh9bbrqmjbU"
"Sankardev Shishu Niketon Phulani","27PF+RMM, Karki Chuk Lahon Gaon, Assam 785104, India","785104","NA","NA","NA","https://maps.google.com/?cid=17690855532380417023","ChIJo52aSzXSRjcR_-tJZGCLgvU"
"JAMUDCHUK LAHAN JANAJATI HS","26RM+HFW, Selek Rd, Nagan Chuk, Natun Pohardia, Assam 785104, India","785104","NA","NA","NA","https://maps.google.com/?cid=10662397178594676357","ChIJDXO5YQDTRjcRhU5D_L1x-JM"
"Majuli Janajati Junior College( মাজুলী জনজাতি কণিষ্ঠ মহাবিদ্যালয় )","Jomud chuk PO Jakaibowa District Majuli State, Natun Pohardia, Assam 785104, India","785104","NA","NA","NA","https://maps.google.com/?cid=10667161540661878930","ChIJt2PTn4rNRjcRkiDceOdeCZQ"
"ECOLAND ACADEMY","27R7+2R3, Karki Chuk, Assam 785104, India","785104","NA","NA","NA","https://maps.google.com/?cid=9570405093281916504","ChIJ5UQfZYzTRjcRWGao5bno0IQ"
"Jonaki Jatiya Bidyalaya","W3RH+F39, Chilakala Goan, Alengi Gaon, Assam 785104, India","785104","NA","NA","NA","https://maps.google.com/?cid=4222824835801396461","ChIJkVgK98fJRjcR7bSjjtB8mjo"
