"SchoolName","Address","Pincode","ContactEmail","ContactPhone","Website","GMapLink","PlaceID"
"Nayan Jyoti jatiya vidyalaya","Bhoira Guri Bangali, Assam 784112, India","784112","NA","NA","NA","https://maps.google.com/?cid=10015653542788857242","ChIJl3BBDxAzWzcRmv1P-9S__oo"
"Nagabandha Jatiya Bidyalay","89WH+M22, Nagabandha, Assam 782127, India","782127","NA","NA","NA","https://maps.google.com/?cid=11643145315217578602","ChIJzR6HX4HWWjcRahrM5fnClKE"
"SanSkriti Vidyapeeth","Silsaku, Bagharapathar, Assam 782105, India","782105","NA","094358 83345","http://www.sanskritividyapeethmorigaon.com/","https://maps.google.com/?cid=14020569230639136160","ChIJ4xR5BLTaWjcRoH0EXW4Rk8I"
"Sheikh Brothers Jatiya Viddalaya","99QM+W2H, Belabori, Assam 782127, India","782127","NA","NA","NA","https://maps.google.com/?cid=8455220892411908036","ChIJJZI1E_3VWjcRxE-snZr6VnU"
"Sankar Ajan Vidyapith, Moirabari","Moirabari, Assam 782126, India","782126","NA","NA","NA","https://maps.google.com/?cid=421645187955351228","ChIJlSkZNQErWzcRvN5UgRD82QU"
"Moirabari English Academy","FC47+8GV, Mairabari Town, Assam 782126, India","782126","NA","NA","NA","https://maps.google.com/?cid=5846456245248282988","ChIJ71_eV4krWzcRbFHjrPrIIlE"
"Moirabari English Academy","FC47+8GV, Mairabari Town, Assam 782126, India","782126","NA","NA","NA","https://maps.google.com/?cid=5846456245248282988","ChIJ71_eV4krWzcRbFHjrPrIIlE"
"Sankar Ajan Vidyapith, Moirabari","Moirabari, Assam 782126, India","782126","NA","NA","NA","https://maps.google.com/?cid=421645187955351228","ChIJlSkZNQErWzcRvN5UgRD82QU"
"Moirabari Jatiya Vidyalaya","FC48+5X5, Mairabari Town, Assam 782126, India","782126","NA","NA","NA","https://maps.google.com/?cid=16963813698805420086","ChIJ2ZAiGlgrWzcRNtAzUa6Sa-s"
"AL-FALAH MODEL SCHOOL MOIRABARI","CCWF+5RV, Moirabari, Mairabari Town, Assam 782126, India","782126","NA","NA","NA","https://maps.google.com/?cid=15032077895058964498","ChIJ4QwjSgQrWzcREsD9wjOrnNA"
"Laharighat Jatiya Vidyalay","C8CV+PV4, Barkhabal, Assam 782126, India","782126","NA","NA","NA","https://maps.google.com/?cid=13070118298590854681","ChIJ80VHWsopWzcRGT7XF1hjYrU"
"Laharighat New Global School","5, Laharighat, Raja Gadhowa, Assam 782127, India","782127","NA","099572 59034","NA","https://maps.google.com/?cid=9330583046230660515","ChIJkTel5aYpWzcRo1XcUdjjfIE"
"Tinisukia Jatiya vidyalaya","C853+WX3, Mohmari Pather, Assam 782127, India","782127","NA","NA","NA","https://maps.google.com/?cid=11008094040122071372","ChIJLzm91TUpWzcRTBmSwzSbxJg"
