"SchoolName","Address","Pincode","ContactEmail","ContactPhone","Website","GMapLink","PlaceID"
"Dhupaguri Kalani Bosti Rasutipar Girls High School","Dhupaguri, Nagaon, SH-47, Nagaon, Nagaon, Dhupa Guri Gaon, Assam 782123, India","782123","NA","NA","NA","https://maps.google.com/?cid=199184629643378755","ChIJXReovsnVRDcRQ4Cchl2lwwI"
"DHUPAGURI MODERN ENGLISH SCHOOL'S HOSTEL","CGQ7+P83, Dhupa Guri Kachari Gaon, Assam 782122, India","782122","NA","NA","NA","https://maps.google.com/?cid=12305362795134365792","ChIJnwt156DVRDcRYLBK_ENuxao"
"Dhupaguri J Ahmed Jatiya Vidyalaya","Dhupaguri, Nagaon, SH-47, Nagaon, Nagaon, Dhupa Guri Kachari Gaon, Assam 782123, India","782123","NA","NA","NA","https://maps.google.com/?cid=3407254641759943579","ChIJzbI5nrHVRDcRm_tmVQsASS8"
"Ramanujan Senior Secondary School","9M4P+3JR, BM Rd, Amolapatty, Nagaon, Assam 782001, India","782001","NA","094351 62455","http://ramanujanjuniorcollege.com/","https://maps.google.com/?cid=10060809949844281005","ChIJlSSNsSUnRTcRrRYvTVgtn4s"
"Navajagaran jatiya Vidyalya","CGQ7+J32, Dhing Rd, Saharia Gaon, Dhupa Guri Kachari Gaon, Assam 782123, India","782123","NA","NA","NA","https://maps.google.com/?cid=8293375039430183055","ChIJOdbQGfbVRDcRj8hTfqj8F3M"
"Batamari Gyandeep Senior Secondary School","CH66+PRQ, Batamari Santijan Raod, Bordua, Bhumura Guri, Assam 782122, India","782122","NA","NA","NA","https://maps.google.com/?cid=1691705680674927402","ChIJqYAzIADXRDcRKrMjgVolehc"
"BECHAMARI DR.A.B. SIDDIQUE JATIYA VIDYALAYA","MARKET, Tiniali, Amtala, Bechamari, Assam 782123, India","782123","NA","NA","NA","https://maps.google.com/?cid=10495963630971779475","ChIJI5ZkNlTVRDcRk_l9908nqZE"
"Gyandeep Bidyapith","Bechamari Amtola, Rd, Dhing, Bechamari, Assam 782123, India","782123","NA","099546 01094","https://gyandeepvidyapith.in/","https://maps.google.com/?cid=14283360976984631501","ChIJT2Kjp1TVRDcRzWjYzyGxOMY"
"Nav Jagaran Vidyapith , Bechamari","CF27+M86, Bechamari, Assam 782123, India","782123","NA","NA","NA","https://maps.google.com/?cid=5035607583275785280","ChIJ42h8gSTVRDcRQJxqzWoS4kU"
"Niz Dhing Adarsha Jatiya Vidyalaya","Nizdhing, 782123, Niz-Dhing, Hatimuria, Assam 782126, India","782123","NA","NA","NA","https://maps.google.com/?cid=16739423584244123299","ChIJhzWy-SIrWzcRo8aqgw9hTug"
"Brahmaputra Valley Jatiya Bidyalaya","Jaramari Udhantola, FGP5+PP8, Aphala Pathar, Khairamari, Assam 782122, India","782122","NA","NA","NA","https://maps.google.com/?cid=8370545638867653334","ChIJe4XOeLHVRDcR1tLm1OgmKnQ"
"Kandhulimari","Kandhulimari, Assam, India","NA","NA","NA","NA","https://maps.google.com/?q=Kandhulimari,+Assam,+India&ftid=0x3744d769e2eba3b1:0x384e0e144597b393","ChIJsaPr4mnXRDcRk7OXRRQOTjg"
"Katahguri A. U high School","9FJX+3FQ, Katah Guri Pam, Assam 782123, India","782123","NA","NA","NA","https://maps.google.com/?cid=3040471952345149972","ChIJ_UrM9IkqRTcRFDISrSHtMSo"
"Rowmari Moiradhaj Adarsha Jatiya Vidyalaya","9FJ9+5GH, Maira Dhaj, Assam 782123, India","782123","NA","NA","NA","https://maps.google.com/?cid=3003010572889728121","ChIJdz9knmMrRTcReaTVlTTWrCk"
"Shalkati Hazi Sultan Ali Jatiya Vidyalay","CCJQ+2JC, Salkati Pathar, Assam 782126, India","782126","NA","NA","NA","https://maps.google.com/?cid=9628582878834473350","ChIJlwdUzfUrWzcRhjlWJx2Zn4U"
"Pub Moiradhaj LP School","9FF7+7HM, Maira Dhaj, Borigaon, Assam 782123, India","782123","NA","NA","NA","https://maps.google.com/?cid=8809818707071214738","ChIJM7Y1_d4rRTcRkiSSCnDDQno"
"Al-Ameen Academy Moiradhaj","9FJ6+4XP, Maira Dhaj, Assam 782123, India","782123","NA","NA","NA","https://maps.google.com/?cid=14875400245031396521","ChIJZYIHzIorRTcRqeTaqLUJcM4"
"Damayanti Bala Memorial English Academy(Batadrava)","CH92+3G9, Borduwa Balikatia, Road, Bordua, Batadraba Saruhisa, Assam 782122, India","782122","NA","NA","NA","https://maps.google.com/?cid=6452448977348022726","ChIJ18ZGKwDXRDcRxlEpiii0i1k"
"Rabia Model Markaz Academy","Chalapather, Rabia model, Lalung Gaon, Kadamani Gaon, Assam 782122, India","782122","NA","NA","NA","https://maps.google.com/?cid=15742568173709090422","ChIJZ2Vz_RHXRDcRdt5MpljWeNo"
"Iqra Academy of Nursing","Haibargaon, Fauzdaripatty, Nagaon, Assam 782001, India","782001","NA","098646 49699","https://iqranursing.org/","https://maps.google.com/?cid=16090018621040452509","ChIJMYWNHUsnRTcRnWOJ8K86S98"
"Shankardev Shishu Niketan, Doomni","P864+R6H, Nathkuchi - Doomni Rd, Tihu Chowk, Nityananda, Pahala Simalu Bari, Subansri, Assam 781355, India","781355","NA","091012 70611","NA","https://maps.google.com/?cid=2111140263461825198","ChIJR5DrpRPcWzcRrqqqYuJGTB0"
