"SchoolName","Address","Pincode","ContactEmail","ContactPhone","Website","GMapLink","PlaceID"
"Assam Academy Nalbari","CCQV+Q4M, Santipur, Nalbari, Majdia, Assam 781335, India","781335","NA","NA","NA","https://maps.google.com/?cid=7411051953437063453","ChIJv52gOp7MWzcRHbmUeHxY2WY"
"T.A.B Memorial Jatiya Vidyalaya","near Primary Health Centre, Chukhafa Nagar, Notboma, Guwahati, Assam 781038, India","781038","NA","098842 03714","NA","https://maps.google.com/?cid=17718118141413371755","ChIJ31z2iLlZWjcRay9ZM5Nm4_U"
"Sankardev Sishu Vidya Niketan, Nalbari","Circuit house road,, Sankardev High School, Nalbari, Assam 781335, India","781335","NA","NA","NA","https://maps.google.com/?cid=2419726658383825853","ChIJN9-oz5DMWzcRvcuCVpOYlCE"
"Sankar Ajan Jatiya Vidyalaya","Rangia latibari roadnear baksa dist markaz masjid khandikar khandikar, Fourabari, Assam 781354, India","781354","NA","080114 28107","NA","https://maps.google.com/?cid=3236061375439028592","ChIJaUZ7nFGyWzcRcMFn8qzM6Cw"
"TILARDIA LPS (EGS)","P.O- Lawpara, Dist, Vill, Tilardia, No.2.Barbala, Assam 781102, India","781102","NA","NA","NA","https://maps.google.com/?cid=8354635849150329690","ChIJD0xvyM8xWjcRWnNZQAqh8XM"
"Sankardev Shisu Niketan Doulasal","769G+7R9, Doulashal, Roumari Gaon, Assam 781305, India","781305","NA","NA","NA","https://maps.google.com/?cid=18008843154277924892","ChIJzY29cjQoWjcRHAB2Em9D7Pk"
"Sankardev Sishu Vidya Niketan, Nalbari","Circuit house road,, Sankardev High School, Nalbari, Assam 781335, India","781335","NA","NA","NA","https://maps.google.com/?cid=2419726658383825853","ChIJN9-oz5DMWzcRvcuCVpOYlCE"
"Adarsha Jatiya Bidyalaya and orphanage","77G6+JHV, Rampur, No.3.Larkuchi, Assam 781312, India","781312","NA","NA","NA","https://maps.google.com/?cid=9090793891592179747","ChIJb0GR6uopWjcRI5CkGuH8KH4"
"Hazrat Ali(R) Model Academy","77C7+FG3, path, No.2.Larkuchi, Rampur, Assam 781312, India","781312","NA","080112 67389","NA","https://maps.google.com/?cid=6140415577126012893","ChIJ74OpbOIoWjcR3QffH28jN1U"
"Luitvalley Adarsha jatiya Vidyalaya","Larkuchi ,Nalbari, 77GG+98P, Rampur Bus stand, Nalbari, No.3.Larkuchi, Assam 781138, India","781138","NA","NA","NA","https://maps.google.com/?cid=10964523641783000795","ChIJSQFjwiYpWjcR2x7Z3yjQKZg"
"G B L C Jatiya Biddalaya,Ghoga","7CP2+PXQ, No.3.Bhelamari, Assam 781126, India","781126","NA","NA","NA","https://maps.google.com/?cid=8016994845335988977","ChIJAfGep0oxWjcR8apjAlYWQm8"
"Nevard Special School Of Deaf & Dumb","3GX2+QX6, Bijoynagar, Assam 781122, India","781122","NA","NA","NA","https://maps.google.com/?cid=1386398379669706233","ChIJfZeIaKA_WjcR-dVjGft5PRM"
"Oxford Public School","No.3.Larkuchi, Assam 781312, India","781312","NA","NA","NA","https://maps.google.com/?cid=7209603275686120512","ChIJjaGsAlkpWjcRQIzDKvunDWQ"
"KB Milanjyoti Jatia vidyalaya","77GX+J6Q, Bonpura, Assam 781312, India","781312","NA","NA","NA","https://maps.google.com/?cid=16263651858645945391","ChIJK_YJ3t8vWjcRL4w2aTIZtOE"
"Gyanpeeth Jatiya Vidyalaya","30, Fatick Chandra Rd, Latasil, Uzan Bazar, Guwahati, Assam 781001, India","781001","NA","NA","NA","https://maps.google.com/?cid=14669056193861678227","ChIJGwYML4pZWjcRk3ReaeP0kss"
"Sankardev Sishu Vidya Niketan, Nalbari","Circuit house road,, Sankardev High School, Nalbari, Assam 781335, India","781335","NA","NA","NA","https://maps.google.com/?cid=2419726658383825853","ChIJN9-oz5DMWzcRvcuCVpOYlCE"
"CENTRAL PUBLIC SCHOOL,KANDHABARI","79PJ+7FP, SONIROAD, KANDHABARI, Chanda, Laupara, Assam 781126, India","781126","NA","078967 43973","NA","https://maps.google.com/?cid=8377745325584300740","ChIJf-IBfcYxWjcRxDokhvy6Q3Q"
"Pub-Barkhetri Anchalik Jatiya Vidyalaya","7CVC+4XR Loharkatha, Road, Arikuchi, Satemari, Assam 781126, India","781126","NA","NA","NA","https://maps.google.com/?cid=12228972969888990882","ChIJ8dtPzcYxWjcRokYWzh8Ktqk"
"Madinatul Uloom Islamia Madrasa","36XX+4CH, Muhimari Bilar Pathar, Assam 781137, India","781137","NA","NA","NA","https://maps.google.com/?cid=15412466590570244263","ChIJ5WBy-eIgWjcRp-iDk7QU5NU"
"NATIONAL PUBLIC SCHOOL","7CQH+V25, Loharkhatha, Adabari, Assam 781120, India","781120","NA","NA","NA","https://maps.google.com/?cid=7073915878007978471","ChIJM-BB-AsxWjcR5zmpBwOZK2I"
"Sankardev Sishu Vidya Niketan, Nalbari","Circuit house road,, Sankardev High School, Nalbari, Assam 781335, India","781335","NA","NA","NA","https://maps.google.com/?cid=2419726658383825853","ChIJN9-oz5DMWzcRvcuCVpOYlCE"
"Pragjyotish Jatiya Vidyalaya & Junior College","Dhamdhama Rd, Milanpur, Assam 781337, India","781337","NA","NA","http://www.facebook.com/pragjyotishjvjc.nlb14","https://maps.google.com/?cid=15425340676270840668","ChIJ1VgrKX_LWzcRXNuBPJ7REdY"
"Pub-Barkhetri Anchalik Jatiya Vidyalaya","7CVC+4XR Loharkatha, Road, Arikuchi, Satemari, Assam 781126, India","781126","NA","NA","NA","https://maps.google.com/?cid=12228972969888990882","ChIJ8dtPzcYxWjcRokYWzh8Ktqk"
"Anchalik Junior College","77H6+CF6, No.1.Doulasai, Assam 781312, India","781312","NA","NA","NA","https://maps.google.com/?cid=2623940192252828768","ChIJ8SYDRhspWjcRYJwZ37MbaiQ"
"Nalbari College","CCPV+GGM, college chowk, Nalbari, Majdia, Assam 781335, India","781335","NA","093951 67308","http://nalbaricollege.ac.in/","https://maps.google.com/?cid=13194758800711747881","ChIJGYjWAmDLWzcRKQlibTgzHbc"
"Hazarat Ramdan Shah.Islamiya Madrasa","76GX+572, Bamunbori, Assam 781312, India","781312","NA","NA","NA","https://maps.google.com/?cid=1732777241920122019","ChIJJ0dGyOQpWjcRo6yHi7gPDBg"
"Sankar ajan jatiya vidyalaya,mugdi","88C2+RF2, po, Vill, Mugdi, Assam 781138, India","781138","NA","NA","NA","https://maps.google.com/?cid=16279917444112463706","ChIJv3uTDQAtWjcRWjcCJani7eE"
"Milan Jyoti Jatiya Vidyalaya","7G97+79P, Gandheli Tari, Assam 781102, India","781102","NA","NA","NA","https://maps.google.com/?cid=14894846410257897513","ChIJDy7Wivo3WjcRKZhs0-Qftc4"
"Anchalik High School Merkuchi","Barama Dhamdhama Rd, Kendukuchi, Assam 781333, India","781333","NA","NA","NA","https://maps.google.com/?cid=4094133576485513799","ChIJIY3JCu3OWzcRRypr0ctI0Tg"
"Shankar Dev Sishu Niketan, Rampur","77H7+4JX, No.1.Doulasai, Assam 781312, India","781312","NA","NA","NA","https://maps.google.com/?cid=16395951775330128081","ChIJRdJ9CRwpWjcR0dD8KkUfiuM"
"Bright star English academy","77G7+WWG, No.1.Doulasai, Assam 781312, India","781312","NA","060010 15005","NA","https://maps.google.com/?cid=16576154979793114774","ChIJvXYjN3ApWjcRlhZkQCFVCuY"
"ADARSHA JATIYA VIDYALAYA","78CV+VV9, Mukalmua, No.2.Bortola, Assam 781126, India","781126","NA","NA","NA","https://maps.google.com/?cid=3512542135301178977","ChIJWTIWgxovWjcRYQY4OXYOvzA"
"Little Flowers' School","Santipur, Ward No. 7, Santipur, Nalbari, Assam 781335, India","781335","NA","03624 220 435","http://littleflowers.in/","https://maps.google.com/?cid=6906885347424775732","ChIJhdTHt5_MWzcRNK6aFaEv2l8"
"IQRA ENGLISH SCHOOL BARPETA","Azad Nagar Road, Sonkuchi, Barpeta, Assam 781301, India","781301","NA","NA","NA","https://maps.google.com/?cid=4995998470282885861","ChIJjQgLXwSdWTcR5TqbhyNaVUU"
"Bidyajyoti Academy Mukalmua","Shop No97654, Nalbari Rd, opposite State Bank Of India, Mukalmua, Nalbari, Assam 781126, India","781126","NA","086386 74293","NA","https://maps.google.com/?cid=13970998033996695869","ChIJn3lLAB8vWjcRPckNvrD04sE"
"Jnyanpeeth high school mukalmua","79F3+QJ5, Mukalmua, Chanda, Assam 781126, India","781126","NA","NA","NA","https://maps.google.com/?cid=3075235463359395761","ChIJH9A2wzwvWjcRsXc4UlxurSo"
"Barkhetri Jatiya Vidyalaya","78HX+P37, No.1.Bortola, Assam 781126, India","781126","NA","NA","NA","https://maps.google.com/?cid=6570602740111557132","ChIJkY3qkKcvWjcRDMKOLGF4L1s"
"Dreamland English School","79H2+HXX, Narayanpur, Mukalmua, Assam 781126, India","781126","NA","076378 59560","http://www.desnarayanpur.org/","https://maps.google.com/?cid=18315287634058579247","ChIJgZAmwjYuWjcRL40qixD5LP4"
"Assam Holy Angel English School","5PX8+3JV, Abhaypur, Guwahati, Assam 781030, India","781030","NA","098647 80306","https://ahaes.in/","https://maps.google.com/?cid=8466088004627425220","ChIJobLy201bWjcRxGcDWS-WfXU"
"Hazrat Ali(R) Model Academy","77C7+FG3, path, No.2.Larkuchi, Rampur, Assam 781312, India","781312","NA","080112 67389","NA","https://maps.google.com/?cid=6140415577126012893","ChIJ74OpbOIoWjcR3QffH28jN1U"
"AL MADRASSATUL MONOWARATU LIL BANAT,BONPURA","KAPLABARI TO MUGDI ROAD Barkhetri, Kids Garden Tution Centre, Bonpura, Assam 781138, India","781138","NA","091018 13002","NA","https://maps.google.com/?cid=8575357944605762642","ChIJvceT90IvWjcRUuQMzp3KAXc"
"Bihapara Adarsha Jatiya Bidyalaya","37CG+X5P, Deosar, Assam 781137, India","781137","NA","NA","NA","https://maps.google.com/?cid=6842423777222083784","ChIJXcEWmd4hWjcRyEQCNCws9V4"
"Pragati Pathshala","1 no, Joysagar, Mukalmua, Bamundittari, Assam 781126, India","781126","NA","NA","NA","https://maps.google.com/?cid=12505891243285192779","ChIJ05H7844vWjcRS6Cuo9PZja0"
"D.M. Anchalik Sr Madrassa","34V2+V53, Mandira Reserve, Assam 781136, India","781136","NA","NA","NA","https://maps.google.com/?cid=12469986085603439614","ChIJsQUAM2yNWTcR_vN0qkZKDq0"
"Sankardev Sishu Vidya Niketan, Nalbari","Circuit house road,, Sankardev High School, Nalbari, Assam 781335, India","781335","NA","NA","NA","https://maps.google.com/?cid=2419726658383825853","ChIJN9-oz5DMWzcRvcuCVpOYlCE"
"Sankardev Sishu Vidya Niketan, Nalbari","Circuit house road,, Sankardev High School, Nalbari, Assam 781335, India","781335","NA","NA","NA","https://maps.google.com/?cid=2419726658383825853","ChIJN9-oz5DMWzcRvcuCVpOYlCE"
"Pragjyotish Jatiya Vidyalaya & Junior College","Dhamdhama Rd, Milanpur, Assam 781337, India","781337","NA","NA","http://www.facebook.com/pragjyotishjvjc.nlb14","https://maps.google.com/?cid=15425340676270840668","ChIJ1VgrKX_LWzcRXNuBPJ7REdY"
"Tajmahal International Public School","992W+VH4, Khakhrisal, Assam 781348, India","781348","NA","NA","NA","https://maps.google.com/?cid=14424296662687847496","ChIJQ4PX8AozWjcRSJRcOmRlLcg"
"Sankardev sishu Niketan, Barmurikona","CF6C+CC5, Barmurikona, Arara, Assam 781334, India","781334","NA","NA","NA","https://maps.google.com/?cid=8562606356896602755","ChIJ1S-Q98U1WjcRg9pSbh191HY"
"SHOISHAV VIDYAPEETH","BARMURIKONA,P.O- BARBARI,PIN-781351, Nalbari, Dhaniagog, Assam 781351, India","781351","NA","NA","http://shoishav.com/","https://maps.google.com/?cid=15608865476309616174","ChIJLb4rh2w1WjcRLgZLjnPUndg"
"Natun Dehar Mouza Milan HS School, khukhundi","G92W+92M, Khukhundi, Dipta, Assam 781340, India","781340","NA","NA","NA","https://maps.google.com/?cid=17754113626708116846","ChIJixOQ85vNWzcRbgXcNUdIY_Y"
"Sankardev Sishu Vidya Niketan, Nalbari","Circuit house road,, Sankardev High School, Nalbari, Assam 781335, India","781335","NA","NA","NA","https://maps.google.com/?cid=2419726658383825853","ChIJN9-oz5DMWzcRvcuCVpOYlCE"
"Sankardev Sishu Vidya Niketan, Nalbari","Circuit house road,, Sankardev High School, Nalbari, Assam 781335, India","781335","NA","NA","NA","https://maps.google.com/?cid=2419726658383825853","ChIJN9-oz5DMWzcRvcuCVpOYlCE"
"B. M. Global Academy","CCQG+83X, Gopal Bazar, Nalbari, Balikaria Kharjara, Assam 781353, India","781353","NA","NA","NA","https://maps.google.com/?cid=18048293584433199546","ChIJfU8JGJXMWzcRujkaHmRrePo"
"SANKARDEV ACADEMY, NALBARI","Chowk Bazar 781334, Hajo Rd, No.2 Dokania, Bar-Agra, Assam 781102, India","781334","NA","NA","NA","https://maps.google.com/?cid=9374368905640753027","ChIJ1WrEp6PMWzcRgzcvJtpyGII"
"SANKARDEV ACADEMY, NALBARI","Chowk Bazar 781334, Hajo Rd, No.2 Dokania, Bar-Agra, Assam 781102, India","781334","NA","NA","NA","https://maps.google.com/?cid=9374368905640753027","ChIJ1WrEp6PMWzcRgzcvJtpyGII"
"Asom Valley Academy Junior College","CCQV+G59, Bidyapur, Nalbari, Nalbari, Majdia, Assam 781335, India","781335","NA","03624 223 344","NA","https://maps.google.com/?cid=3056751528243037988","ChIJv4shLZ7MWzcRJAePz1HDayo"
"Nalanda Public School,Japarkuchi","Nalanda Rd, Japarkuchi, Joy Mangla, Assam 781335, India","781335","NA","088128 07956","NA","https://maps.google.com/?cid=1486604341005250523","ChIJ_TWVYl_LWzcR2-8rk8V6oRQ"
"DR.SARVEPALLI RADHAKRISNAN ACADEMY.","Joy Mangla, Assam 781334, India","781334","NA","097066 86283","https://www.knowledgeassam.com/2023/02/doctor-sarvapalli-radhakrishnan-academy.html","https://maps.google.com/?cid=16496514371329813834","ChIJ0-B4-6LMWzcRSm09H2tk7-Q"
"Ananda Vidya Niketan , Nalbari","CCMH+QM9, Balikaria Kharjara, Assam 781334, India","781334","NA","NA","https://www.knowledgeassam.com/2023/02/ananda-vidya-niketan-best-assamese-medium-school-of-nalbari.html","https://maps.google.com/?cid=1648711275794068511","ChIJvdgE3r3MWzcRH_Tiiitm4RY"
"Jnanatirtha Academy","CCJP+8Q7, Nalbari College Rd, Nalbari, Bar-Agra, Assam 781334, India","781334","NA","NA","NA","https://maps.google.com/?cid=8142490042623670437","ChIJk81CkKPMWzcRpTi9kY3v_3A"
"Shanti Vidya Niketon, Barkura, Balikaria, Nalbari","LP School, near Barkura, Barkura, Assam 781341, India","781341","NA","NA","NA","https://maps.google.com/?cid=12688082541582568758","ChIJpXyhUkPNWzcRNk3d49gfFbA"
"Raghunath Choudhary academy , Haripur","FC43+RCF, Haripur, Balizar, Assam 781340, India","781340","NA","NA","NA","https://maps.google.com/?cid=4628145109573343194","ChIJSR8yrpHNWzcR2pcUyXR5OkA"
"Sankardev Sishu Vidya Niketan, Nalbari","Circuit house road,, Sankardev High School, Nalbari, Assam 781335, India","781335","NA","NA","NA","https://maps.google.com/?cid=2419726658383825853","ChIJN9-oz5DMWzcRvcuCVpOYlCE"
"Puberun jatiya vidyalaya, baridatara","CG52+4V2, Unnamed Road, Sonkuriha No.1., Assam 781351, India","781351","NA","NA","NA","https://maps.google.com/?cid=10284118308871451612","ChIJN6cgu_M1WjcR3LNfRB2HuI4"
"Adarsha Bidya Niketan, Guwabari","QMHG+5CM, Deochunga, Assam 781368, India","781368","NA","NA","NA","https://maps.google.com/?cid=9252706779459161742","ChIJL9Pp4YO9WzcRjg6DAMs3aIA"
"Sankar Azan Jatiya Vidyalaya,Moinbari","7Q5C+R8V, Chatala Gaon, Assam 781321, India","781321","NA","NA","NA","https://maps.google.com/?cid=2292423779576228183","ChIJ6wNf7GylWTcRV6lMIEhT0B8"
"Sankardev Shishu Bidya/Niketan, Barbhag","BAGALS ROAD, 9FHP+379, Hatkhola, Kalag, Porakuchi, Assam 781351, India","781351","NA","NA","NA","https://maps.google.com/?cid=1967602092585529014","ChIJya-gjbA1WjcRti7gq61TThs"
"Sri manta sankar Dev vidyalaya karia","8FF8+V78, Unnamed Road, Bijulighat, Assam 781339, India","781339","NA","NA","NA","https://maps.google.com/?cid=8115833849617920932","ChIJA1rqaPc1WjcRpDOR_uI7oXA"
"Sankardev Shishu Vidya Niketan, Karia","8FC8+PXW, Nalbari-Hajo-Guwahati Rd, Bijulighat, Assam 781339, India","781339","NA","NA","NA","https://maps.google.com/?cid=8063984881616957061","ChIJy7HHNyE0WjcRhS7mZoYH6W8"
"Navajyoti High School","H5JW+J5H, Kurobaha, Borsaderi, Assam 781329, India","781329","NA","NA","NA","https://maps.google.com/?cid=5152964263974213389","ChIJp_yC1Wd9WTcRDRd3TrIBg0c"
"Sankardev Sishu Niketan, Morowa","7GQ3+MMG, Guwahati - Nalbari Rd, Hajo, Assam 781102, India","781102","NA","NA","NA","https://maps.google.com/?cid=1141776904462322843","ChIJiwhZdBI3WjcRm8w4kwto2A8"
"Children Guide Academy","2no. Sonkuriha, Barbhag, Nalbari, Assam Nalbari Road, Bridge, near Pagladia, Barkuriha, Assam 781351, India","781351","NA","086386 18006","NA","https://maps.google.com/?cid=16002207559299328067","ChIJhShf2xs1WjcRQ2gb6v1CE94"
"Dr Surjya Kumar Bhuyan Academy, Nalbari","Barkura, Assam 781337, India","781337","NA","NA","NA","https://maps.google.com/?cid=17232372521289756480","ChIJjR45b4fMWzcRQK-t0IGvJe8"
"Govt. Gurdon H.S. School","Gordon Higher Secondary School, Nalbari, Assam 781335, India","781335","NA","NA","NA","https://maps.google.com/?cid=13362825369330130774","ChIJYzMLTpfMWzcRVh-Axt9Kcrk"
"Jatiya Vidyalaya Bahjani","9CJH+J85, Niz-Bahjani, Assam 781334, India","781334","NA","NA","NA","https://maps.google.com/?cid=9640943157690801504","ChIJ3zra9hUzWjcRYJ3k1biCy4U"
"Chandramukhi Academy","CFW4+GWV, Paila, Japarkuchi, Assam 781335, India","781335","NA","NA","NA","https://maps.google.com/?cid=16661305213945674068","ChIJkZHGceTLWzcRVHmYE9HYOOc"
"Kendriya Jatiya Vidyalaya,Janopar,Nalbari","CFX3+P4M, Janopar, Japarkuchi, Assam 781335, India","781335","NA","084028 60632","NA","https://maps.google.com/?cid=14596519827619737572","ChIJ30nwm3rLWzcR5G84knJBkco"
"Gyanjyoti Academy, Sondha:Nalbari","Gyanjyoti Academy, Road, Paikarkuchi, Nalbari, Assam 781337, India","781337","NA","098648 68808","NA","https://maps.google.com/?cid=10519974204595885247","ChIJg_H3hFPLWzcRv9Q1R810_pE"
"Sankardev Sishu Vidya Niketan, Nalbari","Circuit house road,, Sankardev High School, Nalbari, Assam 781335, India","781335","NA","NA","NA","https://maps.google.com/?cid=2419726658383825853","ChIJN9-oz5DMWzcRvcuCVpOYlCE"
"Sankardev Shishu Niketan, Namati","FFQ2+P38, Unnamed Road, Sariahtali, Assam 781337, India","781337","NA","NA","NA","https://maps.google.com/?cid=9589493624174761835","ChIJx2-HEfjLWzcRa1fP1KS5FIU"
"Srimanta Sankardev Vidyalaya, Nalbari","FF52+WWM, Nalbari, Assam 781337, India","781337","NA","NA","NA","https://maps.google.com/?cid=17121131509377495091","ChIJ49_kpILLWzcRM3AxaWV6mu0"
"KV, Nalbari (Kendriya Vidyalaya)","FC7X+VJX, Milanpur, Assam 781341, India","781341","NA","NA","NA","https://maps.google.com/?cid=15760172223650138945","ChIJFcs-8YPLWzcRQQul7SJht9o"
"Jagyabhumi Adarsha Jatiya Vidyalaya","9CXR+M6V, Khudra Sonkara, Assam 781334, India","781334","NA","NA","NA","https://maps.google.com/?cid=15126799792433107550","ChIJo13JyFkzWjcRXpJtGEQw7dE"
"Sankardev Sishu Vidya Niketan, Nalbari","Circuit house road,, Sankardev High School, Nalbari, Assam 781335, India","781335","NA","NA","NA","https://maps.google.com/?cid=2419726658383825853","ChIJN9-oz5DMWzcRvcuCVpOYlCE"
"Angels Academy","Bagal Road Chowk, Sonkuriha, Nalbari, SH-9, Hajo Nalbari Road, Nalbari, Nalbari, Niz-Bahjani, Assam 781348, India","781348","NA","070020 94203","NA","https://maps.google.com/?cid=14089707593133506987","ChIJLSCEYJ40WjcRq8HYzWeyiMM"
"Navodaya Jatiya Vidyalaya","Bazar Pukhuri, Nalbari, CCVV+RCG, LNB Road, Nalbari, Bidyapur, Nalbari, Nalbari, Nalbari Gaon, Assam 781335, India","781335","NA","NA","NA","https://maps.google.com/?cid=12475192583833250552","ChIJZYmNgZ3MWzcR-Or3_47JIK0"
"Nalbari Junior College","CCWV+29H, Nalbari Gaon, Assam 781335, India","781335","NA","NA","NA","https://maps.google.com/?cid=10581983941248188101","ChIJfbwKgmLLWzcRxX78LFTC2pI"
"Asom Valley Academy Junior College","CCQV+G59, Bidyapur, Nalbari, Nalbari, Majdia, Assam 781335, India","781335","NA","03624 223 344","NA","https://maps.google.com/?cid=3056751528243037988","ChIJv4shLZ7MWzcRJAePz1HDayo"
"Spring Dale Academy junior college","Nalbari, Bus Terminal, Dhamdhama Rd, Milanpur, Assam 781337, India","781337","NA","NA","NA","https://maps.google.com/?cid=14100887371989062373","ChIJb2EIaRbLWzcR5RIz6VpqsMM"
"Assam Academy Nalbari","CCQV+Q4M, Santipur, Nalbari, Majdia, Assam 781335, India","781335","NA","NA","NA","https://maps.google.com/?cid=7411051953437063453","ChIJv52gOp7MWzcRHbmUeHxY2WY"
"Human Development Society","Shankar Pur, Shantipur, Nalbari, SH-9, Hajo Road, Nalbari, Santipur, Nalbari, Assam 781335, India","781335","NA","NA","NA","https://maps.google.com/?cid=9091771035052574655","ChIJZX6L7pjMWzcRv4d-C5Z1LH4"
"Bright Star Academy, Nalbari","CCRQ+4WM, Santipur, Nalbari, Assam 781335, India","781335","NA","NA","NA","https://maps.google.com/?cid=16524423235001634919","ChIJl47Gv57MWzcRZ9B70GGLUuU"
"SRD Jain High School","CCVR+WX6, LNB Rd, Nalbari, Nalbari Gaon, Assam 781335, India","781335","NA","081358 96496","NA","https://maps.google.com/?cid=5657958001841306360","ChIJm97tdJ3MWzcR-HrUVdMahU4"
"Little Flower School","Little Flower School, Santipur, Nalbari, Assam 781335, India","781335","NA","NA","NA","https://maps.google.com/?q=Little+Flower+School&ftid=0x375bcc9fb9dcee2b:0xfba267acbc22a21a","ChIJK-7cuZ_MWzcRGqIivKxnovs"
